Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,6.178292346047888e-8,6.171123172320222e-8,6.197384329819241e-8,3.4911293417759635e-10,3.839468332514521e-11,6.48075107879339e-10
union-disj_nn,6.219414120958863e-8,6.210512092167287e-8,6.250404785045515e-8,4.963038876140408e-10,1.415092802374957e-10,1.0038387805035022e-9
union-disj_ns,5.223701865671827e-8,5.221322934326643e-8,5.228366957124686e-8,1.0947959425688773e-10,5.0495583604218715e-11,1.9030049663754246e-10
union-disj_ns,5.2221367762623794e-8,5.220331731398843e-8,5.22709153730194e-8,9.620988858815426e-11,3.7568161232362037e-11,1.8906227539604334e-10
union-disj_sn,5.3043902651903764e-8,5.303285485250822e-8,5.305774234210943e-8,4.316951371768741e-11,3.004452055114016e-11,6.131012031766026e-11
union-disj_sn,5.300575104339658e-8,5.2986451360570574e-8,5.303383727712462e-8,7.519802246089589e-11,5.84400736110411e-11,9.94479932580774e-11
union-disj_nt,3.885154629494647e-8,3.884165744585656e-8,3.8865814938930165e-8,4.000639004586682e-11,3.073607677190312e-11,5.5202519144751994e-11
union-disj_nt,3.884336135987418e-8,3.8836705823579373e-8,3.885538249119891e-8,2.785403709998426e-11,1.7410055423942847e-11,5.001760281235285e-11
union-disj_tn,4.083869328198984e-8,4.08240281457435e-8,4.086684972416843e-8,6.348873881876489e-11,3.549675715243971e-11,9.803632061874407e-11
union-disj_tn,4.085704008684521e-8,4.084864939316556e-8,4.0871485919443685e-8,3.7151917651253427e-11,2.442317455119568e-11,5.34776678090439e-11
union-common_nn,1.8824107822485737e-5,1.856113605115568e-5,1.918182977228303e-5,1.0091748097393492e-6,7.575486027317625e-7,1.3755829788274077e-6
union-common_nn,1.950233634313143e-5,1.911560922417442e-5,2.0013175957002857e-5,1.32420146399642e-6,1.1459890835951906e-6,1.649877346441302e-6
union-common_ns,1.9674788535878413e-5,1.9201946183577782e-5,2.017922368292413e-5,1.62305740382688e-6,1.3836505445829098e-6,1.9489885305728776e-6
union-common_ns,2.058931884697861e-5,2.0184305893051173e-5,2.0964566415081353e-5,1.384070354658552e-6,1.212208440833968e-6,1.60974317405648e-6
union-common_sn,1.951832754648691e-5,1.9134127676530942e-5,1.9899416986351356e-5,1.2823054778040277e-6,1.1290028116976433e-6,1.4457593125885234e-6
union-common_sn,1.9650017767651404e-5,1.9283015985642292e-5,2.012295800536697e-5,1.3915269821594702e-6,1.166254066571762e-6,1.7351963641862728e-6
union-common_nt,9.935611759141323e-6,9.83769453972709e-6,9.987010107460128e-6,2.400146750951806e-7,1.1092714760395956e-7,3.943095133589238e-7
union-common_nt,9.947628592148622e-6,9.848539610455868e-6,1.000175016707424e-5,2.407990472192741e-7,1.211670156732295e-7,3.9718987289559174e-7
union-common_tn,9.099578358363724e-6,8.739900248404136e-6,9.45034219221329e-6,1.2188870064107813e-6,1.0719856798613314e-6,1.3698466969687814e-6
union-common_tn,8.682493623012617e-6,8.371480071091843e-6,9.044306292174185e-6,1.117954596249525e-6,9.68166015174879e-7,1.281696053890571e-6
union-mix_nn,4.752144883056141e-5,4.715738142809095e-5,4.7803581226467444e-5,1.1562272906563285e-6,9.336663742977686e-7,1.458022979588429e-6
union-mix_nn,4.566202852004553e-5,4.484257390371804e-5,4.6413359805740165e-5,2.6046977552207946e-6,2.1635524730120213e-6,3.0852423645979863e-6
union-mix_ns,2.2230700589833707e-5,2.1813704164786382e-5,2.275706589071325e-5,1.561047152761043e-6,1.2876819497981276e-6,1.8208272303685793e-6
union-mix_ns,2.239769411225439e-5,2.2028546921054564e-5,2.287469013937946e-5,1.4657020247476077e-6,1.277830710713922e-6,1.7357312355430894e-6
union-mix_sn,2.336526564289314e-5,2.3058881266621762e-5,2.3749762367005983e-5,1.1522725288140836e-6,9.950501910195036e-7,1.3710718196542873e-6
union-mix_sn,2.1657348426597642e-5,2.1376863488147084e-5,2.1992554655048092e-5,1.0089957292589116e-6,8.35157437966361e-7,1.2474605878643192e-6
union-mix_nt,9.783176851499515e-6,9.693726960327815e-6,9.831324639755504e-6,2.1480546332844148e-7,1.4698998138548346e-7,3.571989556625344e-7
union-mix_nt,9.669875636341427e-6,9.489319510888438e-6,9.76011069611741e-6,4.367653566283703e-7,2.4371690552205093e-7,7.979307172273249e-7
union-mix_tn,9.07884686390593e-6,8.821364480643272e-6,9.323891017285723e-6,8.859154428776546e-7,7.536354205541169e-7,1.0522654311921472e-6
union-mix_tn,9.427280366409853e-6,9.185935907727896e-6,9.656922497690015e-6,8.27855345136006e-7,6.770979380801346e-7,1.0420493817794842e-6
union-block_nn,2.0837856605140574e-5,2.049744799812943e-5,2.1098002402824972e-5,1.0090140523044312e-6,7.789811326237991e-7,1.2741917108600677e-6
union-block_nn,1.9387483451614478e-5,1.8768032553853446e-5,1.9976302299084717e-5,2.0049034855568466e-6,1.7778766720640525e-6,2.2688569663393603e-6
union-block_ns,1.8395981033030702e-6,1.8118197454687697e-6,1.8898480569376792e-6,1.1288628439788639e-7,7.128019053935964e-8,1.8406737194968842e-7
union-block_ns,1.9549898650205714e-6,1.8976058605215617e-6,2.0506475186348246e-6,2.385395269664687e-7,1.5442426157499995e-7,3.9428641784797415e-7
union-block_sn,1.8714194565859999e-6,1.8655561282758262e-6,1.8790153251162637e-6,2.170141629185428e-8,1.6556999799985088e-8,2.74126318126143e-8
union-block_sn,1.8688413425203186e-6,1.8630261249172536e-6,1.8772289821306587e-6,2.3267703121887887e-8,1.5526501799961186e-8,3.120271015409156e-8
difference-disj_nn,5.5329161374466695e-8,5.4633954495535996e-8,5.6770753603510184e-8,3.088431540243034e-9,1.9909330771335408e-9,4.312416729924955e-9
difference-disj_nn,5.413319684755703e-8,5.3988098049640463e-8,5.444199059205457e-8,7.101326681954164e-10,3.4268593886190436e-10,1.2889621404961085e-9
difference-disj_ns,5.018003976712321e-8,4.988473143729059e-8,5.058313603245453e-8,1.1465779355499754e-9,8.698442177595887e-10,1.3987548392028e-9
difference-disj_ns,4.9446548828157553e-8,4.938961017002778e-8,4.9656045863394907e-8,3.5616283438475387e-10,2.458599402497534e-11,7.57394730404667e-10
