Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,4.371797146759397e-6,4.368217815563621e-6,4.377739259877114e-6,1.5032319277473386e-8,1.1703165584453101e-8,2.1348085885196703e-8
union-disj_nn,4.423423807036517e-6,4.4204808961973905e-6,4.4275822488943064e-6,1.1851794257604236e-8,9.435917250253814e-9,1.6388082942748637e-8
union-disj_ns,3.1605252096976743e-6,3.1513010232732835e-6,3.171339218737218e-6,3.361429035062877e-8,2.7501707387533862e-8,4.1620038007075435e-8
union-disj_ns,3.1487568553360427e-6,3.1405112342306082e-6,3.160124273284763e-6,3.220059725988909e-8,2.5612356639630775e-8,4.879788524189491e-8
union-disj_sn,3.6538260988027662e-6,3.6419005083110135e-6,3.6665077571568494e-6,4.0651055080613785e-8,3.313839274921102e-8,4.718206323717409e-8
union-disj_sn,3.643135163647943e-6,3.6344886448220226e-6,3.655225334393256e-6,3.519550834213243e-8,2.966148782532269e-8,4.660654749364736e-8
union-disj_nt,2.0556613803863505e-6,2.0446377253454597e-6,2.0613837066660655e-6,2.5909868049269722e-8,1.6168103941939107e-8,4.459197565445781e-8
union-disj_nt,2.048165950728941e-6,2.0335752070630818e-6,2.0568985740481533e-6,3.6761517544040564e-8,2.53587361561922e-8,5.3333409608826874e-8
union-disj_tn,2.3411919940828408e-6,2.340231641515283e-6,2.34186654066916e-6,2.7070108641463572e-9,2.0833023803218823e-9,4.097449418808426e-9
union-disj_tn,2.344563721807953e-6,2.34372868858206e-6,2.345273495680728e-6,2.7051754140869993e-9,2.1403791374028157e-9,3.4901419861151132e-9
union-common_nn,7.647978577604579e-4,7.63176588587433e-4,7.671939833178943e-4,6.622238762557767e-6,4.468383817203242e-6,9.545855410059398e-6
union-common_nn,7.736281802063611e-4,7.714048525419933e-4,7.770851580132109e-4,9.210703227409225e-6,6.550464143930555e-6,1.246725128670771e-5
union-common_ns,7.412870905516128e-4,7.366950129671865e-4,7.464063864446761e-4,1.696758537565124e-5,1.3406953862741512e-5,2.1411388327247696e-5
union-common_ns,7.604974944785325e-4,7.532120244228252e-4,7.677992777289859e-4,2.2970548662084182e-5,2.000066586406447e-5,2.773348632086436e-5
union-common_sn,4.2726010772581235e-3,4.025330143481982e-3,4.731144965503481e-3,9.948596683033455e-4,6.433128294723338e-4,1.650050596401024e-3
union-common_sn,4.227266111160838e-3,3.984708279979255e-3,4.5377414582701125e-3,8.437368322424951e-4,6.53292203586035e-4,1.1857981992736868e-3
union-common_nt,5.388452955642703e-5,5.347004714109643e-5,5.445767090809456e-5,1.581420584453105e-6,1.2112961995730917e-6,2.1976885056285788e-6
union-common_nt,5.383989807634526e-5,5.3416406093839096e-5,5.4428716412512045e-5,1.721954025752913e-6,1.2922992289082908e-6,2.396318053120908e-6
union-common_tn,1.0131783001620569e-4,1.0072364688870751e-4,1.0180306831024735e-4,1.740443740635308e-6,1.4080324795502325e-6,2.2576691507641085e-6
union-common_tn,1.0267336590919626e-4,1.0225360463895354e-4,1.0301281569637445e-4,1.315110888870441e-6,1.0236179598511945e-6,1.7542333960867945e-6
union-mix_nn,2.200529012619651e-2,2.0638992787536878e-2,2.3014691978393512e-2,2.661016550039808e-3,1.8417732704062184e-3,3.473821751372182e-3
union-mix_nn,2.2137612446303623e-2,2.082031141723669e-2,2.311817473838007e-2,2.6715247287506295e-3,1.9004665274694075e-3,3.4274442770818266e-3
