Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,8.569857868671351e-8,8.565666930330495e-8,8.576562023725787e-8,1.7477154631531694e-10,8.47873087718475e-11,2.714196299606995e-10
union-disj_nn,8.63796928995025e-8,8.63565019524476e-8,8.641235855321455e-8,9.441605783910384e-11,7.303569219862163e-11,1.2796196589675496e-10
union-disj_ns,7.755171886985984e-8,7.713097292043379e-8,7.825610892219664e-8,1.953444884195687e-9,1.4155858363216345e-9,2.672332165001092e-9
union-disj_ns,7.696380084847688e-8,7.663708457947192e-8,7.75614380823437e-8,1.419870133982502e-9,7.505917681391862e-10,2.6473376019303456e-9
union-disj_sn,7.77861175546258e-8,7.762242459635256e-8,7.801171398381061e-8,6.44739889174314e-10,5.379568746671297e-10,7.858813708779252e-10
union-disj_sn,7.734465206091156e-8,7.722759944335393e-8,7.752362951739674e-8,4.768859761802679e-10,3.7006485856246086e-10,6.755293897489405e-10
union-disj_nt,6.133510008456992e-8,6.125297215292889e-8,6.165743467390687e-8,5.040936308057256e-10,2.8006489529553607e-11,1.0662420918576488e-9
union-disj_nt,6.145083396703601e-8,6.127874601255716e-8,6.17877636710045e-8,7.988853611670757e-10,3.233357121087226e-10,1.2668662152294779e-9
union-disj_tn,6.350741005685486e-8,6.34961881092595e-8,6.352145756215895e-8,4.064917753726399e-11,3.0831251765703596e-11,5.756772624720923e-11
union-disj_tn,6.352907033364349e-8,6.350451257366297e-8,6.358185200112195e-8,1.111992984692561e-10,6.731125432288936e-11,1.95531920111608e-10
union-common_nn,4.348050436340332e-3,4.104026761018445e-3,4.76594816953185e-3,1.0089309073710664e-3,6.011589415587697e-4,1.7903044025996075e-3
union-common_nn,4.300565245788715e-3,4.097799826634257e-3,4.628044485164592e-3,7.822518656700766e-4,5.716982755077039e-4,1.138848969102364e-3
union-common_ns,1.0168022191130199e-3,9.837649249423036e-4,1.095984565194438e-3,1.6431960984922378e-4,9.318671565866315e-5,3.0423814246397895e-4
union-common_ns,1.0187009368457195e-3,9.821943030545485e-4,1.0886595833771617e-3,1.667654983623468e-4,9.05085116120723e-5,2.921505789881621e-4
union-common_sn,1.0366940978338045e-3,1.0004511606435385e-3,1.118291336832834e-3,1.671634629411467e-4,8.792998116243422e-5,2.950293202677134e-4
union-common_sn,1.0382581251008128e-3,1.0043315526554173e-3,1.1261724574916877e-3,1.670169862735036e-4,8.979064377254346e-5,2.9936115293357834e-4
union-common_nt,4.6424554713304514e-5,4.633085580014311e-5,4.652168167024955e-5,3.3032817139722754e-7,2.6405460219760337e-7,4.1519003687729577e-7
union-common_nt,4.68549164765028e-5,4.675843778239198e-5,4.697156971308639e-5,3.5810834996693196e-7,2.9339760606428024e-7,4.524589014595903e-7
union-common_tn,4.379291120929286e-5,4.3715536759246524e-5,4.3880061218126014e-5,2.773386843233926e-7,2.435714694476731e-7,3.279518870670082e-7
union-common_tn,4.435287950915188e-5,4.4259990027244075e-5,4.4446607890777274e-5,3.106435768265986e-7,2.683616174637347e-7,3.836682578569144e-7
