Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
GE split present,1.4043387758156748e-4,1.3936589646483487e-4,1.418115513684732e-4,4.132912309231833e-6,3.5207213513883943e-6,5.023515782425516e-6
GE caseof present,3.3215750813427645e-5,3.293222233097512e-5,3.3535472444055106e-5,8.922596183956802e-7,7.537650977598067e-7,1.1297610329498332e-6
GE Twan present,3.094201083693518e-5,3.069368146435157e-5,3.128533324006659e-5,9.440663311270899e-7,7.304615034586775e-7,1.2648220033271582e-6
GE Milan present,3.0099001184157486e-5,2.982117177556075e-5,3.033827534880121e-5,8.316269887019224e-7,6.731213870107164e-7,1.0428370625442277e-6
GE split absent,1.7236030066627444e-4,1.641317072014414e-4,1.7595639519078034e-4,1.6226762001876735e-5,4.679079600156767e-6,2.6707075331234906e-5
GE caseof absent,4.0628275747314276e-5,3.9557951767256676e-5,4.1183766831606963e-5,2.539846174350112e-6,1.470204750856977e-6,3.816151660158502e-6
GE Twan absent,3.554647373903577e-5,3.421404765968603e-5,3.634096143371679e-5,3.5163147152433553e-6,2.398473645911394e-6,4.782152278129511e-6
GE Milan absent,3.3999620778990743e-5,3.2203417812654906e-5,3.577611054908781e-5,5.808170440740886e-6,5.20978642361542e-6,6.491234756083198e-6
GE split far,9.448042683953808e-5,8.757066219663474e-5,1.0358921743740959e-4,2.834910967002285e-5,2.66997381618087e-5,3.0326408952802832e-5
GE caseof far,2.9318222263712033e-5,2.800671769957097e-5,3.0144380325233246e-5,3.4611154489349663e-6,2.505218979410107e-6,4.521446807638148e-6
GE Twan far,3.234104231844879e-5,3.194877537830566e-5,3.270327454021147e-5,1.226774447597496e-6,1.041217247603012e-6,1.5114139377506115e-6
GE Milan far,2.7921942841629615e-5,2.7665559439756937e-5,2.819833858309105e-5,8.920437336774932e-7,7.513918640692846e-7,1.0480532316427011e-6
GE split !present,1.1600367249781814e-4,1.084385188179617e-4,1.2306989519030777e-4,2.6164894947054658e-5,2.4282338303047846e-5,2.7748938606509118e-5
GE caseof !present,2.956842241105112e-5,2.8481554307065353e-5,3.0781946565810694e-5,4.001653964051962e-6,3.7369101696084273e-6,4.3083649481962936e-6
GE Twan !present,2.6632568856742383e-5,2.510300582053547e-5,2.793104808427408e-5,4.947096187892347e-6,4.679580805348314e-6,5.154394095588768e-6
GE Milan !present,3.1224992296969404e-5,3.0848561662428975e-5,3.155516535807536e-5,1.1415778798621062e-6,8.686171084836906e-7,1.6838341003756942e-6
GE split !absent,1.4280250047587494e-4,1.3277686435117072e-4,1.5375502902946055e-4,3.386331306356759e-5,3.1797313443175956e-5,3.593196724855198e-5
GE caseof !absent,3.868324797688046e-5,3.7593937514013596e-5,3.9540507989172426e-5,3.363435600539313e-6,2.4165799624103475e-6,4.210786152755407e-6
GE Twan !absent,2.895117035115211e-5,2.7702648535636503e-5,3.032940383500711e-5,4.615089582479691e-6,4.04363840563384e-6,5.096687046387712e-6
GE Milan !absent,3.734932565398197e-5,3.7076946190067976e-5,3.758724718190638e-5,8.868880302753503e-7,7.588422657116782e-7,1.092343407344927e-6
GE split !far,1.1069575174247557e-4,1.0285287796511719e-4,1.166328465152587e-4,2.3147923041520598e-5,1.8434586686584453e-5,2.6533002058190022e-5
GE caseof !far,2.5628088104570185e-5,2.418382452671181e-5,2.7254819846323016e-5,5.294654143745871e-6,4.938776495216208e-6,5.9381585039314865e-6
GE Twan !far,3.0831033593111e-5,2.9367956394411324e-5,3.18447464123902e-5,4.160120963180873e-6,3.1405737131973336e-6,5.080836997411062e-6
GE Milan !far,2.5419484612146146e-5,2.3865305991119334e-5,2.672225947691882e-5,4.5446341899623e-6,3.388935895543182e-6,5.339187496693793e-6
