Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,3.57904211036914e-6,3.5741140017883286e-6,3.5836090548589413e-6,1.5282046474764275e-8,1.3858210746897349e-8,1.796569236382291e-8
union-disj_nn,3.601249682108327e-6,3.597904185469308e-6,3.606356488759807e-6,1.3498611940940185e-8,1.061078671947689e-8,1.7657726209789653e-8
union-disj_ns,2.749462346362731e-6,2.7478522648930828e-6,2.750758038573278e-6,5.023620784292598e-9,3.807782713247258e-9,6.462753677379507e-9
union-disj_ns,2.7255804764099005e-6,2.707959487853673e-6,2.737152051941583e-6,4.918952184159686e-8,3.575393456803818e-8,6.347113174626674e-8
union-disj_sn,3.1501470553688475e-6,3.1485497050499773e-6,3.1513980663354297e-6,4.8488800900117965e-9,3.724220652172943e-9,6.249348520701659e-9
union-disj_sn,3.143955997120065e-6,3.1386674559071337e-6,3.1477268472464015e-6,1.4555916598816797e-8,1.0457699900671688e-8,1.9159858716713655e-8
union-disj_nt,1.6481244864026062e-6,1.6372945198831776e-6,1.656410663853392e-6,3.0963966486983945e-8,2.4618387729801764e-8,3.9104948682144e-8
union-disj_nt,1.6779513476154102e-6,1.676598378029901e-6,1.6791207061342554e-6,4.427215319817109e-9,3.465886662402721e-9,5.84008805108661e-9
union-disj_tn,2.0205337928962466e-6,2.0186728139293876e-6,2.0227924639765356e-6,6.7323319996132065e-9,5.669323232791787e-9,9.079074096662475e-9
union-disj_tn,2.0243372845013135e-6,2.022051376671703e-6,2.0258348519511626e-6,6.431747653063333e-9,4.375717636497138e-9,1.0291497950676409e-8
union-common_nn,6.406201839525209e-4,6.397727271686567e-4,6.416360768149495e-4,3.1115116517597553e-6,2.5212474814094886e-6,4.3562745929381545e-6
union-common_nn,6.117124390256915e-4,6.109230696226295e-4,6.12814469117489e-4,3.175519881437908e-6,2.5374400139612865e-6,4.179306053161601e-6
union-common_ns,6.43320058890628e-4,6.399078314242379e-4,6.473721663049837e-4,1.3411216366414684e-5,1.0918809884403808e-5,1.7174127961465146e-5
union-common_ns,6.61204317868944e-4,6.540154004142649e-4,6.691696351604264e-4,2.6384625532865252e-5,2.2088283023036027e-5,3.508416986705133e-5
union-common_sn,3.1225989447064757e-3,2.9740540695796535e-3,3.3457815743676515e-3,5.741912864372198e-4,3.958191596654076e-4,1.0058819503017007e-3
union-common_sn,3.0930335314710684e-3,2.9687507190533633e-3,3.2881774600997857e-3,4.783339867294323e-4,3.750516960774226e-4,7.264479938702219e-4
union-common_nt,5.165126773289259e-5,5.1064671196200417e-5,5.227728917853999e-5,2.056328886916833e-6,1.7125949103989412e-6,2.4855914039793025e-6
union-common_nt,5.133444157846338e-5,5.081163928359889e-5,5.19998232890937e-5,2.1412792424055497e-6,1.7929975446983715e-6,2.621721814492445e-6
union-common_tn,9.119705546445676e-5,9.085481114474501e-5,9.149849482165931e-5,1.089082126771014e-6,9.215430268533659e-7,1.3204072353783594e-6
union-common_tn,9.033890683285234e-5,8.990515975330218e-5,9.070183882509063e-5,1.3751947225067873e-6,1.1058882252303837e-6,1.7210043296039502e-6
union-mix_nn,1.7776782484666548e-2,1.6964609013824558e-2,1.852773132537935e-2,1.7513459804169124e-3,1.1549287836874421e-3,2.4268995557759155e-3
union-mix_nn,1.782991656400246e-2,1.7068720946052347e-2,1.8495367854619714e-2,1.638651531133092e-3,1.1316417903772854e-3,2.3686334801705784e-3
union-mix_ns,3.491054372632188e-3,3.3420640558400904e-3,3.686132778201809e-3,5.606991333523142e-4,4.2489214337155986e-4,8.002229971767615e-4
union-mix_ns,3.4827366095073796e-3,3.336311063348371e-3,3.671709756905039e-3,5.362813312259174e-4,4.178206595830183e-4,7.396121685062592e-4
union-mix_sn,4.1725577029942e-3,3.973052820992843e-3,4.435055846662458e-3,6.774756622395606e-4,5.203536658804018e-4,1.0351875815009018e-3
union-mix_sn,4.180835799636661e-3,3.991272836079856e-3,4.426353850771104e-3,6.722086537110654e-4,5.222145672785271e-4,1.001490946563443e-3
union-mix_nt,8.177505806351838e-5,8.135447351433077e-5,8.227255037315592e-5,1.4772428808495795e-6,1.1667522523852107e-6,2.2179871318347224e-6
union-mix_nt,8.13680628684943e-5,8.10153478144603e-5,8.174631965794467e-5,1.158745558659273e-6,9.959844317961032e-7,1.376848880804785e-6
union-mix_tn,9.051544870201236e-5,8.994532196104393e-5,9.106310765781432e-5,1.906336525238682e-6,1.6293934931127712e-6,2.2835776779817894e-6
union-mix_tn,9.151113707768442e-5,9.108216423492103e-5,9.18582641158275e-5,1.3317820072658554e-6,1.119865700074224e-6,1.7631160948047724e-6
union-block_nn,6.563433082581627e-4,6.434822292405762e-4,6.829286789343304e-4,5.98932270397799e-5,3.145872628276714e-5,1.0857650003893951e-4
union-block_nn,6.493473603667799e-4,6.374566541432742e-4,6.874546055966778e-4,6.023713169136472e-5,3.1474538174250035e-5,1.087955764738101e-4
union-block_ns,5.6307234879477916e-5,5.609807912841653e-5,5.6490056204195957e-5,6.516490493911029e-7,5.409914373248447e-7,8.751582829459821e-7
union-block_ns,5.679934177628375e-5,5.6588510795651145e-5,5.699264011664401e-5,6.773934753837325e-7,5.576773475587042e-7,8.330699939884334e-7
union-block_sn,6.128110279235125e-5,6.108157110475591e-5,6.147901998269917e-5,7.006793370695425e-7,5.837078442636867e-7,8.574331111159454e-7
union-block_sn,6.164381888097901e-5,6.145432093628941e-5,6.182626881396672e-5,6.261541611788545e-7,4.97524352586702e-7,8.808531860952959e-7
difference-disj_nn,2.5888416057440237e-6,2.58480222721821e-6,2.592269019446447e-6,1.2517701420218846e-8,1.0211524181149005e-8,1.605178573561985e-8
difference-disj_nn,2.5847176228177406e-6,2.580982854418989e-6,2.589114736720511e-6,1.3920851218527884e-8,1.0950158252966963e-8,1.814698780380407e-8
difference-disj_ns,1.9802928612644845e-6,1.9762520962252742e-6,1.9849361104642687e-6,1.4796154242337193e-8,1.2547210455923942e-8,1.7859465859483287e-8
difference-disj_ns,1.981605357729838e-6,1.9760436491654214e-6,1.9864277426552107e-6,1.712654180144088e-8,1.4606496013677254e-8,1.9636436603665877e-8
difference-disj_sn,1.8074967836940088e-6,1.807143993468343e-6,1.8078321467465818e-6,1.1862047531209487e-9,9.096437198177434e-10,1.7965152553416998e-9
difference-disj_sn,1.8060751939745608e-6,1.8056529286692804e-6,1.8066274271622588e-6,1.5750176533361998e-9,1.2730900120044921e-9,2.1614157315273054e-9
difference-disj_nt,1.2230116602156797e-6,1.220325782401217e-6,1.2252668238452722e-6,8.008297046671424e-9,6.110024856178544e-9,1.1883850360897026e-8
difference-disj_nt,1.2108379639476982e-6,1.206644735610403e-6,1.2142090471580335e-6,1.2130510618820515e-8,9.846502120588824e-9,1.4937133938218386e-8
difference-disj_tn,1.204138927661739e-6,1.2038267319214324e-6,1.2044925289083593e-6,1.1028377591741865e-9,8.642905719008175e-10,1.398907891845982e-9
difference-disj_tn,1.2039250642721973e-6,1.2036901517599505e-6,1.2042224194083147e-6,8.854830192727958e-10,7.220934716467975e-10,1.178780073858991e-9
difference-common_nn,4.705196100653018e-3,4.517573319775708e-3,4.947554188008655e-3,6.29992408664054e-4,4.759538680945523e-4,8.86245662835805e-4
difference-common_nn,4.718611844599413e-3,4.5295213093651e-3,4.955227924949117e-3,6.255690817956269e-4,4.5503684509856055e-4,8.605026972491609e-4
difference-common_ns,4.107948049895057e-3,3.919273501852471e-3,4.3396990901144105e-3,6.141569654921173e-4,4.5262255883279093e-4,8.578957128739871e-4
difference-common_ns,4.113329747899786e-3,3.931866724992805e-3,4.341171064567979e-3,6.154266586545877e-4,4.6606251490914814e-4,8.757420909645577e-4
difference-common_sn,1.0377482803167928e-3,1.0272204697619983e-3,1.047452642076408e-3,3.445979383133571e-5,2.8658680469718745e-5,4.1838179410801755e-5
difference-common_sn,9.934276270595855e-4,9.854637895397127e-4,1.005354675841291e-3,3.3513000079784875e-5,2.3902899163730213e-5,4.864856661788854e-5
difference-common_nt,1.3354947814620493e-4,1.326042230130906e-4,1.3434897946207794e-4,2.9463452061279214e-6,2.3793977694336613e-6,3.7350738677932055e-6
difference-common_nt,1.3424099522245345e-4,1.330452547352195e-4,1.3508763432828753e-4,3.449313515213156e-6,2.6677441573734343e-6,4.550072765507837e-6
difference-common_tn,8.675877347606518e-5,8.627973284470363e-5,8.72496849291853e-5,1.6008516950394457e-6,1.3355978664175708e-6,2.0476579694278217e-6
difference-common_tn,8.747385022784964e-5,8.708940930640583e-5,8.782037615622614e-5,1.3522206877940135e-6,1.1308327577645853e-6,1.6685303715525632e-6
difference-mix_nn,6.457396943061982e-3,6.427198269468201e-3,6.484480563817577e-3,9.036349735021264e-5,7.308925744595396e-5,1.1375487234557632e-4
difference-mix_nn,6.516792758900392e-3,6.4823245760118045e-3,6.547944097941918e-3,9.319868836478939e-5,7.531600123716125e-5,1.1350342070139241e-4
difference-mix_ns,1.277844507907987e-3,1.2689883774142073e-3,1.2871052437115062e-3,3.109829937312378e-5,2.577680916543363e-5,3.914288706065362e-5
difference-mix_ns,1.3270537972276673e-3,1.3165557100950835e-3,1.3360442984379033e-3,3.128487663707079e-5,2.5185270869005394e-5,3.865009890016983e-5
difference-mix_sn,1.3913718244686424e-3,1.3793875358165861e-3,1.4028917172071661e-3,3.7001665876170975e-5,3.0747565570223286e-5,4.650375530761431e-5
difference-mix_sn,1.3926595191809305e-3,1.383270364839642e-3,1.4018863313819837e-3,3.250880443164714e-5,2.5682753347189595e-5,4.466025554821722e-5
difference-mix_nt,8.927460363041476e-5,8.884071740384256e-5,8.962338575527782e-5,1.3771512384118546e-6,1.10280651093033e-6,1.7439501031919708e-6
difference-mix_nt,8.79461983666447e-5,8.762613252903961e-5,8.852031502104693e-5,1.4452041432885645e-6,1.0673883717033637e-6,2.0950601633570173e-6
difference-mix_tn,9.318293887534824e-5,9.262905606737176e-5,9.37914826211478e-5,1.9773368260866736e-6,1.6147543065425333e-6,2.496540131968983e-6
difference-mix_tn,9.208583682748962e-5,9.148828680979942e-5,9.262286307198963e-5,2.026000729128865e-6,1.6086257115940932e-6,2.7555402097222495e-6
difference-block_nn,3.3769111503263255e-4,3.366372241875737e-4,3.385161809226713e-4,2.964416454464733e-6,2.3918339684779406e-6,3.8061045581159204e-6
difference-block_nn,3.3750898840831606e-4,3.3629811838092904e-4,3.3849425772668705e-4,3.703662725439289e-6,2.9936394877907614e-6,4.956480011187477e-6
difference-block_ns,4.156630684820849e-5,4.143087680998679e-5,4.169849222131589e-5,4.6088183208782044e-7,3.742838756469343e-7,5.73684018919655e-7
difference-block_ns,4.15973500246824e-5,4.1468524925037075e-5,4.1721237563014876e-5,4.2575475850222803e-7,3.4206698874038496e-7,5.519808982982485e-7
difference-block_sn,3.872725081329316e-5,3.846284560159018e-5,3.9057404561403924e-5,9.588749834099932e-7,8.146696203446129e-7,1.1449340673211456e-6
difference-block_sn,3.898235871331538e-5,3.87376905587797e-5,3.93019655301951e-5,9.398332987931841e-7,7.47555045172453e-7,1.2374605540560321e-6
intersection-disj_nn,4.114806849169002e-6,4.1113208436186875e-6,4.118506365905114e-6,1.2445088613070658e-8,1.0164033935202567e-8,1.6593720747043196e-8
intersection-disj_nn,4.127325671310373e-6,4.123737207465736e-6,4.130655380521675e-6,1.1380105049829313e-8,9.029168991713958e-9,1.4471892730773184e-8
intersection-disj_ns,3.183201888321073e-6,3.1804613554888125e-6,3.1861380923108878e-6,9.796986562537464e-9,8.115095232998227e-9,1.1750389211035163e-8
intersection-disj_ns,3.2188027199926195e-6,3.2154591754479997e-6,3.2223511228209352e-6,1.1514913422403993e-8,9.233167896634203e-9,1.5409181360144076e-8
intersection-disj_sn,3.2424373911151244e-6,3.2397955484121334e-6,3.2449555172301356e-6,8.733498738912296e-9,7.0863673648358484e-9,1.1204052498793616e-8
intersection-disj_sn,3.2459811885138435e-6,3.2431364642886303e-6,3.2500439072039697e-6,1.0888177403035673e-8,8.344668444258269e-9,1.4517299587157442e-8
intersection-disj_nt,2.150647837992891e-6,2.1465668909184542e-6,2.1549682297314176e-6,1.366803572177758e-8,1.0964475991115734e-8,1.756280661910339e-8
intersection-disj_nt,2.1202463491115614e-6,2.116835675937908e-6,2.124266834469144e-6,1.366397355811173e-8,1.0897924871761177e-8,1.8246857207451162e-8
intersection-disj_tn,2.0097518852698122e-6,2.008502763067959e-6,2.0112157070335516e-6,4.761319211921754e-9,4.0801864298098256e-9,5.95499767597652e-9
intersection-disj_tn,2.0068528816368962e-6,2.0053250142869773e-6,2.0088093493464437e-6,5.740353697491418e-9,4.792145362164652e-9,6.891972146927077e-9
intersection-common_nn,2.406953305002941e-3,2.3310410971350798e-3,2.526091010822129e-3,3.086602956223505e-4,2.2994218510585893e-4,4.887806840925773e-4
intersection-common_nn,2.3740744878654484e-3,2.29997803980716e-3,2.497898126149027e-3,3.009690711037645e-4,2.1372494520439044e-4,4.443501894614838e-4
intersection-common_ns,1.8929437554858928e-3,1.8653396449608839e-3,1.9645379634648592e-3,1.326798728123941e-4,6.267572755235044e-5,2.2762315400472695e-4
intersection-common_ns,1.8804695588516245e-3,1.851308554812563e-3,1.9410430452480726e-3,1.3108905925475635e-4,5.7946138475241626e-5,2.58926292991821e-4
intersection-common_sn,1.2934645922091943e-3,1.2817196885712135e-3,1.3033558756291046e-3,3.6671061200735325e-5,2.8459701194350853e-5,5.1562716755679364e-5
intersection-common_sn,1.3110913964159416e-3,1.3019777891286148e-3,1.319900531810837e-3,2.865832032108646e-5,2.2986804499186032e-5,3.758460500072344e-5
intersection-common_nt,1.1611169231207404e-4,1.1569139160174807e-4,1.1654366225661975e-4,1.412969135542157e-6,1.2131042995405516e-6,1.7109801360341038e-6
intersection-common_nt,1.1650651426143769e-4,1.1589999298117181e-4,1.1715128200167101e-4,2.1201776255992827e-6,1.82652335552396e-6,2.522278051968528e-6
intersection-common_tn,1.0081082094208843e-4,1.0041879643200676e-4,1.0116156764719107e-4,1.257524070147143e-6,1.1007611802210308e-6,1.4487691094381702e-6
intersection-common_tn,1.0183055091891408e-4,1.0136012712489877e-4,1.0248454303334642e-4,1.888387517022811e-6,1.4899259725050503e-6,2.6438403225632836e-6
intersection-mix_nn,7.26280306265485e-3,7.2336941533721385e-3,7.309534735545314e-3,1.0779163984981315e-4,7.228753484868903e-5,1.750444934612615e-4
intersection-mix_nn,7.313284962049866e-3,7.286015935610591e-3,7.334436121346202e-3,6.892339448561059e-5,5.6259462341884055e-5,9.170491573771263e-5
intersection-mix_ns,1.6749411439421014e-3,1.6706379712339034e-3,1.6795448895569121e-3,1.433614084574785e-5,1.2167532272011466e-5,1.7428674716483273e-5
intersection-mix_ns,1.6668848890199434e-3,1.6630532202944243e-3,1.671492993502067e-3,1.4784921262971928e-5,1.2430556963628385e-5,2.1951249964012146e-5
intersection-mix_sn,1.6420828979411108e-3,1.6349717390873612e-3,1.650007254364435e-3,2.46804903821925e-5,1.7682072985915303e-5,4.234634151780324e-5
intersection-mix_sn,1.653193387451816e-3,1.6443751416254477e-3,1.6596835747926602e-3,2.631048860429809e-5,1.9503798972671822e-5,3.7422365851057154e-5
intersection-mix_nt,1.0844618118575445e-4,1.080503129926401e-4,1.0889175362786428e-4,1.369025293254995e-6,1.1159506952465664e-6,1.9198774038966347e-6
intersection-mix_nt,1.0950713095270476e-4,1.0898751577371095e-4,1.1008111622864061e-4,1.8959393923863833e-6,1.5711990080350668e-6,2.5158322343538425e-6
intersection-mix_tn,1.1049048185245282e-4,1.0984945473356136e-4,1.1132486274484462e-4,2.3503393036156635e-6,1.8545783681410565e-6,3.1787707019770295e-6
