Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
GE split present,3.9910938356801045e-4,3.950187699232132e-4,4.0441806853842475e-4,1.5832786205245933e-5,1.3007524249512963e-5,1.853060957717842e-5
GE Craig present,1.8185758250400914e-4,1.797177447771948e-4,1.8349372434643595e-4,6.448505391820421e-6,5.4294180181153735e-6,7.592616135643654e-6
GE Twan present,1.7402282108905655e-4,1.7311989640161668e-4,1.7470316066955154e-4,2.5027511148191024e-6,1.7969758484563629e-6,3.7841621096023647e-6
GE Milan present,1.4981851380533467e-4,1.4969042562128383e-4,1.499065373503788e-4,3.4464101831582516e-7,2.7440229267420294e-7,4.802022787119589e-7
GE split absent,4.25634080484995e-4,4.2355934587119616e-4,4.287716942792383e-4,8.439039466634525e-6,6.7077095383093075e-6,1.044427378732866e-5
GE Craig absent,1.7209904734338626e-4,1.716900545039575e-4,1.723205064029393e-4,9.841717996786842e-7,4.673345858144467e-7,1.6509677320427828e-6
GE Twan absent,1.6240320264933246e-4,1.6229686625007737e-4,1.6248797145410247e-4,3.194262876430795e-7,2.471475679018144e-7,4.3454662847725106e-7
GE Milan absent,1.4030347445188437e-4,1.4017402525811693e-4,1.4047942562082035e-4,4.852110027591946e-7,2.8272697966121874e-7,8.178435333446858e-7
GE split far,3.5484602557828447e-4,3.518265275120786e-4,3.5979445153128727e-4,1.2711330665174064e-5,9.587377426484161e-6,1.727301731266232e-5
GE Craig far,1.6847792162446633e-4,1.6466637096167655e-4,1.7131217311152028e-4,1.101733583327644e-5,9.168944067583676e-6,1.379066306439384e-5
GE Twan far,1.4126653662816391e-4,1.3851143900667337e-4,1.4506254730671089e-4,1.0636110313346309e-5,8.627516791482354e-6,1.2587040872419607e-5
GE Milan far,1.2027922086374607e-4,1.2022555798250454e-4,1.2033487470662014e-4,1.8678142007295195e-7,1.4282318393176373e-7,2.438741992915016e-7
GE split !present,3.951422726372245e-4,3.9184757340456587e-4,4.0044537436893205e-4,1.2754918345929336e-5,1.0214243208408087e-5,1.599541491813801e-5
GE Craig !present,1.695407954707636e-4,1.6868492011752804e-4,1.7174405717188475e-4,3.909867754426009e-6,5.556436746271636e-7,6.906704850364451e-6
GE Twan !present,1.7650911944666386e-4,1.7634549157153183e-4,1.7663347148276856e-4,4.638448869762918e-7,3.5879090508896106e-7,6.116939754889709e-7
GE Milan !present,1.4988481128512472e-4,1.492416398728912e-4,1.5029857621059334e-4,1.7995109049622303e-6,1.2938728834533308e-6,2.6325888018381636e-6
GE split !absent,4.2217441708446705e-4,4.2060650860525694e-4,4.2446882087455247e-4,6.200179665733756e-6,4.22192332042363e-6,9.372067145021083e-6
GE Craig !absent,1.6117344561968885e-4,1.6032969960722097e-4,1.627040076436639e-4,3.746410655801654e-6,2.769432176323868e-6,4.9727122931383275e-6
GE Twan !absent,1.6246415618855137e-4,1.6218801976668003e-4,1.6271564427090322e-4,9.108524140671336e-7,7.671459659393863e-7,1.1305512526750681e-6
GE Milan !absent,1.3990595651331816e-4,1.3929055215589208e-4,1.4039983672796907e-4,1.8331195925842668e-6,1.5055765941844559e-6,2.289667794844755e-6
GE split !far,3.8372940839746095e-4,3.787408299853102e-4,3.881837353327116e-4,1.6523274237677984e-5,1.398150714423199e-5,1.9870869245268647e-5
GE Craig !far,1.7264911536652228e-4,1.7196925539699411e-4,1.7308621527115662e-4,1.7403758849542142e-6,1.1993242498571513e-6,2.940796487258829e-6
GE Twan !far,1.3677573694701776e-4,1.3560471126288054e-4,1.3887168387115027e-4,5.263369603136951e-6,3.068493488341336e-6,8.479768045907572e-6
GE Milan !far,1.2154394283352169e-4,1.21388510008314e-4,1.2162652567273333e-4,3.625213603893518e-7,2.2011020100671913e-7,6.438668836133529e-7
