Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
GE split present,9.763756479746394e-5,9.72738347514948e-5,9.816543566682703e-5,1.457629351795773e-6,1.029820382479666e-6,2.099498641570022e-6
GE caseof present,2.7362397514137706e-5,2.722918484277967e-5,2.7584273445304362e-5,5.697710696431424e-7,4.0530771281982406e-7,8.134780138449192e-7
GE Twan present,2.5651459419845973e-5,2.558681393810999e-5,2.5735695152541938e-5,2.486833277891289e-7,1.990918494672464e-7,2.974608153709381e-7
GE Milan present,2.4291795498970422e-5,2.427399847580352e-5,2.4318198524999466e-5,7.062327811480553e-8,4.906630472980759e-8,1.1033566456708463e-7
GE split absent,1.2371621333196215e-4,1.2335806986217955e-4,1.241441335228052e-4,1.2589935102094356e-6,1.0000999298773015e-6,1.562996780511164e-6
GE caseof absent,3.557181346021257e-5,3.555304503092485e-5,3.559677158756625e-5,7.207447878589396e-8,5.273959925901626e-8,1.043694941304145e-7
GE Twan absent,2.934647467536979e-5,2.930301092722281e-5,2.9403135760296867e-5,1.6574531842001383e-7,1.192381098742875e-7,2.310356380465532e-7
GE Milan absent,3.0195586333280927e-5,3.0177949956911676e-5,3.0238131670095922e-5,8.401204735958163e-8,3.3157034891094716e-8,1.6239310043844576e-7
GE split far,8.019895811400034e-5,7.997667650352239e-5,8.058171886808838e-5,9.346211754801378e-7,6.237497719018293e-7,1.5148266656478275e-6
GE caseof far,2.1209215119401628e-5,2.1125325453027902e-5,2.137373159195037e-5,4.033562120241288e-7,1.9650242767542016e-7,6.714514570087143e-7
GE Twan far,2.4187691170517355e-5,2.4132639553586267e-5,2.4281143609001705e-5,2.4438682335335006e-7,1.7166695590910958e-7,3.8289678520679103e-7
GE Milan far,2.0234999985186697e-5,2.020665264126864e-5,2.033997891744467e-5,1.5830702420593814e-7,5.315949552471539e-8,3.195269453659226e-7
GE split !present,9.920510869738688e-5,9.879322016495551e-5,9.96167642591678e-5,1.4083382247290572e-6,1.1637823488959784e-6,1.7954559509769905e-6
GE caseof !present,2.8652621355934803e-5,2.8556848726311096e-5,2.8766254730630488e-5,3.6831150016459405e-7,2.92952314035395e-7,5.558679833232769e-7
GE Twan !present,2.568366422893341e-5,2.5604528571919436e-5,2.5797134317136627e-5,3.254035125064884e-7,2.527463112793319e-7,4.5296058055355534e-7
GE Milan !present,2.4094772020277056e-5,2.4015291490661964e-5,2.4337770834648276e-5,4.2599707291258493e-7,1.4714778239484297e-7,8.494585537321904e-7
GE split !absent,1.2601850391684828e-4,1.2524924040661637e-4,1.2677450742376795e-4,2.4636674790771644e-6,2.1088646788838922e-6,2.939953575445906e-6
GE caseof !absent,3.504776775438128e-5,3.496101397758944e-5,3.519374800788355e-5,3.739607812547225e-7,2.775868442750628e-7,5.121271987857011e-7
GE Twan !absent,2.9974914762169917e-5,2.9759344903539882e-5,3.0263487309997095e-5,8.407519590483733e-7,6.395728726859803e-7,1.1150044095198977e-6
GE Milan !absent,3.0047873782261297e-5,2.9922989350781945e-5,3.032127800750306e-5,6.228993602634981e-7,3.250577170425763e-7,1.0446120907556442e-6
GE split !far,8.136909355570981e-5,8.094368839349984e-5,8.195522688505664e-5,1.755621971443031e-6,1.4114043496529097e-6,2.2989637654398986e-6
GE caseof !far,2.166091117688028e-5,2.155622768027089e-5,2.2119701511912792e-5,5.979421566743106e-7,2.9044021119328495e-8,1.3487801773278412e-6
GE Twan !far,2.407544859532155e-5,2.4064291276578797e-5,2.411584114557407e-5,6.518295512145008e-8,1.070785617782521e-8,1.3686871238101413e-7
GE Milan !far,2.072888635683685e-5,2.07002064584589e-5,2.0893149263003495e-5,1.7674814276152465e-7,1.5630927406911044e-8,4.296147517252074e-7
