Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
GE split present,4.094266773586594e-4,4.0595006644442144e-4,4.1263783637940637e-4,1.118215775317449e-5,9.231701685069425e-6,1.3354375092035465e-5
GE Craig present,1.8430071500282117e-4,1.8287643608752162e-4,1.851567210338282e-4,3.6837974746311837e-6,2.4687639215877344e-6,5.744198605733077e-6
GE Twan present,1.75260497155757e-4,1.7507011318789557e-4,1.7544062269338323e-4,6.161848448359927e-7,5.011177124379846e-7,7.805823697388469e-7
GE Milan present,1.4919961179690744e-4,1.4904458340862195e-4,1.493441604657313e-4,4.801824806794e-7,3.7700231396168423e-7,6.129880650427222e-7
GE split absent,4.4057848567983956e-4,4.388940632128408e-4,4.4191835330622176e-4,5.177400747937757e-6,4.311887017336248e-6,6.595935451464014e-6
GE Craig absent,1.6412484669474313e-4,1.6287682012026248e-4,1.6547672938127758e-4,4.570317555063892e-6,3.960066348054202e-6,5.295096482398967e-6
GE Twan absent,1.6095558919241651e-4,1.6068567010177294e-4,1.612303742108536e-4,9.031619125661176e-7,7.322087216908449e-7,1.1183488324429818e-6
GE Milan absent,1.3962582332800762e-4,1.3947298227300753e-4,1.3975782102473053e-4,4.7062620683895795e-7,3.7378916437075876e-7,6.039999628068486e-7
GE split far,3.982979853456328e-4,3.97956610837983e-4,3.987600639984022e-4,1.3017301925228747e-6,8.115142072817938e-7,2.355038362619223e-6
GE Craig far,1.7737470479227974e-4,1.7679321061455942e-4,1.7773355331054418e-4,1.5143395646990288e-6,1.0112298606769318e-6,2.2096739428511173e-6
GE Twan far,1.346684062038733e-4,1.3364022925861974e-4,1.3690150323980647e-4,4.892711341118341e-6,2.528426312038693e-6,8.498101905852313e-6
GE Milan far,1.201129716322528e-4,1.1999861152367161e-4,1.2021496723052205e-4,3.736229060683594e-7,2.863319338112269e-7,4.849257197201214e-7
GE split !present,4.141076602888344e-4,4.1192761210329115e-4,4.164309967018788e-4,7.735926231712972e-6,6.66343659555207e-6,9.191488179452875e-6
GE Craig !present,1.7040936173378762e-4,1.696231929379463e-4,1.7144773739155003e-4,2.979895654460383e-6,1.8660084450516523e-6,4.327381953427968e-6
GE Twan !present,1.770990107999218e-4,1.7668446951708133e-4,1.7742672465904507e-4,1.3090685082204098e-6,1.0751899584932771e-6,1.7599497279934353e-6
GE Milan !present,1.546169993728386e-4,1.5409820914515904e-4,1.551012959477771e-4,1.6908081795791938e-6,1.431627325214363e-6,2.08480259095528e-6
GE split !absent,4.2336284214154236e-4,4.2124333507460204e-4,4.2600328245812486e-4,8.175494413683976e-6,7.0733106747862135e-6,9.88090175015529e-6
GE Craig !absent,1.6849878635883175e-4,1.6723792211185065e-4,1.6979971285992812e-4,4.1962386531229766e-6,3.6142252492784215e-6,4.949142579747925e-6
GE Twan !absent,1.6282066943932888e-4,1.6216202780681955e-4,1.63185454010834e-4,1.6375084494719602e-6,1.0725040285016287e-6,2.8409771575807877e-6
GE Milan !absent,1.4522031487843758e-4,1.4490505893006118e-4,1.4555329351118094e-4,1.0401109249432813e-6,8.540255941966104e-7,1.2827628644699315e-6
GE split !far,3.5411500806569607e-4,3.513760088817756e-4,3.5846306301921403e-4,1.1516799554260785e-5,8.427717929481444e-6,1.7653468047957175e-5
GE Craig !far,1.6539935481635468e-4,1.6372675356019162e-4,1.668553471854007e-4,5.482308495319784e-6,4.649147162450654e-6,6.729317652474719e-6
GE Twan !far,1.3556999166604923e-4,1.3523966769696022e-4,1.3615886457619738e-4,1.4513103732080936e-6,9.122842276918592e-7,2.400835761043866e-6
GE Milan !far,1.261799087552009e-4,1.2611048025973188e-4,1.2624978811691108e-4,2.417158614169733e-7,1.9735504715625875e-7,3.609478739823578e-7
