Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
GE split present,9.624423500030544e-5,9.619809832893643e-5,9.629378793968401e-5,1.5787786353694076e-7,1.380811363967974e-7,1.8322419939688693e-7
GE caseof present,2.7660596734819808e-5,2.7521879962707833e-5,2.811232035870974e-5,6.657063284908083e-7,2.4427688644928316e-7,1.348649247985628e-6
GE Twan present,2.577252406041383e-5,2.5617597542936947e-5,2.5971368207599226e-5,5.871874243681686e-7,4.817683856880836e-7,7.736625390505018e-7
GE Milan present,2.4725482139305007e-5,2.46097530111203e-5,2.4893342553933722e-5,4.7254373697045234e-7,3.1999776520959105e-7,6.679989123639387e-7
GE split absent,1.222876282893379e-4,1.2225262229508094e-4,1.2231863805973816e-4,1.1630905203527108e-7,9.30001858492403e-8,1.468026620217531e-7
GE caseof absent,3.567742346427408e-5,3.562825670187029e-5,3.57673880392036e-5,2.168866490268824e-7,1.3297659841251104e-7,3.1741270146557964e-7
GE Twan absent,3.107749719536158e-5,3.085749623641797e-5,3.1247389304868664e-5,6.701545181586392e-7,5.38722610044974e-7,8.520991531130335e-7
GE Milan absent,3.0797892569982236e-5,3.074687674917681e-5,3.09120478735179e-5,2.431981708050564e-7,1.440972204492777e-7,4.022721552564632e-7
GE split far,7.996978141303041e-5,7.994947668026682e-5,8.00014638409989e-5,8.183739770172025e-8,5.4007464430714875e-8,1.4429742073682525e-7
GE caseof far,2.2799734862437784e-5,2.2293571405190154e-5,2.3491372466466387e-5,1.9854571792633104e-6,1.4926953430586507e-6,2.473256701357517e-6
GE Twan far,2.4871677280381053e-5,2.460531408131325e-5,2.5124670816668586e-5,8.800055677017273e-7,7.937042736086121e-7,9.874439320433748e-7
GE Milan far,1.9704199512030536e-5,1.959516014871526e-5,1.9904356236802174e-5,5.013261188815277e-7,3.099816994063873e-7,7.863056373692737e-7
GE split !present,9.70837307086301e-5,9.702594997583733e-5,9.718679953480466e-5,2.571701903424183e-7,1.225974454422448e-7,4.153484501990268e-7
GE caseof !present,2.9286444783027267e-5,2.9162462596360553e-5,2.9574554754584377e-5,5.967502455090544e-7,3.655780694631353e-7,1.010096716753095e-6
GE Twan !present,2.5312344273647836e-5,2.5078594490710267e-5,2.5607604553309886e-5,8.799367637794833e-7,6.983066165256431e-7,1.2157256554137837e-6
GE Milan !present,2.4244810374153107e-5,2.4211056050020696e-5,2.4303152972649448e-5,1.4088652026363693e-7,8.164560211028029e-8,2.1509649872062793e-7
GE split !absent,1.2229013865473683e-4,1.2224653364917767e-4,1.2235557706441496e-4,1.602355438792333e-7,1.2734583574214432e-7,2.1974154081668453e-7
GE caseof !absent,3.4312947783676804e-5,3.423031791275228e-5,3.4448272111737487e-5,3.5436955361240454e-7,2.3226448384071117e-7,5.05345576467629e-7
GE Twan !absent,3.181043331396641e-5,3.165915899726292e-5,3.194987248649008e-5,5.126743790032001e-7,4.3496563833877087e-7,6.587302552881104e-7
GE Milan !absent,3.087353747739366e-5,3.0815085902280246e-5,3.10389370133297e-5,2.9338601138975484e-7,1.4367136388580848e-7,6.178540650255382e-7
GE split !far,8.056959506899757e-5,8.04494267568261e-5,8.075747585434135e-5,5.006136612313762e-7,3.368130378418857e-7,6.469148724888578e-7
GE caseof !far,2.2319738138500078e-5,2.223955565010395e-5,2.243875228548168e-5,3.372843301250389e-7,2.6774223783225725e-7,4.1975610928875646e-7
GE Twan !far,2.6124684815656133e-5,2.6087640185750758e-5,2.616132419341879e-5,1.2466083671788424e-7,1.0284328665596763e-7,1.602100988924122e-7
GE Milan !far,1.9939301536892223e-5,1.9927578750610794e-5,1.9975226737972623e-5,6.295943490876186e-8,3.128721331049852e-8,1.2344229084674278e-7
