Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
GE split present,4.1140163213194405e-4,4.104586067340295e-4,4.119076466072233e-4,2.183013936243482e-6,1.452026244593204e-6,3.1437511866974194e-6
GE Craig present,1.7703944609616767e-4,1.7532796651778207e-4,1.7925544416803638e-4,6.895101522322718e-6,5.7411845542530315e-6,8.255911822010388e-6
GE Twan present,1.718312139138562e-4,1.7066998766234183e-4,1.7297562345920187e-4,3.923944801007236e-6,3.3110027751621693e-6,4.609061473613286e-6
GE Milan present,1.467949804896314e-4,1.467407671592041e-4,1.468523616956052e-4,1.955697768667402e-7,1.5333939692528908e-7,2.7722979236002896e-7
GE split absent,4.292185305620826e-4,4.271063275598535e-4,4.308881376619329e-4,6.136254932800584e-6,4.9501176565815905e-6,7.717348138333632e-6
GE Craig absent,1.744639636381357e-4,1.7410825291709522e-4,1.747311274695347e-4,1.0144357157109061e-6,7.573338647139616e-7,1.3888748883850046e-6
GE Twan absent,1.6324835885296355e-4,1.6300413256881025e-4,1.6344693041617827e-4,7.577985415188309e-7,6.215919271791348e-7,1.0823914626007365e-6
GE Milan absent,1.3610111664208934e-4,1.357138024585104e-4,1.36436734558251e-4,1.3054884200805447e-6,1.1060251389647117e-6,1.5690717901470304e-6
GE split far,3.716827769432574e-4,3.694567050428684e-4,3.733147564396564e-4,6.383018451095626e-6,5.473588915428399e-6,7.399195269364478e-6
GE Craig far,1.4010934694646556e-4,1.3954699338579598e-4,1.422410739680733e-4,3.2899224265253094e-6,2.696137842174384e-7,6.861576628477451e-6
GE Twan far,1.337457856399132e-4,1.3349758498563483e-4,1.342530596380434e-4,1.1171219067855027e-6,6.598636566925502e-7,1.8674194028869265e-6
GE Milan far,1.0881920877820882e-4,1.0794795308782595e-4,1.0992659693488595e-4,3.343648342423902e-6,2.8248536875096386e-6,3.6781668643879316e-6
GE split !present,3.9695884507089086e-4,3.938962906560497e-4,3.997633919150045e-4,9.812213744157451e-6,8.211452214689782e-6,1.2233820607262973e-5
GE Craig !present,1.8062002953004035e-4,1.7811693061609864e-4,1.8310304104626903e-4,8.169137474212553e-6,7.173732566770552e-6,9.196502935476397e-6
GE Twan !present,1.774642557035278e-4,1.7663481867201763e-4,1.7815128857347722e-4,2.5464869454178876e-6,2.0726783976967278e-6,3.1415590432306376e-6
GE Milan !present,1.4935855011015203e-4,1.492986885505183e-4,1.4941192635864844e-4,1.9774924539126487e-7,1.6577966986435804e-7,2.4439105212880887e-7
GE split !absent,4.27913054109015e-4,4.258471676514436e-4,4.2982348431049966e-4,6.634794556286268e-6,5.720477577986217e-6,7.922938584912612e-6
GE Craig !absent,1.7409652151146836e-4,1.7332845525416408e-4,1.746738984675535e-4,2.2384170734664026e-6,1.662878775710752e-6,3.4619270555106023e-6
GE Twan !absent,1.630597069060585e-4,1.6216970734445329e-4,1.6373963264670625e-4,2.573736961237941e-6,2.0298810674544525e-6,3.2393917012082296e-6
GE Milan !absent,1.3542301289976168e-4,1.3424726002917218e-4,1.3643561726968853e-4,3.769751813513325e-6,2.9947675200571028e-6,4.4359418855176646e-6
GE split !far,3.725634674058761e-4,3.708938119901563e-4,3.7372773404053714e-4,4.797098724271122e-6,3.7797406343979164e-6,6.530952617410588e-6
GE Craig !far,1.4039869519115092e-4,1.4019696704776902e-4,1.4081071556635048e-4,9.727137223748017e-7,5.583649659694457e-7,1.6242234765499968e-6
GE Twan !far,1.35248616875051e-4,1.3512623432143333e-4,1.355332858723892e-4,6.06642988730275e-7,2.472516217382599e-7,1.0742328572467262e-6
GE Milan !far,1.0964929690033097e-4,1.0955751076582881e-4,1.097024428464043e-4,2.3178078703733787e-7,1.2483572857948347e-7,4.6007844393676353e-7
