Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,4.312755826613692e-6,4.302652203438415e-6,4.323684343034011e-6,3.640485262663009e-8,3.186731089949926e-8,4.245041076225225e-8
union-disj_nn,4.3302116415727855e-6,4.316582802467313e-6,4.347673789554456e-6,5.100636674972918e-8,3.849084074926858e-8,6.728599099595554e-8
union-disj_ns,3.258772812279461e-6,3.252447962939919e-6,3.2643506082413773e-6,2.0501662535415646e-8,1.7460934937950812e-8,2.5914958072984343e-8
union-disj_ns,3.2845145870543708e-6,3.2770315214211427e-6,3.292021859738269e-6,2.4058576977149084e-8,1.964083884356934e-8,3.2127863709426067e-8
union-disj_sn,3.670895604262373e-6,3.6681224881092477e-6,3.6736728341855396e-6,9.284785507616708e-9,7.276851665988013e-9,1.2551177990500016e-8
union-disj_sn,3.6838396556952224e-6,3.681016244870021e-6,3.6882924512200945e-6,1.20091199103649e-8,8.20253503685337e-9,1.7855996134743053e-8
union-disj_nt,1.99910989008469e-6,1.996687752728963e-6,2.0010892563867296e-6,7.168363030294595e-9,5.761505894936478e-9,9.10891093666301e-9
union-disj_nt,1.9985795714373743e-6,1.9962185728072623e-6,2.0007736521877636e-6,7.891494976847312e-9,6.176673349743731e-9,1.069904173303024e-8
union-disj_tn,2.3709529825916603e-6,2.3683558541449165e-6,2.3740081632788133e-6,9.832376618881568e-9,6.970900978070593e-9,1.3421572378015398e-8
union-disj_tn,2.366086559638335e-6,2.364790507103275e-6,2.367371284211132e-6,4.673981809877003e-9,3.595760692865318e-9,6.806017563019899e-9
union-common_nn,6.8675136476009e-4,6.851495916146537e-4,6.903498853929827e-4,7.384147017750368e-6,4.183346007797754e-6,1.1857691434621508e-5
union-common_nn,7.16849542504372e-4,7.124429946593245e-4,7.210170368755092e-4,1.4577139056353512e-5,1.2728423812594962e-5,1.6625717629272505e-5
union-common_ns,7.969171759744719e-4,7.782570711994055e-4,8.22605149636045e-4,7.210953131228319e-5,4.858687686633136e-5,9.081434252298964e-5
union-common_ns,7.514646517178027e-4,7.438373226109284e-4,7.601450316891078e-4,2.7644944955181146e-5,2.2327404006530783e-5,3.5500120047724944e-5
union-common_sn,3.776818429377275e-3,3.587654450821225e-3,4.024797979828879e-3,6.75653357940962e-4,5.151747810622541e-4,1.0461386021524933e-3
union-common_sn,3.7520833039545965e-3,3.5829879699375805e-3,3.960935782208876e-3,6.038893527281423e-4,4.874270486597033e-4,8.498055323155642e-4
union-common_nt,6.88008433705707e-5,6.770648451931506e-5,6.939456708689572e-5,2.5920887582698183e-6,1.787989097232997e-6,3.62037777577153e-6
union-common_nt,6.811764550370042e-5,6.664260583892299e-5,6.896445448520656e-5,3.7100573910221626e-6,2.552067648332246e-6,5.99608441761333e-6
union-common_tn,1.0500746508811345e-4,1.0436790389459964e-4,1.0567256651692116e-4,2.1665340487942367e-6,1.7891074818299607e-6,2.727290792185056e-6
union-common_tn,1.0712581453982581e-4,1.0655421962731981e-4,1.078002719244968e-4,2.050039589123181e-6,1.5110894289068767e-6,2.7818838021845383e-6
union-mix_nn,2.3173780768469317e-2,2.1899720885413865e-2,2.4517677995675346e-2,2.982633588742376e-3,2.3462447309957886e-3,3.8783125448077016e-3
union-mix_nn,2.1612865500983278e-2,2.0456856067889273e-2,2.2456868908081046e-2,2.353556596344108e-3,1.6783437375541422e-3,3.2114755475071443e-3
union-mix_ns,4.143858849929277e-3,3.942117751668019e-3,4.42184082438469e-3,7.251832432728694e-4,5.614673144354333e-4,1.1016421305611152e-3
union-mix_ns,4.231926812712306e-3,4.0201204325070565e-3,4.462687035536145e-3,6.893685187864504e-4,5.517823360082077e-4,9.739020818007968e-4
union-mix_sn,5.07560440867193e-3,4.840311879831711e-3,5.4043846322685204e-3,8.753006827127266e-4,6.539030170271504e-4,1.2644886210689246e-3
union-mix_sn,5.135855180842817e-3,4.889237577901594e-3,5.51103935506021e-3,9.394402316011993e-4,6.57013263570396e-4,1.527363811967426e-3
union-mix_nt,9.665255471319666e-5,9.622821562341156e-5,9.709880685704268e-5,1.4825502757915247e-6,1.258151416965186e-6,1.8003614384786103e-6
union-mix_nt,9.621361132150112e-5,9.583106201167556e-5,9.660319569162382e-5,1.2805942329533016e-6,1.082386695627428e-6,1.5797094077803609e-6
union-mix_tn,1.1176590277351341e-4,1.1139756403588918e-4,1.122553913597401e-4,1.353841089101596e-6,1.0534237943454197e-6,1.7850927691591528e-6
union-mix_tn,1.1430481674991313e-4,1.1332217392172855e-4,1.151385590612767e-4,3.0744473484828215e-6,2.7065709368279545e-6,3.86050391294377e-6
union-block_nn,8.124991919694185e-4,7.979208327121999e-4,8.489117602354032e-4,6.994758628698215e-5,3.30733893295169e-5,1.2821919404777614e-4
union-block_nn,8.107739531260467e-4,7.960379330239092e-4,8.401259655997002e-4,6.829246117753457e-5,3.313121291716659e-5,1.2896888616944734e-4
union-block_ns,6.810524878925634e-5,6.784098081984464e-5,6.83712928080375e-5,9.047844604828573e-7,7.485141628219191e-7,1.1477995253712636e-6
union-block_ns,6.77555386958219e-5,6.758671962093135e-5,6.793985507574579e-5,6.607420764187616e-7,5.485558138451955e-7,8.276217762310163e-7
union-block_sn,7.457888650070023e-5,7.412695198436231e-5,7.5182579510846e-5,1.7419295158305872e-6,1.3094388566642676e-6,2.1793333527833787e-6
union-block_sn,7.498595620155884e-5,7.435316329559925e-5,7.571958633681833e-5,2.3824111685041274e-6,2.1176716941000216e-6,2.7153171462793326e-6
difference-disj_nn,3.0225345695648945e-6,3.0172809412557105e-6,3.03036736028608e-6,2.0885832149790655e-8,1.5092012209685393e-8,2.8462684652140304e-8
difference-disj_nn,3.0052826261501096e-6,3.002427708182859e-6,3.009702786127046e-6,1.2204397536813823e-8,8.412016268663663e-9,1.984833466469867e-8
difference-disj_ns,2.305700351552253e-6,2.3034303360004707e-6,2.3092683532026454e-6,9.733820668647792e-9,6.534650706888861e-9,1.4455949747174927e-8
difference-disj_ns,2.309003283961921e-6,2.3055000118710467e-6,2.313391590157858e-6,1.3049307510716367e-8,1.055057810394659e-8,1.6336893733825923e-8
difference-disj_sn,2.141261367086415e-6,2.1406522357350867e-6,2.142402044383797e-6,2.763278293341133e-9,1.70076416332724e-9,4.60569802262308e-9
difference-disj_sn,2.1522368806956977e-6,2.1468553102210494e-6,2.1611331266206677e-6,2.247418453305578e-8,1.6077544573889293e-8,3.7339277412057044e-8
difference-disj_nt,1.4044075328471357e-6,1.4035394042508346e-6,1.405404672109264e-6,3.1889943691343613e-9,2.5545000554474983e-9,4.012985076584812e-9
difference-disj_nt,1.3909985811800628e-6,1.3878582908270917e-6,1.3945896062577353e-6,1.1081210000838204e-8,9.265568767414869e-9,1.464558584531635e-8
difference-disj_tn,1.4269663197570196e-6,1.4256104353102828e-6,1.429797247100319e-6,6.0020195865757936e-9,3.3937855243385284e-9,1.0204234622160129e-8
difference-disj_tn,1.4371555107642615e-6,1.4323704703498238e-6,1.4422152411219537e-6,1.569084390764294e-8,1.331576305771283e-8,1.7700899535395138e-8
difference-common_nn,5.5397682146281e-3,5.33506936557136e-3,5.877496588902606e-3,8.093916904511439e-4,5.873089232029895e-4,1.275493456389625e-3
difference-common_nn,5.587259084049959e-3,5.365555553066096e-3,5.952043253747611e-3,8.049751297297379e-4,6.028299698131918e-4,1.2158686649204166e-3
difference-common_ns,4.8929831589721515e-3,4.67142677068648e-3,5.1724636893438e-3,7.724920708095854e-4,5.591782345651979e-4,1.2117202009628055e-3
difference-common_ns,4.905445425212803e-3,4.696054168446113e-3,5.178670991825948e-3,7.411838369700447e-4,5.721628099265749e-4,1.0508132132291065e-3
difference-common_sn,1.2474696672556537e-3,1.2377486337839412e-3,1.2614318953593534e-3,3.948370051274852e-5,3.003775123595054e-5,5.8083382631804055e-5
difference-common_sn,1.2174071865001935e-3,1.2089649176714957e-3,1.2240142797003675e-3,2.4873311050003223e-5,1.9888908476307237e-5,3.309316499843708e-5
difference-common_nt,1.6065192388862748e-4,1.590498308588011e-4,1.620130574421421e-4,5.02558207607874e-6,3.961360271743199e-6,6.349940974821066e-6
difference-common_nt,1.5937433684996437e-4,1.5812710949340353e-4,1.6035886531138595e-4,3.7529870786910834e-6,2.9770277345810583e-6,4.672833428081795e-6
difference-common_tn,1.0539017344032295e-4,1.0436302427082865e-4,1.0616857804895662e-4,3.0686788722427774e-6,2.3509876245064715e-6,3.955853898346857e-6
difference-common_tn,1.0497925470176409e-4,1.0422027265682979e-4,1.0557509391348044e-4,2.292307706601036e-6,1.920884070632736e-6,2.7906549471098127e-6
difference-mix_nn,7.48984596979846e-3,7.409459882447824e-3,7.579875031606271e-3,2.3600375495641564e-4,2.0232063339108746e-4,2.8939049854789556e-4
difference-mix_nn,7.340332285490319e-3,7.295156816628653e-3,7.382401551516328e-3,1.2998951964968502e-4,1.0420354027728204e-4,1.7904517968292307e-4
difference-mix_ns,1.6258663952402148e-3,1.6073859088813571e-3,1.6447373212677577e-3,6.651772942654861e-5,5.401642934161205e-5,8.623655076483935e-5
difference-mix_ns,1.542465892402284e-3,1.5247527272690912e-3,1.5655752720156377e-3,6.568708020937652e-5,4.767380798671924e-5,9.00858462561453e-5
difference-mix_sn,1.674270951992439e-3,1.6605487936749022e-3,1.6899640083648576e-3,5.1955644332212876e-5,4.250593341678654e-5,6.320612194247296e-5
difference-mix_sn,1.6155674713783262e-3,1.6035120298911992e-3,1.628124919878346e-3,4.2358660672716035e-5,3.6117002529386605e-5,5.095076558158476e-5
difference-mix_nt,1.0440414488111211e-4,1.0319943125404326e-4,1.054578971285852e-4,3.8606669850147936e-6,3.053466086466625e-6,4.630138064018288e-6
