Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,7.322905664008832e-8,7.310751272066986e-8,7.334142308671756e-8,3.8424956870511786e-10,3.317634315582488e-10,4.964087775919118e-10
union-disj_nn,7.306526365329797e-8,7.301402435386318e-8,7.316243997459025e-8,2.358858123767088e-10,1.529184627046159e-10,4.0147883055669664e-10
union-disj_ns,6.192006801146439e-8,6.190579905915687e-8,6.19545340736397e-8,6.573784013334322e-11,3.8263969341456876e-11,1.1530003777828741e-10
union-disj_ns,6.199479859228896e-8,6.196251031363398e-8,6.20573895427343e-8,1.415238901710199e-10,8.717524509046871e-11,2.5157440070229815e-10
union-disj_sn,6.335729113810581e-8,6.30863279326576e-8,6.368984913528747e-8,9.938613174381104e-10,8.332218385174364e-10,1.1787147927760409e-9
union-disj_sn,6.292975136762297e-8,6.273061604024542e-8,6.320568936408715e-8,7.637452461411194e-10,6.00071453500284e-10,9.585077388388033e-10
union-disj_nt,4.651701920181672e-8,4.647092305023026e-8,4.6609496725105105e-8,2.1313930293453203e-10,1.167152438982159e-10,3.5001630782098194e-10
union-disj_nt,4.6657315056587204e-8,4.653207679452416e-8,4.6868674285514984e-8,5.240999710863602e-10,3.0354517793524416e-10,7.596678915673104e-10
union-disj_tn,4.8661369549585095e-8,4.8230769813838017e-8,4.9361759769142684e-8,1.8872486555034684e-9,1.5340116565928843e-9,2.2622580963335275e-9
union-disj_tn,5.039013636632116e-8,4.974466810445822e-8,5.096988921882483e-8,2.0749714455315616e-9,1.8828225162773133e-9,2.304473507642533e-9
union-common_nn,2.6596751632568666e-5,2.651706564773093e-5,2.6661005743019285e-5,2.463435597053426e-7,1.8028321171439124e-7,3.859931862904087e-7
union-common_nn,2.2987401066778897e-5,2.2782573422839044e-5,2.3203621567776247e-5,7.337000254160759e-7,5.611718530725171e-7,9.84267614750133e-7
union-common_ns,2.5690147145427617e-5,2.521693366553632e-5,2.604678526675274e-5,1.3155056742127545e-6,1.0911321038923023e-6,1.5834648087844884e-6
union-common_ns,2.6149726457164613e-5,2.5855280056411122e-5,2.635438628680277e-5,8.39899413629824e-7,6.672692972332167e-7,1.0897290193747577e-6
union-common_sn,2.529400701660816e-5,2.4838389302607087e-5,2.5688726227332904e-5,1.5493231358652396e-6,1.3104477051719565e-6,1.801739297987946e-6
union-common_sn,2.560037869496351e-5,2.511478598907316e-5,2.599230549551973e-5,1.384141008346291e-6,1.0851827087789029e-6,1.8771795096191374e-6
union-common_nt,1.0795053926712431e-5,1.0590477815284533e-5,1.0975936100006159e-5,6.491247031645178e-7,5.432152576113757e-7,7.824852187719074e-7
union-common_nt,1.1108027171837543e-5,1.0963822494047615e-5,1.122376184696642e-5,4.3414389555576446e-7,3.397341128195132e-7,5.971627462963489e-7
union-common_tn,1.1573241755585832e-5,1.1231087653339729e-5,1.1829031380550461e-5,1.004361718694474e-6,7.496268501606961e-7,1.3124825825734058e-6
union-common_tn,1.176400427544525e-5,1.1543614896550774e-5,1.198014843184157e-5,7.270384831211897e-7,6.253669076420675e-7,8.583357045532697e-7
union-mix_nn,5.611775346906066e-5,5.518265834168184e-5,5.664920793346926e-5,2.3029530153587766e-6,1.7256326909762258e-6,3.3897360132751045e-6
union-mix_nn,5.6979231467741036e-5,5.658980192724813e-5,5.7210311891001574e-5,9.75916284249967e-7,6.689444666593515e-7,1.3879262442493229e-6
union-mix_ns,2.8778887895992283e-5,2.8356830356167517e-5,2.909250727242999e-5,1.2008538920995552e-6,1.0105457920032524e-6,1.4014336571842435e-6
union-mix_ns,2.8273964092623885e-5,2.7726613418375812e-5,2.8713502557507553e-5,1.7067627897410474e-6,1.3916643275158467e-6,2.139349313785636e-6
union-mix_sn,2.8554178402800455e-5,2.805443620019815e-5,2.8933160215754155e-5,1.5485894523079167e-6,1.2585708755159598e-6,2.1272318423423053e-6
union-mix_sn,2.899282913387308e-5,2.8535095932846475e-5,2.9315015016084282e-5,1.2640135871170667e-6,9.60613250163612e-7,1.758896973625994e-6
union-mix_nt,1.0959125177655745e-5,1.080942825777401e-5,1.1077479354572613e-5,4.3951549309296866e-7,3.5631460933495027e-7,5.992059318027673e-7
union-mix_nt,1.1010440187052767e-5,1.0872595933471378e-5,1.1121754526490613e-5,4.225704588752887e-7,3.310178070342219e-7,5.873316595975166e-7
