Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,4.216036266994922e-6,4.201212190576323e-6,4.230591094440362e-6,5.105146695842284e-8,4.464377526329144e-8,5.8299939326955243e-8
union-disj_nn,4.202447288274331e-6,4.190766364833592e-6,4.2190733704675085e-6,4.862332852892949e-8,3.453524904715875e-8,5.961967556887218e-8
union-disj_ns,3.1537739437789775e-6,3.1363556337867e-6,3.175109989051403e-6,6.488187433623991e-8,5.5028397356626135e-8,7.477940128432073e-8
union-disj_ns,3.240218544030996e-6,3.224601428115152e-6,3.2499438669433208e-6,3.8996986819249457e-8,2.9076499069651164e-8,5.490708649723364e-8
union-disj_sn,3.5146257773419684e-6,3.502894712516738e-6,3.5296311266007387e-6,4.437874968018623e-8,3.435564694700638e-8,5.5021429759094583e-8
union-disj_sn,3.507350031081346e-6,3.4970616026283093e-6,3.5206759413573817e-6,3.922585108445858e-8,2.8804638780597343e-8,5.020171818768575e-8
union-disj_nt,1.919030699681807e-6,1.8996147046393068e-6,1.938159485674449e-6,6.34690434212042e-8,5.5446874487493414e-8,7.240466964298799e-8
union-disj_nt,1.974724160577226e-6,1.9611620699757975e-6,1.9829251206608294e-6,3.5971751831289294e-8,2.4182191623430595e-8,6.147020950041741e-8
union-disj_tn,2.3018492793815763e-6,2.2969740946316655e-6,2.3076947337312243e-6,1.8005935656001552e-8,1.5220307826321756e-8,2.140884101799001e-8
union-disj_tn,2.3102610108097317e-6,2.304129866494902e-6,2.3165476691779936e-6,2.0402300609279093e-8,1.9010004236949322e-8,2.205294367929483e-8
union-common_nn,6.967048635297291e-4,6.950562547122931e-4,6.990286552565631e-4,6.4911373080801156e-6,4.755311192252961e-6,8.62094673968694e-6
union-common_nn,7.414930551736678e-4,7.408111352371203e-4,7.42320605011276e-4,2.580391282382465e-6,2.0118942811641453e-6,3.2760085942093663e-6
union-common_ns,7.025618637018232e-4,6.986278427713118e-4,7.06723747089075e-4,1.401342720584552e-5,1.0869969465199717e-5,1.901107239821845e-5
