Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,7.214663881404526e-8,7.21028312821973e-8,7.223133691081116e-8,2.0655886321645492e-10,1.1132835490424776e-10,3.4830523230837474e-10
union-disj_nn,7.25237483623527e-8,7.250880174803467e-8,7.255117769845142e-8,6.716865962133638e-11,4.090989851037612e-11,1.078059122277709e-10
union-disj_ns,6.223685174897317e-8,6.212468119670752e-8,6.238068744311692e-8,4.2219691944977634e-10,3.309830709447392e-10,5.477859273722837e-10
union-disj_ns,6.202774483597472e-8,6.189495840950626e-8,6.22720493285689e-8,6.127227884084172e-10,3.711682903529107e-10,1.091909195539919e-9
union-disj_sn,6.264802027202361e-8,6.238320220802233e-8,6.303967024439902e-8,1.0789177823461843e-9,8.122177638352267e-10,1.3310180254944938e-9
union-disj_sn,6.234156403552601e-8,6.222331519955865e-8,6.25232226104113e-8,4.744864781172705e-10,3.5559488067447514e-10,5.930993725008998e-10
union-disj_nt,4.6500323017630197e-8,4.635936065023322e-8,4.6901326791675224e-8,7.447948041893256e-10,2.982211691469874e-10,1.4681650467938382e-9
union-disj_nt,4.642783751410274e-8,4.632834757597828e-8,4.658347446237888e-8,4.1188163762038635e-10,2.7102418441885567e-10,5.948933389228597e-10
union-disj_tn,4.83502619080248e-8,4.800110182658713e-8,4.883914366712344e-8,1.3791478077702076e-9,1.0600609442879215e-9,1.8439652984312854e-9
union-disj_tn,4.887168972800881e-8,4.8472045380340475e-8,4.938534106997076e-8,1.490207078829683e-9,1.2646289670050151e-9,1.8603892698525092e-9
union-common_nn,2.2298026411750786e-5,2.1895778757697e-5,2.2848799949393512e-5,1.6133922690076727e-6,1.3308646663116984e-6,1.949399286302291e-6
union-common_nn,2.2914074300052657e-5,2.2475950174525873e-5,2.3541475768146034e-5,1.6580276002714431e-6,1.460462849110938e-6,2.0006096269320856e-6
union-common_ns,2.330731961693995e-5,2.2800528521928112e-5,2.3835872735959298e-5,1.821285387006956e-6,1.6031159963588724e-6,2.1415320548244622e-6
union-common_ns,2.2501949165211425e-5,2.2228069724500768e-5,2.2842880432246913e-5,9.472558735316087e-7,7.371228191406428e-7,1.3608918921362768e-6
union-common_sn,2.287124667641384e-5,2.2364557070723075e-5,2.363235740738003e-5,1.99419819037911e-6,1.6701810521151717e-6,2.456907251007289e-6
union-common_sn,2.2778862398576e-5,2.2349063118225702e-5,2.331677872916585e-5,1.6480549565781297e-6,1.3439528485470203e-6,1.9976961232551843e-6
union-common_nt,9.49821917198291e-6,9.285922013848288e-6,9.732183932248543e-6,7.528763424245736e-7,6.169022073717178e-7,9.312727246900063e-7
union-common_nt,9.329435420824122e-6,9.18342108685855e-6,9.510116840181265e-6,5.25415539408051e-7,3.7268708097154227e-7,7.604053177969936e-7
union-common_tn,9.958361425593701e-6,9.671492925969327e-6,1.0279790726958313e-5,1.056336945581275e-6,8.846141069757526e-7,1.2709273207109757e-6
union-common_tn,9.493496982478758e-6,9.237113324675119e-6,9.829358516352328e-6,9.731273174662395e-7,7.112495305310871e-7,1.2554052320370537e-6
union-mix_nn,5.2066228511559026e-5,5.100515300729047e-5,5.306731841715551e-5,3.3325508135355864e-6,2.840008685623573e-6,4.005609325005469e-6
union-mix_nn,4.971016620915407e-5,4.89295467516937e-5,5.060324310644783e-5,2.901988094159109e-6,2.4821121937974176e-6,3.5945889286790976e-6
union-mix_ns,2.5904807429340305e-5,2.5363002928122037e-5,2.6568259995277173e-5,2.0004348822789314e-6,1.7407323667004645e-6,2.3895719599461515e-6
union-mix_ns,2.6271631632589476e-5,2.5709162458539027e-5,2.6866063130834097e-5,1.8770115398644346e-6,1.6582090932347043e-6,2.14289785467075e-6
union-mix_sn,2.5571463480745644e-5,2.5049323624620683e-5,2.616668133624116e-5,1.83389195143064e-6,1.5803557964670913e-6,2.1911185331893274e-6
union-mix_sn,2.5639174620072897e-5,2.5047533426613738e-5,2.642425327397548e-5,2.2199969096348415e-6,1.8605722918421555e-6,2.6699950723745522e-6
union-mix_nt,9.945670943385013e-6,9.711141124126808e-6,1.0193086680648535e-5,8.275341871885784e-7,7.215186968887015e-7,9.714119980569226e-7
union-mix_nt,9.326514406915136e-6,9.204654386143826e-6,9.506742578078722e-6,5.179935150661938e-7,3.9489951618702833e-7,7.698643480770548e-7
union-mix_tn,9.415697835481758e-6,9.280618498236878e-6,9.56468800003504e-6,4.7250614328531476e-7,3.612667709542518e-7,6.761216366903559e-7
union-mix_tn,1.0063162361079e-5,9.852480559169122e-6,1.0277560312314768e-5,7.185038624503599e-7,5.81122334336361e-7,9.24303306682673e-7
union-block_nn,1.9946526547268472e-5,1.982487196947713e-5,2.0284226273553104e-5,6.066577035857285e-7,2.1802622698821849e-7,1.1281951940548185e-6
union-block_nn,2.1005356465836696e-5,2.0463147261005308e-5,2.169451216650308e-5,2.0958345932715566e-6,1.6533265735992687e-6,2.578167277192033e-6
union-block_ns,3.243963832027368e-6,3.20427258226823e-6,3.291810612515808e-6,1.4763613213279374e-7,1.2898712583139181e-7,1.732325126278015e-7
union-block_ns,3.2926053364405142e-6,3.2579545329264425e-6,3.3305284201223597e-6,1.259245885795044e-7,1.046718352934524e-7,1.5549485602271357e-7
union-block_sn,2.279492691074861e-6,2.2584716723799144e-6,2.3106842479951704e-6,8.352306015807312e-8,6.235756154513572e-8,1.1530598527268603e-7
union-block_sn,2.4277548350859095e-6,2.3942424284895936e-6,2.470837074495673e-6,1.219736752741387e-7,9.640692589492369e-8,1.6066403505384703e-7
difference-disj_nn,6.733978303774767e-8,6.684953786607613e-8,6.802407695039222e-8,1.952397317196523e-9,1.3928283956833277e-9,2.6638048942183667e-9
difference-disj_nn,6.68705697954946e-8,6.647805106839436e-8,6.75143134614227e-8,1.6314912801742636e-9,1.0104013204225169e-9,2.362658856097667e-9
difference-disj_ns,6.045756259720071e-8,6.038270088239865e-8,6.074876713908326e-8,4.130492887282014e-10,1.558902290210776e-10,8.855962515125351e-10
difference-disj_ns,6.048129260570144e-8,6.041134304082304e-8,6.06517455204935e-8,3.47281203203499e-10,1.3546683039791768e-10,6.983642640329729e-10
difference-disj_sn,6.181892781632436e-8,6.17847582634968e-8,6.189207481009021e-8,1.6119974231127144e-10,1.0736975029442616e-10,2.618584058969119e-10
difference-disj_sn,6.18140973230128e-8,6.178828127905152e-8,6.189185649134816e-8,1.3213841066210178e-10,6.914498246138971e-11,2.507837892310486e-10
difference-disj_nt,4.874423453115148e-8,4.87277263448477e-8,4.8789858323659246e-8,8.121019866865991e-11,3.399733952814541e-11,1.5557099971400243e-10
difference-disj_nt,4.895227543887496e-8,4.885977707309713e-8,4.9100080145370814e-8,3.885955219757688e-10,2.722893963037159e-10,6.108878523136141e-10
difference-disj_tn,4.196574899168201e-8,4.195541216155244e-8,4.198492202651799e-8,4.666419807947781e-11,2.523700892027423e-11,7.314493078856602e-11
difference-disj_tn,4.214440782753063e-8,4.2127271167343906e-8,4.218161386775223e-8,7.581808507274165e-11,4.076974981725577e-11,1.4070763758016708e-10
difference-common_nn,2.4681537569599803e-5,2.443139470886825e-5,2.50618008783445e-5,9.83205135527461e-7,8.104088589436819e-7,1.3104641864504876e-6
difference-common_nn,2.4825580936181068e-5,2.454464341026464e-5,2.5214839311298792e-5,1.095706261902866e-6,8.387298006217821e-7,1.414034815603881e-6
difference-common_ns,2.4312562805474205e-5,2.4076640939802766e-5,2.4617478282298706e-5,9.185730998182363e-7,7.046802416959195e-7,1.2022630077056514e-6
difference-common_ns,2.4212195372860005e-5,2.404133053965955e-5,2.4433926720958383e-5,6.528283270037325e-7,5.12412117417885e-7,7.86554668727986e-7
difference-common_sn,1.4925878050197363e-5,1.491228616354704e-5,1.4947386568522069e-5,5.559218854123731e-8,3.5745719275244906e-8,9.290721305991346e-8
difference-common_sn,1.4495467094727582e-5,1.4482285412502763e-5,1.451680524619667e-5,5.942179870396348e-8,3.915386387558074e-8,8.487196548849027e-8
difference-common_nt,1.110272660981218e-5,1.0938753961363556e-5,1.1304727079774104e-5,6.240935113948718e-7,4.996794634264874e-7,7.587418737622028e-7
difference-common_nt,1.128166975648986e-5,1.1110198280423246e-5,1.1518126400283666e-5,6.55189325794863e-7,4.827773986278625e-7,1.0193565863147039e-6
difference-common_tn,4.903034018745256e-6,4.894331004575472e-6,4.931268650256562e-6,4.721784182951284e-8,1.5066614829795524e-8,9.515060634722554e-8
difference-common_tn,4.8627790619653325e-6,4.860668856552733e-6,4.8663291517149855e-6,9.345898907437296e-9,6.430129487245825e-9,1.3159462110080723e-8
difference-mix_nn,5.3545487345182164e-5,5.305722996680955e-5,5.418198796821639e-5,1.924820441100232e-6,1.6295141104469428e-6,2.40534676078357e-6
difference-mix_nn,5.3138438224062966e-5,5.2692828550660254e-5,5.3681200947991696e-5,1.6639633120480435e-6,1.3621466271710584e-6,2.0993398589022463e-6
difference-mix_ns,2.6382631638401585e-5,2.6288936883319378e-5,2.6515213454334262e-5,3.6719139459107973e-7,2.865783919112712e-7,4.680379218136388e-7
difference-mix_ns,2.7064592180716177e-5,2.678795567046904e-5,2.7423776867799486e-5,1.0855222530324907e-6,7.809727787100648e-7,1.4070648042590808e-6
difference-mix_sn,2.696388266318471e-5,2.6676153997192785e-5,2.7344737599587305e-5,1.1656856715743052e-6,8.833142919371417e-7,1.5770786423527155e-6
difference-mix_sn,3.14451390108134e-5,3.0846651155683595e-5,3.1933591605338205e-5,1.8061684689790031e-6,1.5093172114252622e-6,2.322623207854036e-6
difference-mix_nt,1.2603490651862262e-5,1.2241714368580619e-5,1.298404837717292e-5,1.2727967264361831e-6,1.1030326803532634e-6,1.5333963128137962e-6
difference-mix_nt,1.1520694334372509e-5,1.1314712644582737e-5,1.1816221296439449e-5,8.477441191823485e-7,6.327351102157423e-7,1.1719261979682997e-6
difference-mix_tn,8.273143175567976e-6,8.028193610746825e-6,8.561716383585345e-6,8.412619867902868e-7,6.838899905148284e-7,1.0245770892273827e-6
difference-mix_tn,7.954454440378523e-6,7.696380613506616e-6,8.277304124225827e-6,9.712156810338247e-7,8.326139138109332e-7,1.150679080508285e-6
difference-block_nn,2.335106396259676e-5,2.3019266306800906e-5,2.3690735462426066e-5,1.1542780668518572e-6,1.0127354640700403e-6,1.3181846570482496e-6
difference-block_nn,2.334301752848458e-5,2.307747360884765e-5,2.3610301286374232e-5,9.186815972117124e-7,7.582003187793133e-7,1.1218212559327024e-6
difference-block_ns,2.3784607865093307e-6,2.358713729713074e-6,2.420693336850757e-6,8.912778803036709e-8,5.0114576833135115e-8,1.6059219306058273e-7
difference-block_ns,2.455668467098659e-6,2.3917439752206862e-6,2.587789285234827e-6,3.043717554720537e-7,1.7591924263492354e-7,4.702613940441217e-7
difference-block_sn,1.9681713570103912e-6,1.915172822001503e-6,2.0901146774160337e-6,2.3474933933713266e-7,1.5603672382827695e-7,3.8475567233474306e-7
difference-block_sn,2.0436317653009603e-6,1.9665971157056498e-6,2.1444207509800843e-6,2.794092786707966e-7,2.1994575178339155e-7,3.775804392070933e-7
intersection-disj_nn,4.578159834523357e-8,4.565433298238193e-8,4.612012420618191e-8,6.35012338242054e-10,5.3843086341148235e-11,1.2341713965691823e-9
intersection-disj_nn,4.5648107282327394e-8,4.5630726040142816e-8,4.567596581110762e-8,6.940020109126611e-11,4.617337096288316e-11,1.1047232483326016e-10
intersection-disj_ns,3.9806352206495574e-8,3.980123922132861e-8,3.981330571323687e-8,1.9770138809734716e-11,1.5141999540900045e-11,3.03973679767072e-11
intersection-disj_ns,3.981682446419193e-8,3.9805709141722736e-8,3.984559767060405e-8,5.3333028496484966e-11,2.3757810115464326e-11,1.0183528170643054e-10
intersection-disj_sn,4.114323113499328e-8,4.1138766511061e-8,4.114844768056773e-8,1.5808564785051522e-11,1.3244235346092544e-11,1.971092319788252e-11
intersection-disj_sn,4.1240227487358293e-8,4.1165202153798733e-8,4.14062009208543e-8,3.635381560145349e-10,1.6259256123199842e-10,6.181276799449579e-10
intersection-disj_nt,3.0600629924801055e-8,3.059297003491314e-8,3.0609854678810656e-8,2.815490546142501e-11,2.1155410268192613e-11,4.175164838289856e-11
intersection-disj_nt,3.0607751405267435e-8,3.0593390876493613e-8,3.066950816328041e-8,8.229156731201237e-11,2.791640465363207e-11,1.7920933586472572e-10
intersection-disj_tn,3.193723739447859e-8,3.192938406860472e-8,3.196796102750338e-8,4.6777053037654836e-11,1.2950338883025514e-11,9.649042743623281e-11
intersection-disj_tn,3.192187643339217e-8,3.191734910679967e-8,3.192725208803057e-8,1.7297258194984376e-11,1.3877714607850555e-11,2.195200228680277e-11
intersection-common_nn,2.5461949341269122e-5,2.5022922340336833e-5,2.601662095250253e-5,1.643527059724936e-6,1.3900523685519947e-6,2.0011248028948803e-6
intersection-common_nn,2.641247912902092e-5,2.5890915840080004e-5,2.7043089463168104e-5,1.8759996110826953e-6,1.6330638141231163e-6,2.1663862734194124e-6
intersection-common_ns,2.5237789941891056e-5,2.4821977392329873e-5,2.576947691998142e-5,1.5289431119756522e-6,1.1228357887078742e-6,2.0414631098098746e-6
intersection-common_ns,2.4824581448755112e-5,2.452051075201134e-5,2.5401281635881615e-5,1.3554906720197283e-6,9.062763180367407e-7,1.9744813012333497e-6
intersection-common_sn,2.5075937195856284e-5,2.4717156203516333e-5,2.5618495793145167e-5,1.463484144166689e-6,9.685282216421765e-7,2.050391890405814e-6
intersection-common_sn,2.5283444544090976e-5,2.490637612443497e-5,2.5793858130533265e-5,1.4888184574182428e-6,1.1097462210502333e-6,1.915417754783418e-6
intersection-common_nt,9.107943270039425e-6,8.89593944187008e-6,9.291778026096697e-6,6.562109155156623e-7,5.31956331653023e-7,8.828881175947407e-7
intersection-common_nt,9.728441365328338e-6,9.573164219219642e-6,9.865151752076518e-6,5.046690938299531e-7,4.3033820803934165e-7,6.210357902497494e-7
intersection-common_tn,9.156366581382703e-6,8.897954099487844e-6,9.396723284853686e-6,8.384273465736384e-7,7.251867828742633e-7,1.0005092650702644e-6
intersection-common_tn,8.859880609912528e-6,8.644552672974365e-6,9.087238035533431e-6,7.861179043245678e-7,6.587837163710911e-7,9.490851885090723e-7
intersection-mix_nn,3.0195428477123036e-5,3.0089515430366065e-5,3.0444598833124003e-5,4.973336350569678e-7,2.810895867196596e-7,9.372336993403703e-7
intersection-mix_nn,2.9597401346252434e-5,2.9593730772302032e-5,2.9602611279503644e-5,1.4727379497821387e-8,1.1788154057465722e-8,1.8757885749397787e-8
intersection-mix_ns,1.585848613706972e-5,1.5854736518176404e-5,1.5862761120130116e-5,1.3964388248010175e-8,1.1072676384803485e-8,1.8994550745909232e-8
intersection-mix_ns,1.581260783411412e-5,1.580883136320055e-5,1.58171013090553e-5,1.3220027167491146e-8,1.0954626170197941e-8,1.6223963299087024e-8
intersection-mix_sn,1.573143056615347e-5,1.5728083518071364e-5,1.5735149322016104e-5,1.1968814960060092e-8,1.005412397564092e-8,1.4995374231257527e-8
intersection-mix_sn,1.6042342194091043e-5,1.6037860323587655e-5,1.6047812024494555e-5,1.6090229196577892e-8,1.2003958261104673e-8,2.4001326608975197e-8
intersection-mix_nt,5.2645921219563706e-6,5.261775066201112e-6,5.266429106055272e-6,7.709692264360017e-9,5.890236821697531e-9,9.393312342435186e-9
intersection-mix_nt,5.2864835171390705e-6,5.269387709977795e-6,5.353869874710524e-6,1.0700374913613864e-7,4.945742515477994e-9,2.271836790029021e-7
intersection-mix_tn,4.828568301101561e-6,4.827045129252905e-6,4.830803977793469e-6,6.1392763410947216e-9,4.035355757809283e-9,9.766107947993616e-9
