Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,5.1827496405693815e-6,5.177045157737143e-6,5.1901714156663854e-6,2.190726712021126e-8,1.74938581173942e-8,3.000139608737843e-8
union-disj_nn,5.2530011757178164e-6,5.244814534471228e-6,5.2633691750546395e-6,3.1895135770078484e-8,2.5358977590595177e-8,4.0331300425463096e-8
union-disj_ns,3.825397952485847e-6,3.8034014066499226e-6,3.848389508290171e-6,7.477464326318222e-8,6.345824510328765e-8,9.066334221875878e-8
union-disj_ns,3.848734179754306e-6,3.826694018549383e-6,3.8704534026558184e-6,7.191721739108292e-8,6.027697918480038e-8,8.589536409811683e-8
union-disj_sn,4.40413799387313e-6,4.384119387716223e-6,4.423609109903656e-6,6.5317558918819e-8,5.720481203061618e-8,7.717331450571337e-8
union-disj_sn,4.381545752957138e-6,4.366699900709151e-6,4.395017343883566e-6,4.6753734973266933e-8,3.9924039052205754e-8,5.49583975463615e-8
union-disj_nt,2.4153252345025123e-6,2.4032504377232713e-6,2.427101755254062e-6,3.9684341799052e-8,3.1239665275443444e-8,4.892356893093736e-8
union-disj_nt,2.385340042132397e-6,2.3652160515918127e-6,2.402303326421508e-6,6.111337884193169e-8,4.9197493657317236e-8,7.404236201736624e-8
union-disj_tn,2.7868665463742437e-6,2.7854868513146157e-6,2.7881195116386e-6,4.557452329343496e-9,3.6633559379182992e-9,6.132338032282184e-9
union-disj_tn,2.784688013752487e-6,2.782869738539777e-6,2.786683499137338e-6,6.277663569660822e-9,5.139868266522342e-9,7.937364739329759e-9
union-common_nn,8.701559449492492e-4,8.686316842656566e-4,8.719900619335559e-4,5.938931365777351e-6,4.7784993803895716e-6,7.197214450412545e-6
union-common_nn,8.753491277532351e-4,8.734572955432739e-4,8.782989285743799e-4,7.832020259441818e-6,5.582769802059826e-6,1.099039581361175e-5
union-common_ns,9.545430460950954e-4,9.485858939136e-4,9.616736017741489e-4,2.2046005994376946e-5,1.7456075460361667e-5,2.9045140084730017e-5
union-common_ns,9.70762518778054e-4,9.652404685025345e-4,9.753064571600364e-4,1.6736470637938964e-5,1.3580774455332033e-5,2.3424700510420163e-5
union-common_sn,5.083236343892587e-3,4.770216524785751e-3,5.620726731248887e-3,1.2293291370100992e-3,8.12537622989377e-4,2.0883953302197893e-3
union-common_sn,5.055668319501951e-3,4.765646385272137e-3,5.475176809891924e-3,1.0424539779529203e-3,7.86904633587767e-4,1.5432734103452295e-3
union-common_nt,6.778277071597194e-5,6.716420805837887e-5,6.85381541042625e-5,2.237434110798239e-6,1.7121712577067638e-6,3.1440533618643906e-6
union-common_nt,6.839474641423237e-5,6.754816270792703e-5,6.925938458888696e-5,2.7339310942575176e-6,2.286480589823247e-6,3.2867704195590574e-6
union-common_tn,1.1830703231941248e-4,1.1749842555711948e-4,1.1899175806664014e-4,2.6100392289662126e-6,2.2038865870987796e-6,3.046070591676576e-6
union-common_tn,1.1771979650007433e-4,1.166513857347042e-4,1.1861410004917817e-4,3.1916352205905233e-6,2.828604889638453e-6,3.6046933001454883e-6
union-mix_nn,2.6352942470531996e-2,2.4591920588997503e-2,2.7753885356415004e-2,3.454812153865844e-3,2.4719148932758643e-3,4.560393245040698e-3
union-mix_nn,2.5996397355184764e-2,2.4391999041819646e-2,2.7437061727973302e-2,3.2641264618462e-3,2.290060268001154e-3,4.369123299286443e-3
union-mix_ns,5.646314467232217e-3,5.314941424084585e-3,6.0794067119103465e-3,1.1615944263143835e-3,8.929687770778999e-4,1.6150728162350634e-3
union-mix_ns,5.69577448919093e-3,5.343030282167378e-3,6.141832672470524e-3,1.1667567038098573e-3,8.847738276835182e-4,1.7146031640914146e-3
union-mix_sn,6.936011588325191e-3,6.533177728022033e-3,7.460757242349296e-3,1.3285665247863851e-3,1.0096404806463472e-3,1.9082244818464916e-3
union-mix_sn,6.9418828958148215e-3,6.533146931611587e-3,7.590632322975305e-3,1.3557718055776337e-3,1.0016031792245599e-3,1.94415333616877e-3
union-mix_nt,1.0232576258566065e-4,1.0204028466345935e-4,1.0265992350279964e-4,1.0016778776945786e-6,8.171274582680543e-7,1.193513129532216e-6
union-mix_nt,1.0208902806962387e-4,1.0185661320839981e-4,1.0235760880084135e-4,8.633358637348335e-7,7.100042321346399e-7,1.2478150017686356e-6
union-mix_tn,1.2191286806745884e-4,1.2144621030771394e-4,1.2243225189646518e-4,1.6544337946442249e-6,1.3796946860208784e-6,2.0702001021885583e-6
union-mix_tn,1.2246753747767328e-4,1.2213213007148654e-4,1.2283762985480727e-4,1.2279006248270748e-6,1.033349484510786e-6,1.4766701558038614e-6
union-block_nn,1.0607031944463695e-3,1.0243891368006011e-3,1.1333033421570525e-3,1.7827986147187362e-4,1.0247478492662608e-4,3.008312935434633e-4
union-block_nn,1.0539201793162544e-3,1.0167921908266519e-3,1.1406428553935475e-3,1.7958523039606497e-4,1.0542888536591881e-4,3.0580143670561483e-4
union-block_ns,8.145727301987773e-5,8.123784350864078e-5,8.161635986644159e-5,6.322818219672352e-7,4.748417735156709e-7,1.0124155394038528e-6
union-block_ns,8.156887936107491e-5,8.132182083569591e-5,8.176098843016624e-5,7.508348486273057e-7,5.932434977087968e-7,1.0035785073729913e-6
