Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
GE split present,9.604216832273655e-5,9.59379252782113e-5,9.619238399340881e-5,4.289954513630511e-7,2.5223806281283616e-7,6.055750812286038e-7
GE caseof present,2.9333923882400198e-5,2.9306948432706653e-5,2.9377084126156714e-5,1.1798571608849369e-7,8.151745118848919e-8,1.7252571223693127e-7
GE Twan present,2.4803193091166462e-5,2.46837648213822e-5,2.5016368271323124e-5,4.927477393308695e-7,2.850360561452395e-7,8.961890664779287e-7
GE Milan present,2.38462646909776e-5,2.380281188814277e-5,2.392295606529567e-5,1.931670618923631e-7,1.336831154490369e-7,3.0199284598587474e-7
GE split absent,1.244166054473867e-4,1.2419689892373027e-4,1.246795334212911e-4,8.138521830801954e-7,7.009839158904653e-7,9.951632573858839e-7
GE caseof absent,3.636182977349094e-5,3.630692302516582e-5,3.644025444333392e-5,2.122915808812832e-7,1.4836169430899208e-7,2.668667769604842e-7
GE Twan absent,2.895622826145457e-5,2.8811820304787e-5,2.9327508506175246e-5,7.389657655223953e-7,4.295539894158835e-7,1.29439358841981e-6
GE Milan absent,3.100583035204704e-5,3.0970203856401896e-5,3.106471364819912e-5,1.5119801437828306e-7,1.104179273676617e-7,2.2819225419950234e-7
GE split far,7.942491633639769e-5,7.936249288655419e-5,7.960649485316419e-5,3.3918251833466687e-7,1.5186838003638014e-7,6.525116545548611e-7
GE caseof far,2.133955564285347e-5,2.131518297053084e-5,2.1378365615631433e-5,1.0351981191489014e-7,7.297491885037863e-8,1.474653568401715e-7
GE Twan far,2.4042420367304762e-5,2.400952927799484e-5,2.4098851409100207e-5,1.4308787098885956e-7,6.828644731011672e-8,2.252443911786311e-7
GE Milan far,1.9246346827541535e-5,1.92096237117833e-5,1.929086512478394e-5,1.4271957199525805e-7,1.0846441011889782e-7,1.883652348335937e-7
GE split !present,9.642988766724504e-5,9.6341584217155e-5,9.666514988509602e-5,4.2410301382826705e-7,1.88287166444666e-7,8.097960834402813e-7
GE caseof !present,2.912711847363573e-5,2.9105667682254185e-5,2.9160018910470637e-5,8.336699586884282e-8,5.167088785442526e-8,1.4038696070258023e-7
GE Twan !present,2.5127786078090717e-5,2.506690387650639e-5,2.5224373185169224e-5,2.5464682994406074e-7,1.8102769246886717e-7,3.46276607937951e-7
GE Milan !present,2.451428387946678e-5,2.40955669174444e-5,2.5030867366844515e-5,1.5377224792219767e-6,1.3148297431883192e-6,1.7798809451297838e-6
GE split !absent,1.2436499266545552e-4,1.2411490093244468e-4,1.2469496611608056e-4,9.522049230371044e-7,7.539153592339108e-7,1.3529675392765034e-6
GE caseof !absent,3.663056030310971e-5,3.6542150582092744e-5,3.6757107788155674e-5,3.6086177383337035e-7,2.9291662528306157e-7,4.3777786305441517e-7
GE Twan !absent,2.954696909829961e-5,2.9516451955564146e-5,2.961191642553799e-5,1.4439904194476113e-7,8.106829066103817e-8,2.268080318325463e-7
GE Milan !absent,3.04457610222398e-5,3.036223395953622e-5,3.053445802055408e-5,2.950273872121349e-7,2.575890940816937e-7,3.362151183596416e-7
GE split !far,8.172436744275037e-5,7.988209020558308e-5,8.752640570762147e-5,9.736931755932553e-6,2.9045877448991514e-7,2.0021140888955064e-5
GE caseof !far,2.1643240996836568e-5,2.1636177501877912e-5,2.1651756030410737e-5,2.5513785954901038e-8,1.9870698301144528e-8,3.497616825943905e-8
GE Twan !far,2.4069225568634415e-5,2.404645318637093e-5,2.4151830261661173e-5,1.3132098354557438e-7,3.028086095384478e-8,2.725223836646363e-7
GE Milan !far,1.976136902860837e-5,1.9614754215256478e-5,2.008534539627328e-5,7.365415426480678e-7,3.7678559079552166e-7,1.3333866595872316e-6
