Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,7.235844836803369e-8,7.228665702448552e-8,7.249274222370291e-8,3.2426955050304676e-10,2.3218374571083218e-10,4.490998419006729e-10
union-disj_nn,7.262613576611492e-8,7.259433369880278e-8,7.269588074854098e-8,1.4991014189462427e-10,8.010750427066344e-11,2.8866697311530316e-10
union-disj_ns,6.182527648564383e-8,6.174801973154532e-8,6.192087756959111e-8,2.984653680416118e-10,2.2942106471405965e-10,4.3217963537957625e-10
union-disj_ns,6.166640395318053e-8,6.162937278156494e-8,6.170954443402375e-8,1.3172719923927245e-10,1.065435299393164e-10,1.766215956223021e-10
union-disj_sn,6.211925902571182e-8,6.210462205378099e-8,6.213648800831689e-8,5.498073411414331e-11,3.999439131006165e-11,8.435710663785158e-11
union-disj_sn,6.233857065366173e-8,6.226528964390276e-8,6.243524691271299e-8,2.7031342718606835e-10,2.072678146844423e-10,3.4163625859290664e-10
union-disj_nt,4.636895879624156e-8,4.634909921762702e-8,4.639189754999083e-8,7.071173515608543e-11,6.200755066588407e-11,8.385562473270543e-11
union-disj_nt,4.634237682477827e-8,4.63220224697069e-8,4.640622758224879e-8,1.1065649211220563e-10,4.323606655380996e-11,2.1854734651901723e-10
union-disj_tn,4.760197772564511e-8,4.753720384187703e-8,4.772651666263314e-8,2.894202874435598e-10,1.8615002569155694e-10,4.360251699092262e-10
union-disj_tn,4.90708869030873e-8,4.8860573675071014e-8,4.920009692298386e-8,5.436891807056453e-10,3.5611503966556394e-10,7.238338540507654e-10
union-common_nn,2.101705253792797e-5,2.097444529771539e-5,2.106188722296002e-5,1.5397661989034362e-7,1.2948297707288625e-7,1.853781830774225e-7
union-common_nn,2.1233660896085964e-5,2.1140704677403646e-5,2.151996255513051e-5,4.841173511073526e-7,1.815832279642404e-7,9.527307860301683e-7
union-common_ns,2.113566569905611e-5,2.1072218291887276e-5,2.125175992337402e-5,2.812184282625632e-7,1.7174720154416406e-7,4.187460133357243e-7
union-common_ns,2.1159684916411406e-5,2.1100014485323946e-5,2.1237345680792825e-5,2.4131164834520016e-7,1.7435020698641339e-7,3.3398444559261046e-7
union-common_sn,2.1240314810632952e-5,2.1148791095586467e-5,2.1392846365161652e-5,3.8433181725506706e-7,2.3222700363381407e-7,6.796733940077156e-7
union-common_sn,2.1255101532981928e-5,2.1156304378089324e-5,2.1385165707232735e-5,3.810183606233828e-7,2.872015800120663e-7,5.010535615200937e-7
union-common_nt,9.355329647171735e-6,9.230397424944765e-6,9.48816620483725e-6,4.265456914379474e-7,3.508331601044592e-7,5.430750081970268e-7
union-common_nt,1.0031002127292513e-5,9.865009378289648e-6,1.0209813237699845e-5,5.782413838474415e-7,4.849795183195814e-7,7.231800911805232e-7
union-common_tn,8.64719806247624e-6,8.619620398755276e-6,8.690108225818794e-6,1.138205115063586e-7,7.50994555819836e-8,1.620404314584774e-7
union-common_tn,8.785535631885017e-6,8.711006109708097e-6,8.925379982791075e-6,3.351201350588489e-7,2.4921599879002164e-7,5.286884301614975e-7
union-mix_nn,4.6271909441172914e-5,4.61084774539821e-5,4.658465290644398e-5,7.972831417801094e-7,5.529116500996505e-7,1.1374703245963405e-6
union-mix_nn,4.564650618738052e-5,4.5558579565499345e-5,4.580937909510539e-5,3.855635582678005e-7,2.079031049469739e-7,6.021650713158155e-7
union-mix_ns,2.3776592940006648e-5,2.3708412844636574e-5,2.3867291747157246e-5,2.65426162624299e-7,2.1399959186627095e-7,3.2690486836427374e-7
union-mix_ns,2.386116372586155e-5,2.376230719058409e-5,2.398768824541385e-5,3.799534494152006e-7,3.097606200248038e-7,5.205306237132889e-7
union-mix_sn,2.4066772858847053e-5,2.3892330913679475e-5,2.4358859928422306e-5,7.246270685393132e-7,5.007209923526561e-7,1.1410767388381534e-6
union-mix_sn,2.3713444019902333e-5,2.3647138271350908e-5,2.379593578359399e-5,2.50939938527314e-7,2.044003180646262e-7,3.0864047935270355e-7
union-mix_nt,9.35716011841482e-6,9.239587034332115e-6,9.517331577490166e-6,4.813117583808547e-7,3.5753433027853147e-7,7.072799000353014e-7
union-mix_nt,1.0004429173788883e-5,9.857994094095416e-6,1.018432714545943e-5,5.459139869229508e-7,4.481709770038155e-7,6.860671322608573e-7
union-mix_tn,9.518195703009072e-6,9.403068565387073e-6,9.649959573736363e-6,4.094479655850095e-7,3.379026932230592e-7,5.045077036115061e-7
union-mix_tn,9.480735757698144e-6,9.374410693907809e-6,9.60823241493263e-6,4.1508138407718664e-7,3.142094823809025e-7,6.133596360627093e-7
union-block_nn,2.263041188492046e-5,2.2205302488245987e-5,2.3114165885295215e-5,1.4692680015060606e-6,1.2675709826463828e-6,1.7368174141952838e-6
union-block_nn,2.109128383609203e-5,2.080107009334967e-5,2.1360335108269566e-5,9.167739521794562e-7,7.652436266001729e-7,1.1830608253340984e-6
union-block_ns,2.2212470119593745e-6,2.1937843376696684e-6,2.2546370740499855e-6,1.0111806759359044e-7,7.544157256840107e-8,1.3397849372336907e-7
union-block_ns,2.229157616499984e-6,2.2036284281525356e-6,2.2635892704836457e-6,9.820762013025602e-8,7.160765665838792e-8,1.416442408612678e-7
union-block_sn,2.309831405374885e-6,2.278827256980896e-6,2.3690702688666287e-6,1.3947105884062294e-7,1.000542003404386e-7,2.0653181339187018e-7
union-block_sn,2.2544800144616413e-6,2.2378198769344206e-6,2.273722889061489e-6,6.094169783702548e-8,5.133559877625366e-8,7.957138577053163e-8
difference-disj_nn,6.77465261424445e-8,6.728906281922312e-8,6.860547187234283e-8,1.9801654494112885e-9,1.1204420724127103e-9,3.4601176248735695e-9
difference-disj_nn,6.972560720344237e-8,6.841498202101065e-8,7.125986297468406e-8,4.851172609369441e-9,4.061783263660023e-9,6.497545435019484e-9
difference-disj_ns,6.014159689319218e-8,6.013441767449873e-8,6.015398936970918e-8,2.9923836108960505e-11,1.9756192295967637e-11,4.381789170613724e-11
difference-disj_ns,6.015288455483809e-8,6.013770369272377e-8,6.017562925962572e-8,6.051413897448299e-11,4.701328484800368e-11,7.79729288552584e-11
difference-disj_sn,6.139021647283481e-8,6.125000948868698e-8,6.158737829388328e-8,5.665724706500279e-10,4.775199021606301e-10,6.698128820574211e-10
difference-disj_sn,6.147656704081801e-8,6.131155678510939e-8,6.165746363660075e-8,6.081897561249332e-10,5.076640056010762e-10,7.259588577647831e-10
difference-disj_nt,4.842044965339401e-8,4.8394501519003564e-8,4.84927103991636e-8,1.3328976030011878e-10,5.644701513118173e-11,2.556025103010752e-10
difference-disj_nt,5.058018090381502e-8,5.0067696053785663e-8,5.106650276151486e-8,1.6091388727601572e-9,1.3992614425667935e-9,1.8935744411633493e-9
difference-disj_tn,4.168156259446901e-8,4.167336059747203e-8,4.170573959744861e-8,4.228197586368794e-11,1.6350833045076713e-11,8.277487093119394e-11
difference-disj_tn,4.290953786036959e-8,4.256300520633114e-8,4.329042679289943e-8,1.2461242844093302e-9,9.94639819582607e-10,1.595931084456346e-9
difference-common_nn,2.5176047867640465e-5,2.501828451192014e-5,2.5342227307718765e-5,5.53606300794863e-7,4.5669031150683133e-7,6.925505562693864e-7
difference-common_nn,2.5824736877360083e-5,2.5622632808093425e-5,2.6097250353637734e-5,7.94750505982683e-7,6.111550762939851e-7,1.1439334047911957e-6
difference-common_ns,2.4861383290644386e-5,2.472295452463496e-5,2.5013314408960546e-5,4.863156700342533e-7,3.957181711943706e-7,6.145509505554744e-7
difference-common_ns,2.5559470575436718e-5,2.5349898611736573e-5,2.578798074758904e-5,7.087842931122206e-7,5.664766459012738e-7,8.960440043693385e-7
difference-common_sn,1.5757861345911644e-5,1.574724297800378e-5,1.577082583460354e-5,3.8428081165630306e-8,2.9408036111797797e-8,4.8962812470435885e-8
difference-common_sn,1.548092775229944e-5,1.5470066317556633e-5,1.5491923312214186e-5,3.685768663943464e-8,3.142021831199451e-8,4.33026839300722e-8
difference-common_nt,1.0967169878376586e-5,1.0924545040955932e-5,1.1013591714832203e-5,1.4724639839141224e-7,1.2209517046716847e-7,1.874727018740574e-7
difference-common_nt,1.0962486534209184e-5,1.090703949366627e-5,1.1023523754243039e-5,1.9577201459792713e-7,1.6735421492691383e-7,2.3304024718782675e-7
difference-common_tn,4.9984454528111725e-6,4.997631445212482e-6,4.999501219463679e-6,3.10091336581323e-9,2.4395102125140896e-9,4.2104003677878585e-9
difference-common_tn,5.000019689162563e-6,4.9800733511183385e-6,5.132751249625904e-6,1.2444847513323405e-7,7.696854723539136e-9,3.2058181287643985e-7
difference-mix_nn,5.31050832096584e-5,5.283337994703094e-5,5.346079174327596e-5,1.0364464954798157e-6,8.477008033312772e-7,1.3446341371531864e-6
difference-mix_nn,5.233881281492013e-5,5.210606189878729e-5,5.2622772872852284e-5,8.495304699084045e-7,6.716466509380135e-7,1.2026081793069733e-6
difference-mix_ns,2.6672856318914755e-5,2.66025832434472e-5,2.679084307647449e-5,3.0849669314466276e-7,2.0762508712970677e-7,5.282006964990307e-7
difference-mix_ns,2.6690411433997335e-5,2.663207910276743e-5,2.677678033402096e-5,2.319412069507469e-7,1.9234489626692953e-7,2.740430420857678e-7
difference-mix_sn,2.683002613167646e-5,2.6749219305740262e-5,2.6926733133418285e-5,3.039389426619048e-7,2.5372845459290516e-7,3.6637258499257324e-7
difference-mix_sn,2.6750376880640384e-5,2.666021642500031e-5,2.6854142313779136e-5,3.1788883501042296e-7,2.7251841136518435e-7,3.661953988616337e-7
difference-mix_nt,1.1075524085438855e-5,1.0957827096386187e-5,1.1233092540287755e-5,4.6078276005820036e-7,3.184502841600192e-7,6.244039945429531e-7
difference-mix_nt,1.0990733730695962e-5,1.0936609785593039e-5,1.1052988747687115e-5,1.956633306021447e-7,1.618634750666745e-7,2.390629774646886e-7
difference-mix_tn,7.159346085786177e-6,7.065143379249626e-6,7.285971143902869e-6,3.5503652019727695e-7,2.624491259706819e-7,4.850864454161924e-7
difference-mix_tn,7.576169653713533e-6,7.390740604586303e-6,7.8828943948063e-6,8.287089045062932e-7,5.975653963403831e-7,1.1017166701348249e-6
difference-block_nn,2.20314532938868e-5,2.1463007760940112e-5,2.2566145389005567e-5,1.7712765718917435e-6,1.5586764591371974e-6,2.028460748705443e-6
difference-block_nn,2.2422394925036605e-5,2.1917732479932757e-5,2.2869655271342372e-5,1.6568200359733811e-6,1.4550864523263688e-6,1.982393742732987e-6
difference-block_ns,2.7563977438557527e-6,2.6424194649843994e-6,2.891477800845543e-6,4.119140348860245e-7,3.423369795167969e-7,5.019623055522668e-7
difference-block_ns,2.695162010283636e-6,2.613494616028872e-6,2.818641566289185e-6,3.560927883950176e-7,2.735578235110297e-7,4.696812007802837e-7
difference-block_sn,2.0407825912753904e-6,1.9732383214943225e-6,2.1560870845530517e-6,2.9240175341757714e-7,2.0182696757307262e-7,4.116141229998291e-7
difference-block_sn,1.9774923039565673e-6,1.9325988331777277e-6,2.0712544840442084e-6,2.0094102995058005e-7,1.2757828190356307e-7,3.0962410713269386e-7
intersection-disj_nn,4.562843796353949e-8,4.561927750467211e-8,4.564995899470474e-8,4.77821647107705e-11,2.6992221338217513e-11,8.619311843912286e-11
intersection-disj_nn,4.561806779211307e-8,4.561239514344797e-8,4.5627530693060085e-8,2.4372250190570938e-11,1.6008204469054436e-11,3.556817441182538e-11
intersection-disj_ns,3.986107460270074e-8,3.9834828645973124e-8,3.998270059503746e-8,1.5760695482442527e-10,1.696182964788552e-11,3.588177994536388e-10
intersection-disj_ns,3.983835293557325e-8,3.983389341113724e-8,3.98476498869199e-8,2.0104278762566583e-11,1.1420933562434735e-11,3.69483135221142e-11
intersection-disj_sn,4.090434694162629e-8,4.089886357124979e-8,4.0910828563826277e-8,2.027726640044332e-11,1.6600065643599138e-11,2.511114592688689e-11
intersection-disj_sn,4.099271328524665e-8,4.097276238774167e-8,4.101894171966253e-8,7.692947457525034e-11,5.641517008815128e-11,1.1754486405313418e-10
