Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,1.0050831931318479e-7,1.0049308103731477e-7,1.0052132756829461e-7,4.798369672525562e-11,3.7722678194176585e-11,6.358142615503889e-11
union-disj_nn,1.0162649537897892e-7,1.0160842436850271e-7,1.0165104845546427e-7,6.984193387400909e-11,4.641472389125009e-11,1.0431230236808729e-10
union-disj_ns,8.94463602985676e-8,8.88241769124259e-8,9.04186589792322e-8,2.582067714155927e-9,1.688921086172115e-9,3.348269617731888e-9
union-disj_ns,8.98124085572731e-8,8.910937010031549e-8,9.066435592259606e-8,2.6905785774431482e-9,1.9862287601823126e-9,3.329398363174167e-9
union-disj_sn,9.277570264173219e-8,9.270591384480493e-8,9.288183513992065e-8,2.7512442505772613e-10,2.0851229109573315e-10,3.560704848494697e-10
union-disj_sn,9.272896202872584e-8,9.271454801212239e-8,9.274989415427868e-8,5.7897288803326423e-11,4.44243253032195e-11,8.020361530592522e-11
union-disj_nt,7.455248286119227e-8,7.390508266589705e-8,7.521687018412066e-8,2.180509296523324e-9,1.9815721280808115e-9,2.4045874674765072e-9
union-disj_nt,7.34254632664124e-8,7.289901711278161e-8,7.400569843229938e-8,1.871581109185989e-9,1.564873463745299e-9,2.2113905144569936e-9
union-disj_tn,7.628326903958119e-8,7.622296622254949e-8,7.646811012974057e-8,3.268497332648408e-10,1.030634243178573e-10,6.520568110776645e-10
union-disj_tn,7.626173470015e-8,7.623531276931756e-8,7.63016207763733e-8,1.0581375096869432e-10,7.05179345161502e-11,1.6909803735086426e-10
union-common_nn,5.22437981718705e-3,4.881003519073831e-3,5.832693248295442e-3,1.2602207731562936e-3,7.513343773352802e-4,2.1745576835790633e-3
union-common_nn,5.152887075387671e-3,4.871689517043426e-3,5.587164196738201e-3,9.96568207838825e-4,7.267556260943731e-4,1.4812847521043942e-3
union-common_ns,1.2009791148647904e-3,1.1568784245421947e-3,1.3031779655343929e-3,2.0128685605568663e-4,1.053395287910986e-4,3.7566857628850564e-4
union-common_ns,1.1994948918752843e-3,1.1562151147352458e-3,1.290285693748616e-3,2.0473616971704978e-4,1.0930315886075789e-4,3.7133467820261084e-4
union-common_sn,1.2386006307139286e-3,1.1950159180445605e-3,1.3251270050698963e-3,1.999660704395237e-4,1.0989938461874218e-4,3.552335545896735e-4
union-common_sn,1.239214376911978e-3,1.1950776375143338e-3,1.3473246884088239e-3,2.0978572935204082e-4,1.2352293212390257e-4,4.20574503112113e-4
union-common_nt,5.280299651028517e-5,5.250393442839394e-5,5.3231393929665274e-5,1.1240540044403449e-6,8.157303323529008e-7,1.374322727210732e-6
union-common_nt,5.380769811938978e-5,5.3459182014035894e-5,5.4230715302757904e-5,1.311386594445906e-6,1.1690415862546052e-6,1.5050595087428658e-6
union-common_tn,5.369540607874944e-5,5.3166866730855813e-5,5.4219513620127715e-5,1.6982143833197065e-6,1.4250486694986713e-6,2.0255159077339152e-6
union-common_tn,5.4392498878989074e-5,5.400348122134863e-5,5.4841441682823994e-5,1.3759168314534343e-6,1.1478288480179405e-6,1.6424014215981602e-6
union-mix_nn,1.1300693752112541e-2,1.0678481375488368e-2,1.1990486119534276e-2,1.72741999162834e-3,1.2969155826911976e-3,2.628542892524162e-3
union-mix_nn,1.1272478834113727e-2,1.0684683223418518e-2,1.1973208801284163e-2,1.7078003051753333e-3,1.2776337310696625e-3,2.4979710097064547e-3
union-mix_ns,1.3608444278080272e-3,1.2976881499117926e-3,1.4907733141526997e-3,2.9140014461880796e-4,1.751776785655146e-4,4.929993349953156e-4
union-mix_ns,1.363061895332627e-3,1.297383424139662e-3,1.4894889665358062e-3,3.08316172270726e-4,1.8809235877569137e-4,5.251779514369847e-4
union-mix_sn,1.3559669102829895e-3,1.2861950199178796e-3,1.4995854712553575e-3,3.047086522065933e-4,1.7211101299463937e-4,5.398048212417216e-4
union-mix_sn,1.3510068201696714e-3,1.2835816722960485e-3,1.4783715976530382e-3,2.9606837468128564e-4,1.774943082319184e-4,5.01102720969535e-4
union-mix_nt,4.972286969626021e-5,4.9600977089106394e-5,4.983381839918376e-5,4.0083715111707824e-7,3.358034578130178e-7,5.082933945441159e-7
union-mix_nt,4.946015454520663e-5,4.934235080683418e-5,4.9590715310763805e-5,3.972738252936288e-7,3.344812050736075e-7,4.7538426718203456e-7
union-mix_tn,5.240534630337996e-5,5.20901851760497e-5,5.2750219789137893e-5,1.1348982642353847e-6,9.132873871224693e-7,1.406975338172923e-6
union-mix_tn,5.2722768525623966e-5,5.23910775253958e-5,5.3005115372461034e-5,1.0923894946480303e-6,9.27024904433523e-7,1.311394456968323e-6
union-block_nn,5.990422933891428e-5,5.9201054859729536e-5,6.0544283523298794e-5,2.24062973406423e-6,1.9120769373868717e-6,2.6392272927855824e-6
