Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,5.228788708404419e-6,5.228188822486967e-6,5.229601934178488e-6,2.3061744748505883e-9,1.7884753315499149e-9,2.9218252730775514e-9
union-disj_nn,5.280740585718174e-6,5.279994504266087e-6,5.281519176694637e-6,2.511417805421847e-9,1.9965290746228276e-9,3.333026016935806e-9
union-disj_ns,3.7081021137186635e-6,3.7055148596200143e-6,3.71158104143468e-6,1.003006667167716e-8,7.567824816509988e-9,1.2771242075501686e-8
union-disj_ns,3.7125130059218993e-6,3.710505839295333e-6,3.7158949395171075e-6,8.72507028602635e-9,6.013075886805407e-9,1.365392923961316e-8
union-disj_sn,4.32733138479041e-6,4.326432734761541e-6,4.329184268121323e-6,4.2095428463227785e-9,2.6549465198935725e-9,6.805114719274245e-9
union-disj_sn,4.332303909946806e-6,4.3315868157876884e-6,4.334133079872114e-6,3.5838965002697367e-9,1.3743708072927733e-9,7.438765351714646e-9
union-disj_nt,2.405301344026714e-6,2.3769929694678744e-6,2.4279111447695085e-6,8.486863632454731e-8,6.754545371453231e-8,1.0022180704891992e-7
union-disj_nt,2.4343129903481395e-6,2.4131669177372793e-6,2.448336728556483e-6,5.870937671900055e-8,4.350364587129732e-8,8.756746327934001e-8
union-disj_tn,2.8111608370633487e-6,2.8107723837647756e-6,2.8115106551710146e-6,1.251500252169846e-9,1.074615831747807e-9,1.723936419299331e-9
union-disj_tn,2.802953969904522e-6,2.802743962284826e-6,2.8032124738491755e-6,7.510208379743187e-10,4.972708635334331e-10,1.1365850639697423e-9
union-common_nn,9.592405454321791e-4,9.579399736343334e-4,9.61455780917385e-4,5.5406471120734316e-6,4.174291907009956e-6,7.505834037297196e-6
union-common_nn,8.530126355149997e-4,8.510512227092702e-4,8.567450723845599e-4,9.100829459401796e-6,5.868049472128486e-6,1.6351824987809014e-5
union-common_ns,8.233318635069445e-4,8.194609621244853e-4,8.295347361289593e-4,1.5710412602568736e-5,1.1198899764545766e-5,2.2292135644268898e-5
union-common_ns,8.880963041454345e-4,8.855715312251465e-4,8.909874000769742e-4,9.189936693932586e-6,7.672745469390131e-6,1.1017172241767235e-5
union-common_sn,4.989493209287264e-3,4.666171350256919e-3,5.559370883802782e-3,1.2101784651016101e-3,7.81378215016707e-4,2.1291225774905235e-3
union-common_sn,4.945466714514345e-3,4.651021674804209e-3,5.332681275103247e-3,1.0256174020080188e-3,7.795060987369701e-4,1.5413365686287423e-3
