Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
GE split present,4.1190300730486014e-4,4.07367754684411e-4,4.15988949077009e-4,1.5081826648285338e-5,1.3247414321127274e-5,1.7133804823553265e-5
GE Craig present,1.850756366123437e-4,1.843583376052159e-4,1.8565082771269468e-4,2.156307079773406e-6,1.5931138738624789e-6,2.7707807869787324e-6
GE Twan present,1.7542172592030584e-4,1.7534242373295838e-4,1.7551537495109898e-4,2.849767214119799e-7,2.2256572834421725e-7,3.469496344531872e-7
GE Milan present,1.4916352848691074e-4,1.489407602376599e-4,1.4929524723601608e-4,5.501710646073725e-7,3.6424245004964934e-7,8.248094594761983e-7
GE split absent,4.2927752531941784e-4,4.2808696288715645e-4,4.308684112231803e-4,4.8093779346961966e-6,3.757713338662615e-6,6.339887896238999e-6
GE Craig absent,1.732316325709631e-4,1.7312761181321578e-4,1.732876782769428e-4,2.5623411861147993e-7,1.8745826812224237e-7,3.5771262247006975e-7
GE Twan absent,1.6172684868917517e-4,1.6140738035087698e-4,1.6188315622901172e-4,7.969911782468838e-7,4.7546121321640104e-7,1.4465322830789116e-6
GE Milan absent,1.4018685691816212e-4,1.4008855485091707e-4,1.4025795393520453e-4,2.805319258339517e-7,2.1103497070462048e-7,4.050468090990972e-7
GE split far,3.889370500490365e-4,3.871036906932973e-4,3.9024654879483853e-4,4.984480862558562e-6,4.003521835780697e-6,6.9031017273924634e-6
GE Craig far,1.7397263925555959e-4,1.7250918773762053e-4,1.7506094921965543e-4,4.346285215320678e-6,3.2172538276503926e-6,5.50434864583618e-6
GE Twan far,1.3378503376995803e-4,1.3338955567193558e-4,1.3462054338011633e-4,1.8284202248928553e-6,8.521674672792211e-7,3.199559681119045e-6
GE Milan far,1.1936121143969012e-4,1.1920087901891568e-4,1.1948093801215482e-4,4.6159242610325835e-7,3.3599367301441503e-7,5.948126759456408e-7
GE split !present,4.0990153137487287e-4,4.05148702503023e-4,4.142062438255826e-4,1.4131604899309889e-5,1.1897351372337659e-5,1.6789563028860657e-5
GE Craig !present,1.8110793082901883e-4,1.7862618198626043e-4,1.8297172960614024e-4,7.276209630982282e-6,6.342168030637602e-6,8.34464174554752e-6
GE Twan !present,1.7715003936603744e-4,1.766065431208353e-4,1.774690838177852e-4,1.3548367213667969e-6,8.621644012841168e-7,2.056135557920259e-6
GE Milan !present,1.5502235674802922e-4,1.5488133596080453e-4,1.5512560218693483e-4,3.999709341084112e-7,3.0800862219361246e-7,5.591745306378309e-7
GE split !absent,4.2417079002204054e-4,4.231361973218086e-4,4.251928561641566e-4,3.456133895834653e-6,2.816685435804044e-6,4.1093669657734295e-6
GE Craig !absent,1.7238524738491992e-4,1.7104739325479658e-4,1.7326818737540273e-4,3.849381217619387e-6,2.8755474322060598e-6,5.1451312683463505e-6
GE Twan !absent,1.631228282865603e-4,1.6284180955498904e-4,1.6333239165227596e-4,7.866420566499492e-7,5.922338401578701e-7,1.0441388785379408e-6
GE Milan !absent,1.448544269712381e-4,1.4468004832433962e-4,1.4497408314187703e-4,4.793184525369456e-7,3.821314047121872e-7,6.507181906629003e-7
GE split !far,3.528721271697892e-4,3.5145018950379433e-4,3.5758317254214715e-4,8.310267303237269e-6,1.7124767122667988e-6,1.7177340599315602e-5
GE Craig !far,1.6956837315972506e-4,1.6869759283883316e-4,1.7015681111845848e-4,2.3948945370889924e-6,1.699534721562689e-6,3.390412547543517e-6
GE Twan !far,1.379668619968786e-4,1.361623508755106e-4,1.423724738039196e-4,8.769361554072033e-6,5.4260538670191904e-6,1.2575255356121055e-5
GE Milan !far,1.247171571252139e-4,1.2458444084891625e-4,1.2478051340733797e-4,2.8845058219215563e-7,1.8138854952221393e-7,4.943880030571771e-7
