Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,1.0012911735518517e-7,1.000444298868984e-7,1.0037699904761127e-7,5.222650649767729e-10,4.960341325899908e-11,1.0065013860560415e-9
union-disj_nn,1.0061392881705005e-7,1.0059760886122618e-7,1.0063371853334055e-7,6.038239932393257e-11,5.2669385858077235e-11,7.094673654623238e-11
union-disj_ns,8.978581557046104e-8,8.913330040898325e-8,9.087469266215879e-8,2.6663477035820524e-9,1.9486867416559376e-9,3.5225991982124106e-9
union-disj_ns,8.883262897386263e-8,8.863622716726332e-8,8.912293191671354e-8,8.176656498941141e-10,5.452351916934744e-10,1.0807570016929798e-9
union-disj_sn,9.058629464402047e-8,9.057841071074915e-8,9.059790668398448e-8,3.393192933219319e-11,2.169216530443377e-11,5.297844033230814e-11
union-disj_sn,9.056391563212336e-8,9.054262529491459e-8,9.060417530408407e-8,9.783582208755177e-11,5.708250258239785e-11,1.5199393303859154e-10
union-disj_nt,7.633549025182896e-8,7.584532809868913e-8,7.669832303627323e-8,1.3651230291329778e-9,9.861764623094169e-10,1.8048061161239609e-9
union-disj_nt,7.594912683930891e-8,7.543537726694335e-8,7.629794226582878e-8,1.405500876984671e-9,1.1172859037973634e-9,1.887608528210528e-9
union-disj_tn,7.521414866858757e-8,7.505748864577489e-8,7.540888749829643e-8,6.009066761892603e-10,4.899820852482217e-10,8.547831793646301e-10
union-disj_tn,7.554026490296418e-8,7.528232626495461e-8,7.593438186891226e-8,1.1050242058659592e-9,7.825968438235475e-10,1.6790341930140853e-9
union-common_nn,5.245363307397937e-3,4.965426116150388e-3,5.8800932585620904e-3,1.2406163211924324e-3,7.55394679998754e-4,2.1956454866105964e-3
union-common_nn,5.193037505402317e-3,4.8860335478806e-3,5.583474873116019e-3,9.860223146514744e-4,7.328282619650107e-4,1.4905616101727748e-3
union-common_ns,1.2034174178602221e-3,1.1647186418781137e-3,1.2881253345071275e-3,1.980531500194066e-4,1.0533610623824483e-4,3.516938947449642e-4
union-common_ns,1.2176082721518258e-3,1.1780556414830974e-3,1.3085892570232414e-3,1.9872575406679795e-4,1.121913192877326e-4,3.2393525743613526e-4
union-common_sn,1.2288739141789351e-3,1.1901260508779242e-3,1.3303488011355677e-3,1.945975681327209e-4,1.0352135766320292e-4,3.500730640015789e-4
union-common_sn,1.2317927023228112e-3,1.189407044021678e-3,1.3372111896911316e-3,1.9902811625265035e-4,1.029849474551266e-4,3.828787311653506e-4
union-common_nt,5.346636320146232e-5,5.3364227053585e-5,5.364543523540272e-5,4.260300753173135e-7,2.9632984264258843e-7,7.062785126903288e-7
union-common_nt,5.357468397486019e-5,5.3440429902791354e-5,5.372029069308327e-5,4.595064433672311e-7,3.718643154771459e-7,5.696419955569471e-7
union-common_tn,5.0516250973509e-5,5.037962913898924e-5,5.071515390575284e-5,5.650384552741041e-7,3.915388751062034e-7,8.637546065509301e-7
union-common_tn,5.0193579761852294e-5,5.006129207462521e-5,5.034917709269368e-5,4.835925007219935e-7,3.7379268868060783e-7,6.905402952558685e-7
union-mix_nn,1.1333271084302252e-2,1.0726097595330468e-2,1.2112415134769194e-2,1.759510461644732e-3,1.2995649411029816e-3,2.428738008609799e-3
union-mix_nn,1.1333577716975043e-2,1.0655067512019839e-2,1.1983493406594636e-2,1.7538983663177715e-3,1.3001888950366376e-3,2.549181989986639e-3
union-mix_ns,1.373867343777251e-3,1.3148822034263392e-3,1.505337750863851e-3,2.8783029980894464e-4,1.7754057897041792e-4,4.7433631394227095e-4
union-mix_ns,1.368969135150271e-3,1.31195858659194e-3,1.5031151064316647e-3,2.8870490991672994e-4,1.7240564430540784e-4,4.995476998030882e-4
union-mix_sn,1.3496130146323166e-3,1.2875015965885782e-3,1.480036203323955e-3,2.89153592570385e-4,1.797447556684283e-4,4.911775269605232e-4
union-mix_sn,1.3485854490175623e-3,1.2836877110256164e-3,1.4996238624050775e-3,2.9380655245883657e-4,1.78472476299043e-4,5.221437954342061e-4
union-mix_nt,5.2859802935686814e-5,5.247239960092449e-5,5.319361649764507e-5,1.2368442977585462e-6,9.95826742979824e-7,1.6225108612012485e-6
union-mix_nt,5.209059239937939e-5,5.169778244364057e-5,5.246330181881994e-5,1.262861796724859e-6,1.0476543937592668e-6,1.5616874957188174e-6
union-mix_tn,4.833093706089569e-5,4.813068210016752e-5,4.851735729148204e-5,6.029568632164157e-7,5.188239061458104e-7,7.324665044447724e-7
