Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,9.996183946326452e-8,9.994891173265971e-8,9.99806438903295e-8,5.1638283529509193e-11,3.803562434931712e-11,8.388448150865291e-11
union-disj_nn,1.0066881202980049e-7,1.0065721022552359e-7,1.0069131201053953e-7,5.095000445925421e-11,3.301529806338744e-11,7.978316621332542e-11
union-disj_ns,9.005682802447694e-8,8.999149701850782e-8,9.03643187556985e-8,4.07845877775048e-10,3.134100888002089e-11,9.355237763439194e-10
union-disj_ns,8.998817285284197e-8,8.997562473446286e-8,9.000398604948454e-8,4.682844296063216e-11,3.535010947379383e-11,6.28291069444005e-11
union-disj_sn,9.299591082507184e-8,9.250770773346295e-8,9.379595909286297e-8,2.149264479374611e-9,1.5015756921362094e-9,3.1204728790855697e-9
union-disj_sn,9.245583943837568e-8,9.197537123734854e-8,9.355335441607843e-8,2.293951108018749e-9,8.981028005233598e-10,4.0738070097720614e-9
union-disj_nt,8.02414220685451e-8,7.959207736916474e-8,8.076654140743656e-8,1.9942384141787445e-9,1.5108713851800163e-9,2.5245072646917682e-9
union-disj_nt,7.856726430264253e-8,7.774278770771048e-8,7.935220925374565e-8,2.6623125469072383e-9,2.3642374566438056e-9,2.96298692107869e-9
union-disj_tn,7.587442594073164e-8,7.560005474705879e-8,7.63309927050807e-8,1.1755033038330904e-9,8.205976155639816e-10,1.6378938313298956e-9
union-disj_tn,7.534322068314171e-8,7.526504319414346e-8,7.543940542648656e-8,2.945568980096745e-10,2.404634628203219e-10,3.60863551758757e-10
union-common_nn,5.215316619585447e-3,4.907754251019462e-3,5.789901313226248e-3,1.2464391256017812e-3,7.490073639751934e-4,2.2240941298334164e-3
union-common_nn,5.132027061977278e-3,4.84151695607641e-3,5.515780262508831e-3,9.846242707993284e-4,7.380218013280881e-4,1.5289627408348108e-3
union-common_ns,1.1930245941480365e-3,1.151001477069345e-3,1.2823138619953041e-3,2.0143795464792368e-4,1.102633472454912e-4,3.5555051354064105e-4
union-common_ns,1.192719433164104e-3,1.1495861744460984e-3,1.282904022973708e-3,2.0439602356184822e-4,1.0980160195060317e-4,4.0353239441456645e-4
union-common_sn,1.2251978030161886e-3,1.1835430798607341e-3,1.3261965363403688e-3,1.9936746675771252e-4,1.033060396111618e-4,3.561901331785354e-4
