Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,5.097407595795327e-6,5.096425043208175e-6,5.098792701190143e-6,3.748571921489112e-9,2.9543507612340248e-9,5.108399484888053e-9
union-disj_nn,5.174774726358432e-6,5.163549056456405e-6,5.186041437061349e-6,3.939634562221766e-8,3.350221768267533e-8,4.325674327191388e-8
union-disj_ns,3.6315719542797926e-6,3.6244120559994737e-6,3.642951702540131e-6,2.9177161477730995e-8,2.1889313680064733e-8,3.838598857835433e-8
union-disj_ns,3.6221350839939566e-6,3.6171020625866268e-6,3.631381653818431e-6,2.1678954142791885e-8,1.3446957217984408e-8,3.1815653319917783e-8
union-disj_sn,4.24623795381189e-6,4.2440708777114194e-6,4.251856694412458e-6,1.0474048540219049e-8,3.424356400986599e-9,2.166297368734571e-8
union-disj_sn,4.260814803316792e-6,4.254500101238114e-6,4.27001880613078e-6,2.711993955631473e-8,1.901211764059742e-8,3.9655014372278965e-8
union-disj_nt,2.2985915817394112e-6,2.270914177354449e-6,2.331143519411247e-6,1.0337269742826449e-7,9.279361507875633e-8,1.132498910541559e-7
union-disj_nt,2.2864269352641843e-6,2.2594318894772466e-6,2.3195837635952844e-6,1.0340272398846137e-7,9.166463958103524e-8,1.1526988336415499e-7
union-disj_tn,2.7678888363253004e-6,2.7675466531305107e-6,2.7683636198512413e-6,1.2926328475348686e-9,1.0758472813167343e-9,1.6102642597120751e-9
union-disj_tn,2.763039884666134e-6,2.7624927176181536e-6,2.7635199253479205e-6,1.7531377956871394e-9,1.431365885835851e-9,2.4341888641533125e-9
union-common_nn,9.87768661038798e-4,9.868361061785094e-4,9.897609543626346e-4,4.485857533263856e-6,2.5255961436898792e-6,8.132012400773333e-6
union-common_nn,8.636187853344753e-4,8.622286868635355e-4,8.655500562748115e-4,5.593125670515838e-6,4.251368275211412e-6,8.44767136513523e-6
union-common_ns,8.020707782931769e-4,7.993037254566636e-4,8.054228590862818e-4,1.0497207368902284e-5,8.118649067797752e-6,1.3838758439862196e-5
union-common_ns,9.04288078564189e-4,9.015601994740083e-4,9.081586636028098e-4,1.089051861896809e-5,7.876723866389839e-6,1.613681976727741e-5
union-common_sn,4.920360595526828e-3,4.597842033840528e-3,5.438794996393204e-3,1.2146492733102487e-3,8.059072078794993e-4,2.2471700400272646e-3
union-common_sn,4.8480939551013465e-3,4.557845333200476e-3,5.257260747631904e-3,1.0295080030921714e-3,7.877171236517087e-4,1.4346007870530049e-3
union-common_nt,5.5780332009345754e-5,5.5694167802594125e-5,5.604603349019127e-5,4.65315549578878e-7,1.5092901029149728e-7,9.395105238075759e-7
union-common_nt,5.610088932788418e-5,5.589281168957547e-5,5.660307181194895e-5,1.015269065343578e-6,5.287015944755513e-7,1.8050460569983563e-6
union-common_tn,1.1019799219235584e-4,1.100071813992557e-4,1.104839974845477e-4,7.414228157051311e-7,5.637310479960262e-7,1.1631934140310507e-6
union-common_tn,1.1053554862046472e-4,1.1026998438782212e-4,1.1090450808980753e-4,1.0116468369153036e-6,8.080882555726294e-7,1.2841657233419696e-6
union-mix_nn,2.5991827704952158e-2,2.4294194606588077e-2,2.737194557027307e-2,3.3704211746298177e-3,2.4408222984859188e-3,4.358775259205864e-3
union-mix_nn,2.581567091436447e-2,2.4233807693150394e-2,2.7001512807878644e-2,3.106885364473841e-3,2.195350780568179e-3,4.136932859895456e-3
union-mix_ns,5.576837029521874e-3,5.23524796563979e-3,6.052502424395853e-3,1.1728925791487442e-3,8.890109413433875e-4,1.7443011350575157e-3
union-mix_ns,5.587306433624227e-3,5.248871734862604e-3,6.045596384596056e-3,1.1650118692410243e-3,8.76411777665569e-4,1.7467698659667536e-3
union-mix_sn,6.765961630259671e-3,6.390718256918165e-3,7.279131780549203e-3,1.3197865951306987e-3,9.653914347964793e-4,1.8995751868683965e-3
union-mix_sn,6.737986425558045e-3,6.329397841746124e-3,7.298301963621442e-3,1.334365018568144e-3,1.016032604931852e-3,2.061499568727103e-3
union-mix_nt,1.0049637081701905e-4,1.0030954826641529e-4,1.0080872940478234e-4,8.217805668065429e-7,5.458445958611461e-7,1.4383912045966815e-6
union-mix_nt,1.0076625153531207e-4,1.0057250365769503e-4,1.0098956115930024e-4,7.040284983465426e-7,5.68969102358582e-7,9.45288820634425e-7
union-mix_tn,1.1453230732860113e-4,1.142020899985684e-4,1.1496560691621442e-4,1.202580144265958e-6,9.505795574950509e-7,1.6029218135119486e-6
union-mix_tn,1.1460907677607039e-4,1.1434636669318193e-4,1.1491576552621591e-4,9.605046762153922e-7,7.580460494347917e-7,1.3080409316425894e-6
union-block_nn,9.89648171477318e-4,9.500409725758678e-4,1.0677461421971688e-3,1.7953296167498323e-4,9.977951392165975e-5,3.216849602360208e-4
union-block_nn,9.876874938279441e-4,9.511625152084252e-4,1.0764376316346597e-3,1.794007114911991e-4,1.0413572073200245e-4,3.0841555794846573e-4
union-block_ns,7.585170214492616e-5,7.57573042267918e-5,7.601987411439379e-5,4.082475052004827e-7,2.6178403989685457e-7,6.138443492594271e-7
union-block_ns,7.61975673381031e-5,7.585783496785494e-5,7.655493871967325e-5,1.1724506540530284e-6,9.629665882131938e-7,1.4469502434806888e-6
union-block_sn,8.486052751027886e-5,8.474462623409651e-5,8.502997265598001e-5,4.702658020179104e-7,3.4700860666078073e-7,6.492879408549893e-7
union-block_sn,8.501353814404261e-5,8.486889686802139e-5,8.52047757309155e-5,5.562577566546506e-7,4.370468992551412e-7,7.33832905476626e-7
difference-disj_nn,3.7555608591687634e-6,3.7547627598140793e-6,3.7562270745526283e-6,2.3453625424130273e-9,1.8593239788198909e-9,3.0210774515506734e-9
difference-disj_nn,3.754400424969329e-6,3.7534065884337077e-6,3.7552522002869452e-6,2.940992741659887e-9,2.322543198469336e-9,3.5635720668896494e-9
difference-disj_ns,2.860358941347371e-6,2.857720831443634e-6,2.862285150683911e-6,7.83243221238175e-9,5.928690506023819e-9,1.0976062152554396e-8
difference-disj_ns,2.8679414542648997e-6,2.867190029162671e-6,2.8685224672132312e-6,2.3272652283825654e-9,1.8607510524383131e-9,2.8945250933064404e-9
difference-disj_sn,2.5600142384307555e-6,2.5491860344361445e-6,2.576768161866084e-6,4.386904676339505e-8,2.7614161973772916e-8,5.8214678912691e-8
difference-disj_sn,2.5598951680207448e-6,2.551896328293559e-6,2.5723769566706053e-6,3.172770170230969e-8,2.1415894026482208e-8,4.284334442694471e-8
difference-disj_nt,1.7735625496987882e-6,1.7733590455109635e-6,1.7738307954842467e-6,7.709180044596055e-10,6.264448108118384e-10,1.036365075978784e-9
difference-disj_nt,1.7720055344975627e-6,1.7711590061496881e-6,1.7765073084454511e-6,5.025431228558662e-9,7.650677139770476e-10,1.2173981109226731e-8
difference-disj_tn,1.6776374431286512e-6,1.6659498720547879e-6,1.6939557150366956e-6,4.515672679914504e-8,3.583259510751432e-8,5.2838798788633396e-8
difference-disj_tn,1.6776839606152086e-6,1.6666992509539799e-6,1.6925656461611667e-6,4.311340951237923e-8,3.470530769382668e-8,5.0562673393224444e-8
difference-common_nn,7.061588966963981e-3,6.6737537269264706e-3,7.669180041056003e-3,1.2865430420173974e-3,9.269800909832675e-4,2.072309798241182e-3
difference-common_nn,7.056177594706485e-3,6.6694057954246235e-3,7.598627524231589e-3,1.2968133991978225e-3,9.366684050029832e-4,2.0470090533394967e-3
difference-common_ns,5.964220282677093e-3,5.585817750937313e-3,6.469355402349825e-3,1.184890637024334e-3,8.931911664150144e-4,1.6343984002370724e-3
difference-common_ns,5.9747768918046165e-3,5.646621444540861e-3,6.437035356733058e-3,1.1865001136052405e-3,9.143641779920102e-4,1.6449808837880444e-3
difference-common_sn,1.2774355141884517e-3,1.273886258817217e-3,1.2830901335501867e-3,1.50954099048981e-5,1.0210600463681551e-5,2.1994311740898378e-5
difference-common_sn,1.2006558729326646e-3,1.194570795747403e-3,1.2101000537759257e-3,2.587285860127354e-5,1.9597424909316946e-5,3.6160074342659e-5
difference-common_nt,1.774834682696988e-4,1.7710656565527038e-4,1.7805190421299263e-4,1.6676997933294608e-6,1.1204519542131058e-6,2.4014138627763752e-6
difference-common_nt,1.7866582362032908e-4,1.7809229228807973e-4,1.794486618675399e-4,2.3489218211247806e-6,1.6232705539265143e-6,3.4468415356094853e-6
difference-common_tn,1.0179160544975656e-4,1.0169592126099716e-4,1.0208708732713267e-4,5.062015871595703e-7,1.9209914333828166e-7,1.0724164592160258e-6
difference-common_tn,1.018667629899521e-4,1.0175257463397704e-4,1.0224341034520525e-4,6.280765244989339e-7,1.8200714517045643e-7,1.2654469451435644e-6
difference-mix_nn,8.48659142777816e-3,8.477703687549637e-3,8.496489601786715e-3,2.6188162580321632e-5,2.1142228873445036e-5,3.567947013132424e-5
difference-mix_nn,8.30132447948644e-3,8.291887458757996e-3,8.313428274301746e-3,2.9693494472335258e-5,2.3727430074160453e-5,4.014322468077175e-5
difference-mix_ns,1.8327963198863817e-3,1.8292091027077486e-3,1.8364871274278252e-3,1.2391266506831517e-5,1.0011005567066923e-5,1.6053962643755365e-5
difference-mix_ns,1.8496139478765506e-3,1.8453035755896174e-3,1.8550789122289133e-3,1.7712767747398316e-5,1.2549671401642698e-5,2.608744779990037e-5
difference-mix_sn,1.8898106027316864e-3,1.8733771714042106e-3,1.9035170415128955e-3,5.27079706476564e-5,4.141967645177484e-5,6.313796447294499e-5
difference-mix_sn,1.7998075536945172e-3,1.7956073377120363e-3,1.8061572766986593e-3,1.7558549958764916e-5,1.2922951180111831e-5,2.4567403229861157e-5
difference-mix_nt,1.1363713730488783e-4,1.1359702343257248e-4,1.1370243658898842e-4,1.6673090798219663e-7,1.1441559212676264e-7,2.6693130508215435e-7
difference-mix_nt,1.1376595152659495e-4,1.1373259532386001e-4,1.1383652529817491e-4,1.4364273002044125e-7,7.133953519949979e-8,2.4103589994745145e-7
difference-mix_tn,1.0772734450773571e-4,1.0759759998899484e-4,1.0796292142882072e-4,5.83616017190532e-7,3.7402217227631417e-7,9.518982640452237e-7
difference-mix_tn,1.0754089456875795e-4,1.0739277464331281e-4,1.0804035427630213e-4,8.746715990697561e-7,1.3318538101236876e-7,1.8214157240925294e-6
difference-block_nn,4.6259665807104195e-4,4.6234305068161677e-4,4.6323384352971224e-4,1.2098588953996409e-6,2.4596296379942045e-7,2.154020916942395e-6
