Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,4.139166150839235e-6,4.138769106427723e-6,4.139662928605067e-6,1.5198528090505294e-9,1.1913680319025546e-9,1.974263701405274e-9
union-disj_nn,4.17257727413567e-6,4.1709349858933465e-6,4.174083925272885e-6,5.3023743235400096e-9,4.332319492246818e-9,6.545783533927456e-9
union-disj_ns,3.1294692723435652e-6,3.1222896598350568e-6,3.1348941820096106e-6,2.074550162018652e-8,1.6606626824442073e-8,2.4562871962002686e-8
union-disj_ns,3.099480924205966e-6,3.098231074926959e-6,3.1006300791580135e-6,3.9129965441456364e-9,2.836858392320772e-9,5.791632617133114e-9
union-disj_sn,3.4532073486131123e-6,3.441965551032891e-6,3.470385947131729e-6,4.609748466440808e-8,3.3997863710935806e-8,6.045704793321013e-8
union-disj_sn,3.4429069567416887e-6,3.4354609272225276e-6,3.4599169838110023e-6,3.435671523900719e-8,1.459008599571099e-8,5.690784809461038e-8
union-disj_nt,1.8335675912444014e-6,1.8309515721161106e-6,1.8369114837014667e-6,1.0481237945675515e-8,7.743777373754282e-9,1.6453227664822685e-8
union-disj_nt,1.838144447817141e-6,1.8355165831705011e-6,1.8414733863366768e-6,1.0091056946747628e-8,7.917985128075946e-9,1.3779252315219628e-8
union-disj_tn,2.254700293979869e-6,2.2512037687919104e-6,2.2615984986326454e-6,1.5861581061101405e-8,9.084376462862942e-9,2.3896906492377422e-8
union-disj_tn,2.264745601383365e-6,2.257723173510532e-6,2.277965854538749e-6,3.097349346221853e-8,2.066343791408117e-8,4.212430902607533e-8
union-common_nn,7.10688057920575e-4,7.099488180056358e-4,7.121370562012126e-4,3.3984799351315755e-6,2.2082691007953307e-6,5.880275366765794e-6
union-common_nn,7.311158369443164e-4,7.299367775231347e-4,7.340365790447528e-4,5.8374739558073826e-6,3.185848448080504e-6,1.0319308075715397e-5
union-common_ns,7.107175485902673e-4,7.048724276419825e-4,7.162572063513146e-4,1.9308260208985024e-5,1.6121497822270098e-5,2.3959250576835423e-5
union-common_ns,7.670491546757828e-4,7.604319480740415e-4,7.734319073309163e-4,2.1841674597775352e-5,1.9300342045437738e-5,2.5228652397877596e-5
union-common_sn,3.5383631145565427e-3,3.3677262703008747e-3,3.8160925828203077e-3,6.667465113475249e-4,4.5364026763533604e-4,1.1360297602477447e-3
union-common_sn,3.4707082942140935e-3,3.307438021912891e-3,3.6759372204354032e-3,5.744703764535053e-4,4.6487133989352153e-4,7.622845607993921e-4
union-common_nt,5.8288094883705813e-5,5.676247103630956e-5,6.0108429997693845e-5,5.634332495565567e-6,4.189786081178388e-6,6.856648050928586e-6
union-common_nt,6.025770207347597e-5,5.834821394953221e-5,6.246380657738148e-5,6.6230913887909634e-6,5.63726282649729e-6,7.4327761406813945e-6
union-common_tn,9.965969230615152e-5,9.940131212810168e-5,1.0004903368225038e-4,1.0657242541214454e-6,8.400279921296891e-7,1.3656417208980521e-6
union-common_tn,9.924120330194236e-5,9.91127873875782e-5,9.944498873776577e-5,5.319663123046634e-7,3.8887203960910314e-7,8.375352457709928e-7
union-mix_nn,2.0638235047337635e-2,1.9676098109917637e-2,2.1607423418153648e-2,2.3393795859392966e-3,1.6844348336908014e-3,3.1533821184925545e-3
union-mix_nn,2.071910572932939e-2,1.953596456844665e-2,2.1655029771448214e-2,2.3639250619391676e-3,1.744600644005876e-3,3.180575783189043e-3
union-mix_ns,4.005841466464509e-3,3.824735912610217e-3,4.26770495239668e-3,6.714395932099055e-4,5.265230470215871e-4,9.625531437620683e-4
union-mix_ns,4.017682641500539e-3,3.8250348224314274e-3,4.260097332787958e-3,6.748740126554692e-4,5.315551359340638e-4,9.751708025133927e-4
union-mix_sn,4.797124295444923e-3,4.5718789513969444e-3,5.12312166161234e-3,8.336777376173421e-4,6.364418269407398e-4,1.271068320272397e-3
union-mix_sn,4.817974625566731e-3,4.600955589446042e-3,5.1436758046213065e-3,8.295863235135216e-4,6.29223790162717e-4,1.2057498112156774e-3
union-mix_nt,9.031317368293534e-5,9.010420035373617e-5,9.055742372821379e-5,7.70488762373093e-7,6.633795117125098e-7,8.980814079082384e-7
