Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
GE split present,1.6202663078559009e-4,1.6201923493459373e-4,1.6203548968237352e-4,2.8388118587405885e-8,2.2152635351013057e-8,3.7812429049898045e-8
GE caseof present,3.912558823825949e-5,3.911231306966239e-5,3.913965989411982e-5,4.901062310967441e-8,4.243771093125704e-8,5.722974240945292e-8
GE Twan present,3.498408275811739e-5,3.4974705614998066e-5,3.499417314851025e-5,3.232827938643776e-8,2.664733482420879e-8,3.9899167837653946e-8
GE Milan present,3.1833874084452806e-5,3.1822595874243924e-5,3.184472163354086e-5,3.8246014231033684e-8,3.275366335378847e-8,4.447257002512046e-8
GE split absent,2.0664797617384623e-4,2.0663532545276835e-4,2.0666053193716972e-4,4.212750876976591e-8,3.3581546588545104e-8,6.267187547988308e-8
GE caseof absent,4.847337961833697e-5,4.845844920895255e-5,4.849114223187208e-5,5.603910731070654e-8,4.522146365211166e-8,6.928298572707949e-8
GE Twan absent,4.118378434208358e-5,4.117047154358109e-5,4.120097823174517e-5,4.7698839495479414e-8,3.8884951039359015e-8,6.293706841370633e-8
GE Milan absent,3.887205852619695e-5,3.885194468536136e-5,3.889542850985805e-5,7.532509389459422e-8,6.247989055172272e-8,9.045537268646696e-8
GE split far,1.329690901040848e-4,1.3296136285615882e-4,1.3298138948760434e-4,3.086844712809065e-8,2.40431617234037e-8,4.7052704165558886e-8
GE caseof far,3.80398174793639e-5,3.803654733677501e-5,3.8052915980133676e-5,1.991190061820665e-8,3.637128340446496e-9,4.188044095434549e-8
GE Twan far,3.245012579860844e-5,3.244858526023557e-5,3.245195479874825e-5,5.6882283909506245e-9,4.606193682150668e-9,6.8970273770748044e-9
GE Milan far,2.9247341210520636e-5,2.9245072034357553e-5,2.9250775517359863e-5,9.54600683556816e-9,7.395207685322893e-9,1.4654822320462519e-8
GE split !present,1.625579761756447e-4,1.6254088586181158e-4,1.6257673686454662e-4,6.177866193548316e-8,5.0874126177072856e-8,7.806060633741449e-8
GE caseof !present,4.1493827136377136e-5,4.1483616720276426e-5,4.1504595612218225e-5,3.6847228147094635e-8,3.139932583301709e-8,4.377560776112083e-8
GE Twan !present,3.4148543295690194e-5,3.413977297933086e-5,3.415870670864519e-5,3.0703920137748e-8,2.50209618230272e-8,3.896088186937652e-8
GE Milan !present,3.138425893101063e-5,3.137397719042294e-5,3.139499027870973e-5,3.462479548951955e-8,2.9147930750999394e-8,4.1979242243345637e-8
GE split !absent,2.066314526713346e-4,2.066185730888989e-4,2.0664427456056137e-4,4.18448818507169e-8,3.3983656450944616e-8,5.2734254065060147e-8
GE caseof !absent,4.7232714584978285e-5,4.722245311495713e-5,4.724475126305018e-5,3.625101613185177e-8,2.966657344813953e-8,4.944562976757813e-8
GE Twan !absent,4.103796273642791e-5,4.10255337062877e-5,4.105187201358836e-5,4.452419335300572e-8,3.9586865150269557e-8,5.260549036890988e-8
GE Milan !absent,3.887579140024025e-5,3.885840711048068e-5,3.889172324253001e-5,5.780418611158673e-8,4.8059653323197756e-8,6.834909488690337e-8
GE split !far,1.3377056256729327e-4,1.3376589039237533e-4,1.3377595028602835e-4,1.6916593046518465e-8,1.289942705576808e-8,2.300177892907857e-8
GE caseof !far,3.8560727320953346e-5,3.855927479843301e-5,3.856268292030848e-5,5.288291050818772e-9,3.7949026954953496e-9,7.2439006303779664e-9
GE Twan !far,3.290693824702356e-5,3.2904938851494976e-5,3.29092154765119e-5,7.1700793310854e-9,5.609949736105158e-9,1.019661684411427e-8
GE Milan !far,2.956536778540677e-5,2.956246549086828e-5,2.9571693662076043e-5,1.431612413731311e-8,6.616426503691206e-9,2.7074209748956748e-8
