Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,1.5548648644251136e-7,1.5547042047285243e-7,1.5552233844311016e-7,7.822909132739744e-11,4.559325306129755e-11,1.46091336367186e-10
union-disj_nn,1.5620097142330743e-7,1.5617482821446365e-7,1.563246256138327e-7,1.439402992912542e-10,2.6442687424314103e-11,3.3723724200837015e-10
union-disj_ns,1.3810631499821473e-7,1.3808984085697798e-7,1.3814593031520368e-7,8.221018918186978e-11,4.947590089991103e-11,1.529398397974238e-10
union-disj_ns,1.382155972156098e-7,1.3820283232976714e-7,1.3824549874139344e-7,5.79121275541195e-11,3.88488399924603e-11,9.589420758270149e-11
union-disj_sn,1.4374282435311775e-7,1.437206564572432e-7,1.4380352636985658e-7,1.1210673246771438e-10,4.635596672671006e-11,2.1649705141906675e-10
union-disj_sn,1.4354580029792353e-7,1.4352573071699842e-7,1.4358483997031385e-7,8.607898163629242e-11,5.0942900100067e-11,1.311288349523594e-10
union-disj_nt,1.1356560567271707e-7,1.1354081205789627e-7,1.1363616046830245e-7,1.3357268043135743e-10,4.8087069285702154e-11,2.6930813800033777e-10
union-disj_nt,1.1312614359579046e-7,1.1311082408144847e-7,1.1317075708490741e-7,7.501453389928957e-11,3.49369458027807e-11,1.545873442166757e-10
union-disj_tn,1.221672479812518e-7,1.2215582878489827e-7,1.2219015101045893e-7,5.3634283771514844e-11,2.817054004251419e-11,9.64069532131775e-11
union-disj_tn,1.2208316018621164e-7,1.2205647371163826e-7,1.221266922209869e-7,1.1400350938736419e-10,5.4355709039671936e-11,2.1782747987988984e-10
union-common_nn,8.31415606275864e-3,7.69463217424597e-3,9.251884644383557e-3,2.152904085465184e-3,1.3138747629264501e-3,3.70229538457204e-3
union-common_nn,8.2020366398873e-3,7.673125541369609e-3,9.033222378768031e-3,1.7526393325355584e-3,1.321224143635517e-3,2.688691396915659e-3
union-common_ns,1.998362658067917e-3,1.934471347343574e-3,2.1541794873623393e-3,3.1088593037708516e-4,1.4357561479774384e-4,5.576639584338731e-4
union-common_ns,2.0047592794316645e-3,1.9402917215565554e-3,2.1586765499799414e-3,3.093359972766251e-4,1.436006465452409e-4,5.579629823193844e-4
union-common_sn,2.056524533968279e-3,1.9928393430939284e-3,2.1920031805459286e-3,3.074930815410309e-4,1.5441342062005753e-4,5.56084533388313e-4
union-common_sn,2.0454903197975054e-3,1.9838216514074416e-3,2.2129799419351726e-3,3.0797466072489323e-4,1.4677071634269914e-4,5.90628924191664e-4
union-common_nt,7.178383765845096e-5,7.17486883001781e-5,7.182924471310496e-5,1.2878406061045638e-7,1.079407886522109e-7,1.6075370872481066e-7
union-common_nt,7.219152490847664e-5,7.215170347988414e-5,7.224084292970791e-5,1.4567297109431663e-7,1.1600877700888262e-7,1.8728139713108926e-7
union-common_tn,7.102232607514666e-5,7.098087792904331e-5,7.108074142862896e-5,1.6382631620342506e-7,1.16516631181184e-7,2.2913570189646494e-7
union-common_tn,7.129857716703082e-5,7.12613356250643e-5,7.134710035266462e-5,1.4450907172155582e-7,1.1628267678164667e-7,1.861600449996977e-7
union-mix_nn,1.87664065967209e-2,1.7474165032715032e-2,2.0414040579277436e-2,3.2958748834361466e-3,2.5602920384692877e-3,4.7673497080856315e-3
union-mix_nn,1.8743314870885392e-2,1.743694590903675e-2,2.0314402944278484e-2,3.2802159228704835e-3,2.5733907209878016e-3,4.533381607553421e-3
union-mix_ns,2.2170106150012484e-3,2.1195758743461886e-3,2.488936415868868e-3,4.668698953239206e-4,2.495419969532866e-4,8.272588485435694e-4
union-mix_ns,2.218299051978983e-3,2.1143968116609122e-3,2.434646412973138e-3,4.6529052022200587e-4,2.5533815876542043e-4,8.343789387278972e-4
union-mix_sn,2.218122991272108e-3,2.117856882369963e-3,2.4352992950866133e-3,4.647362260980627e-4,2.539684926563472e-4,8.469876437364166e-4
union-mix_sn,2.2203515902793334e-3,2.1204661736182293e-3,2.4449922809851943e-3,4.6736477241084623e-4,2.6222534262331556e-4,7.944525827893594e-4
union-mix_nt,6.874735592475951e-5,6.8712220596791e-5,6.878441782995962e-5,1.256787820595394e-7,9.97752321773884e-8,1.7818361882634715e-7
union-mix_nt,6.877020102756179e-5,6.87361822078009e-5,6.880581996319507e-5,1.2079698446664214e-7,9.959470905136899e-8,1.5550292444512148e-7
union-mix_tn,6.6296660428925e-5,6.626822558817284e-5,6.6332982465799e-5,1.0701026872930268e-7,9.00908205252138e-8,1.3495349044790838e-7
union-mix_tn,6.594462492754064e-5,6.591639590696987e-5,6.597631694314635e-5,1.0067656695620366e-7,8.006471600101791e-8,1.259526479488585e-7
union-block_nn,8.229211291642208e-5,8.226844608400156e-5,8.231742618265956e-5,8.690219718739272e-8,7.218014280338713e-8,1.0765336474246754e-7
union-block_nn,8.23734630955115e-5,8.235049339368505e-5,8.240067970114943e-5,8.317156777335284e-8,6.892700903241232e-8,1.028634778610435e-7
union-block_ns,6.803793692171225e-6,6.802503791767396e-6,6.8068094190328574e-6,6.200206354680907e-9,3.4417133471625785e-9,1.10744734895261e-8
union-block_ns,6.798280223085556e-6,6.797302940197484e-6,6.800205353104873e-6,4.4285446876318085e-9,2.0870039207577632e-9,7.169761664224775e-9
union-block_sn,7.089317571533377e-6,7.088339525319942e-6,7.090667109115195e-6,3.806851074583486e-9,2.8327795073416093e-9,5.470978974959565e-9
union-block_sn,7.080136055921272e-6,7.079028899730999e-6,7.08264284288594e-6,5.001252839660991e-9,2.7369292591706567e-9,9.713372571750987e-9
difference-disj_nn,1.528800906705423e-7,1.5286455657988518e-7,1.5290887820249889e-7,7.052018878148742e-11,3.658908580807467e-11,1.1167600767691423e-10
difference-disj_nn,1.5279564923595565e-7,1.5277102404523862e-7,1.5287610020750353e-7,1.4378385695883483e-10,4.183263984914273e-11,2.9300740591146915e-10
difference-disj_ns,1.4559171278218716e-7,1.4557601558223627e-7,1.4564025174015095e-7,7.848117394802752e-11,2.636063222404372e-11,1.5619046181204122e-10
difference-disj_ns,1.455777385512118e-7,1.4557406313685153e-7,1.4558132736889313e-7,1.2572389949786616e-11,1.0212863106008163e-11,1.5963520775422686e-11
difference-disj_sn,1.4540937953302944e-7,1.4539806494751902e-7,1.4544365152687288e-7,6.079968641389431e-11,2.509012333399599e-11,1.180707083400379e-10
difference-disj_sn,1.4538535895042833e-7,1.4537558321131327e-7,1.4539530538962526e-7,3.3984784023872456e-11,2.844334806312989e-11,4.4692966737101906e-11
difference-disj_nt,1.247265784490067e-7,1.2472328494840532e-7,1.2473194873945437e-7,1.4102130436960253e-11,9.739694994808962e-12,2.4110779166176002e-11
difference-disj_nt,1.2476215864409744e-7,1.2475637605967768e-7,1.247781846247419e-7,2.9986316329078915e-11,1.152093879239871e-11,5.993551934563425e-11
difference-disj_tn,1.1285793351164104e-7,1.1285381771345435e-7,1.1286322656330746e-7,1.599336958288002e-11,1.1999603771461962e-11,2.4120486485060417e-11
difference-disj_tn,1.1284679422942894e-7,1.128426381904736e-7,1.1285273060687569e-7,1.619246345840186e-11,1.1225576156530964e-11,2.93932327931631e-11
difference-common_nn,4.756544421883244e-3,4.622677949949234e-3,5.084143456953225e-3,6.23181924553844e-4,3.807209796258721e-4,1.0699933849385632e-3
difference-common_nn,4.762523127082457e-3,4.603496798290999e-3,5.079179966940673e-3,6.365319740181655e-4,3.806531614716483e-4,1.0478200802066279e-3
