Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
GE split present,6.835046124381218e-4,6.83460169431936e-4,6.835496314724119e-4,1.6653213736909253e-7,1.3150520038611287e-7,2.0777827572336186e-7
GE Craig present,2.6165348939378297e-4,2.616439620475255e-4,2.6167750198250806e-4,5.010261819558244e-8,1.808462690610265e-8,1.0197594796697221e-7
GE Twan present,2.4235209172806247e-4,2.4231505771423175e-4,2.4238423470380755e-4,1.1898163711745998e-7,9.962348931613153e-8,1.4516390061681296e-7
GE Milan present,1.9970068420868212e-4,1.995968668039334e-4,1.9980647746468662e-4,3.613038743496556e-7,2.8696825443354894e-7,4.538461687457916e-7
GE split absent,7.270854428436454e-4,7.26971840155421e-4,7.271869616661079e-4,3.4958799822446504e-7,2.943762862556504e-7,4.136284040484049e-7
GE Craig absent,2.4473128877282297e-4,2.4471804986430696e-4,2.4477489440246107e-4,7.348898125150028e-8,2.3664163436343638e-8,1.46475498336123e-7
GE Twan absent,2.2686790614567012e-4,2.2684547869773115e-4,2.2689802512893586e-4,8.347895994497617e-8,6.90885374448351e-8,1.089431720418317e-7
GE Milan absent,1.9149356738556688e-4,1.914019275036495e-4,1.9157870029246088e-4,2.9441131464742784e-7,2.44378162218852e-7,3.567304398833186e-7
GE split far,6.390425349286962e-4,6.389735200403787e-4,6.391332154905286e-4,2.606867336887245e-7,1.9858847122630051e-7,4.097459725279443e-7
GE Craig far,2.389840396328439e-4,2.3896775364912507e-4,2.3899997736905233e-4,5.5631743680596445e-8,4.8242918389042495e-8,6.3629568529864e-8
GE Twan far,2.0657194151884657e-4,2.0655949330561151e-4,2.065869014137965e-4,4.407344842214287e-8,3.307436617989764e-8,6.446795762779421e-8
GE Milan far,1.4291138922603266e-4,1.4290513583803188e-4,1.4292125612983884e-4,2.7724949680443757e-8,2.0645465177397045e-8,4.3582658629294794e-8
GE split !present,6.81019478992005e-4,6.809840788843242e-4,6.811131219555041e-4,1.956292808764719e-7,9.225625290733762e-8,3.7424990635251244e-7
GE Craig !present,2.645237932709129e-4,2.64517722049448e-4,2.645314848050406e-4,2.311577683039297e-8,1.702774959868463e-8,3.374625372032353e-8
GE Twan !present,2.458366615352019e-4,2.457977585218777e-4,2.4586833682667923e-4,1.1579170729426399e-7,9.936553203653974e-8,1.3791844424873493e-7
GE Milan !present,2.0364431226133016e-4,2.0352766450154537e-4,2.037581599831242e-4,4.083835542717014e-7,3.367828390915705e-7,4.978479793884298e-7
GE split !absent,7.257976402919567e-4,7.257144319927203e-4,7.25861578374217e-4,2.4393926234470633e-7,1.978712323116162e-7,3.18778274734927e-7
GE Craig !absent,2.47336285123576e-4,2.473272552647071e-4,2.473507164208221e-4,3.7388861344585685e-8,2.3840701189035975e-8,6.03760359843659e-8
GE Twan !absent,2.304809041600324e-4,2.3045782023848894e-4,2.305068787298781e-4,8.726384827433344e-8,7.0324828566766e-8,1.1343907906158736e-7
GE Milan !absent,1.8524566826620326e-4,1.852111104023149e-4,1.8527333428285195e-4,1.0156933784164361e-7,8.178771237579893e-8,1.2116072280916624e-7
GE split !far,6.397557693953572e-4,6.39725590248774e-4,6.397839878188997e-4,9.916924588079717e-8,7.899351719509854e-8,1.2859658704442747e-7
GE Craig !far,2.4141784354150976e-4,2.4141142642722344e-4,2.4142997244841537e-4,2.9036271594733242e-8,1.8877581735870266e-8,4.602850114613688e-8
GE Twan !far,2.0918350715468318e-4,2.0916521688743003e-4,2.09201435137725e-4,5.898650948623932e-8,4.6893252163442044e-8,7.810840289395978e-8
GE Milan !far,1.456158271501961e-4,1.4561144125906255e-4,1.456206980540628e-4,1.5964043405910547e-8,1.2602261797804436e-8,2.084620525485303e-8
