Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,1.1508092454589034e-7,1.150757721318259e-7,1.1508663019993047e-7,1.8051655295432335e-11,1.546314623626722e-11,2.143868394817929e-11
union-disj_nn,1.1521505689549592e-7,1.1520973145368112e-7,1.1522201949282971e-7,2.012806215923444e-11,1.526938791547472e-11,3.157755627553429e-11
union-disj_ns,9.865113740633781e-8,9.86455250118207e-8,9.865691588688003e-8,1.8719539703015196e-11,1.4737064443622566e-11,2.4227670662871655e-11
union-disj_ns,9.871028286448744e-8,9.87047731700009e-8,9.873078454009154e-8,3.238458208578343e-11,8.869529168683469e-12,6.596381960287054e-11
union-disj_sn,1.0012777415524393e-7,1.0012192136699318e-7,1.0013425524599107e-7,2.0317833656385775e-11,1.723159226452845e-11,2.4683332715696615e-11
union-disj_sn,1.0018061933552597e-7,1.0017588905814605e-7,1.0018729695274999e-7,1.866859386945045e-11,1.3451826547023192e-11,2.8353199524658994e-11
union-disj_nt,7.458144256234065e-8,7.457641517397189e-8,7.458830636500214e-8,1.9842339206277237e-11,1.367979441309785e-11,3.8570238757311914e-11
union-disj_nt,7.459910068155272e-8,7.459599766955276e-8,7.460260145174434e-8,1.1122220083278387e-11,9.013957002722346e-12,1.472622034481329e-11
union-disj_tn,7.690532022099702e-8,7.690260511538436e-8,7.690872653575156e-8,1.0390656278987989e-11,7.843631488070172e-12,1.4965921842723028e-11
union-disj_tn,7.700797912307079e-8,7.700428502741527e-8,7.701430225275004e-8,1.5850880959123e-11,9.60767927835938e-12,2.6162756479460742e-11
union-common_nn,4.0600709062994135e-5,4.059508606150253e-5,4.060557164098772e-5,1.7756824732918103e-8,1.4561021799844047e-8,2.235543767845317e-8
union-common_nn,4.068957266632568e-5,4.068348877326266e-5,4.069605586501841e-5,2.0608680340086005e-8,1.7325986624416067e-8,2.434513694319423e-8
union-common_ns,4.06922064847185e-5,4.068690575967069e-5,4.069792409882046e-5,1.8150317893369963e-8,1.5030851538628148e-8,2.2126854000695176e-8
union-common_ns,4.067679012508883e-5,4.067028905579069e-5,4.0684479837866535e-5,2.2777650259490166e-8,1.8904423284193425e-8,2.712215450738162e-8
union-common_sn,4.069970887482739e-5,4.069406506344628e-5,4.07061398376543e-5,2.04363966715973e-8,1.7217337222152055e-8,2.4105733499605055e-8
union-common_sn,4.0681031902704544e-5,4.0674444201266445e-5,4.068826885795587e-5,2.2647759408850665e-8,1.8508186007192196e-8,2.820669485390747e-8
union-common_nt,1.7481209324687908e-5,1.7479487078003873e-5,1.7483098218022557e-5,5.984027151567982e-9,4.48623999406903e-9,7.67824375625871e-9
union-common_nt,1.7476446775673345e-5,1.7474307051167758e-5,1.747864306464596e-5,7.53479386722911e-9,5.96222262122737e-9,1.0168376943301034e-8
union-common_tn,1.7851426830431224e-5,1.7849243905055798e-5,1.7853223716763905e-5,6.404531014301319e-9,4.8415608649633534e-9,8.38871310916313e-9
union-common_tn,1.7840949361268576e-5,1.7838203626376815e-5,1.784369188846586e-5,9.171989333353986e-9,7.389160175854292e-9,1.2020882965568329e-8
union-mix_nn,8.703719951451269e-5,8.701411297488668e-5,8.706309639516281e-5,8.49297400447428e-8,7.033269837167004e-8,1.0378145807365477e-7
union-mix_nn,8.71778715770001e-5,8.715739895786595e-5,8.720486472272912e-5,8.084794183646233e-8,6.736891880223484e-8,9.960350927702477e-8
union-mix_ns,4.496275967090323e-5,4.4951709499913604e-5,4.4970733436890416e-5,2.9204133237326807e-8,2.4189618398414064e-8,3.7796466075027915e-8
union-mix_ns,4.497130846966519e-5,4.496227865878906e-5,4.497952880012787e-5,2.9841228443367705e-8,2.503230848576799e-8,3.702305504711654e-8
union-mix_sn,4.502307957597846e-5,4.501285264484292e-5,4.5031992895618144e-5,3.19261753661082e-8,2.563714489728367e-8,4.308356174052956e-8
union-mix_sn,4.5003512075070236e-5,4.499534046230196e-5,4.501105139743993e-5,2.7957989041673096e-8,2.3183966108643497e-8,3.58134765560384e-8
