Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,6.226946780772316e-6,6.22657470121649e-6,6.227476405303901e-6,1.5307471776307725e-9,1.0911855332492866e-9,2.258141463787675e-9
union-disj_nn,6.233203819277117e-6,6.232930883420824e-6,6.233773941584149e-6,1.2958782508147203e-9,7.674272112700986e-10,2.3219183294539475e-9
union-disj_ns,4.6283974280027275e-6,4.6280434423573245e-6,4.629624160387718e-6,2.027634326293512e-9,4.735758111898001e-10,4.191891523145331e-9
union-disj_ns,4.631778132606108e-6,4.631602858410005e-6,4.632044376060271e-6,7.619894984877743e-10,5.847774022172575e-10,1.1618660157299747e-9
union-disj_sn,5.601732590427372e-6,5.5997369708125265e-6,5.604206333242428e-6,7.4457335014711585e-9,5.931287761548686e-9,9.660391187134981e-9
union-disj_sn,5.591307434792432e-6,5.589202343571682e-6,5.594000740054067e-6,7.777213887620155e-9,6.047956767522696e-9,1.0635082114969453e-8
union-disj_nt,2.9523530175833736e-6,2.952240714360953e-6,2.9525051684693755e-6,4.4771464559671337e-10,3.538838254079706e-10,5.74110797426803e-10
union-disj_nt,2.948053791358936e-6,2.947934859082206e-6,2.948200646335737e-6,4.2872511817859586e-10,3.104051917090331e-10,6.621355475149527e-10
union-disj_tn,3.6336658118333104e-6,3.6333413145263363e-6,3.634099145564994e-6,1.2854955385549615e-9,9.786145812057056e-10,1.683425239424761e-9
union-disj_tn,3.634576397753543e-6,3.6342391319291257e-6,3.6350553826434993e-6,1.388919445456252e-9,1.1126472291055315e-9,1.7441132366633741e-9
union-common_nn,1.2970867888371916e-3,1.2964624664506617e-3,1.2984085911605455e-3,2.826276100529992e-6,1.3802957031187387e-6,5.17469686887456e-6
union-common_nn,1.2605266809519791e-3,1.2600419786211881e-3,1.261569981591123e-3,2.3738091296022138e-6,1.3740119057858695e-6,4.5033325377197225e-6
union-common_ns,1.2846771516601331e-3,1.283982323238056e-3,1.2861839648570567e-3,3.086752631688727e-6,1.5187344347550803e-6,6.414331733242404e-6
union-common_ns,1.3092494370752833e-3,1.3087345837003968e-3,1.3102196094320988e-3,2.2452101024421712e-6,1.3453751253579402e-6,3.5408621122643955e-6
union-common_sn,5.561750620606581e-3,5.179712719773008e-3,6.120836997551377e-3,1.392241926305943e-3,1.0295122386954102e-3,2.02487322209788e-3
union-common_sn,5.529206285898254e-3,5.164973179180897e-3,6.049617137587813e-3,1.26399897926819e-3,9.89808636607334e-4,1.722400109177345e-3
union-common_nt,8.015659058843605e-5,8.012491529458027e-5,8.018400882135927e-5,1.0066060604270187e-7,7.892037641089524e-8,1.3244433185077257e-7
union-common_nt,7.98634244464363e-5,7.98273248463569e-5,7.989583972308532e-5,1.191286308400076e-7,9.462839154066184e-8,1.5199763988314791e-7
union-common_tn,1.413668844385091e-4,1.4131770585794893e-4,1.4140579474826418e-4,1.4988127271827798e-7,1.2162704574260248e-7,2.102673492302071e-7
union-common_tn,1.413659491778166e-4,1.4130240294058137e-4,1.4141057311192848e-4,1.760407110316193e-7,1.3492134314176705e-7,2.416292919925987e-7
union-mix_nn,3.323444136903585e-2,3.0703192295100636e-2,3.551648953926511e-2,5.018539376795397e-3,3.619595208734771e-3,6.545735409360271e-3
union-mix_nn,3.3154688172804335e-2,3.0572689822444918e-2,3.533680385937253e-2,4.898157322745181e-3,3.543375846908522e-3,6.580528302135587e-3
union-mix_ns,6.308141005839193e-3,5.877852294053504e-3,6.911762855152974e-3,1.4649798224835402e-3,1.1405328441053213e-3,2.04048889361251e-3
