Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
GE split present,1.6141999523404927e-4,1.613814160062297e-4,1.6145985045103224e-4,1.2919541748576298e-7,1.1551078200054287e-7,1.4490093800245978e-7
GE caseof present,4.22689563657621e-5,4.226109441624398e-5,4.227746343713313e-5,2.7117881306641683e-8,2.3571144746190438e-8,3.27199429589749e-8
GE Twan present,3.342894014857564e-5,3.3419074099592496e-5,3.344104205818759e-5,3.7401006983215696e-8,3.1538856385827216e-8,4.638411663821611e-8
GE Milan present,3.356239632749815e-5,3.3544188784982116e-5,3.3579738435140175e-5,6.078591139721024e-8,5.049966601865274e-8,7.455206797971008e-8
GE split absent,2.0429050762530468e-4,2.042734018273573e-4,2.0430780831663694e-4,5.68532365030868e-8,4.636625689465189e-8,7.433832352576332e-8
GE caseof absent,5.157727589952838e-5,5.1565127476636355e-5,5.159260129980767e-5,4.581171700579401e-8,3.490180232208895e-8,6.223714895020733e-8
GE Twan absent,4.05237083751633e-5,4.050859535213535e-5,4.053589303143245e-5,4.59918886641401e-8,3.6649328217381766e-8,6.046364492155046e-8
GE Milan absent,4.27155834953927e-5,4.268043471365977e-5,4.275308964244955e-5,1.207432218302773e-7,9.98216103983449e-8,1.456644868461671e-7
GE split far,1.3308197504567138e-4,1.3307732100695238e-4,1.3308703235803812e-4,1.5480794474696625e-8,1.1319717750441977e-8,2.232761704916429e-8
GE caseof far,4.255609450014654e-5,4.255490440974303e-5,4.25595498202347e-5,6.379449991812462e-9,2.2388109095079336e-9,1.2843108688784277e-8
GE Twan far,3.2553761650857955e-5,3.255110996320288e-5,3.255634553169419e-5,8.816061168967076e-9,7.592937178589742e-9,1.048781543060382e-8
GE Milan far,2.79427597408045e-5,2.794156053392689e-5,2.7945111743811074e-5,5.505575496738369e-9,2.8238584139712382e-9,8.801923262989101e-9
GE split !present,1.6270333573380647e-4,1.6269156467782448e-4,1.6271795708670489e-4,4.427190126519508e-8,3.540226069907426e-8,5.858255533558497e-8
GE caseof !present,4.397061347397896e-5,4.395875370132435e-5,4.398256208753461e-5,3.978195281459377e-8,3.3369335427300895e-8,4.899578165808085e-8
GE Twan !present,3.349252130419902e-5,3.348621067619385e-5,3.3499324392729244e-5,2.1386303156947924e-8,1.8023334820626284e-8,2.524387199782929e-8
GE Milan !present,3.339041126074564e-5,3.3380996108378394e-5,3.340173187370109e-5,3.364868212303617e-8,2.851565175845943e-8,4.042446983797929e-8
GE split !absent,2.0490560078955254e-4,2.048865786137233e-4,2.0492668073601034e-4,6.5949236627683e-8,5.299673293746674e-8,8.929300231431047e-8
GE caseof !absent,5.021061858116593e-5,5.019755178125296e-5,5.022772611796197e-5,4.852744870222571e-8,3.938316608814511e-8,6.054886593995014e-8
GE Twan !absent,4.0715152361739144e-5,4.0694006142140806e-5,4.073403624379552e-5,6.330657118043315e-8,5.248802395477803e-8,7.813029613161513e-8
GE Milan !absent,4.299644687136112e-5,4.297157247377487e-5,4.301898546578218e-5,7.891356796905574e-8,6.618045841482846e-8,9.545286646331473e-8
GE split !far,1.3409123550419983e-4,1.3408077748819832e-4,1.3410585978581546e-4,3.993555034864932e-8,2.9060930364209925e-8,6.362565463621057e-8
GE caseof !far,4.320090392030874e-5,4.320002708557947e-5,4.3202258326982856e-5,3.6352421027399892e-9,2.5712185180003105e-9,4.956970736161413e-9
GE Twan !far,3.272866985202832e-5,3.272675718390941e-5,3.2731725292917206e-5,7.896824787890824e-9,6.004720363971991e-9,1.206339107973505e-8
GE Milan !far,2.8723997783596427e-5,2.8720782763514616e-5,2.8728043444899882e-5,1.2271496399605434e-8,9.618579160484758e-9,1.612671906417858e-8
