Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,1.5529801781571385e-7,1.5529046786316846e-7,1.5531618524582113e-7,3.82806045402354e-11,2.094792679668015e-11,7.25969995603265e-11
union-disj_nn,1.5594478141399215e-7,1.5593733690601273e-7,1.5595387468840775e-7,2.678381767966897e-11,2.2235418555741986e-11,3.367189119119157e-11
union-disj_ns,1.376073456379313e-7,1.3759920804148823e-7,1.3761981290995767e-7,3.2708750631367805e-11,2.3599112614708263e-11,5.000699800698654e-11
union-disj_ns,1.3763569099811085e-7,1.3762367852390715e-7,1.3765008316253408e-7,4.550191342885244e-11,3.657742591733441e-11,5.92663906670505e-11
union-disj_sn,1.4162738877369025e-7,1.416198189147918e-7,1.4163597999330425e-7,2.6384630266618898e-11,2.2375598883814893e-11,3.2052289867269583e-11
union-disj_sn,1.4154116005801488e-7,1.4153466433157033e-7,1.4155202324823351e-7,2.6886993952638204e-11,2.084535680689396e-11,3.978395655819123e-11
union-disj_nt,1.134346520211967e-7,1.1343069425543146e-7,1.1344094117253908e-7,1.6437645043545645e-11,1.1805210412298757e-11,2.7158666583260206e-11
union-disj_nt,1.1337947254905045e-7,1.1337143601965994e-7,1.1340566831024393e-7,4.3345528048135095e-11,1.4206549129258409e-11,8.934007859539715e-11
union-disj_tn,1.202357015382499e-7,1.2023161083903378e-7,1.2024047476535827e-7,1.4798217204889508e-11,1.1870070613758929e-11,1.8992076636382612e-11
union-disj_tn,1.2258847299570092e-7,1.225821232260364e-7,1.225948268524155e-7,2.274035090528783e-11,1.973606833354798e-11,2.722722046939132e-11
union-common_nn,8.201858939537773e-3,7.65351067696149e-3,9.341554488078684e-3,2.1477282560722604e-3,1.3502742336882747e-3,3.8775141316396665e-3
union-common_nn,8.091758534295184e-3,7.568866105310862e-3,8.925719977767506e-3,1.7504423399191259e-3,1.2940483614650295e-3,2.6852937747715985e-3
union-common_ns,1.9623807548662556e-3,1.9018960302686866e-3,2.1347984629891533e-3,3.063460311060274e-4,1.5650577329783268e-4,5.845244713128692e-4
union-common_ns,1.9508130101817903e-3,1.886980968217784e-3,2.0704551238913795e-3,3.049057699725881e-4,1.3687713794980955e-4,5.139747787527402e-4
union-common_sn,2.0064211987606143e-3,1.942166535298552e-3,2.140316090553273e-3,3.1107321727305614e-4,1.5697854444615862e-4,5.83571535838213e-4
union-common_sn,2.011237484470103e-3,1.9498935253997698e-3,2.1648482312848177e-3,3.095354599763638e-4,1.5682146148829435e-4,5.99179877501809e-4
union-common_nt,7.15356081717747e-5,7.149608749199146e-5,7.159566916142796e-5,1.6829510198687029e-7,1.3231016071662174e-7,2.3183476282553075e-7
union-common_nt,7.198051283429184e-5,7.193456920073608e-5,7.204363276104918e-5,1.7551525620350233e-7,1.3592889066035186e-7,2.290156478892344e-7
union-common_tn,7.014044555006669e-5,7.010168451709096e-5,7.017813969673833e-5,1.3308225395943135e-7,1.1037349952082445e-7,1.7237374734213362e-7
union-common_tn,7.034447355393488e-5,7.030214873852001e-5,7.039808980408047e-5,1.618734168299523e-7,1.2840930837526837e-7,2.0776292355113296e-7
union-mix_nn,1.8501932281159143e-2,1.722015156412471e-2,2.0025018994433576e-2,3.286258489184714e-3,2.474598443862584e-3,4.532314914469293e-3
union-mix_nn,1.8478263690805904e-2,1.7101651109993527e-2,1.988878622225504e-2,3.280091556965923e-3,2.5302759396356412e-3,4.621744428293928e-3
union-mix_ns,2.1853437207872816e-3,2.084571240868336e-3,2.4040182268297086e-3,4.621738586998884e-4,2.650482678203464e-4,8.618512093902129e-4
