Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,6.398109913884594e-6,6.396714075160203e-6,6.399209334148643e-6,4.169801288736312e-9,3.155568124908696e-9,5.678225550238778e-9
union-disj_nn,6.394654607757513e-6,6.394205540510404e-6,6.395102112305049e-6,1.4601832010335709e-9,1.2131169141413446e-9,1.780022497479628e-9
union-disj_ns,4.768223654535152e-6,4.767533570519253e-6,4.768754634411303e-6,2.0341119764766687e-9,1.6863262773587462e-9,2.425003936648668e-9
union-disj_ns,4.76298298425388e-6,4.762475422898227e-6,4.7638208923584084e-6,2.1577172368255405e-9,1.3834726142355784e-9,3.5564029591182443e-9
union-disj_sn,5.545558889432672e-6,5.543816507419957e-6,5.5476649135858295e-6,6.398592185584446e-9,4.83563885958313e-9,8.611479261753394e-9
union-disj_sn,5.535499661444593e-6,5.5332545546859825e-6,5.538162029060218e-6,8.161309143265e-9,6.503912921038348e-9,1.0016343581792796e-8
union-disj_nt,3.0438561937439846e-6,3.043483704259315e-6,3.044075070367714e-6,9.655772255591243e-10,6.581574989573934e-10,1.577570352487058e-9
union-disj_nt,3.0418245421831625e-6,3.04140260402391e-6,3.042126725615725e-6,1.1801922510279352e-9,8.629337597309109e-10,1.7826777616657214e-9
union-disj_tn,3.602810296014941e-6,3.602598285838465e-6,3.6031887034979294e-6,9.313909753200152e-10,5.406719367179008e-10,1.7058021383600142e-9
union-disj_tn,3.6025968847274986e-6,3.6023852209415175e-6,3.602761638150337e-6,6.19204705364074e-10,4.659594389967036e-10,8.882674510127481e-10
union-common_nn,1.2682694780630577e-3,1.2675422120506036e-3,1.2699746141970685e-3,3.5464126399269736e-6,1.7850380413790628e-6,6.611662671471632e-6
union-common_nn,1.2232566846086161e-3,1.222638440837875e-3,1.2244381329548158e-3,2.7937118027875508e-6,1.6036905549774983e-6,4.953968232532239e-6
union-common_ns,1.2752280355991822e-3,1.2744706615383614e-3,1.2773444397462853e-3,3.903524704497282e-6,1.1501776775060686e-6,8.46835638688905e-6
union-common_ns,1.3170698555592718e-3,1.3166240741354657e-3,1.3180629618387636e-3,2.121496667209123e-6,1.0958327081408171e-6,3.637662172705236e-6
union-common_sn,5.578467864312229e-3,5.2126201911034484e-3,6.24308538637672e-3,1.3933186614148198e-3,1.0191265763431598e-3,2.1112752145508763e-3
union-common_sn,5.526924631373472e-3,5.152498466546595e-3,6.04066138564088e-3,1.2652615538058453e-3,9.813893575035572e-4,1.7654900938358698e-3
union-common_nt,8.117465393883717e-5,8.113487294029787e-5,8.120893917254018e-5,1.3209976628857245e-7,1.0133643466207007e-7,1.687474535099934e-7
union-common_nt,8.071694934052365e-5,8.067793156912409e-5,8.075959429210547e-5,1.4003207491572755e-7,1.1692519071850358e-7,1.6669205408826542e-7
union-common_tn,1.4331135790508342e-4,1.4327216955813918e-4,1.4335575755054767e-4,1.4651427875903325e-7,1.178326290441267e-7,1.9908082270971408e-7
union-common_tn,1.4348452611145452e-4,1.43433877645166e-4,1.4352791934757605e-4,1.616280833087828e-7,1.2541889662486837e-7,2.3541944350123322e-7
union-mix_nn,3.3047004022372414e-2,3.0503955481412895e-2,3.546679596047868e-2,5.002350995189308e-3,3.5694451228270004e-3,6.708929434099468e-3
union-mix_nn,3.2980147452096736e-2,3.039601617790241e-2,3.5223396102065666e-2,4.893741773903441e-3,3.630322425363607e-3,6.392812995813619e-3
union-mix_ns,6.356225362534943e-3,5.944713692289922e-3,6.931799039090005e-3,1.4768966890375708e-3,1.1563466326580641e-3,2.036282024585573e-3
union-mix_ns,6.335820744840623e-3,5.937942171155779e-3,6.897450797437558e-3,1.4676585267726129e-3,1.145823803392826e-3,1.9600981130757675e-3
union-mix_sn,7.546489987349431e-3,7.03488178596117e-3,8.32140343907343e-3,1.8056610148459902e-3,1.3740127400854102e-3,2.647210566215112e-3
union-mix_sn,7.549370833390597e-3,7.04107405960857e-3,8.372848962843045e-3,1.7985338272485433e-3,1.3861013150235817e-3,2.796608960917385e-3
union-mix_nt,1.2704709023326176e-4,1.2700398192651898e-4,1.271013990675131e-4,1.7376588469065685e-7,1.412271375020982e-7,2.247853805609416e-7
union-mix_nt,1.2654331026346928e-4,1.264940560459713e-4,1.2660570699840964e-4,1.774498551443885e-7,1.3597362678718956e-7,2.4136444581791573e-7
union-mix_tn,1.416230257259752e-4,1.4155593663970833e-4,1.4169828113582653e-4,2.493463443022431e-7,1.9850255293499126e-7,3.396828592923913e-7
union-mix_tn,1.4145237458748982e-4,1.4139092513587527e-4,1.4152750207106898e-4,2.228517072078916e-7,1.7480824360559443e-7,2.859457084360794e-7
union-block_nn,1.1568706074325558e-3,1.1305014994011562e-3,1.2212777709014054e-3,1.3322238876820107e-4,5.9406004952893205e-5,2.4519008352843184e-4
union-block_nn,1.1571235956948627e-3,1.130575979172216e-3,1.2286992847983051e-3,1.3317660687031278e-4,5.9446169499839375e-5,2.6197456937806883e-4
union-block_ns,9.883781550150154e-5,9.882880983360531e-5,9.884850529639598e-5,3.597812658203652e-8,3.093732992787467e-8,4.432887531315966e-8
union-block_ns,9.906387284547484e-5,9.905044657692374e-5,9.90816305748209e-5,5.388697090410791e-8,4.368303709634641e-8,6.786774913529498e-8
union-block_sn,1.0802686333472025e-4,1.080083447291471e-4,1.0804232810841519e-4,5.7886491656703255e-8,4.638283466990009e-8,7.228648472560819e-8
union-block_sn,1.0818273421410354e-4,1.0816397067576016e-4,1.082068311745717e-4,7.563329363861466e-8,5.282045010751947e-8,1.2482934838694906e-7
