Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
GE split present,1.574451081549915e-4,1.574277751209561e-4,1.5746691801699233e-4,6.482627720161249e-8,4.883616303697423e-8,1.0246740639360351e-7
GE caseof present,4.179343888644976e-5,4.1783735637747816e-5,4.1803055407815034e-5,3.311137056381227e-8,2.5883786584107376e-8,4.354447837549973e-8
GE Twan present,3.371561063888476e-5,3.3706615475996475e-5,3.3724659099161646e-5,2.947441868913005e-8,2.4521854519045527e-8,3.6108899429151427e-8
GE Milan present,3.280444721971125e-5,3.2786815221505076e-5,3.282062950120098e-5,5.966501587533875e-8,5.182820850110395e-8,7.131388488522995e-8
GE split absent,2.0374281459599708e-4,2.0372163848161117e-4,2.03760525079203e-4,6.442553223732812e-8,5.270035822925406e-8,8.391093542890071e-8
GE caseof absent,4.926895810237547e-5,4.925176165849558e-5,4.9282692335720675e-5,5.233630173253509e-8,4.361087216907333e-8,6.844980462408194e-8
GE Twan absent,4.0998690658689564e-5,4.097853776697862e-5,4.101618392020576e-5,6.061584170961077e-8,4.779410671668924e-8,7.943864883035779e-8
GE Milan absent,4.1986296973284655e-5,4.196388003838187e-5,4.200671883598271e-5,7.467320424185943e-8,5.913597892040585e-8,9.774494952636779e-8
GE split far,1.315630927629839e-4,1.3153867070964172e-4,1.3157694673365371e-4,5.796810898093151e-8,4.0121592156961104e-8,7.745301433030268e-8
GE caseof far,3.936878371308183e-5,3.93672419375751e-5,3.9370999352103455e-5,6.476748086278566e-9,4.042324082899068e-9,8.794371878349023e-9
GE Twan far,3.288766996880083e-5,3.288554090970835e-5,3.289048437870495e-5,8.107916900056702e-9,5.65666788957025e-9,1.2450732975623971e-8
GE Milan far,2.721750517694325e-5,2.721575155794674e-5,2.721993800005999e-5,6.9352423986058475e-9,5.1694808145773535e-9,1.050726207649935e-8
GE split !present,1.5866576394667347e-4,1.5864705701700845e-4,1.586817594308222e-4,5.8985161601006044e-8,4.627158029022758e-8,7.542417670859563e-8
GE caseof !present,4.079442886769505e-5,4.077500244008539e-5,4.081107634965256e-5,6.101410074407535e-8,5.0153700092050185e-8,7.450273706294504e-8
GE Twan !present,3.366746187932676e-5,3.365798201555157e-5,3.3676166208735964e-5,2.892357556287223e-8,2.2755980532281826e-8,4.011160689828612e-8
GE Milan !present,3.261362080633629e-5,3.258869442646169e-5,3.263725654369103e-5,8.150854510640057e-8,7.318745707763788e-8,9.207301803869538e-8
GE split !absent,2.035957066033862e-4,2.035793714423683e-4,2.0361640773142094e-4,6.005804307525674e-8,4.865476600177233e-8,7.954606354642574e-8
GE caseof !absent,4.90448311410179e-5,4.903911321314566e-5,4.9052206742471684e-5,2.1215007013323498e-8,1.4855279422368202e-8,3.6105978706436985e-8
GE Twan !absent,4.191587600812347e-5,4.189484097832139e-5,4.193368341438243e-5,6.365816743435884e-8,5.2600922238773225e-8,7.836825788928308e-8
GE Milan !absent,4.18300283881889e-5,4.181243619095904e-5,4.185343890336181e-5,6.848752462179843e-8,5.957934448671226e-8,8.061250652135291e-8
GE split !far,1.319240299949491e-4,1.3191828917827079e-4,1.3193987037429995e-4,3.044998098222724e-8,1.343257428993306e-8,5.90898376188285e-8
GE caseof !far,3.956497346635774e-5,3.9564361116071286e-5,3.956575829149266e-5,2.3374069010560027e-9,1.7411686751380224e-9,3.3302260632894233e-9
GE Twan !far,3.2792082997844444e-5,3.278914806560442e-5,3.279599835056204e-5,1.1207428466882891e-8,8.74869380889183e-9,1.7306931662781647e-8
GE Milan !far,2.7393811358530742e-5,2.7391729747101105e-5,2.7398199707234105e-5,9.392111355698201e-9,5.6800385882020265e-9,1.656676027863214e-8
