Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,7.888776815764532e-6,7.888102722273495e-6,7.88958059119318e-6,2.4657887295012535e-9,1.614620406122742e-9,3.414775988216312e-9
union-disj_nn,7.905761419889051e-6,7.905281981107106e-6,7.906281357632297e-6,1.7453563086235623e-9,1.381915666454292e-9,2.327485430385899e-9
union-disj_ns,5.837699013494571e-6,5.837469004721158e-6,5.837962746871876e-6,8.414486168963346e-10,6.533970925656084e-10,1.2220982164964299e-9
union-disj_ns,5.834573339700015e-6,5.8343338050370966e-6,5.83489400660624e-6,9.170875961085323e-10,6.754935648302157e-10,1.3623008748162433e-9
union-disj_sn,6.760842767805895e-6,6.760511627613405e-6,6.761468338298462e-6,1.4685421243204484e-9,9.924225135578167e-10,2.5453323630791167e-9
union-disj_sn,6.762474946483423e-6,6.761807784863659e-6,6.763049362720517e-6,2.128614821376605e-9,1.8515640927118033e-9,2.485054876898651e-9
union-disj_nt,3.6981374501158956e-6,3.698014361554997e-6,3.698280020502438e-6,4.289604434287669e-10,3.479455556811857e-10,5.298810878689973e-10
union-disj_nt,3.697467401533357e-6,3.697323020480414e-6,3.697662541652197e-6,5.59946175032811e-10,4.1201568617801086e-10,8.326591470959607e-10
union-disj_tn,4.330925084908223e-6,4.330716935996778e-6,4.33152300436315e-6,1.16138742718569e-9,5.287665983782296e-10,2.2525774435191835e-9
union-disj_tn,4.323706545081985e-6,4.323501254105216e-6,4.323993565791323e-6,7.87627096419904e-10,6.412152712179109e-10,9.886504542848457e-10
union-common_nn,1.6559796152657755e-3,1.655314766295195e-3,1.6573610202929294e-3,3.0680811612131216e-6,1.6723612701191328e-6,5.9654074412629655e-6
union-common_nn,1.6519454576310382e-3,1.6514296579423439e-3,1.652798076752157e-3,2.2974905444919665e-6,1.6098568395744455e-6,3.630373593516225e-6
union-common_ns,1.605247415181294e-3,1.6044221960202186e-3,1.6068380601664675e-3,3.679369045534675e-6,2.4621869399201955e-6,5.6994606282445995e-6
union-common_ns,1.612293082209986e-3,1.6115900038789282e-3,1.6135869836618204e-3,3.129263098997212e-6,1.9534335580865843e-6,5.3305909355151325e-6
union-common_sn,7.553636526403391e-3,6.989773152830131e-3,8.529045689388533e-3,2.0842983941079442e-3,1.4593772457798264e-3,3.5890108859151404e-3
union-common_sn,7.487372863384617e-3,6.90722993210452e-3,8.159086510920078e-3,1.836435466470672e-3,1.4199749066510852e-3,2.655110203249639e-3
union-common_nt,7.92151886603512e-5,7.919953580185292e-5,7.92319805692998e-5,5.5138575710355104e-8,4.202651176632216e-8,7.475315234818024e-8
union-common_nt,7.986424559304255e-5,7.984010765918913e-5,7.988590060126564e-5,7.665734607619585e-8,6.393467785645689e-8,9.883295759937908e-8
union-common_tn,1.5949308265161672e-4,1.5933311042389195e-4,1.5963849729689353e-4,5.174377054853448e-7,4.47242334759518e-7,6.473348662743303e-7
union-common_tn,1.6002011747824412e-4,1.5983245021074506e-4,1.6017330047329308e-4,5.591091389356893e-7,4.804248005535658e-7,6.864211859311258e-7
union-mix_nn,3.932018508409521e-2,3.62111636036232e-2,4.228450543309035e-2,6.1115908033378945e-3,4.726629919535263e-3,7.520547867094561e-3
union-mix_nn,3.924806754764863e-2,3.6296806359388555e-2,4.2016766503523276e-2,6.12831165211662e-3,4.816253847216317e-3,7.606421974495167e-3
union-mix_ns,8.465943023525501e-3,7.836749630999635e-3,9.42537874713352e-3,2.0648113221435073e-3,1.5764131640428102e-3,3.101273281071764e-3
union-mix_ns,8.459814202958757e-3,7.831992006583514e-3,9.437190384882407e-3,2.065003740280394e-3,1.5563939289013667e-3,2.933559837805888e-3
union-mix_sn,1.0294282989898816e-2,9.499723479493712e-3,1.1278227228167917e-2,2.317842763397395e-3,1.67964744270736e-3,3.243234041469916e-3
union-mix_sn,1.0299501273705635e-2,9.543249241858705e-3,1.1229590566336172e-2,2.326495977588713e-3,1.7175553724654376e-3,3.3023265083360616e-3
union-mix_nt,1.3850854302059376e-4,1.3842942490163276e-4,1.3856900903872458e-4,2.2842450188884056e-7,1.7581087675569906e-7,3.4803027403713775e-7
union-mix_nt,1.3823551011292085e-4,1.3816002072387215e-4,1.382921007447618e-4,2.2253124680525163e-7,1.709364278633581e-7,3.1099251531936877e-7
union-mix_tn,1.639903792292252e-4,1.6377959181617852e-4,1.641695561538934e-4,6.8635007030211e-7,5.745288290815536e-7,8.336177572640851e-7
union-mix_tn,1.6426195863109483e-4,1.64036307919621e-4,1.644582082862459e-4,6.866360853383383e-7,5.742435403403863e-7,8.181246755786021e-7
union-block_nn,1.5102009267038846e-3,1.4533846973568728e-3,1.6501741622078718e-3,2.8449514914458e-4,1.4426542810177024e-4,4.855038489034108e-4
union-block_nn,1.5113230904195796e-3,1.450005686082672e-3,1.639172491089486e-3,2.8465490149205745e-4,1.399400413872126e-4,4.986501767603919e-4
union-block_ns,1.2103398395213824e-4,1.2101657396562332e-4,1.2104742244954812e-4,5.2300768843511254e-8,4.053450068503455e-8,6.805126645891913e-8
union-block_ns,1.2064182835497802e-4,1.2062573810509797e-4,1.2065769838894218e-4,5.6525606552176165e-8,4.623695398584983e-8,7.235395328270977e-8
union-block_sn,1.3192057546162396e-4,1.319094532189435e-4,1.3193677092378141e-4,4.648431562204269e-8,3.5999889859047665e-8,6.117134542863171e-8
union-block_sn,1.3203412319812315e-4,1.320218884228235e-4,1.320475159024922e-4,4.104738567944173e-8,3.2322887197782436e-8,5.616853848908762e-8
difference-disj_nn,6.15667421140818e-6,6.1559737708747076e-6,6.157322152024098e-6,2.2011377071839335e-9,1.6879540597125035e-9,3.0592407398580445e-9
difference-disj_nn,6.152912325002497e-6,6.152471954116706e-6,6.153342088443216e-6,1.4076773474603804e-9,1.084939820889845e-9,1.8502689608249553e-9
difference-disj_ns,4.699612753653735e-6,4.699271897362623e-6,4.699910768226451e-6,1.1114217543572417e-9,8.140350443708151e-10,1.5844299661465085e-9
difference-disj_ns,4.6970961299183295e-6,4.696919206605025e-6,4.697355580322434e-6,7.612484676430529e-10,5.80547198687617e-10,1.0949680228510271e-9
difference-disj_sn,4.133794851352962e-6,4.133439320422527e-6,4.1351027502210405e-6,2.0360410817313393e-9,4.79828311030211e-10,4.251313888737175e-9
difference-disj_sn,4.132048139067065e-6,4.1319109570948965e-6,4.132238040752617e-6,5.486897246487729e-10,3.9588096808141486e-10,7.37368717954587e-10
difference-disj_nt,2.8838387345623743e-6,2.8837500096045342e-6,2.8839699835807524e-6,3.450900600776328e-10,2.4681217846676055e-10,6.059614377595866e-10
difference-disj_nt,2.883139777959512e-6,2.8830062182847052e-6,2.8835554236600263e-6,7.162904015119734e-10,2.488867686135194e-10,1.4433015923096424e-9
