Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,6.233581116271264e-6,6.232437010581695e-6,6.2353641039496065e-6,4.9256276003339e-9,3.286071807719059e-9,7.105555675147417e-9
union-disj_nn,6.248738040455372e-6,6.245406425007258e-6,6.255135330715402e-6,1.518387836209005e-8,9.800564252502235e-9,2.1707986493800677e-8
union-disj_ns,4.6567436745664944e-6,4.655051016597341e-6,4.661366944774398e-6,8.707720365989895e-9,3.5425493447926136e-9,1.794596308110403e-8
union-disj_ns,4.654673391602803e-6,4.6529109031822385e-6,4.659124861174822e-6,8.709110269860653e-9,4.6497440720091475e-9,1.5558597737393808e-8
union-disj_sn,5.368234912858865e-6,5.3656889841278655e-6,5.371176538440417e-6,9.549092212234017e-9,7.32154099431942e-9,1.385543176113472e-8
union-disj_sn,5.367382386755741e-6,5.364746378909516e-6,5.37084140827191e-6,1.0029829386926298e-8,7.318755108364372e-9,1.5269963173195436e-8
union-disj_nt,2.971321077328856e-6,2.9708950559417018e-6,2.9722319303980467e-6,2.061271794232128e-9,1.0670067219098458e-9,3.684750663902232e-9
union-disj_nt,2.9693158168632747e-6,2.968943458950184e-6,2.9702331328274515e-6,1.811452269637204e-9,7.93559567113915e-10,3.6493666667148564e-9
union-disj_tn,3.494801814540779e-6,3.4945104161513155e-6,3.4954532786565437e-6,1.4551824084456337e-9,8.391073353358147e-10,2.598299204271143e-9
union-disj_tn,3.4976749143369525e-6,3.49704110617607e-6,3.4999846960716085e-6,3.3843374070377394e-9,1.0571491235269178e-9,6.792882390740838e-9
union-common_nn,1.284790383822606e-3,1.2840759757002473e-3,1.286084636780587e-3,3.069100785982917e-6,1.9712205990961503e-6,4.818491845344213e-6
union-common_nn,1.2644964797646732e-3,1.2637624222669405e-3,1.2660295381293019e-3,3.3134765768674527e-6,1.6894486047147645e-6,6.518955062179115e-6
union-common_ns,1.2795227600740635e-3,1.27897428980378e-3,1.2804664885086381e-3,2.3340164902208646e-6,1.582489324768548e-6,3.7256745978869056e-6
union-common_ns,1.2678895268841207e-3,1.2671634743113282e-3,1.2696873324812878e-3,3.81498295842768e-6,1.7422126012487281e-6,7.04915997817776e-6
union-common_sn,5.5669577234555975e-3,5.163674759911559e-3,6.112891393951642e-3,1.3966407045963814e-3,1.038219461420148e-3,2.059421726603367e-3
union-common_sn,5.53860544886503e-3,5.159276172451858e-3,6.001486685232082e-3,1.2670892623586989e-3,1.0139998213259563e-3,1.6921953542126556e-3
union-common_nt,8.12923389937432e-5,8.12419740322306e-5,8.134899591369889e-5,1.744671269276603e-7,1.4601476707534006e-7,2.3525031632263781e-7
union-common_nt,8.063436252883199e-5,8.057362651494095e-5,8.071517967381944e-5,2.2775357375337511e-7,1.8355391455219982e-7,2.9083863518561795e-7
union-common_tn,1.4187474483679996e-4,1.4181185746831647e-4,1.4193178275889344e-4,2.0015052107332162e-7,1.5668476806346446e-7,2.841731091281514e-7
union-common_tn,1.4187123814912158e-4,1.4181638370376246e-4,1.4191941535568527e-4,1.7882685321864352e-7,1.4038728358943063e-7,2.399769244570986e-7
union-mix_nn,3.374838222710894e-2,3.1007307121190167e-2,3.607870171604541e-2,5.008509608517341e-3,3.7472052682575255e-3,6.662614959702977e-3
union-mix_nn,3.365610078685287e-2,3.1273625720111574e-2,3.598923253411067e-2,4.889451522555615e-3,3.5290857399090858e-3,6.4653352734835605e-3
union-mix_ns,6.333587072919547e-3,5.919144019878911e-3,6.900254047653516e-3,1.468193700567722e-3,1.13133609131072e-3,2.0256180121984288e-3
union-mix_ns,6.347292636805511e-3,5.943183300243949e-3,6.921196931263754e-3,1.479753329006468e-3,1.1342428749429277e-3,2.0514709286967273e-3
union-mix_sn,7.560745601844288e-3,6.995962913140182e-3,8.214565819580964e-3,1.812158538962961e-3,1.3760230766242578e-3,2.8581869061864488e-3
union-mix_sn,7.554293729612004e-3,7.033526720025382e-3,8.26568537953316e-3,1.8025652674003602e-3,1.375277926121108e-3,2.6653580807966502e-3
union-mix_nt,1.2675459727738876e-4,1.2670324662970265e-4,1.268051935173726e-4,1.704466663312664e-7,1.3251101963461027e-7,2.221047023440026e-7
union-mix_nt,1.2654458600727035e-4,1.265023354923888e-4,1.2659581247083311e-4,1.5093790144610415e-7,1.0398951836842383e-7,2.172829523398022e-7
union-mix_tn,1.4351496636364028e-4,1.4344292880566896e-4,1.4360327229815946e-4,2.656450350695821e-7,2.1091434459705217e-7,3.356319790438347e-7
union-mix_tn,1.4369101107197284e-4,1.4362167349323644e-4,1.4376617355318225e-4,2.4421835086174723e-7,1.993854674727028e-7,3.0391054549233784e-7
union-block_nn,1.1525527428294172e-3,1.1256186124338882e-3,1.2177158019112564e-3,1.346412996537233e-4,6.055372183322606e-5,2.4920649831026607e-4
union-block_nn,1.1528240894941597e-3,1.1257556278126016e-3,1.2224223809197544e-3,1.3512994066861378e-4,6.021608367128715e-5,2.460563387433129e-4
union-block_ns,9.77446273091299e-5,9.773077957427707e-5,9.776209060700633e-5,5.2296669889595405e-8,4.062666289881355e-8,7.005643986668057e-8
union-block_ns,9.76929776168135e-5,9.767363998286943e-5,9.772424051675627e-5,7.988011055765367e-8,5.1685970557343346e-8,1.4565563259804735e-7
union-block_sn,1.0699002132511496e-4,1.0695740282903295e-4,1.0702421514514628e-4,1.1292715097235334e-7,1.02376286561077e-7,1.249964129908329e-7
union-block_sn,1.0675294187429316e-4,1.067303517007941e-4,1.0677423311485438e-4,7.269375194824195e-8,5.899597266094096e-8,9.024042522635723e-8
difference-disj_nn,4.506704776016017e-6,4.506489536937922e-6,4.507030250361733e-6,8.547007047642609e-10,6.457032528917625e-10,1.1261101897410997e-9
difference-disj_nn,4.510927039587506e-6,4.510728790416074e-6,4.511139006667917e-6,6.831048977596463e-10,5.398787579529296e-10,8.615390472931744e-10
difference-disj_ns,3.445931677483253e-6,3.4457589005547038e-6,3.4461441738312243e-6,5.969476730832879e-10,4.0920134912144776e-10,1.0069243455042546e-9
difference-disj_ns,3.4527071795722774e-6,3.4525911783489528e-6,3.45287110795017e-6,4.879718755095089e-10,3.3092646550179437e-10,7.769751175134033e-10
difference-disj_sn,3.052110945252801e-6,3.0518381639133105e-6,3.0535959292902187e-6,1.5999597508450993e-9,3.3042736546679664e-10,3.815450434860004e-9
difference-disj_sn,3.053036159684972e-6,3.052942328955804e-6,3.0531733182781637e-6,3.75278853607682e-10,2.837120999949871e-10,5.468266544055361e-10
difference-disj_nt,2.131797885447499e-6,2.1308195386533677e-6,2.132886685192203e-6,3.447878668050124e-9,2.5699418093121765e-9,4.586276969363793e-9
difference-disj_nt,2.135465191449854e-6,2.134353598894704e-6,2.13655063352223e-6,3.691530781514083e-9,3.111341034752255e-9,4.459301726970338e-9
difference-disj_tn,2.0930703115269543e-6,2.0930073103822543e-6,2.0931640286945608e-6,2.508838355831719e-10,2.001537947161503e-10,3.240581854604575e-10
difference-disj_tn,2.0953328650783393e-6,2.0952610318296356e-6,2.0954375552812317e-6,2.962827196760475e-10,2.0418176442281207e-10,4.967624696049377e-10
difference-common_nn,8.578363653970677e-3,8.01326001526668e-3,9.35653520459927e-3,1.7055639102100588e-3,1.2971390120674663e-3,2.3515977958384732e-3
difference-common_nn,8.578682096291057e-3,8.051833744374497e-3,9.252183212427158e-3,1.704639192144611e-3,1.2644931199505233e-3,2.439578150698805e-3
difference-common_ns,7.418334046691889e-3,6.968127068881755e-3,8.047618024376778e-3,1.6066061264391762e-3,1.2114215794163533e-3,2.1698406283289728e-3
difference-common_ns,7.415543267502162e-3,6.936054653537271e-3,8.051432482647893e-3,1.6075604766807518e-3,1.218876243710243e-3,2.3552361622690204e-3
difference-common_sn,1.9942645426402677e-3,1.9934121312941804e-3,1.9957671054393325e-3,3.7925713910089265e-6,2.1638583615517778e-6,6.718508721462581e-6
difference-common_sn,2.0052671057567695e-3,2.004431397483873e-3,2.0072815497797184e-3,4.127877331623941e-6,1.9146198667165976e-6,7.947818672658397e-6
difference-common_nt,2.2022852841817341e-4,2.1809742782824903e-4,2.2204949736997652e-4,6.28976437460454e-6,5.412412998529243e-6,7.1981707568477125e-6
difference-common_nt,2.2040947192909397e-4,2.1854807467428625e-4,2.220238642490226e-4,6.013582295967964e-6,5.18229087702446e-6,6.980887492527868e-6
difference-common_tn,1.5575447310255415e-4,1.5574289347486893e-4,1.5576562673042693e-4,3.895023150216881e-8,3.393193434742655e-8,4.5897398912389955e-8
difference-common_tn,1.5581946657544616e-4,1.5581016333966188e-4,1.558273305324923e-4,2.7686041627927507e-8,2.3446664233115485e-8,3.5733879046155605e-8
difference-mix_nn,1.218029406322207e-2,1.2176847241200921e-2,1.2185126970794533e-2,1.1162466518694114e-5,7.609793860055714e-6,1.495209271299782e-5
difference-mix_nn,1.217781931659851e-2,1.2174934729219515e-2,1.2181684786785557e-2,8.53522196734531e-6,5.722269199408169e-6,1.3219062728095042e-5
difference-mix_ns,2.3106853304314385e-3,2.3092154800256896e-3,2.315295886694806e-3,7.410533271730112e-6,3.529871644166127e-6,1.5032515037223039e-5
difference-mix_ns,2.325164197133026e-3,2.3238722699697517e-3,2.327178445882566e-3,5.646236307646058e-6,3.4584851197517493e-6,9.690952824370643e-6
difference-mix_sn,2.633721451513042e-3,2.6325171416324224e-3,2.6386909628279254e-3,6.312907127423454e-6,2.9363918875272e-6,1.2946332734635057e-5
difference-mix_sn,2.614569935519698e-3,2.6135677135820544e-3,2.616476912270896e-3,4.386537608118133e-6,2.7618015130590457e-6,7.330066963809459e-6
difference-mix_nt,1.4519757850393634e-4,1.4518646096218862e-4,1.452101974818757e-4,4.149395226952972e-8,3.430008054276614e-8,5.427054066827802e-8
difference-mix_nt,1.4519651161582235e-4,1.4517700857716965e-4,1.4521558464937364e-4,6.705980320185296e-8,5.3052400874965936e-8,8.551103653544119e-8
difference-mix_tn,1.5784940819560855e-4,1.5784042119020342e-4,1.5786447012363757e-4,3.861609531231236e-8,2.7137090596568447e-8,6.20422214303105e-8
difference-mix_tn,1.577778720957864e-4,1.5776431636703334e-4,1.577975312669411e-4,5.255082685719389e-8,3.9269454331900786e-8,6.549719418993579e-8
difference-block_nn,5.699279936722379e-4,5.698803572527736e-4,5.699953493975772e-4,1.922618375676753e-7,1.2619105357926945e-7,3.107530529766955e-7
difference-block_nn,5.702156511779222e-4,5.701548742618969e-4,5.702568791596096e-4,1.679400358346267e-7,1.2721117001531244e-7,2.4099881701886856e-7
difference-block_ns,6.884616637882024e-5,6.884047067241653e-5,6.885937571009495e-5,2.85415675317164e-8,1.4937015420343142e-8,5.192020901053132e-8
difference-block_ns,6.891074676463669e-5,6.89032181609362e-5,6.891875503836315e-5,2.631070357743448e-8,2.125005518444442e-8,3.6945529170493264e-8
difference-block_sn,6.971955270817647e-5,6.970955732826738e-5,6.973407996441795e-5,3.957795646236105e-8,3.2118123080702195e-8,4.707791862723095e-8
difference-block_sn,6.976295888350939e-5,6.975702660940335e-5,6.977103336602932e-5,2.2035682436035168e-8,1.5568933695279163e-8,3.467160966739778e-8
intersection-disj_nn,8.181048508608214e-6,8.180480318780099e-6,8.181779925786609e-6,2.0461337788786183e-9,1.5605831147167652e-9,3.146360420403403e-9
intersection-disj_nn,8.180846326094571e-6,8.180643934326332e-6,8.181108514043407e-6,7.879310288547658e-10,6.467336051319192e-10,9.602916569831707e-10
intersection-disj_ns,6.515540014847685e-6,6.5153790818205565e-6,6.515790034150088e-6,6.707317940617289e-10,4.23307245980018e-10,1.0924913144599383e-9
intersection-disj_ns,6.513905678935546e-6,6.513700094267275e-6,6.514269356241497e-6,8.638268489029583e-10,5.490572888888313e-10,1.5229179067709948e-9
intersection-disj_sn,6.416870025240209e-6,6.41647968734842e-6,6.418339882826645e-6,2.2662856198781964e-9,3.9757595978930384e-10,4.75477540303454e-9
intersection-disj_sn,6.4196511856954056e-6,6.419432584027174e-6,6.419926642110628e-6,7.932904872540281e-10,6.004095630653447e-10,1.1047965005610876e-9
intersection-disj_nt,4.407468999551683e-6,4.4072915244781114e-6,4.4076863362683245e-6,6.620221328391577e-10,4.935637610434838e-10,1.05806222238882e-9
intersection-disj_nt,4.408268947337692e-6,4.408025731076345e-6,4.408673220583211e-6,1.0353628446498478e-9,6.477773212899055e-10,1.7362679026839492e-9
intersection-disj_tn,3.945410796781636e-6,3.94530004781569e-6,3.9455783527554e-6,4.742167464601198e-10,3.266400324366447e-10,7.396831908790255e-10
intersection-disj_tn,3.951604316368699e-6,3.951341185069391e-6,3.952050191954722e-6,1.1324442710478462e-9,7.276132313217833e-10,1.8441895400795465e-9
intersection-common_nn,4.29238023164539e-3,4.107497763381382e-3,4.610054109661731e-3,7.45969976590992e-4,4.986984497816898e-4,1.1421029687158444e-3
intersection-common_nn,4.296177463455026e-3,4.103727148042318e-3,4.596538801717011e-3,7.465018239108557e-4,4.87407016867878e-4,1.1314732774245042e-3
intersection-common_ns,3.3709783900171507e-3,3.306439717051912e-3,3.5565660438489754e-3,3.156527853021262e-4,1.274483371362718e-4,6.233956647614407e-4
intersection-common_ns,3.3738723925415036e-3,3.3073526237753434e-3,3.5625299867909346e-3,3.1475051535768625e-4,1.0224388262403377e-5,6.216600815792249e-4
intersection-common_sn,2.3996508543501164e-3,2.3981382060598725e-3,2.4042482065925264e-3,7.5983491199600514e-6,2.7291028999126232e-6,1.609618154716888e-5
intersection-common_sn,2.4481294653663703e-3,2.4474429798943963e-3,2.4497888477754766e-3,3.517033893688672e-6,1.7525368796916585e-6,6.296388411946101e-6
intersection-common_nt,2.0217711612180618e-4,2.0216545150344146e-4,2.0219360741227516e-4,4.310577297791438e-8,3.7019222074811406e-8,5.403835941454827e-8
intersection-common_nt,2.0205041907557253e-4,2.0203630788342083e-4,2.0211087947434912e-4,7.914494106413486e-8,3.2249611421188204e-8,1.682947960790471e-7
intersection-common_tn,1.7624642745208506e-4,1.7623735436324498e-4,1.7625464924070876e-4,2.825681824022784e-8,2.127884625647898e-8,3.9446834775276904e-8
intersection-common_tn,1.762436231132491e-4,1.762319020851804e-4,1.7625489097361055e-4,3.9705945455864666e-8,3.2793185122214596e-8,4.9666103419774745e-8
intersection-mix_nn,1.4342946307927634e-2,1.4339830781692164e-2,1.4347007187780281e-2,8.704578722401097e-6,7.040867844985823e-6,1.1235147027875707e-5
intersection-mix_nn,1.433560783600012e-2,1.4332298794012044e-2,1.4341847503466986e-2,1.1126368648954802e-5,6.543534626578744e-6,2.023112204114469e-5
intersection-mix_ns,3.2677198868854927e-3,3.2664719196662693e-3,3.269668413540141e-3,5.062807199033505e-6,3.496936229908593e-6,8.308754738063973e-6
intersection-mix_ns,3.275280103523026e-3,3.2745827772329835e-3,3.2763455076310856e-3,2.7908000704529336e-6,1.91538687424956e-6,4.143071822288087e-6
intersection-mix_sn,3.183203790451598e-3,3.1818413057623585e-3,3.185458610231141e-3,5.499229143331058e-6,3.672505611096215e-6,9.015755465029656e-6
intersection-mix_sn,3.2227898608374666e-3,3.2211088091528167e-3,3.2289505962975694e-3,8.855938779241228e-6,3.674602347781313e-6,1.735019893649899e-5
intersection-mix_nt,1.915671883116759e-4,1.915520724946879e-4,1.9158439702615348e-4,5.740574207854824e-8,4.477299640297717e-8,7.932179199558676e-8
intersection-mix_nt,1.9132288538580583e-4,1.9130953615163347e-4,1.9135314193236726e-4,6.366284927219015e-8,3.4085072412871295e-8,1.3228859832223042e-7
intersection-mix_tn,1.8357465997390665e-4,1.835637655375215e-4,1.8358552800929265e-4,3.696499740097243e-8,3.067718233320521e-8,4.837999155746301e-8
intersection-mix_tn,1.8349432755046259e-4,1.834857176744488e-4,1.8350521372223976e-4,3.3090562174427133e-8,2.4609064523567863e-8,4.675758862530504e-8
intersection-block_nn,9.283058046195716e-4,9.282568934733707e-4,9.284109044007809e-4,2.394305888851192e-7,1.3746744500546153e-7,4.4879898556059665e-7
intersection-block_nn,9.283817486054858e-4,9.283466985977129e-4,9.284291325279196e-4,1.3937354938223634e-7,1.0860418623312992e-7,2.140210218951444e-7
intersection-block_ns,1.2018002568573643e-4,1.2017044097230103e-4,1.2019545975367099e-4,4.1391011090294166e-8,2.7344763494750533e-8,6.956571379926374e-8
intersection-block_ns,1.2016460277849939e-4,1.2015652256956277e-4,1.2017360027612373e-4,2.7640620936708905e-8,2.0581303651586962e-8,4.412232220441611e-8
intersection-block_sn,1.1803915566177518e-4,1.1803499901930478e-4,1.1804439442587054e-4,1.4899139021177406e-8,1.1456357797819163e-8,2.280226708282286e-8
intersection-block_sn,1.1797710727615248e-4,1.1797090110443162e-4,1.1798323017309201e-4,2.083584085859061e-8,1.7521461254775894e-8,2.5133362506938145e-8
