Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
GE split present,6.836228518275095e-4,6.835561120661232e-4,6.837307678571671e-4,2.907058918739778e-7,1.844230899791878e-7,4.824111243224905e-7
GE Craig present,2.6098638937042495e-4,2.6095925260661635e-4,2.6105903737404956e-4,1.440602842324933e-7,5.005405245178809e-8,2.7838386817086437e-7
GE Twan present,2.4201206766520723e-4,2.4198424530171743e-4,2.4205746949859934e-4,1.1554752963062813e-7,7.444020871888046e-8,1.970196549432208e-7
GE Milan present,1.9893458475692566e-4,1.988420930732955e-4,1.9902240467190865e-4,3.068542597110933e-7,2.717078007248587e-7,3.453796557812626e-7
GE split absent,7.24857904926826e-4,7.247579761416277e-4,7.250190858517093e-4,4.0404140306982105e-7,2.750851572534056e-7,6.189558074220958e-7
GE Craig absent,2.4378238406298257e-4,2.4374002524412176e-4,2.438954365406868e-4,2.1261319078449028e-7,8.845231607364132e-8,4.0781452305285617e-7
GE Twan absent,2.2664317298884558e-4,2.2660801067539302e-4,2.2669286198950212e-4,1.3582801028903364e-7,9.470532662057651e-8,1.997459168063926e-7
GE Milan absent,1.909728761699109e-4,1.9087051003401052e-4,1.9107307149488796e-4,3.4000798313426116e-7,2.77971732085144e-7,4.141778971219047e-7
GE split far,6.377202085552493e-4,6.376395369076436e-4,6.378930469738143e-4,3.8402417021293377e-7,1.9416664699538103e-7,8.090985057330392e-7
GE Craig far,2.3823328120443674e-4,2.3821036619639128e-4,2.382735942634865e-4,1.0825377910486329e-7,6.699852223722708e-8,1.8620132292273717e-7
GE Twan far,2.0575738155488316e-4,2.0572936238287502e-4,2.0585188835589528e-4,1.520994702838107e-7,3.947050370644834e-8,2.830614232381767e-7
GE Milan far,1.4169942350096155e-4,1.416863902500674e-4,1.417310328145856e-4,6.25838698042237e-8,3.8759203695642416e-8,1.0788059306602662e-7
GE split !present,6.854993993119641e-4,6.85399215914014e-4,6.858510732157801e-4,5.630125192092623e-7,1.9814822193995512e-7,1.1238338103656715e-6
GE Craig !present,2.6464881185644105e-4,2.6461707433908684e-4,2.647204233981886e-4,1.4992825311717e-7,7.827866238251093e-8,2.6576830147666944e-7
GE Twan !present,2.4516985365755756e-4,2.451453814935327e-4,2.452086793116095e-4,1.0211280917648336e-7,7.229609547047598e-8,1.6751849490760316e-7
GE Milan !present,2.0283641291797658e-4,2.0272949600239098e-4,2.0294758304118066e-4,3.817732849486958e-7,3.238925660932795e-7,4.6102498987900847e-7
GE split !absent,7.26355351743107e-4,7.262588539056054e-4,7.265230452076648e-4,4.354855846914467e-7,3.3290092062594387e-7,6.730111613017661e-7
GE Craig !absent,2.475411238582648e-4,2.4749884580374493e-4,2.4767302613755746e-4,2.3109798045932416e-7,6.379724018078769e-8,5.031499710573524e-7
GE Twan !absent,2.3011476800585798e-4,2.3008239239533798e-4,2.3017118193783466e-4,1.4510855173161618e-7,9.057150649513832e-8,2.2924574275021682e-7
GE Milan !absent,1.8485331905219123e-4,1.848154617890143e-4,1.849003780758628e-4,1.5019938440862238e-7,1.2367432214329177e-7,1.8001740543997486e-7
GE split !far,6.381825245724131e-4,6.381066747213694e-4,6.3832794035765e-4,3.366595832447239e-7,1.9064448907255737e-7,6.991439174221338e-7
GE Craig !far,2.4094732229024398e-4,2.4092600383623244e-4,2.4098955614104646e-4,9.774917762988606e-8,5.6404480796274075e-8,1.8041320851057195e-7
GE Twan !far,2.083488110339899e-4,2.0831873013220487e-4,2.0843385210268922e-4,1.5994224472485422e-7,5.104309778630079e-8,3.1937701313182925e-7
GE Milan !far,1.4513071893597988e-4,1.451146988392705e-4,1.4515905539377573e-4,6.930867257134486e-8,3.927413015570286e-8,1.1755327696574986e-7
