Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,1.1614948163945451e-7,1.1614523698663748e-7,1.1616155964122234e-7,2.0460919756548468e-11,1.0091965341573894e-11,4.0784113321153735e-11
union-disj_nn,1.1625377622454414e-7,1.162478964482376e-7,1.1627257907843567e-7,3.036163691066109e-11,1.3024630276235012e-11,6.762054062678186e-11
union-disj_ns,9.946629140674542e-8,9.946257868347881e-8,9.946976887321441e-8,1.2572972958988542e-11,1.0270783670410907e-11,1.6375321100348152e-11
union-disj_ns,9.940147301880313e-8,9.936469856231287e-8,9.942680843871456e-8,1.0867956835012846e-10,9.116941009218712e-11,1.2344147850294078e-10
union-disj_sn,1.0110217041844234e-7,1.0109719313830607e-7,1.0111268003137567e-7,2.348142291346243e-11,1.3248272777266743e-11,4.165795300581772e-11
union-disj_sn,1.0112331555624924e-7,1.0111656533996951e-7,1.0112878385222427e-7,1.9458033365718044e-11,1.6377378384485945e-11,2.3060975522020562e-11
union-disj_nt,7.438441477737536e-8,7.437930775246518e-8,7.439099816809045e-8,1.8241849013566923e-11,1.466531766486545e-11,2.693141796800989e-11
union-disj_nt,7.425276083437502e-8,7.424633091749831e-8,7.425954099635577e-8,2.249544616328981e-11,1.9909478715364843e-11,2.641671640031944e-11
union-disj_tn,7.736887421763342e-8,7.736281505816618e-8,7.73896096043339e-8,3.3450650091444014e-11,1.287327663685703e-11,6.78336895845573e-11
union-disj_tn,7.748399781008555e-8,7.748125449120752e-8,7.748662752536593e-8,9.559142384054677e-12,8.000059394806106e-12,1.1664773024938049e-11
union-common_nn,4.066460622102506e-5,4.0658832094172e-5,4.0670792165431486e-5,2.0335323186037453e-8,1.706192260152716e-8,2.4826333523890573e-8
union-common_nn,4.0651905841459745e-5,4.064526732345658e-5,4.06589699951421e-5,2.2095371903037263e-8,1.8105286324697247e-8,2.735435440595758e-8
