Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,7.998560823949658e-6,7.998115952695865e-6,7.999073322478003e-6,1.6280303848411679e-9,1.392123324724674e-9,1.965620879852246e-9
union-disj_nn,8.020566653804907e-6,8.020071251074495e-6,8.021246407679258e-6,1.996852748781658e-9,1.6242043757179504e-9,2.4077083814275615e-9
union-disj_ns,5.930596106914329e-6,5.930096001833003e-6,5.932112596134272e-6,2.5912563114718e-9,1.069189211075451e-9,5.53256948906709e-9
union-disj_ns,5.929390945840212e-6,5.929134086929946e-6,5.929720478181851e-6,9.96839297571464e-10,8.216768496015652e-10,1.3130613672919442e-9
union-disj_sn,6.618758020740815e-6,6.6179150072554055e-6,6.619578805532309e-6,2.7715194540256525e-9,2.350007060615154e-9,3.283684089199478e-9
union-disj_sn,6.622296534640289e-6,6.621844046223673e-6,6.623127336051922e-6,1.960984991590473e-9,1.1842858409934312e-9,3.518001252613172e-9
union-disj_nt,3.7520756010503908e-6,3.751829595765071e-6,3.7523350245009963e-6,8.03334099790036e-10,6.580876490395812e-10,1.0164089945909445e-9
union-disj_nt,3.754927733313454e-6,3.7546873690361773e-6,3.75523012184523e-6,8.866759589065734e-10,6.874216053805155e-10,1.1801474557237494e-9
union-disj_tn,4.25782308304086e-6,4.257626025278048e-6,4.25841712727501e-6,1.03316364259792e-9,4.5361618622975824e-10,2.152873015878442e-9
union-disj_tn,4.261700866546654e-6,4.2615334230692445e-6,4.261896699135555e-6,5.840475565698149e-10,4.850090383369513e-10,7.140609150067525e-10
union-common_nn,1.6413857388131103e-3,1.6407789687900663e-3,1.642414542187217e-3,2.7415327713350247e-6,1.883602085323092e-6,4.397271555340514e-6
union-common_nn,1.6920244981465764e-3,1.6911492942890505e-3,1.6944449255494897e-3,4.774698378823397e-6,1.642835925073422e-6,9.65717404473748e-6
union-common_ns,1.5960329538936863e-3,1.5952466316665028e-3,1.5978339639330195e-3,3.5755497895243545e-6,1.9751923766012935e-6,6.545044851390461e-6
union-common_ns,1.6239323188186898e-3,1.6228039455472138e-3,1.6261710447602474e-3,5.35590329179778e-6,2.2990424726359496e-6,1.010818440347003e-5
union-common_sn,7.541891028557012e-3,6.982752489022334e-3,8.540473893794143e-3,2.087968433985994e-3,1.424064167490527e-3,3.3510145993735237e-3
union-common_sn,7.472743544502502e-3,6.973227126133643e-3,8.202090899403814e-3,1.8399995537951503e-3,1.4046058959958161e-3,2.704635842777803e-3
union-common_nt,8.584327030951256e-5,8.580789963730968e-5,8.588606112621338e-5,1.2473914577862322e-7,1.0221822367521048e-7,1.6458440961998006e-7
