Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,6.345554441621379e-6,6.34498619848939e-6,6.346179232663263e-6,1.962308540917467e-9,1.7018759056060874e-9,2.3110610693395224e-9
union-disj_nn,6.3530988897540295e-6,6.351895972056271e-6,6.353800116560554e-6,2.886087555662775e-9,1.9960357366710767e-9,4.089660665405844e-9
union-disj_ns,4.706725182397607e-6,4.705970603880703e-6,4.707613926002064e-6,2.7780003505600135e-9,2.399074098343943e-9,3.176424698641933e-9
union-disj_ns,4.711633854940449e-6,4.709594609674947e-6,4.716971476102933e-6,1.0080797118812947e-8,5.819924001407228e-9,1.7486714254286088e-8
union-disj_sn,5.466355432873521e-6,5.463823784113155e-6,5.470097986690452e-6,1.046480560271231e-8,7.681430197358108e-9,1.5617352812581884e-8
union-disj_sn,5.4748329070605626e-6,5.472527298311116e-6,5.478296310165603e-6,9.768861598281238e-9,7.030884343427594e-9,1.536175854310152e-8
union-disj_nt,2.986969045504755e-6,2.9862804104974137e-6,2.989426383491846e-6,3.7417096013013145e-9,9.463246166233739e-10,7.60434968240423e-9
union-disj_nt,2.9863243271187557e-6,2.9859813811764734e-6,2.9874143024437453e-6,1.817561578927071e-9,6.326080852620775e-10,3.8881303376747425e-9
union-disj_tn,3.5529389519120477e-6,3.552369396839073e-6,3.553781279716127e-6,2.4655432015906062e-9,1.7885270325021672e-9,3.7241700642255097e-9
union-disj_tn,3.5531038825896266e-6,3.552480463070789e-6,3.554523867235332e-6,2.9583007110345458e-9,1.7134147546311223e-9,5.354772752696245e-9
union-common_nn,1.2973249490225278e-3,1.296604387745683e-3,1.298619740849267e-3,3.0427861766703285e-6,1.9381126847324374e-6,4.44207646363089e-6
union-common_nn,1.2733121829368228e-3,1.2726708246410172e-3,1.2744275488257974e-3,2.918651325678932e-6,1.6312060123262315e-6,4.930815033272332e-6
union-common_ns,1.2643565205340223e-3,1.2636317846653887e-3,1.2662950085051126e-3,3.860427942765034e-6,1.598440841625093e-6,7.536194354639921e-6
union-common_ns,1.2854663295776834e-3,1.2845273678817573e-3,1.2871735933250921e-3,4.080474183217517e-6,2.2593074884676983e-6,6.204175557692729e-6
union-common_sn,5.567486383468481e-3,5.1376991366724875e-3,6.140572483994649e-3,1.3957086433566556e-3,1.0291600852083511e-3,2.116508336626396e-3
union-common_sn,5.5314861552122965e-3,5.183309218451572e-3,6.084002387102712e-3,1.2582564908564149e-3,9.997522342918893e-4,1.8997508582782264e-3
union-common_nt,7.436975147219378e-5,7.434502299116189e-5,7.43946948796896e-5,8.641388054988169e-8,6.668468866314469e-8,1.1463655584276693e-7
union-common_nt,7.472662233357297e-5,7.47020489723041e-5,7.475121930335844e-5,8.328686087231409e-8,6.852536163630622e-8,1.0150992368432267e-7
union-common_tn,1.3893415153932816e-4,1.3888086749282882e-4,1.3898547066313276e-4,1.7035535275599337e-7,1.3773958692285523e-7,2.0974729636368524e-7
union-common_tn,1.3926739881480645e-4,1.392146928802269e-4,1.3932012659096532e-4,1.7336109708436784e-7,1.3499157878432927e-7,2.3217040615119518e-7
union-mix_nn,3.310379788029784e-2,3.043706661517391e-2,3.5324191463685026e-2,4.996315625994497e-3,3.735070385865737e-3,6.887121554293065e-3
union-mix_nn,3.302690749630646e-2,3.024458725946282e-2,3.526293061870626e-2,4.895965635262701e-3,3.6073374266533476e-3,6.71161248595054e-3
union-mix_ns,6.295003212121529e-3,5.8882633996015605e-3,6.931269469371663e-3,1.4688709029853136e-3,1.145810046122999e-3,2.332171878458129e-3
union-mix_ns,6.329564397421435e-3,5.888722777336764e-3,6.940864656973921e-3,1.4665595423961127e-3,1.1427055184649016e-3,2.0599714414591993e-3
union-mix_sn,7.529849336269957e-3,7.022835790003787e-3,8.241179882728674e-3,1.800211043715181e-3,1.3699190471128414e-3,2.6769962029621593e-3
union-mix_sn,7.537305210985957e-3,6.943917697416628e-3,8.278063810926753e-3,1.7985863259888648e-3,1.3390892756973522e-3,2.537121192980556e-3
union-mix_nt,1.2546885531094972e-4,1.2542051857689635e-4,1.255170603895951e-4,1.7268229012050323e-7,1.3230115140237943e-7,2.3698484854745251e-7
union-mix_nt,1.2582115751317422e-4,1.25769332305365e-4,1.2587861386323325e-4,1.8477759089346577e-7,1.4155210657199683e-7,2.3718821319884982e-7
union-mix_tn,1.4105201824337224e-4,1.4098306348196804e-4,1.4112497076128558e-4,2.415269390953973e-7,1.9972843068740207e-7,2.9432561944142657e-7
union-mix_tn,1.4073082012965762e-4,1.4067917865501878e-4,1.4080049704766725e-4,1.9914614649153232e-7,1.5785103400984236e-7,2.4856862099723034e-7
union-block_nn,1.1444108452734253e-3,1.1173125569363088e-3,1.2059282794686108e-3,1.3416129969448913e-4,5.95409243533953e-5,2.481629479054801e-4
union-block_nn,1.14469879189537e-3,1.1176993718788855e-3,1.2100849230590339e-3,1.344922846233519e-4,6.003079771097831e-5,2.4891685407453463e-4
union-block_ns,9.732677885641741e-5,9.731126670130644e-5,9.736045673074516e-5,7.043880665861276e-8,4.115588013952413e-8,1.2375583353797843e-7
union-block_ns,9.719798857610674e-5,9.718382990775936e-5,9.72198918949895e-5,5.8468107278143785e-8,4.2514576984117465e-8,8.94871431823351e-8
union-block_sn,1.0627601535147896e-4,1.062506201552945e-4,1.063308322426518e-4,1.2777146605212438e-7,5.8497931251155645e-8,2.392531281623145e-7
union-block_sn,1.0645564829336604e-4,1.0643550767597856e-4,1.0647126577909757e-4,5.8539012146887976e-8,4.694666271624083e-8,7.410534332585441e-8
difference-disj_nn,4.566372659730337e-6,4.566105628024367e-6,4.566668366228335e-6,9.49978598243539e-10,7.454708997159999e-10,1.186882554033806e-9
difference-disj_nn,4.56649600600828e-6,4.566239314684571e-6,4.566791440243318e-6,9.06812623818054e-10,7.283636634640302e-10,1.225767546677418e-9
difference-disj_ns,3.493430314284505e-6,3.493258382902917e-6,3.4936863026808275e-6,6.8852553880181e-10,5.114296610312238e-10,1.0640900341326817e-9
difference-disj_ns,3.5107194252648708e-6,3.510577339217601e-6,3.5109085394812933e-6,5.523646134156117e-10,4.370265403188344e-10,7.595838156339469e-10
