Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
GE split present,1.5859191056979773e-4,1.585740446417314e-4,1.5861008630514877e-4,5.99902475842218e-8,5.1507518869880614e-8,7.029081186822102e-8
GE caseof present,4.077933268308386e-5,4.076526364297277e-5,4.0793979795285264e-5,4.730410388624955e-8,3.731676216613882e-8,6.602668815832625e-8
GE Twan present,3.362293703444909e-5,3.361236030875233e-5,3.36354269753419e-5,3.907553338913095e-8,3.2790893127603344e-8,4.903248247137534e-8
GE Milan present,3.345350978552626e-5,3.343897524627228e-5,3.346657558864889e-5,4.651928323517212e-8,3.880645187593237e-8,6.019484222232602e-8
GE split absent,2.027341766067316e-4,2.0272198850297454e-4,2.0275175604121397e-4,4.803571239659566e-8,3.2860584239559035e-8,7.639400111255405e-8
GE caseof absent,5.160517290996013e-5,5.1590141426941785e-5,5.162106671622591e-5,5.1815016556197405e-8,4.292567148516381e-8,6.497854050566345e-8
GE Twan absent,4.192511519532143e-5,4.1902646866191715e-5,4.194375123128412e-5,6.660725075621147e-8,5.526630937663762e-8,8.158965195974473e-8
GE Milan absent,4.153326633928184e-5,4.1514639299914645e-5,4.1554016478647855e-5,6.522393756033657e-8,5.3992784485931416e-8,8.385681767471907e-8
GE split far,1.3227059555774782e-4,1.3226271738287016e-4,1.3229125654968445e-4,3.8431747489198954e-8,1.747449953556437e-8,7.2730554564118e-8
GE caseof far,4.0740837240210334e-5,4.0735139363496704e-5,4.074998120428679e-5,2.4377716068812626e-8,1.5274769026732686e-8,3.8827593174405005e-8
GE Twan far,3.258167834015857e-5,3.257983056872631e-5,3.258514348599227e-5,8.617164634320033e-9,5.472632943954439e-9,1.5074447934777186e-8
GE Milan far,2.844814908720893e-5,2.84385991428871e-5,2.8459529740187093e-5,3.433547098428169e-8,2.5806257362844273e-8,4.236093183179422e-8
GE split !present,1.591443067063445e-4,1.591311441542666e-4,1.5916027450766187e-4,4.769218969963816e-8,3.876587988931449e-8,5.761942805283589e-8
GE caseof !present,4.2779958447033556e-5,4.2768933557285975e-5,4.279315276291058e-5,3.8924745974201545e-8,3.1816196030198334e-8,5.1637026454481705e-8
GE Twan !present,3.317929046989619e-5,3.3167290255666036e-5,3.319232287090284e-5,4.1648551417463785e-8,3.5389071606534525e-8,4.9842295177046286e-8
GE Milan !present,3.3571358808920375e-5,3.35552762259732e-5,3.3586306989331e-5,5.1427511374611414e-8,4.122342954555053e-8,6.629685865953296e-8
GE split !absent,2.0299934181125995e-4,2.029860533241892e-4,2.0301264698820973e-4,4.6850288067328e-8,3.8590187747909956e-8,6.275995944345073e-8
GE caseof !absent,5.015226415379912e-5,5.01416669805921e-5,5.016408022216497e-5,3.8371508589719806e-8,3.2759154996804974e-8,4.8053305681757564e-8
GE Twan !absent,4.1792518106540386e-5,4.17795009059446e-5,4.1804754359322466e-5,4.575792596984511e-8,3.840104612012221e-8,5.5104593189173766e-8
GE Milan !absent,4.247030356317288e-5,4.2445362765583995e-5,4.249646066836326e-5,8.634441046097759e-8,7.169209033361428e-8,1.1717280750891186e-7
GE split !far,1.330944512790358e-4,1.3308947788912297e-4,1.331046693354677e-4,2.244772259469107e-8,1.4147942687661594e-8,4.063152117320734e-8
GE caseof !far,4.1593918923270626e-5,4.158744394240748e-5,4.1607031265402705e-5,2.8830755003879593e-8,1.7944945456313975e-8,5.2578263138474975e-8
GE Twan !far,3.2844969441112435e-5,3.284349070637097e-5,3.284638660972178e-5,5.172781634375302e-9,4.483646193795009e-9,6.1569373159270384e-9
GE Milan !far,2.9603407687868976e-5,2.9602561835481664e-5,2.960476647641762e-5,3.5003149675385147e-9,2.079695869061514e-9,5.38586778749506e-9
