Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,1.5542690992480322e-7,1.554199878826387e-7,1.554405697887153e-7,3.064403051177917e-11,2.0098741287544002e-11,5.199658482430388e-11
union-disj_nn,1.5555104323285522e-7,1.5554375984824826e-7,1.5555879605537727e-7,2.6133191490785478e-11,2.2219098307104578e-11,3.1514890518920004e-11
union-disj_ns,1.3827726695836884e-7,1.3826844731007275e-7,1.382865858207377e-7,3.142595590747571e-11,2.6744244612913036e-11,3.673981188320545e-11
union-disj_ns,1.3828949712135857e-7,1.3828250634233933e-7,1.382986670156719e-7,2.709305297923122e-11,2.1820119447872635e-11,3.6680967295855213e-11
union-disj_sn,1.4211453038063515e-7,1.421053941030925e-7,1.4213761149514395e-7,4.330164523977168e-11,2.162292404803995e-11,8.092773500729911e-11
union-disj_sn,1.4210663635725938e-7,1.4209791350211484e-7,1.421160241985848e-7,3.099858186952207e-11,2.560348551015211e-11,3.7499409495350707e-11
union-disj_nt,1.134652248992061e-7,1.1346104211895043e-7,1.134716268953038e-7,1.6447593121491285e-11,1.2919642844358374e-11,2.3352426560263798e-11
union-disj_nt,1.1348952652565494e-7,1.134845548157218e-7,1.1350341122971661e-7,2.4682537771854653e-11,1.247625536195276e-11,4.927708925043579e-11
union-disj_tn,1.2030023534212412e-7,1.2029380292193303e-7,1.2030787964555415e-7,2.2102857994753105e-11,1.8580201788959774e-11,2.6700103682878457e-11
union-disj_tn,1.20320232932376e-7,1.20312863092901e-7,1.2032737906668157e-7,2.2642695206503527e-11,1.9623435622685133e-11,2.7622634860129526e-11
union-common_nn,8.189470146528578e-3,7.633957762165933e-3,9.236447599048007e-3,2.1501953757012207e-3,1.3529557826835214e-3,3.7635315985397144e-3
union-common_nn,8.080736524776371e-3,7.5376107384530515e-3,8.928667075685973e-3,1.753219101683084e-3,1.3083571099017748e-3,2.528425332685916e-3
union-common_ns,1.962168050416406e-3,1.896379798588957e-3,2.0990838713726904e-3,3.068003329553915e-4,1.385848807975498e-4,5.468473179849157e-4
union-common_ns,1.957738557440181e-3,1.898212568468013e-3,2.1217157923179926e-3,3.054672818904608e-4,1.5514941082711564e-4,5.603227722301197e-4
union-common_sn,2.021174519168862e-3,1.9571015307404396e-3,2.172190291790025e-3,3.1106267360648767e-4,1.4078204557639763e-4,5.667857836018883e-4
