Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,7.905827855752193e-6,7.905518795999824e-6,7.906212848081364e-6,1.154928722133821e-9,9.496807697490027e-10,1.4249130052819516e-9
union-disj_nn,7.927517743598015e-6,7.927278464487165e-6,7.927766516779e-6,8.460481803945736e-10,7.307148175889845e-10,1.029865447270117e-9
union-disj_ns,5.87123554790924e-6,5.8710585903461946e-6,5.871598036122091e-6,8.214770911133547e-10,4.699557486182626e-10,1.5011439013004552e-9
union-disj_ns,5.86964676922209e-6,5.8694342414510705e-6,5.870056744856703e-6,9.163014053234376e-10,5.557629819543069e-10,1.6474110154224751e-9
union-disj_sn,6.548463427204118e-6,6.548085586394583e-6,6.549762506968141e-6,2.184215986750116e-9,6.835803709320645e-10,4.412958483638663e-9
union-disj_sn,6.553505402178115e-6,6.5531774320274545e-6,6.553844435202229e-6,1.1396640036539773e-9,9.231044674770553e-10,1.4194355689809136e-9
union-disj_nt,3.710009631250563e-6,3.7098442824951716e-6,3.71025240106323e-6,6.905630273882233e-10,5.016148749750451e-10,9.987819640636881e-10
union-disj_nt,3.7102173541691988e-6,3.710053684430732e-6,3.7106997367660687e-6,9.043003933973366e-10,3.4454435075812827e-10,1.7779213117020034e-9
union-disj_tn,4.219609566567178e-6,4.21921634104313e-6,4.220452836010183e-6,1.822577950087417e-9,7.648069112347754e-10,3.004336864130601e-9
union-disj_tn,4.2190585758112654e-6,4.2181169127173385e-6,4.219938784731081e-6,3.1695235754506016e-9,2.661796621432829e-9,3.6555156099682916e-9
union-common_nn,1.6538414734386868e-3,1.6530812692325475e-3,1.6556650208943721e-3,3.5816488231263264e-6,2.1194154024502143e-6,6.354915674807817e-6
union-common_nn,1.64221825153275e-3,1.6416449821942674e-3,1.6429005290276176e-3,2.0999071088991703e-6,1.6152999900666356e-6,2.8225296510783274e-6
union-common_ns,1.6052330722184558e-3,1.6044361944653855e-3,1.6073668304666634e-3,4.0512351750144365e-6,2.032109084050897e-6,7.5892927824553e-6
union-common_ns,1.611982407691543e-3,1.611394810506459e-3,1.612982818034657e-3,2.7176504487661486e-6,1.7825206910345957e-6,4.256633759037949e-6
union-common_sn,7.614483725222624e-3,6.9698581393293395e-3,8.531671991338493e-3,2.1209448317206087e-3,1.4320689890909666e-3,3.451818850101219e-3
union-common_sn,7.547579065429148e-3,7.00216050254266e-3,8.316092482682981e-3,1.8780301517064926e-3,1.4365275516873106e-3,2.677555241397951e-3
union-common_nt,8.002122025945298e-5,7.999675798609122e-5,8.004297383721294e-5,7.811688318024503e-8,6.28783422944706e-8,9.871273992264179e-8
union-common_nt,8.024853409388852e-5,8.022482698807148e-5,8.027681250016218e-5,9.007593372265938e-8,6.844507875703879e-8,1.1083746490081298e-7
union-common_tn,1.5837815694581657e-4,1.5824500884194587e-4,1.5850752078290094e-4,4.523209896484806e-7,3.753521560789133e-7,6.153191105461644e-7
union-common_tn,1.5854497373917484e-4,1.5841017767330372e-4,1.586689591867107e-4,4.445093452440678e-7,3.7496905109402015e-7,5.676046353229686e-7
union-mix_nn,3.958238614062818e-2,3.64738990012393e-2,4.260556512482546e-2,6.2495955245028675e-3,4.8029333565911434e-3,7.853574848644814e-3
union-mix_nn,3.949849420825232e-2,3.623499188105163e-2,4.2543937634270355e-2,6.257200082353519e-3,4.863039554102073e-3,7.7286349925683295e-3
union-mix_ns,8.561692282049735e-3,7.872290921693021e-3,9.44536945732546e-3,2.1086802467581004e-3,1.6056837084446832e-3,3.0028705347373906e-3
union-mix_ns,8.559527572201516e-3,7.912640619934729e-3,9.498583737826366e-3,2.112844660133885e-3,1.596575805627647e-3,2.9641458442656162e-3
union-mix_sn,1.0376718786354877e-2,9.65424368130486e-3,1.148134077527783e-2,2.3740627934980287e-3,1.8140274080853274e-3,3.5196045481069404e-3
union-mix_sn,1.0388250007912702e-2,9.664468410747654e-3,1.1560661323438774e-2,2.3838093828933097e-3,1.790316698852342e-3,3.4954785068716304e-3
union-mix_nt,1.3925648551794902e-4,1.391815610653777e-4,1.393156636812091e-4,2.2275537047567203e-7,1.653671970504806e-7,3.157937705888654e-7
union-mix_nt,1.3884957298781366e-4,1.3877089600248981e-4,1.3891020939678977e-4,2.3585523397108255e-7,1.865592712703675e-7,3.1793297037852353e-7
union-mix_tn,1.6259738356885965e-4,1.6240170383255905e-4,1.6279118341958464e-4,6.691438160627284e-7,5.5884251908111e-7,8.035821434193355e-7
union-mix_tn,1.627085198987298e-4,1.6251253816078993e-4,1.6289873254586302e-4,6.838821472442856e-7,5.718470475287679e-7,8.318859487425097e-7
union-block_nn,1.5006321964928155e-3,1.4435946173613223e-3,1.6377251983783114e-3,2.9171363277398694e-4,1.4959908128882126e-4,4.8470805710319493e-4
union-block_nn,1.5002608386816547e-3,1.4394659402321907e-3,1.6361980891986048e-3,2.9164995107431435e-4,1.4336161908651464e-4,5.398265591429822e-4
union-block_ns,1.1906889716433019e-4,1.1905288069516813e-4,1.1908433486254962e-4,5.475632699671212e-8,4.242904296381723e-8,7.210986444984852e-8
union-block_ns,1.1900095663317397e-4,1.1898649819174548e-4,1.1901576103410113e-4,5.08106658411097e-8,4.092194191121967e-8,6.785084020514563e-8
union-block_sn,1.3049678281342716e-4,1.3048364641982184e-4,1.305119826470455e-4,4.7518484693527705e-8,3.814438042292487e-8,6.10764943138896e-8
union-block_sn,1.3055159760924087e-4,1.30537955414758e-4,1.3056582694255834e-4,4.7188034116539415e-8,3.700642862669585e-8,5.842978948528926e-8
difference-disj_nn,5.8474198715226565e-6,5.8469421384518345e-6,5.847942116942115e-6,1.6649732250893716e-9,1.3587745764549566e-9,2.3726786433338045e-9
difference-disj_nn,5.851098179879132e-6,5.850610629271915e-6,5.851522197572012e-6,1.5317075837751103e-9,1.279047743452539e-9,1.853351216042352e-9
difference-disj_ns,4.471243879833328e-6,4.470971535352646e-6,4.471627015294335e-6,1.0764684883483188e-9,8.51353454612143e-10,1.7071917146346958e-9
difference-disj_ns,4.467693623844512e-6,4.4673040090859036e-6,4.468007458886529e-6,1.2012447534424355e-9,1.0233853443889439e-9,1.4768241551967388e-9
difference-disj_sn,4.16525165249921e-6,4.164962441935844e-6,4.166334313825125e-6,1.7369542846027521e-9,3.154486545816804e-10,3.6591861794917364e-9
difference-disj_sn,4.164943011801928e-6,4.164821754950743e-6,4.165145092584929e-6,5.13903067757065e-10,3.439424334449947e-10,7.455810724999861e-10
difference-disj_nt,2.733522150481264e-6,2.733346636575018e-6,2.7336877356851847e-6,5.521301910405696e-10,4.4726602925292107e-10,7.523180983414964e-10
