Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
GE split present,6.868879175162525e-4,6.868590364647417e-4,6.869252752156719e-4,1.0887338502936316e-7,8.383824862500066e-8,1.4798686358070244e-7
GE Craig present,2.6194565994794034e-4,2.619368671549324e-4,2.619714455452897e-4,4.449064914707524e-8,2.060937984410679e-8,8.440907181263505e-8
GE Twan present,2.4253721497763349e-4,2.425068577720298e-4,2.4256359689673107e-4,9.827669444501786e-8,7.80640781717828e-8,1.2884139448202518e-7
GE Milan present,1.993059633391012e-4,1.991885960566862e-4,1.9944290976654563e-4,4.4173964047498495e-7,3.6978605381112924e-7,5.436211254132261e-7
GE split absent,7.274964873370568e-4,7.274739947952494e-4,7.275247531969982e-4,8.286522080779781e-8,6.405264486019223e-8,1.0934998885907506e-7
GE Craig absent,2.4452865431094005e-4,2.4452017652620297e-4,2.4453981845914366e-4,3.222725723040138e-8,2.300796510624315e-8,4.858961020659552e-8
GE Twan absent,2.2719966339620074e-4,2.2717365750608986e-4,2.2723212375540052e-4,9.65341338626222e-8,7.439057264208654e-8,1.250453873231599e-7
GE Milan absent,1.9148005524558887e-4,1.9137700433416094e-4,1.9157435695715315e-4,3.3299268296699606e-7,2.9070851142405083e-7,3.921901634954141e-7
GE split far,6.402088502834124e-4,6.401672327517406e-4,6.402740944006917e-4,1.6770477294226018e-7,1.1549531168931318e-7,2.926263263672564e-7
GE Craig far,2.3888196933452896e-4,2.3887286382918882e-4,2.3889725099076944e-4,3.902699608282232e-8,2.7633205499667256e-8,6.330381663924621e-8
GE Twan far,2.0665263073712953e-4,2.0663883436482456e-4,2.0666586708964523e-4,4.733773910794021e-8,4.0550871537617257e-8,5.546734274131826e-8
GE Milan far,1.4322287274376878e-4,1.4320862845176228e-4,1.43235500545489e-4,4.649850774846679e-8,3.857737793842551e-8,5.7426209373167874e-8
GE split !present,6.817155814696486e-4,6.816926552561534e-4,6.817458892331762e-4,8.905607205916918e-8,6.753197259830157e-8,1.4817828106676375e-7
GE Craig !present,2.6411334562884505e-4,2.641038019128144e-4,2.641443156627077e-4,5.3229152466495126e-8,1.622906828186333e-8,1.0879583013078768e-7
GE Twan !present,2.4589772275355966e-4,2.458738731891872e-4,2.4593244792995997e-4,9.550793426868001e-8,7.405623252230344e-8,1.336037555222805e-7
GE Milan !present,2.0254308106951245e-4,2.0245458636738102e-4,2.0263246982993354e-4,3.009144912743458e-7,2.663425249136332e-7,3.379626000910642e-7
GE split !absent,7.238712444214225e-4,7.238434627633356e-4,7.239099904016781e-4,1.1187562456542925e-7,7.124826079216003e-8,1.8930995960932157e-7
GE Craig !absent,2.4713054620251825e-4,2.471217130094669e-4,2.4713803643369795e-4,2.754796296292343e-8,2.188777937444825e-8,3.642921845188919e-8
GE Twan !absent,2.3053147005790508e-4,2.3051205584088627e-4,2.30553142969028e-4,6.787945066240278e-8,5.749709248002109e-8,7.972472682179923e-8
GE Milan !absent,1.857763462525659e-4,1.8572260308153226e-4,1.8582874825612226e-4,1.717409077636913e-7,1.422617225496323e-7,2.0159245096558075e-7
GE split !far,6.39632655340646e-4,6.395791353667563e-4,6.397330539323776e-4,2.404412969933985e-7,1.6480689822870049e-7,4.315544757362549e-7
GE Craig !far,2.409371701401857e-4,2.4092762140600808e-4,2.409458782075568e-4,3.2751915382172223e-8,2.60162916899994e-8,4.513864559146111e-8
GE Twan !far,2.097000149847066e-4,2.0969075889272593e-4,2.0972017287869925e-4,4.526236815619561e-8,2.5069556479388153e-8,7.996996802843571e-8
GE Milan !far,1.4627637692930125e-4,1.4626908726463527e-4,1.4628940821954128e-4,3.200332424493855e-8,1.7139267655085317e-8,5.386518483575712e-8
