Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,1.1480746022950031e-7,1.1480263625612875e-7,1.1481391756906069e-7,1.8497808292512005e-11,1.4541981423224087e-11,2.4718922209190634e-11
union-disj_nn,1.1539360233739994e-7,1.1538819156585784e-7,1.1539961147056929e-7,1.9299101823827796e-11,1.575999075488305e-11,2.4315581233386685e-11
union-disj_ns,9.877986813371625e-8,9.87767105806575e-8,9.878453341275343e-8,1.302651605758234e-11,8.446540062092001e-12,1.9357598878080555e-11
union-disj_ns,9.873802093558684e-8,9.873401862807983e-8,9.874650127096561e-8,1.7586515169248732e-11,9.857935752539077e-12,3.1486555990127213e-11
union-disj_sn,1.0297041651772895e-7,1.0296186882352481e-7,1.0300250812484126e-7,5.0115330419604054e-11,1.0692034247314591e-11,1.0503382281188919e-10
union-disj_sn,1.0297466152075822e-7,1.0297020371996878e-7,1.0297945155909862e-7,1.5832403811528494e-11,1.2655972934488286e-11,2.0874675856257648e-11
union-disj_nt,7.453786831220529e-8,7.453519231960955e-8,7.454115647965464e-8,9.746699421730624e-12,8.024851538299452e-12,1.2717222928026303e-11
union-disj_nt,7.4654012156957e-8,7.465042842859743e-8,7.466165155238174e-8,1.7504732318527087e-11,8.226009676690303e-12,3.2553573718384036e-11
union-disj_tn,7.666203576842507e-8,7.665900296924862e-8,7.666494380118457e-8,1.0272179726316953e-11,8.401812283476664e-12,1.3278781535125647e-11
union-disj_tn,7.674706739952213e-8,7.674284045219897e-8,7.675467683799997e-8,1.925429096538884e-11,1.1522864971475509e-11,3.399873563174982e-11
union-common_nn,4.087705409270208e-5,4.087063335452055e-5,4.0883752036563666e-5,2.203581340640621e-8,1.8377523432541578e-8,2.681967163858477e-8
union-common_nn,4.082193438331529e-5,4.0815194716979175e-5,4.0829340868858054e-5,2.4041382114728964e-8,2.028518905016007e-8,2.8198327816010922e-8
union-common_ns,4.082335997533314e-5,4.0817328183265386e-5,4.0829939015963454e-5,2.1695172171815192e-8,1.7843167129096966e-8,2.7614489852476304e-8
union-common_ns,4.083705591155352e-5,4.083104073388182e-5,4.084336174895131e-5,2.1338690149088562e-8,1.83968927016302e-8,2.5294848743386807e-8
union-common_sn,4.085161308123569e-5,4.084625611039081e-5,4.085852605281664e-5,2.013867262435564e-8,1.6246830035749332e-8,2.5583399314600828e-8
union-common_sn,4.077753897938789e-5,4.077179735000561e-5,4.0784429450497524e-5,2.1304909328284555e-8,1.8299557650503618e-8,2.5103092829799393e-8
union-common_nt,1.76250521857311e-5,1.7623420286298782e-5,1.7627044243692622e-5,5.927747697257376e-9,4.319223592174053e-9,9.52476530932238e-9
union-common_nt,1.7592997558165853e-5,1.7591387484060945e-5,1.759451622927373e-5,5.161805120306579e-9,4.205114346258607e-9,6.576113290561377e-9
union-common_tn,1.7824224205666854e-5,1.7822566397238962e-5,1.7825847023200734e-5,5.215577389486191e-9,4.299390247893814e-9,6.3299040297152826e-9
union-common_tn,1.786317926819905e-5,1.7861488860323574e-5,1.786490281929997e-5,5.764471418127623e-9,4.545243156478058e-9,7.276720542248985e-9
union-mix_nn,8.742407761675345e-5,8.739834756698669e-5,8.746212023780468e-5,1.0117072199631171e-7,8.166412331432566e-8,1.3306943200386617e-7
union-mix_nn,8.746781777729528e-5,8.744471339874088e-5,8.749573177359256e-5,8.186299402911263e-8,6.803577429242603e-8,1.0113317677882285e-7
union-mix_ns,4.5115544629477636e-5,4.510584107476363e-5,4.512360830575761e-5,2.95123010975089e-8,2.4072507252642557e-8,3.777626536018241e-8
union-mix_ns,4.5143717165418636e-5,4.5134483912641266e-5,4.5151110456746595e-5,2.7102977481540054e-8,2.17078646581358e-8,3.468561371730903e-8
