Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,8.117127551496882e-6,8.116318753868991e-6,8.11789675276118e-6,2.599064474267659e-9,2.1580277625824986e-9,3.2793393564910175e-9
union-disj_nn,8.15090800335244e-6,8.15051637147061e-6,8.151389242632365e-6,1.4382127699277448e-9,1.224953355348774e-9,1.6982995850758799e-9
union-disj_ns,6.037212665973686e-6,6.0368493421117304e-6,6.037759231123351e-6,1.4816440794554846e-9,1.0882325579526493e-9,2.3311509210403795e-9
union-disj_ns,6.0364952922300076e-6,6.035977285418751e-6,6.037208793605266e-6,2.041079845004814e-9,1.5870708370378044e-9,2.610865314161457e-9
union-disj_sn,6.726815219384905e-6,6.726342833006147e-6,6.728509425402763e-6,2.751381147252475e-9,5.467782180758873e-10,5.754105240312587e-9
union-disj_sn,6.741907084982938e-6,6.7416533537254615e-6,6.742274448034098e-6,9.925459564092539e-10,7.555221840767232e-10,1.4592607869122313e-9
union-disj_nt,3.841918794056935e-6,3.8414265037080275e-6,3.842564173017502e-6,1.9905007747653594e-9,1.575624215074974e-9,2.481659758282114e-9
union-disj_nt,3.835867295696475e-6,3.835201624003383e-6,3.836745214139297e-6,2.602520134570268e-9,2.244435648789031e-9,3.0533120002479336e-9
union-disj_tn,4.343168204727707e-6,4.342646628391745e-6,4.343666821044687e-6,1.702614405175649e-9,1.483917371215796e-9,2.0063677293411523e-9
union-disj_tn,4.341512871886936e-6,4.341286056647157e-6,4.341804130893472e-6,8.620875190167441e-10,6.34720046451063e-10,1.1532126631724788e-9
union-common_nn,1.6506895449866848e-3,1.6500287136060618e-3,1.6521905120816043e-3,3.2969291145285406e-6,1.653139227889729e-6,6.003209386922111e-6
union-common_nn,1.6693374020806976e-3,1.6686607474317937e-3,1.6703083963916768e-3,2.857453384395291e-6,1.9342465341270804e-6,4.459507887476838e-6
union-common_ns,1.6234352162707664e-3,1.622290041267731e-3,1.626308070584426e-3,5.44142970829661e-6,2.431071770042638e-6,1.0166079999227062e-5
union-common_ns,1.6317824675389002e-3,1.6311378975427222e-3,1.6329322829873615e-3,2.839767780166525e-6,1.91030438215925e-6,4.6473196205964255e-6
union-common_sn,7.597581435802668e-3,7.081349698005284e-3,8.691787001122246e-3,2.0925744669989983e-3,1.4089294230005005e-3,3.37737785625734e-3
union-common_sn,7.5298703420547996e-3,6.988019407823213e-3,8.324134107021637e-3,1.8468509647411428e-3,1.396807235437134e-3,2.652487951320554e-3
union-common_nt,8.607760575702494e-5,8.604202386183517e-5,8.610470972739751e-5,1.0478670276365958e-7,8.568508963009307e-8,1.266733985286604e-7
union-common_nt,8.605179990710252e-5,8.601245924989861e-5,8.608587232554088e-5,1.2178392132267287e-7,1.0319196213037844e-7,1.4677158009026568e-7
union-common_tn,1.616464386605236e-4,1.6149931785761128e-4,1.617791633141979e-4,4.930484670468478e-7,4.272603928260381e-7,5.925639175630427e-7
union-common_tn,1.6154661093677476e-4,1.6139196638998218e-4,1.6169029773411216e-4,4.922277103386749e-7,4.1611591630137015e-7,6.227578489190819e-7
union-mix_nn,3.9391768124868574e-2,3.624939671100682e-2,4.222883990572331e-2,6.155839645549244e-3,4.850569806403823e-3,7.716322496217131e-3
union-mix_nn,3.927528267140672e-2,3.6045192685018046e-2,4.204794816800731e-2,6.140087719018446e-3,4.704712566555583e-3,7.6070743643812e-3
union-mix_ns,8.492466346285086e-3,7.856686507270992e-3,9.41613425885132e-3,2.075066240448916e-3,1.5507923463321395e-3,2.93014438253818e-3
union-mix_ns,8.488113023766316e-3,7.811798588311851e-3,9.368561953705301e-3,2.077594835170943e-3,1.5720961532270136e-3,2.96853463824766e-3
union-mix_sn,1.0330076332499745e-2,9.585592221594082e-3,1.134002510285198e-2,2.3372626428514545e-3,1.796844387547277e-3,3.2968347340995865e-3
union-mix_sn,1.0341412768660692e-2,9.541313597713378e-3,1.126072594569146e-2,2.3442713280654197e-3,1.765793958569453e-3,3.460170571351108e-3
union-mix_nt,1.4082701558758466e-4,1.4074457480495444e-4,1.4090033033955433e-4,2.523652977297354e-7,1.9284356796622954e-7,3.540676220698545e-7
union-mix_nt,1.412098299509443e-4,1.411273582309312e-4,1.4128448543341648e-4,2.6446075214072955e-7,2.0871284745592993e-7,3.504385065625643e-7
union-mix_tn,1.647253353835433e-4,1.644998577979541e-4,1.649072700413704e-4,6.861955083211294e-7,5.781319816302071e-7,8.147360117063662e-7
union-mix_tn,1.6477580557463785e-4,1.6453875340918843e-4,1.6495445663947946e-4,6.881709600272908e-7,5.829023266344256e-7,8.351406076639404e-7
union-block_nn,1.5236610300995482e-3,1.4647247484601178e-3,1.6585546883765168e-3,2.8981671577928765e-4,1.4698826881209316e-4,5.128238083598899e-4
union-block_nn,1.5235228933940174e-3,1.4644569480017381e-3,1.6599297333831436e-3,2.8985573837289787e-4,1.564075260760571e-4,4.953788292735888e-4
