Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
GE split present,6.40216228304559e-4,6.401482113685738e-4,6.403415713909399e-4,2.961145467712358e-7,1.829967224948087e-7,5.455894636409415e-7
GE Craig present,2.7464094862154393e-4,2.7460287927902826e-4,2.74772705403486e-4,2.0929255261524832e-7,5.049879875366913e-8,4.2278580733518415e-7
GE Twan present,2.5799918646951715e-4,2.579649484112261e-4,2.580543721326848e-4,1.4911323511732907e-7,1.0631896342139967e-7,2.3594847451668352e-7
GE Milan present,2.041248600913779e-4,2.0406817301784125e-4,2.0423382284609997e-4,2.5493012030240387e-7,1.7192851469003924e-7,4.186862406940532e-7
GE split absent,6.902703787820174e-4,6.902100051006972e-4,6.904462926586094e-4,3.039559008616218e-7,1.3144754956602668e-7,5.730372569186576e-7
GE Craig absent,2.538193610678721e-4,2.537952901408674e-4,2.538638012752973e-4,1.0098631357924499e-7,6.064257434099531e-8,1.6326454540456408e-7
GE Twan absent,2.427762247755944e-4,2.427378729653475e-4,2.4285822969774012e-4,1.7919579476346807e-7,1.0869147279612395e-7,3.199631699137706e-7
GE Milan absent,1.991879029701345e-4,1.9914539905972956e-4,1.9923508455311763e-4,1.4772404154532018e-7,1.2253557407665478e-7,1.882056711498479e-7
GE split far,6.097851705307941e-4,6.097176452741638e-4,6.100680363632981e-4,3.898968116112326e-7,1.5722158392331986e-7,8.189245397413988e-7
GE Craig far,2.560533129953883e-4,2.5602998868935013e-4,2.561057201933635e-4,1.1492652165155678e-7,6.352456248738963e-8,2.1298715815438633e-7
GE Twan far,2.1268733747508526e-4,2.1264061748461332e-4,2.1278249655003303e-4,2.1442023292910298e-7,1.2991146272483205e-7,3.909311941720197e-7
GE Milan far,1.4352728296524857e-4,1.435116234248624e-4,1.4355852847923516e-4,7.258254584735994e-8,3.633345488399927e-8,1.3036888487746607e-7
GE split !present,6.357282169909096e-4,6.356672470925788e-4,6.358487941128086e-4,2.7470260885076003e-7,1.662666587160821e-7,4.617463742799689e-7
GE Craig !present,2.764905941856982e-4,2.764525643722157e-4,2.766086077309711e-4,2.0896189240925339e-7,4.20418653353137e-8,4.215360037373926e-7
GE Twan !present,2.608278178932707e-4,2.607836355038207e-4,2.6088924526473066e-4,1.707838540763605e-7,1.239999194433375e-7,2.621493944629409e-7
GE Milan !present,2.0929657145034018e-4,2.0924361235855713e-4,2.094082735813817e-4,2.5090015700263013e-7,1.587797448591612e-7,4.3094942851810694e-7
GE split !absent,6.934062244831674e-4,6.933286492870265e-4,6.93577296404109e-4,3.751231353512881e-7,2.0506724918638438e-7,6.017635016095388e-7
GE Craig !absent,2.5630779399007003e-4,2.5628771308986646e-4,2.563444645452238e-4,9.235972726173518e-8,5.1276954778104955e-8,1.5608158821970705e-7
GE Twan !absent,2.452632678881393e-4,2.452280963960364e-4,2.453430310515818e-4,1.695453864164972e-7,1.0164447262380521e-7,2.9874945585793403e-7
GE Milan !absent,1.8637201127361634e-4,1.8634115581506926e-4,1.86415467069443e-4,1.1846434469416227e-7,9.07111320153817e-8,1.6332431045499505e-7
GE split !far,6.115135387623508e-4,6.114164990233073e-4,6.117522001373043e-4,4.5843691269706803e-7,1.552208616712007e-7,8.998799183506098e-7
GE Craig !far,2.579168919010947e-4,2.5789102535778835e-4,2.5797291719863305e-4,1.2407865950455856e-7,8.023407119752079e-8,2.1949690019015099e-7
GE Twan !far,2.160917984663374e-4,2.1604551567196175e-4,2.1617700094595985e-4,2.0268129745363348e-7,1.251272108492025e-7,3.7478608734256096e-7
GE Milan !far,1.459836126369542e-4,1.4596448873885074e-4,1.460163370200974e-4,7.85857640936396e-8,4.6185422563064545e-8,1.408838381145322e-7
