Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,1.6593596899998807e-7,1.6592932073836479e-7,1.6594742481211976e-7,2.9548328268792296e-11,2.0603316872215123e-11,4.847892068289315e-11
union-disj_nn,1.668703030811982e-7,1.6686347569947733e-7,1.6687841669345396e-7,2.6051794435340812e-11,2.0981538353128345e-11,3.9334833625442305e-11
union-disj_ns,1.4844033528555148e-7,1.4842621299249922e-7,1.4845545445992456e-7,4.904279418664772e-11,4.1877880789118135e-11,5.830033433306238e-11
union-disj_ns,1.4834425193437817e-7,1.4833659724225733e-7,1.483530820261844e-7,2.7489689567692993e-11,2.0475228032031527e-11,3.857157507762409e-11
union-disj_sn,1.5843135217569205e-7,1.584199661012875e-7,1.5844219408279323e-7,3.785025231848972e-11,3.24659978726811e-11,4.566271239741907e-11
union-disj_sn,1.5827992418130952e-7,1.5827150692589247e-7,1.5829920405359353e-7,3.937186223362875e-11,2.326703037957789e-11,6.985569786737667e-11
union-disj_nt,1.2317301943917145e-7,1.2316356121815024e-7,1.2318164406504567e-7,2.945371882409155e-11,2.3815464201884192e-11,3.820328253646823e-11
union-disj_nt,1.2284753668729008e-7,1.2284068101404462e-7,1.2285613245986557e-7,2.6521894243334697e-11,2.0676537793920208e-11,3.6586249473442885e-11
union-disj_tn,1.3102122549459624e-7,1.3101464388225953e-7,1.3103110074366155e-7,2.8046480638757364e-11,1.9083113776804707e-11,4.7966936380671225e-11
union-disj_tn,1.3104548347391385e-7,1.310380904156791e-7,1.3105197352604937e-7,2.2906257912775685e-11,1.9678833446104426e-11,2.7296354285851102e-11
union-common_nn,8.229227933261403e-3,7.620036852482464e-3,9.299394778301521e-3,2.145995196374859e-3,1.332154439712325e-3,3.7062015170987524e-3
union-common_nn,8.11420354920217e-3,7.628253312636348e-3,8.91599677895445e-3,1.7491811027620923e-3,1.3040972246627048e-3,2.4835097398054223e-3
union-common_ns,1.970174304315967e-3,1.9103203303668138e-3,2.127309333476232e-3,3.055093089799261e-4,1.4474829531398352e-4,5.504374576048323e-4
