Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-disj_nn,1.1337958984244411e-7,1.1337314458615339e-7,1.133950214281531e-7,3.4097432560428663e-11,1.7187002352119464e-11,6.634230510509333e-11
union-disj_nn,1.1345675675740162e-7,1.1345180974125644e-7,1.1346255977587887e-7,1.8193985845103488e-11,1.5336917739591585e-11,2.2975620004526917e-11
union-disj_ns,9.638338812603584e-8,9.637737254560499e-8,9.639507522370589e-8,2.956331970563011e-11,1.74384749134868e-11,5.038986614566604e-11
union-disj_ns,9.635348968298813e-8,9.634785724184455e-8,9.636188009240211e-8,2.3548703873294254e-11,1.5542476106830715e-11,4.135302356454471e-11
union-disj_sn,9.761345365493076e-8,9.760926147732181e-8,9.761866268594679e-8,1.6638491751731803e-11,1.4806874890213278e-11,1.9231738312397353e-11
union-disj_sn,9.760600008832563e-8,9.76017778466606e-8,9.761358640073699e-8,1.9365693494433173e-11,1.2843736657072719e-11,3.253588357126019e-11
union-disj_nt,7.254338129551297e-8,7.252101081099445e-8,7.256445664522318e-8,7.193366808373761e-11,6.666117213876862e-11,7.638175897822881e-11
union-disj_nt,7.260317733660476e-8,7.259782857481135e-8,7.262745347045001e-8,3.0208731831190244e-11,1.1049969359379811e-11,6.3507285814807e-11
union-disj_tn,7.621350280763564e-8,7.62095738226675e-8,7.621801947387379e-8,1.3277688249624935e-11,1.1125384302182695e-11,1.6479372490133555e-11
union-disj_tn,7.624376582665786e-8,7.624066018153632e-8,7.624789685000327e-8,1.1673050340193504e-11,9.121552702689253e-12,1.7291476010732573e-11
union-common_nn,4.160966929497415e-5,4.1602907013797754e-5,4.161819039403833e-5,2.5528944353966187e-8,1.938034868962694e-8,3.535987455821766e-8
union-common_nn,4.159893551724363e-5,4.1592669462926444e-5,4.1605993180922363e-5,2.2325124332399706e-8,1.808328967058118e-8,3.027046030798187e-8
union-common_ns,4.161411467915904e-5,4.160854772348819e-5,4.162117807426788e-5,2.0454240509709083e-8,1.614354956540688e-8,2.882401216428328e-8
union-common_ns,4.1615674924954745e-5,4.160872341058075e-5,4.162326616450149e-5,2.4087907399606213e-8,1.9280186499995496e-8,3.077910297376799e-8
union-common_sn,4.1649283329505616e-5,4.1643229125437964e-5,4.165631839020676e-5,2.1889677927831737e-8,1.7144983671898334e-8,2.969153702102627e-8
union-common_sn,4.159835387335651e-5,4.159189682205404e-5,4.160601252918126e-5,2.3839721783198924e-8,1.8708457695241372e-8,3.193992815140042e-8
union-common_nt,1.7675714108283322e-5,1.7673997843972454e-5,1.767753883533837e-5,6.084212809124421e-9,5.003058112640089e-9,7.648965617991609e-9
union-common_nt,1.7727240593666468e-5,1.7725338609985686e-5,1.7729931701548987e-5,7.629693844812294e-9,5.503156752365408e-9,1.2251870506867534e-8
union-common_tn,1.831579866577035e-5,1.8314479164943198e-5,1.8318075189767213e-5,6.232440287938342e-9,4.54849325102082e-9,9.301512934348122e-9
union-common_tn,1.825723802486993e-5,1.8255035511823985e-5,1.825976485005214e-5,7.625711466980542e-9,5.9249997147603755e-9,9.9250787046478e-9
union-mix_nn,8.889685978259326e-5,8.887376270706797e-5,8.892459534604787e-5,8.323105180648249e-8,6.772876671876607e-8,1.0109886043167158e-7
union-mix_nn,8.895506305632977e-5,8.892987711197978e-5,8.897977582093678e-5,8.439706879494731e-8,6.909450248739179e-8,1.0256250282495436e-7
