Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
union-block_nn,8.094159045522748e-4,7.915322305906722e-4,8.353341851122961e-4,7.033701842219406e-5,5.140028758546156e-5,1.0079938609406267e-4
union-block_nn_swap,7.682384367678684e-4,7.563061824081753e-4,7.853264976859787e-4,4.770372863934922e-5,4.074497822501479e-5,5.6152092764773294e-5
union-block_ns,5.2846625252454916e-5,5.236027279963833e-5,5.349608851443261e-5,1.620043384064354e-6,1.3010166360583977e-6,2.2351926167031675e-6
union-block_sn_swap,6.010146415149275e-5,5.9700230855370344e-5,6.08619871008423e-5,1.5548877202543463e-6,1.0974705206654294e-6,2.473334105674018e-6
union-common_nn,6.979403970773547e-4,6.817683448041784e-4,7.254492476382543e-4,7.08968568167244e-5,3.875226572039615e-5,1.1393877772173932e-4
union-common_nn_swap,3.5427401155651832e-3,3.405616434525763e-3,3.6795420771552965e-3,4.447895394183226e-4,3.99492810388518e-4,4.910821218834236e-4
union-common_ns,6.621415452813162e-4,6.544609384451466e-4,6.745678591037261e-4,3.321755603244216e-5,2.4848842948741658e-5,4.748940135291366e-5
union-common_nt,4.383850402411825e-5,4.335369605086964e-5,4.443489726714482e-5,1.6440145928837116e-6,1.2412353919092278e-6,2.015738047198268e-6
union-common_sn_swap,3.817021125809821e-3,3.6832316659383794e-3,3.94177624883798e-3,4.618887983126494e-4,4.074582427397616e-4,5.489351081449244e-4
union-common_tn_swap,8.69773924500324e-5,8.640588269953668e-5,8.78460121299665e-5,2.1673339166810244e-6,1.6170987539398927e-6,2.948988344304044e-6
union-disj_nn,3.2931943990472075e-6,3.2693996888016503e-6,3.3558302132884883e-6,6.885749722835092e-8,2.3892711529577358e-8,1.145700475733602e-7
union-disj_nn_swap,3.776420445068895e-6,3.6538787037194425e-6,4.123629125087459e-6,3.8536305049937955e-7,4.332348269676361e-8,6.655396651597385e-7
union-disj_ns,2.4467124454388418e-6,2.4021809483200577e-6,2.6435715464841123e-6,1.2802626473043853e-7,7.1193993217692255e-9,2.130889897219396e-7
union-disj_nt,1.5806080315129057e-6,1.575148043667248e-6,1.588681305587597e-6,1.1251331121926259e-8,7.019979177066951e-9,1.5549168066569166e-8
union-disj_sn_swap,2.9699017832038215e-6,2.8779689045640537e-6,3.310737915745351e-6,2.7093192356681686e-7,1.6551263931387107e-8,4.4692188567721247e-7
union-disj_tn_swap,1.8821881087982998e-6,1.8711601820117233e-6,1.911713351999113e-6,2.984203277991036e-8,5.5449555719003306e-9,4.861740684751955e-8
union-mix_nn,1.753995118156508e-2,1.6882148164221972e-2,1.7975808639301753e-2,1.5903781222747822e-3,1.0421678534009967e-3,2.0963177730515528e-3
union-mix_nn_swap,1.7628105164801518e-2,1.685230454420806e-2,1.8115985675287105e-2,1.6798688658510195e-3,1.0443626857209994e-3,2.214395840764265e-3
union-mix_ns,4.044914798781035e-3,3.900632741201559e-3,4.1960504754774116e-3,4.7528217111374784e-4,4.184695881483562e-4,5.531496415461067e-4
union-mix_nt,7.78939084813578e-5,7.72825396420793e-5,7.848793104133059e-5,1.882152180138106e-6,1.6763199347651313e-6,2.1537525539805624e-6
union-mix_sn_swap,4.8462684450157716e-3,4.66468645312405e-3,5.058502506130238e-3,6.438558206902375e-4,5.500050753624648e-4,7.695271602954027e-4
union-mix_tn_swap,8.951797253219244e-5,8.722490817414157e-5,9.412289945029237e-5,1.0323839573425313e-5,6.657905351997781e-6,1.5233842403343548e-5
difference-block_nn,3.27331563849679e-4,3.254622354912571e-4,3.292469244787316e-4,6.3096599863792245e-6,5.596512236329174e-6,7.046146453699543e-6
difference-block_nn_swap,3.275680319940831e-4,3.2602417434925927e-4,3.2998002753137134e-4,6.53561290816883e-6,5.1279108335677165e-6,8.543153681915886e-6
difference-block_ns,3.8960566265725485e-5,3.870841604687672e-5,3.9339830339581574e-5,8.908491275314809e-7,6.581992049728475e-7,1.3605259758086253e-6
difference-block_sn_swap,3.787017599614134e-5,3.7555447970598864e-5,3.8266720546143736e-5,1.054634706944898e-6,8.299914627747417e-7,1.2897333142342792e-6
difference-common_nn,4.957926612565116e-3,4.853557647155697e-3,5.069297921063709e-3,3.8303711683787333e-4,3.452893748918549e-4,4.284306456517404e-4
difference-common_nn_swap,9.359784555819923e-4,9.214120238064255e-4,9.624958378955886e-4,7.332191296091277e-5,4.309973456386327e-5,1.2984109316084282e-4
difference-common_ns,4.421884691882833e-3,4.3014058400854295e-3,4.562530887372264e-3,4.6064478345232956e-4,3.9855287365184736e-4,5.793976981447144e-4
difference-common_nt,1.3398829258515522e-4,1.3221999961548695e-4,1.3580800465275744e-4,5.682065575714539e-6,4.698422506467133e-6,7.320752074256491e-6
difference-common_sn_swap,1.4504733691666995e-3,1.4136082062542726e-3,1.503363556624365e-3,1.5246507439674534e-4,1.1061533116048349e-4,2.3155446638943743e-4
difference-common_tn_swap,8.474829526195182e-5,8.395266696013215e-5,8.603628387293456e-5,3.1608309859550364e-6,2.4452691154978004e-6,4.101174190474574e-6
difference-disj_nn,2.4710124617012013e-6,2.464551172733829e-6,2.4784106254951566e-6,1.1858998302618758e-8,8.32277017263476e-9,1.5862065245431913e-8
difference-disj_nn_swap,1.9968679343332353e-6,1.987713990604433e-6,2.0133122040326816e-6,2.0175403221534254e-8,9.89635938735871e-9,3.180396802435573e-8
difference-disj_ns,1.8957512760178368e-6,1.8785071693177377e-6,1.9036795859556993e-6,1.8827541150883085e-8,7.40092441417515e-9,2.8739310159051214e-8
difference-disj_nt,1.15243807638364e-6,1.1501229890757206e-6,1.1552836936842821e-6,4.41696856126491e-9,3.6190980871827573e-9,5.635370276833382e-9
difference-disj_sn_swap,1.568186642677986e-6,1.566574253328101e-6,1.5717550249508614e-6,3.930203922251333e-9,1.6556411295653118e-9,6.18087579657546e-9
difference-disj_tn_swap,1.141041219588481e-6,1.1066050992300873e-6,1.291791870283108e-6,9.70145717261305e-8,1.0684382416868801e-8,1.6207255793665378e-7
difference-mix_nn,5.955414104397471e-3,5.893724942263045e-3,6.114861825281107e-3,3.071559505160007e-4,1.4777848914099246e-4,5.757008029487031e-4
difference-mix_nn_swap,6.005860137838755e-3,5.928892531528657e-3,6.155885577732063e-3,3.438142697605787e-4,1.558742165464462e-4,5.667156759783421e-4
difference-mix_ns,1.4094445100968336e-3,1.3804557520560785e-3,1.4607995082451663e-3,1.3798273212809487e-4,7.513673221795617e-5,2.2595874544244725e-4
difference-mix_nt,8.482740656010984e-5,8.386579687362629e-5,8.662508798435001e-5,4.412583497560264e-6,2.599816018445094e-6,7.732482871038933e-6
difference-mix_sn_swap,1.6191110772309611e-3,1.5744765666908854e-3,1.6903235447681985e-3,2.1198194999314104e-4,1.4962966789306494e-4,2.9269187717707146e-4
difference-mix_tn_swap,8.83195485747829e-5,8.614286764051701e-5,9.622938612304126e-5,1.0563454460003863e-5,3.1552630957082684e-6,2.2443727303674817e-5
intersection-block_nn,5.168411559710454e-4,5.084137413188851e-4,5.287540377438206e-4,3.421201528759212e-5,2.490050428041437e-5,4.973240026307581e-5
intersection-block_nn_swap,5.120765538276507e-4,5.074879588676227e-4,5.213559034841613e-4,2.2229539611814244e-5,1.547815815629573e-5,3.6388798433325685e-5
intersection-block_ns,6.39069111534151e-5,6.266311827911257e-5,6.555045696725988e-5,4.191816956734424e-6,3.0439273687708868e-6,5.572745975194687e-6
intersection-block_sn_swap,6.451539181726811e-5,6.395946349926736e-5,6.50876196131281e-5,1.6208717826775757e-6,1.4132009627104074e-6,1.8957947375812846e-6
intersection-common_nn,3.3956933989332857e-3,3.2806370926384966e-3,3.535032005036846e-3,4.3025095968768703e-4,3.770511812141482e-4,5.181264190870957e-4
intersection-common_nn_swap,1.033140198712108e-3,1.0241709284031012e-3,1.04655429646547e-3,3.957520785399185e-5,2.821425416675233e-5,6.203179112520459e-5
intersection-common_ns,2.0872902718940206e-3,2.05473400577797e-3,2.1372422286418118e-3,1.542832026909499e-4,1.1569263601705679e-4,1.9298210707062091e-4
intersection-common_nt,1.1610110165796052e-4,1.1437489690076411e-4,1.1934005378124418e-4,7.385889955805143e-6,3.999744126811343e-6,1.1909519977121936e-5
intersection-common_sn_swap,1.5232057595736426e-3,1.4910641368479575e-3,1.5825973438006297e-3,1.5278523274616211e-4,9.741925032651551e-5,2.426955997934361e-4
