Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
string/500,1.007461689404706e-6,9.873576054441723e-7,1.0544190645003552e-6,9.389167756409343e-8,4.537500813252313e-8,1.5748610152848647e-7
string/1000,1.9081444283121217e-6,1.8848340534219485e-6,1.9780957141820868e-6,1.1957362691836398e-7,4.7867255563851026e-8,2.1612507151880223e-7
string/2000,4.78597254849696e-6,4.7026201189860065e-6,4.891382130029926e-6,3.014736138355649e-7,2.0145417579834176e-7,4.305055674587397e-7
string/4000,7.268775999608835e-6,7.2682859663986515e-6,7.269558449504575e-6,2.05515308994398e-9,1.4130024230432932e-9,3.323988992820079e-9
string'/500,2.735521100015802e-5,2.733651389140662e-5,2.7373129032171697e-5,6.328172460468638e-8,5.903251711362643e-8,6.845762745972546e-8
string'/1000,5.602031032495309e-5,5.5988647821377203e-5,5.6064566037142685e-5,1.2228226177437851e-7,9.876366777784597e-8,1.5972634106638565e-7
string'/2000,1.0752244968584895e-4,1.0748087629251222e-4,1.0759188763996248e-4,1.796801748394705e-7,1.1968795362601052e-7,2.825170909480163e-7
string'/4000,2.0899989544365835e-4,2.0889564331445158e-4,2.093165741093187e-4,5.478727719466464e-7,1.9653075196300446e-7,1.1726689379656522e-6
many/500,7.569988147819851e-6,7.563620797212369e-6,7.574476167326551e-6,1.738637750870222e-8,1.3376494121208198e-8,2.1243809190090863e-8
many/1000,1.5800422227221015e-5,1.5791959471224993e-5,1.5807436586036803e-5,2.557881621920569e-8,2.054392138888694e-8,3.31581238404722e-8
many/2000,3.357016955613275e-5,3.354456543976014e-5,3.3592840517400586e-5,7.979338148021101e-8,6.431123506436246e-8,1.0189273935724919e-7
many/4000,7.284203918542166e-5,7.281711722437233e-5,7.287709550962138e-5,9.993884320816338e-8,7.441711875884456e-8,1.3635017417198297e-7
some/500,1.3489703395450735e-5,1.3482014525045316e-5,1.3495135450138663e-5,2.2740672073787144e-8,1.6065413917088625e-8,2.8771158404553796e-8
some/1000,2.8329963381226067e-5,2.831515508993465e-5,2.833684031605296e-5,3.2037095964754656e-8,2.018302861926871e-8,5.077921085247428e-8
some/2000,6.0585999782279436e-5,6.056815204071945e-5,6.059807785674993e-5,5.026028114606326e-8,3.62838528963062e-8,7.460696426957613e-8
some/4000,1.3019511435071496e-4,1.301172425271643e-4,1.3028298859201257e-4,2.7629368433566054e-7,2.2146727868581747e-7,3.6882413147028857e-7
choice/500,1.749881427662624e-5,1.748469748379623e-5,1.7517194023159828e-5,5.5210436832687e-8,4.1439048103036926e-8,7.426594815585876e-8
choice/1000,4.447742096578015e-5,4.4426268378675855e-5,4.452450364181624e-5,1.7182317547735414e-7,1.364815453333523e-7,2.290532843339144e-7
choice/2000,1.2555424199346796e-4,1.2537944667395328e-4,1.257032717485894e-4,5.299953440842708e-7,4.5503993199033546e-7,6.413212095075907e-7
choice/4000,4.3915197041758747e-4,4.37004917452451e-4,4.4118759926542033e-4,7.341081781652861e-6,6.063006479274439e-6,8.616832807901036e-6
