Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
string/500,8.71000441363114e-7,8.66416543997298e-7,8.798036059852559e-7,2.1612641791171916e-8,1.0439247693342281e-8,3.9907386478251556e-8
string/1000,1.688602072693986e-6,1.6728674310912663e-6,1.7344451012369226e-6,8.1448551115396e-8,4.041850836758601e-8,1.6483429408447996e-7
string/2000,3.4753927561327226e-6,3.4726162351293162e-6,3.4794127784441913e-6,1.094773435259012e-8,8.88793402179249e-9,1.5386312060867453e-8
string/4000,6.467047485288217e-6,6.451802177343855e-6,6.500449970864453e-6,7.161608299962631e-8,2.5587494649852096e-8,1.253545301116671e-7
string'/500,2.658191904053984e-5,2.654532449424098e-5,2.663090048196704e-5,1.444672130511678e-7,1.120041493053173e-7,1.8343123263712634e-7
string'/1000,5.5009341174949404e-5,5.490143657943912e-5,5.510747919230134e-5,3.4561298243721226e-7,2.7863253769572305e-7,4.3153792199532103e-7
string'/2000,1.0503636326297458e-4,1.0489654201872951e-4,1.0517341934331629e-4,4.651032900021515e-7,3.936778618718494e-7,5.841121516896682e-7
string'/4000,2.0289099325424063e-4,2.0259877979436188e-4,2.031660203116278e-4,9.2019743181375e-7,7.629579774705648e-7,1.220041325318358e-6
many/500,7.504545600402702e-6,7.49646620224015e-6,7.509902186332376e-6,2.1271036244201502e-8,1.6119108410102686e-8,2.9633448112499153e-8
many/1000,1.5694525309445373e-5,1.567608997907747e-5,1.5711285000124672e-5,5.7121100427654644e-8,4.514818183755019e-8,6.737533763577016e-8
many/2000,3.337107508015966e-5,3.3352430084994184e-5,3.338817921578527e-5,6.091037738172457e-8,4.687871582876418e-8,8.716593828131239e-8
many/4000,7.243594246078627e-5,7.240089192704104e-5,7.251478303856486e-5,1.7939889258492867e-7,6.635047858556806e-8,3.1881218914887184e-7
some/500,1.3350152193223108e-5,1.3346022259602174e-5,1.336506859480336e-5,2.2532267727790602e-8,7.50381696542788e-9,4.951192276096028e-8
some/1000,2.8017323110136265e-5,2.801240444685321e-5,2.8023858558484445e-5,1.9326889275778634e-8,1.4295115291895463e-8,2.835377705708287e-8
some/2000,6.019922460770624e-5,6.0174307432546946e-5,6.0222366525399374e-5,7.94000476754349e-8,6.782663838901444e-8,1.0139243554179215e-7
some/4000,1.2950254922442937e-4,1.2939893266658296e-4,1.2961837950377532e-4,3.663431754193225e-7,2.841461215404557e-7,5.100322385336922e-7
choice/500,1.7556183225313834e-5,1.7534666358911848e-5,1.7576041232104918e-5,7.17980264832352e-8,6.128015256703563e-8,8.537886546938312e-8
choice/1000,4.427520023811085e-5,4.421437377857309e-5,4.433932207831407e-5,2.2674339911787737e-7,1.9090096716975e-7,2.686454712887359e-7
choice/2000,1.2555371459961037e-4,1.25369964993123e-4,1.2572101567250057e-4,5.735625561081757e-7,4.81188359150947e-7,6.894729648385395e-7
choice/4000,4.405839346160975e-4,4.3845773465209464e-4,4.425410278833784e-4,6.9881437801971885e-6,6.073484008372864e-6,8.312610118325539e-6
count/500,9.78632512938918e-6,9.781486821725993e-6,9.791844770407884e-6,1.7348472503765248e-8,1.3953877981909485e-8,2.3501973175370117e-8
count/1000,2.0675023340170743e-5,2.0644854783818997e-5,2.071472836952172e-5,1.16362489901138e-7,9.072475647257726e-8,1.4113178040652146e-7
count/2000,4.4926318255088336e-5,4.483588565609913e-5,4.4995651968952735e-5,2.562865419731362e-7,2.3207964648568955e-7,2.865728286899041e-7
