Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
string/500,1.1741671557360933e-6,1.1455564094629374e-6,1.2009001245044677e-6,9.320232204980051e-8,8.23128904128863e-8,1.2389916802857584e-7
string/1000,1.6512270801099357e-6,1.6462481359528638e-6,1.6645847959333436e-6,2.54464742140109e-8,8.884139207370676e-9,4.816351858687835e-8
string/2000,4.002422396766814e-6,3.894961926199376e-6,4.143012833245244e-6,4.185141552751933e-7,3.3086950295037816e-7,5.131893028121311e-7
string/4000,6.844718086104125e-6,6.640365172298132e-6,7.209701973951622e-6,9.337937859812448e-7,6.274326143807731e-7,1.3307861840552677e-6
string'/500,2.6421889973383685e-5,2.640586293731453e-5,2.6435985778742618e-5,5.045683135825052e-8,4.2178293399397653e-8,6.803439761978131e-8
string'/1000,5.241795810192268e-5,5.238850992439588e-5,5.245340909606046e-5,1.0742970638540846e-7,8.250025400083094e-8,1.405283658364327e-7
string'/2000,1.0287092487874363e-4,1.0279994919703605e-4,1.0295886825790763e-4,2.810322347960263e-7,2.185950538738078e-7,3.9315288141158487e-7
string'/4000,2.0028033564357183e-4,2.0012439609267413e-4,2.0048331761715542e-4,5.947493467724867e-7,4.3422897108361334e-7,9.134538382719006e-7
many/500,7.510512207079063e-6,7.5070964329755925e-6,7.513351365649033e-6,1.0386238222702353e-8,7.0492368572919364e-9,1.7637036828686024e-8
many/1000,1.5710171064241094e-5,1.5707838767474784e-5,1.571406796010096e-5,1.0029489682974787e-8,5.703350666711289e-9,1.5137935451180443e-8
many/2000,3.33237630334812e-5,3.3307529038704166e-5,3.333999240102161e-5,5.143656118361843e-8,3.4175260201546543e-8,7.251886807062585e-8
many/4000,7.196068145121498e-5,7.194583323566673e-5,7.197183697413055e-5,4.2955711878004424e-8,3.0629828644907965e-8,7.21248839404342e-8
some/500,1.3339860242398401e-5,1.3338582154327684e-5,1.3343485220600669e-5,6.412022357333652e-9,3.183283186225734e-9,1.2841198062911848e-8
some/1000,2.7929171695791377e-5,2.7924134207222676e-5,2.7941520504078124e-5,2.4585249953271732e-8,1.2387017392806182e-8,4.452866184262448e-8
some/2000,5.999523989730277e-5,5.9985450672876014e-5,6.0010333907013526e-5,4.029654459816411e-8,2.493276500426349e-8,6.699733878088179e-8
some/4000,1.2916925460031178e-4,1.2909309840729202e-4,1.2927152740578636e-4,2.912499664239554e-7,2.1476471039074168e-7,4.147604365707847e-7
choice/500,1.7867427091247774e-5,1.7862130828270326e-5,1.7872471029782728e-5,1.7443428956357475e-8,1.4285558891155978e-8,2.1822976628017195e-8
choice/1000,4.517452812536179e-5,4.5151072984858956e-5,4.519578132974358e-5,7.500205711726496e-8,6.402600823623268e-8,9.247733144938075e-8
choice/2000,1.2699946002757277e-4,1.2687497752871123e-4,1.2710114765924975e-4,3.5895674489161925e-7,3.0213321652444515e-7,4.6795024795912807e-7
choice/4000,4.466630124098867e-4,4.4481363446414725e-4,4.4837161446800575e-4,5.8841609689523575e-6,4.922422023519905e-6,7.401637500033472e-6
count/500,9.732470452076033e-6,9.730211574675617e-6,9.73691509621164e-6,9.413006703798773e-9,5.6308420597195445e-9,1.6434025960665797e-8
count/1000,2.0492381208364954e-5,2.0487264989277976e-5,2.0500902329406913e-5,2.30298048138941e-8,1.6328516433411104e-8,3.230206372068031e-8
count/2000,4.419432612026034e-5,4.4177146737321486e-5,4.421330641336744e-5,6.470905203480894e-8,5.317131209990964e-8,7.817848302567075e-8
count/4000,9.575733017805516e-5,9.574467271556016e-5,9.577770154692803e-5,5.4724551312873014e-8,4.328306302982417e-8,7.770804568713323e-8
count'/500,1.2658093745722898e-5,1.2652582737967217e-5,1.266846339690154e-5,2.483284494033044e-8,1.2491518232185234e-8,4.647082254275644e-8
count'/1000,2.6698395312169257e-5,2.6689207292690108e-5,2.6704849984652463e-5,2.5754354731605975e-8,1.486990982147223e-8,4.6280624096329274e-8
count'/2000,5.684922331922055e-5,5.68347789541417e-5,5.6863965647347824e-5,4.7139219753370787e-8,4.075124988465519e-8,5.565705421364396e-8
count'/4000,1.2303438393350432e-4,1.2285822692986495e-4,1.232124087623656e-4,5.982144447141116e-7,5.049446411709507e-7,7.466587002293957e-7
endBy/500,5.228894288647604e-6,5.225214687211884e-6,5.2330662857245845e-6,1.2422585177255478e-8,8.735859810310166e-9,1.742785991849239e-8
endBy/1000,1.0755394948426278e-5,1.0753394111104329e-5,1.0757362689038547e-5,6.36832339430527e-9,4.813677456916953e-9,9.240547293868556e-9
