Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
string/500,8.667849135547264e-7,8.620379503469288e-7,8.80080571735693e-7,2.3811246560645668e-8,9.299608277775354e-9,4.6464801786549176e-8
string/1000,1.661681787985478e-6,1.6527968998252415e-6,1.6843500068553885e-6,4.435700813515416e-8,1.872715533687389e-8,8.225623740238849e-8
string/2000,4.217864746616835e-6,4.195505177404339e-6,4.2731807038109925e-6,1.1437843079676194e-7,7.344199200176344e-8,1.8370952607768374e-7
string/4000,6.563523279770125e-6,6.439729334105492e-6,6.814426323540924e-6,5.892201458080948e-7,1.509692295767747e-7,9.756389805126017e-7
string'/500,2.567143374612804e-5,2.5634728822035057e-5,2.5712422892126852e-5,1.264485504298717e-7,1.0214984639551426e-7,1.5360107983872956e-7
string'/1000,5.2688521695143046e-5,5.265712096781902e-5,5.273203826022993e-5,1.194523710215692e-7,8.666069255217143e-8,1.714638305248888e-7
string'/2000,1.0054139156292581e-4,1.0047018226142105e-4,1.0063761423259871e-4,2.7929220649891063e-7,2.0048209071484918e-7,3.831368159312876e-7
string'/4000,1.9478881749209574e-4,1.9469027610283886e-4,1.9496068286410737e-4,4.1068053061223365e-7,2.7338950625494034e-7,6.937194207705692e-7
many/500,7.525940523253236e-6,7.5213505368304335e-6,7.530798866126152e-6,1.5989490347730853e-8,1.3417303440532744e-8,1.9241347604336566e-8
many/1000,1.5753836021684738e-5,1.5741380496615803e-5,1.577155884734765e-5,4.946315574751991e-8,3.308302126602187e-8,7.1960718428956e-8
many/2000,3.339381609865467e-5,3.338173037457552e-5,3.340800965248421e-5,4.5602502416060157e-8,3.417077536892403e-8,7.014482971400957e-8
many/4000,7.249888349020008e-5,7.248011032762111e-5,7.252729263899563e-5,7.401607848839464e-8,5.4753027451775166e-8,1.1626396504236297e-7
some/500,1.3358791543560626e-5,1.3355954070707544e-5,1.3362461222149796e-5,1.0556613519329825e-8,8.814922623857735e-9,1.3450077990402403e-8
some/1000,2.8025716711114153e-5,2.801538709680912e-5,2.8033787541391503e-5,3.145389015735193e-8,2.143174151312589e-8,5.3794179233888626e-8
some/2000,6.0069639691562196e-5,6.004343440619171e-5,6.0099088870849416e-5,9.549079818134597e-8,8.126415266921536e-8,1.1720870972291069e-7
some/4000,1.2942230384118647e-4,1.2933173165749444e-4,1.2952134561004303e-4,3.067978327206474e-7,2.4900083349060564e-7,3.7631856039900815e-7
choice/500,1.747390406391932e-5,1.7467992023764693e-5,1.7481366384742658e-5,2.2013169365160384e-8,1.788584543819666e-8,3.081848864437232e-8
choice/1000,4.421675993555163e-5,4.418783130865694e-5,4.424858592564731e-5,1.0218687957545956e-7,8.445108047201356e-8,1.4040381818107057e-7
choice/2000,1.258423224856172e-4,1.2563777611679196e-4,1.2601137766640237e-4,5.896412758220826e-7,4.82778235072105e-7,7.334517212792039e-7
choice/4000,4.342647024399473e-4,4.324030059399885e-4,4.3629789456243225e-4,6.525957089073338e-6,5.514036653182964e-6,8.054060684459242e-6
count/500,9.769519135798311e-6,9.764394740145271e-6,9.778360914501837e-6,2.2732888820360667e-8,1.5257895659208592e-8,3.7947683809111764e-8
count/1000,2.0721466889031628e-5,2.07115427303239e-5,2.073195464225527e-5,3.452930954668681e-8,2.725676529258114e-8,4.4024973547998275e-8
count/2000,4.449744645131601e-5,4.446889457725501e-5,4.452767842749807e-5,9.459513709959799e-8,8.102184616522426e-8,1.1167086925243913e-7
count/4000,9.649911612539054e-5,9.645981245851796e-5,9.654584816862289e-5,1.4710737748626673e-7,1.1576523256706447e-7,2.114676472623003e-7
count'/500,1.2697208864129822e-5,1.2694454656641995e-5,1.2700758625219732e-5,1.004268087750397e-8,7.50593056782755e-9,1.4816056028972042e-8
count'/1000,2.6899532512591824e-5,2.6895066064357353e-5,2.690694946953642e-5,1.8807966800200533e-8,1.296371978487115e-8,3.2589163883023996e-8
count'/2000,5.7061022708619986e-5,5.702631731557976e-5,5.7084395152969256e-5,9.254338543738153e-8,6.197895703227495e-8,1.3893915784937953e-7
