Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
string/500,8.735897702040626e-7,8.684148756972735e-7,8.929189662921613e-7,2.806180206581991e-8,1.0606345644255589e-8,5.958747761877136e-8
string/1000,1.6495737643852665e-6,1.644510372176761e-6,1.6626713468907803e-6,2.4734341576185028e-8,6.542294803532056e-9,4.3068013093170196e-8
string/2000,3.4731180122384973e-6,3.4658246455244263e-6,3.495733350936477e-6,3.862465284199647e-8,1.930208038044287e-8,7.270918194365341e-8
string/4000,6.459957539618087e-6,6.4456500463460005e-6,6.501697655606981e-6,6.85570036960349e-8,3.7089511277515346e-8,1.3214221602345258e-7
string'/500,2.6623384922778238e-5,2.6568904610616067e-5,2.6696553616720107e-5,2.051086860213137e-7,1.5957898078912727e-7,3.071105964093916e-7
string'/1000,5.435013479217185e-5,5.421552951422638e-5,5.464028433234651e-5,6.11116036972793e-7,3.377946230908047e-7,1.1408534968955487e-6
string'/2000,1.0498663152575522e-4,1.0480292417596723e-4,1.0524176310498941e-4,7.165130604934473e-7,4.977030714390776e-7,1.2517655736625633e-6
string'/4000,2.027268356194372e-4,2.023810820923167e-4,2.0327351898003035e-4,1.4685670157225361e-6,9.734490052376654e-7,2.4001836572551236e-6
many/500,7.544486616680275e-6,7.530030374417663e-6,7.593254320583944e-6,7.879300983980325e-8,1.865852488534666e-8,1.7148098359259088e-7
many/1000,1.5734482165839175e-5,1.5716226118751974e-5,1.5777045386142925e-5,8.500828764923106e-8,4.5582760323904176e-8,1.499281708497134e-7
many/2000,3.345150267955217e-5,3.340428937844379e-5,3.35594941479506e-5,2.2532982279906395e-7,1.0764774274701559e-7,4.1400637948007676e-7
many/4000,7.239265827439128e-5,7.23539386722961e-5,7.242665962219566e-5,1.2356266621287e-7,9.192131534772729e-8,1.7069395523528873e-7
some/500,1.3354724608115456e-5,1.3351404246284062e-5,1.336007756093447e-5,1.3346384793708113e-8,8.092856627915503e-9,2.3290301495200907e-8
some/1000,2.8038098076234266e-5,2.8026575486750243e-5,2.804909611875327e-5,3.8812772020024585e-8,2.994735408252869e-8,5.1877383693283525e-8
some/2000,6.0143375523591284e-5,6.010680743531595e-5,6.017128286951346e-5,1.0650427839123147e-7,8.685503589351e-8,1.3495096250191223e-7
some/4000,1.297252915092294e-4,1.2965012033158433e-4,1.2982210548583294e-4,2.8412728948953534e-7,2.2371775184503148e-7,3.5004530504585424e-7
choice/500,1.757312587278039e-5,1.7553979771468163e-5,1.7589585335525005e-5,5.8993664789963875e-8,5.037241057634556e-8,7.178101188913247e-8
choice/1000,4.4520117560089167e-5,4.448358436749907e-5,4.4550381200246755e-5,1.0780849064654514e-7,8.719385586744992e-8,1.500511454045292e-7
choice/2000,1.2592558683659027e-4,1.2575777624608227e-4,1.2605451368642167e-4,4.688129803641174e-7,3.7330093315393213e-7,6.09159822545919e-7
choice/4000,4.389893189645128e-4,4.355562427049135e-4,4.4224913798601305e-4,1.090095196184885e-5,8.99596794509638e-6,1.2949520729148661e-5
count/500,9.775718989851655e-6,9.771913737551258e-6,9.779610652081761e-6,1.2866697619049672e-8,1.0394621204901947e-8,1.6100794788320078e-8
count/1000,2.0666334249957656e-5,2.0654768147271287e-5,2.067826311284828e-5,3.855810555815228e-8,3.3112739330885274e-8,4.881145222459751e-8
count/2000,4.461372615385317e-5,4.4592184878990144e-5,4.46356041739649e-5,7.376395962185653e-8,6.285701495478216e-8,8.732170107249724e-8
count/4000,9.656922611446479e-5,9.652227639477291e-5,9.661412275087291e-5,1.6459451052373113e-7,1.3989597827941695e-7,2.1060120230199502e-7
count'/500,1.2850873118822507e-5,1.2843916782958655e-5,1.2856033826929009e-5,2.0210612791993647e-8,1.3895111410812963e-8,3.1161197767231555e-8
count'/1000,2.712573177149974e-5,2.7115599195325465e-5,2.716015940910408e-5,5.6531490168380134e-8,1.5921187092075027e-8,1.1771808781080505e-7
count'/2000,5.7936171647263666e-5,5.791473089809415e-5,5.7965793101942476e-5,8.46458843697014e-8,6.16584374912956e-8,1.1265501210066843e-7
count'/4000,1.2480067739462197e-4,1.245941557729086e-4,1.250155362598439e-4,6.87299153109724e-7,5.866554745666622e-7,8.647505000316869e-7
endBy/500,5.191171514108134e-6,5.190048843473919e-6,5.1925893585773315e-6,4.364225330620196e-9,3.3105070962610298e-9,5.946031573845134e-9
endBy/1000,1.0708903863765854e-5,1.0705360025915176e-5,1.0714514521580851e-5,1.4424983001415185e-8,9.282919849400155e-9,2.1190362135480497e-8
endBy/2000,2.271055245020768e-5,2.2704661212993603e-5,2.2720744471135464e-5,2.42357160398389e-8,1.4715202273976985e-8,3.7572538279285166e-8
endBy/4000,4.8893729556949996e-5,4.8872516604472724e-5,4.8932271457164654e-5,9.397755709533417e-8,6.203870593034083e-8,1.3217706114676907e-7
endBy1/500,8.555414650294122e-6,8.548904571356916e-6,8.560706751258902e-6,1.9628149620028296e-8,1.3796578823033578e-8,2.5914770688457858e-8
endBy1/1000,1.7656809831526584e-5,1.7646791399050456e-5,1.7665256619861186e-5,3.3257905917621125e-8,2.6198513749154888e-8,4.3978144768623754e-8
endBy1/2000,3.708672973496103e-5,3.7071319326930205e-5,3.710255781220867e-5,5.253671661098985e-8,3.896308770799129e-8,7.214723320315175e-8
endBy1/4000,7.765407917040374e-5,7.761721019729018e-5,7.770341126640461e-5,1.4126837354464573e-7,9.632004325197724e-8,2.2349252411253682e-7
manyTill/500,1.444214696808971e-5,1.4437147769339524e-5,1.4447125074979759e-5,1.706772132469219e-8,1.4004551804211062e-8,2.1769869082765585e-8
manyTill/1000,3.058575478072666e-5,3.0549424894554214e-5,3.062443931081796e-5,1.2765315360617768e-7,1.1124234959318352e-7,1.414877888132149e-7
manyTill/2000,6.430767101150904e-5,6.428309838669466e-5,6.433711430347096e-5,9.006022777901464e-8,7.17839661506252e-8,1.1513997743218404e-7
manyTill/4000,1.3765887319211996e-4,1.375883375011678e-4,1.377578224294262e-4,2.7551109062545495e-7,2.0840137963731327e-7,3.744920933982802e-7
someTill/500,1.6263427285739055e-5,1.6259565273711643e-5,1.627331758247027e-5,1.9115219474080552e-8,1.0749311667732097e-8,3.728868709165818e-8
someTill/1000,3.418307954750828e-5,3.417463699210173e-5,3.419643708787448e-5,3.4702062685655775e-8,2.486888407316168e-8,5.7635501206826127e-8
someTill/2000,7.208106865860779e-5,7.206891700908336e-5,7.209531066582856e-5,4.6392649505406317e-8,3.875229125770286e-8,5.7053999718945405e-8
someTill/4000,1.5699187346332312e-4,1.5692141364855383e-4,1.5707641488628375e-4,2.7422358092822025e-7,2.1937264555332186e-7,3.40854644161279e-7
sepBy/500,7.960872596228064e-6,7.959085017647495e-6,7.962498158948731e-6,5.644786377304329e-9,4.784673391162365e-9,6.7769993777891044e-9
