Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
string/500,8.604114040838235e-7,8.566846915096258e-7,8.805619416771321e-7,2.2042034979292795e-8,3.728546280676044e-9,5.298436301857284e-8
string/1000,1.6875164415132166e-6,1.661474960743392e-6,1.7447313027292636e-6,1.2252329604486456e-7,7.712510008528277e-8,1.8618787015817094e-7
string/2000,4.036901449259609e-6,3.987691071491698e-6,4.0687118950922454e-6,1.3392919994814503e-7,8.847942767384878e-8,1.7645675859292812e-7
string/4000,6.379505263998823e-6,6.377973263556457e-6,6.385963059887215e-6,8.321123556581093e-9,2.3920086189193017e-9,1.8129708005228818e-8
string'/500,2.5687416537756117e-5,2.5681356504296855e-5,2.5696475694423e-5,2.6017903558617283e-8,1.760859704273881e-8,4.00567831233285e-8
string'/1000,5.271231128245625e-5,5.268029671420478e-5,5.275303943264781e-5,1.1709698730605534e-7,9.43990600682321e-8,1.5353107175142238e-7
string'/2000,1.0111463859991754e-4,1.0091386196763662e-4,1.0138911611044666e-4,7.845879502891882e-7,6.271587899673063e-7,9.610861431380795e-7
string'/4000,1.9654243552621464e-4,1.9615256149066955e-4,1.9701226817499481e-4,1.3958015327555135e-6,1.166302986644742e-6,1.6539402238513222e-6
many/500,7.471150114671723e-6,7.468959168351222e-6,7.473711503547608e-6,8.035227220680475e-9,6.109800584169118e-9,1.3059551699488994e-8
many/1000,1.5657754734410757e-5,1.5650468640465123e-5,1.5661565648881797e-5,1.8071064732557117e-8,1.1664446344322027e-8,2.8429521751926486e-8
many/2000,3.319207856885392e-5,3.317917616795823e-5,3.3201817309716985e-5,3.862151692159619e-8,3.073955019261908e-8,4.643048861791308e-8
many/4000,7.197995762082825e-5,7.196396003997744e-5,7.202624864014515e-5,8.774592828486539e-8,4.061537938450379e-8,1.8188813377270565e-7
some/500,1.3334865618309192e-5,1.3326136703356789e-5,1.335376432463543e-5,4.087129104026077e-8,1.8403320574736672e-8,7.263602210251807e-8
some/1000,2.7854083745219202e-5,2.785169034403375e-5,2.785839558958802e-5,1.0807634628469557e-8,7.197727452462894e-9,1.573268279184881e-8
some/2000,5.976778529530196e-5,5.975508262622669e-5,5.980111772656492e-5,6.366359375149484e-8,2.020396448098888e-8,1.1437326521581458e-7
some/4000,1.286970289560617e-4,1.286297344575771e-4,1.2878297662380123e-4,2.52478818198177e-7,2.01486738934115e-7,3.2802058783633683e-7
choice/500,1.744153474862459e-5,1.743550204494086e-5,1.7448717981136865e-5,2.2992402778150846e-8,1.621130044183134e-8,3.2439800433116196e-8
choice/1000,4.4261523459971524e-5,4.422731994600574e-5,4.431430116295685e-5,1.4183935702105713e-7,1.0516513852699121e-7,2.0511824185753494e-7
choice/2000,1.2490724690741972e-4,1.2475914586598504e-4,1.2504103024238127e-4,4.87927008462205e-7,3.960014174589969e-7,6.238754357377838e-7
choice/4000,4.270613978740138e-4,4.2513015982524886e-4,4.2861699279077466e-4,5.822528008229064e-6,4.66936059044492e-6,8.058495596360477e-6
count/500,9.729694740507029e-6,9.726291005852636e-6,9.732853531004754e-6,1.1443798718869507e-8,9.503705636580475e-9,1.4079234650410384e-8
count/1000,2.0522219398297982e-5,2.0511135331506568e-5,2.0535679546920768e-5,4.132336859243495e-8,3.392901453863464e-8,5.68595027054918e-8
count/2000,4.4392523769553036e-5,4.4371623543094395e-5,4.4410939653120135e-5,6.689065896127434e-8,5.667950889515448e-8,8.522609626154175e-8
count/4000,9.728075905070199e-5,9.698019134269155e-5,9.756317037438809e-5,9.84354555827212e-7,9.039080267054582e-7,1.066850770361709e-6
count'/500,1.2715788575696676e-5,1.269219506271252e-5,1.2748145740164983e-5,9.114481284591449e-8,7.052324762275105e-8,1.0670855811979066e-7
count'/1000,2.6750470121889754e-5,2.6735303567583062e-5,2.676435081279423e-5,4.880696368901456e-8,3.6872432039346004e-8,6.869816307606865e-8
count'/2000,5.690857384168066e-5,5.6895042487852066e-5,5.692300754531475e-5,4.677346001501995e-8,3.893096612391256e-8,5.6653026160446284e-8
count'/4000,1.2297114802360575e-4,1.2280893848562214e-4,1.2315511148292384e-4,6.003391204173225e-7,5.206103538080528e-7,7.139675904557276e-7
endBy/500,5.179575021952812e-6,5.178808074180423e-6,5.181835862001333e-6,4.314566928264149e-9,1.3925004955067012e-9,8.690290133698587e-9
endBy/1000,1.0645406041761306e-5,1.0643708896755687e-5,1.0647258717581734e-5,6.202673275095322e-9,5.1035476040653564e-9,8.547326664652205e-9
endBy/2000,2.2593515164274702e-5,2.2590359262751e-5,2.2597968108943892e-5,1.3493514901234773e-8,1.0066847550735352e-8,1.750864320027738e-8
endBy/4000,4.8522986942153905e-5,4.8518195394983564e-5,4.8529458812924044e-5,1.8515598307095113e-8,1.5024930963318754e-8,2.2455236926843506e-8
endBy1/500,8.573521533982568e-6,8.57153929545701e-6,8.576368439148872e-6,7.867359479970113e-9,5.354863214426138e-9,1.2455497700578604e-8
endBy1/1000,1.766562264087913e-5,1.766259940366181e-5,1.7669289946569243e-5,1.1313217218738948e-8,8.66468173302316e-9,1.7764791266258835e-8
endBy1/2000,3.718891282586325e-5,3.717500193535251e-5,3.720329945064527e-5,4.832901986081792e-8,4.1637830463206086e-8,5.6073203159196306e-8
endBy1/4000,7.775290353895555e-5,7.77360512584541e-5,7.778364339470437e-5,7.442654753697963e-8,4.8634284275308374e-8,1.277294537678974e-7
manyTill/500,1.4233532486851039e-5,1.4231191646275882e-5,1.4235845145862292e-5,8.189165658877278e-9,6.084497033814652e-9,1.1474567511143216e-8
manyTill/1000,3.006014814342148e-5,3.0035970194574042e-5,3.0103091982705987e-5,1.0566888372727644e-7,5.9222533333309794e-8,1.6921139354631017e-7
manyTill/2000,6.321620340226144e-5,6.320591158144911e-5,6.323269949006073e-5,4.5757699825732066e-8,3.471822641377182e-8,6.838223368896586e-8
manyTill/4000,1.3575927052911875e-4,1.3570939148152759e-4,1.3580927241270936e-4,1.6958126903431308e-7,1.2768083791927012e-7,2.2655622290969458e-7
someTill/500,1.6162639552732092e-5,1.6159814766825374e-5,1.6166094809503256e-5,1.0338237676537134e-8,7.413675664701231e-9,1.4615377714855883e-8
someTill/1000,3.397226458902834e-5,3.396611039862089e-5,3.3978708569140454e-5,2.177855023574994e-8,1.624828788865086e-8,3.0564068311295266e-8
someTill/2000,7.1640802842815e-5,7.162597248148335e-5,7.166256713716208e-5,6.671991686171289e-8,4.068381581570786e-8,1.154879858401143e-7
someTill/4000,1.5577131482530967e-4,1.5570172965538638e-4,1.5583279043964875e-4,2.1210706371857315e-7,1.697544525542182e-7,2.7557172511815796e-7
sepBy/500,7.92964600440716e-6,7.928439281038749e-6,7.930783029321711e-6,3.805012837149869e-9,2.9461087704520612e-9,5.0815607726888555e-9
sepBy/1000,1.6290897441248968e-5,1.6288066718452314e-5,1.6294408423302255e-5,1.0837426526374202e-8,8.423171436746842e-9,1.4483590488428667e-8
sepBy/2000,3.416052479407957e-5,3.415219962172396e-5,3.4170468627171614e-5,3.148792432305199e-8,2.3527139762902926e-8,5.061647911702787e-8
sepBy/4000,7.233503950994319e-5,7.223437876284892e-5,7.255888933085353e-5,4.707841814593821e-7,1.8846382676883565e-7,7.904448936522841e-7
sepBy1/500,7.939983380815715e-6,7.936763847375525e-6,7.942552822146451e-6,9.797630165946288e-9,6.300410519434428e-9,1.5471620854910293e-8
sepBy1/1000,1.6309766022064654e-5,1.6297851111180814e-5,1.6320357426075312e-5,3.797138860754318e-8,3.235144188186586e-8,4.5450429834289066e-8
sepBy1/2000,3.421442834569077e-5,3.418648470252583e-5,3.423695826510311e-5,8.073957938627035e-8,6.113740302008774e-8,1.0554501545606459e-7
sepBy1/4000,7.211705134001395e-5,7.207742582174461e-5,7.214931595803812e-5,1.2434962056408783e-7,8.972339472886456e-8,1.5396630989151591e-7
sepEndBy/500,4.718384755211375e-6,4.714831724320545e-6,4.720673327799679e-6,9.883492962478078e-9,7.137231084903926e-9,1.2248234412555065e-8
sepEndBy/1000,9.760649909026572e-6,9.755435674605746e-6,9.764915382270953e-6,1.628338351851531e-8,1.4438781249086336e-8,1.9205910983449338e-8
sepEndBy/2000,2.0522448172573286e-5,2.0512801780992232e-5,2.0531320670595716e-5,3.091220755986226e-8,2.495175554408176e-8,4.201836647555916e-8
sepEndBy/4000,4.600638753537769e-5,4.575030267513036e-5,4.619148996599751e-5,7.512413621025739e-7,5.611520503171442e-7,9.213593233650989e-7
sepEndBy1/500,1.0817660089635343e-5,1.0810572632751661e-5,1.0826027151770938e-5,2.5124499772152357e-8,2.210445962373984e-8,2.7584804369411512e-8
sepEndBy1/1000,2.2376665783377496e-5,2.2360252825765666e-5,2.239239591957491e-5,5.265022683830659e-8,4.765595003567951e-8,6.255385745141263e-8
sepEndBy1/2000,4.620436965696293e-5,4.6177819955444385e-5,4.62250287526767e-5,7.64643762394281e-8,6.688078806222716e-8,8.693173857279367e-8
sepEndBy1/4000,9.740092575525676e-5,9.733998144478988e-5,9.745201622746111e-5,1.909808372931414e-7,1.6222829223639053e-7,2.1139418272894045e-7
skipMany/500,3.4472103204596542e-6,3.4452097043986435e-6,3.4488152319786443e-6,6.517169126863588e-9,5.386807815218218e-9,7.71548000562859e-9
skipMany/1000,6.878612884588308e-6,6.877080877916025e-6,6.880606318547356e-6,5.663748147132807e-9,4.489826801259128e-9,8.399113759021259e-9
skipMany/2000,1.3643725808876073e-5,1.3641150785240351e-5,1.3646940398399876e-5,9.97140439445023e-9,8.378629346426277e-9,1.1924747304864867e-8
skipMany/4000,2.7307778873642626e-5,2.7298750071030516e-5,2.7318373358583204e-5,3.2815832486845296e-8,2.5477434781463187e-8,4.860030405968099e-8
skipSome/500,8.851262001049647e-6,8.848081661366709e-6,8.854171911072272e-6,1.0659508343175325e-8,7.747251946007183e-9,1.5135507224229105e-8
skipSome/1000,1.7680681629594876e-5,1.767573535704898e-5,1.768446362964956e-5,1.4229586857525533e-8,8.624106449820265e-9,2.168489748457957e-8
skipSome/2000,3.531681007546527e-5,3.531219368150726e-5,3.5322866492759087e-5,1.7382394335623034e-8,1.3655178511771779e-8,2.279545159690369e-8
skipSome/4000,7.039371600074199e-5,7.036931012710443e-5,7.040528537311892e-5,5.544235630626611e-8,3.604981656634656e-8,8.487947333356409e-8
skipCount/500,6.6322186185277144e-6,6.630930764323115e-6,6.634128490525032e-6,4.958103724890904e-9,3.811943520485134e-9,6.765341824810701e-9
skipCount/1000,1.3221965092698097e-5,1.3215952916889224e-5,1.3225299812142472e-5,1.354849098819292e-8,8.888393988703714e-9,1.924093691013478e-8
skipCount/2000,2.6448754570494567e-5,2.6435394693689438e-5,2.6458449610778807e-5,3.848228656433087e-8,2.8540978811302993e-8,5.0808450666427985e-8
skipCount/4000,5.2738749264538165e-5,5.271497198983559e-5,5.275920312020886e-5,7.38047387283136e-8,5.564070922228553e-8,9.633657438536271e-8
skipManyTill/500,8.80129097023589e-6,8.794928788822474e-6,8.805970409500817e-6,1.801766922123522e-8,1.4761965506297883e-8,2.1146390399492976e-8
skipManyTill/1000,1.757339254366484e-5,1.7561988433510513e-5,1.758240990057068e-5,3.439756826388039e-8,2.686865139057017e-8,4.2865382950777135e-8
skipManyTill/2000,3.506111532411915e-5,3.50394023631412e-5,3.5085652709170485e-5,7.733635706444556e-8,7.197761327251338e-8,8.538000880688463e-8
skipManyTill/4000,7.039075004857347e-5,7.026723374113858e-5,7.057017595605895e-5,5.075591980279065e-7,3.950902922646692e-7,6.843852411485765e-7
skipSomeTill/500,1.2788318532288687e-5,1.2776719834649774e-5,1.2798419286562386e-5,3.633252416061934e-8,2.9696831458826855e-8,4.247006627365945e-8
skipSomeTill/1000,2.5628808695934893e-5,2.5601958876736385e-5,2.5646945266508407e-5,7.586441086248894e-8,6.119609930089125e-8,9.133768884471507e-8
skipSomeTill/2000,5.11698205578817e-5,5.113515196104326e-5,5.1187955572984655e-5,8.48886710570372e-8,2.9642402870520434e-8,1.4741677851153674e-7
skipSomeTill/4000,1.0209584760772658e-4,1.0198420915345732e-4,1.0218950974899365e-4,3.4962750880008117e-7,2.9674177218298396e-7,3.974522770705953e-7
takeWhileP/500,9.004076220718489e-7,8.843422914547259e-7,9.429390561686045e-7,7.923900414216904e-8,4.5089723635880686e-8,1.2599541081498402e-7
takeWhileP/1000,1.819970972173286e-6,1.7535496220420825e-6,1.918028106538558e-6,2.7178961545979363e-7,1.948452107120834e-7,3.3984247270293663e-7
takeWhileP/2000,3.330170098535778e-6,3.3260651978316606e-6,3.3405983158462373e-6,2.097823043011847e-8,6.863012655662172e-9,3.860525028838954e-8
takeWhileP/4000,6.639720536637371e-6,6.589602563108815e-6,6.808448179212525e-6,2.4255578918103476e-7,3.279700533873945e-9,5.065923832920404e-7
takeWhile1P/500,9.016176799968514e-7,8.840087238013766e-7,9.367867911846396e-7,9.070337462971748e-8,4.463275216154092e-8,1.3731951461552407e-7
takeWhile1P/1000,1.7795286013825865e-6,1.7283579748029687e-6,1.8759521853965806e-6,2.2640957500762477e-7,1.3180622424057885e-7,3.0791317387346374e-7
takeWhile1P/2000,3.3394436125325453e-6,3.324873207692003e-6,3.3972274541746266e-6,9.572631010969264e-8,1.0875114368316885e-9,2.0396891824640653e-7
takeWhile1P/4000,6.590318937224992e-6,6.589555659105188e-6,6.591507711726066e-6,3.0313172796857757e-9,1.8910639435102762e-9,4.946633110493173e-9
decimal/500,1.7128217312453455e-7,1.7016621415709803e-7,1.7274550723245886e-7,4.3518831587109206e-9,3.1924939751967797e-9,5.4032887210284224e-9
decimal/1000,2.766277036551093e-7,2.753156940481313e-7,2.779686527505411e-7,4.614884848603848e-9,3.970718458203764e-9,5.2176797862679065e-9
decimal/2000,5.023626161043498e-7,4.996377654701044e-7,5.034419800989141e-7,5.381467814152594e-9,2.5938159633083716e-9,1.0257070799159667e-8
decimal/4000,1.1428622759524804e-6,1.1278941247877147e-6,1.159541467541723e-6,5.431073056072175e-8,4.9752144750532364e-8,5.812621750162528e-8
octal/500,1.7684218275793386e-7,1.754235931974024e-7,1.7811464620552706e-7,4.542653038099874e-9,4.200779671221197e-9,4.890426744259586e-9
octal/1000,2.770759156094121e-7,2.7591273418412305e-7,2.7829552566201683e-7,3.854718005914928e-9,3.5665483225028e-9,4.135840998465268e-9
octal/2000,4.673181414956969e-7,4.655496213918439e-7,4.691624554714761e-7,5.9186197580363354e-9,5.448051777830968e-9,6.43442392314488e-9
octal/4000,1.1318289264235728e-6,1.1178796664195772e-6,1.1413034956785037e-6,3.8929458976401485e-8,2.974202996056427e-8,4.759858894545479e-8
hexadecimal/500,1.740096985792522e-7,1.7271372166760325e-7,1.7531124297807318e-7,4.294235969925245e-9,3.6816383804742296e-9,4.9644621810791525e-9
hexadecimal/1000,2.714557710352998e-7,2.701412383500277e-7,2.7300087580417855e-7,4.861452625081474e-9,4.2429290472644914e-9,5.420664841357386e-9
hexadecimal/2000,5.237087502926491e-7,5.176971058621845e-7,5.293502277509267e-7,1.8155091058571685e-8,1.4099968467032022e-8,2.0930369017845225e-8
hexadecimal/4000,1.1972259883448972e-6,1.1797478760794662e-6,1.2145165239075309e-6,5.7933232730584646e-8,4.872920786942438e-8,6.540973091645431e-8
scientific/500,1.2466638627909874e-7,1.237741472837975e-7,1.252052148592886e-7,2.350354992139091e-9,1.5603532503682022e-9,3.4227719990732632e-9
scientific/1000,1.860712936757133e-7,1.8594198681063116e-7,1.8616917763219348e-7,3.8944166570808043e-10,2.784962958897945e-10,5.514910381877068e-10
