Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
string/500,9.803924235998068e-7,9.79745035858029e-7,9.80994028868963e-7,2.0604093132039976e-9,1.697589155348846e-9,2.4532814788881175e-9
string/1000,1.880409903786002e-6,1.8764347392690787e-6,1.8957079414586101e-6,2.4800684269700273e-8,1.4017221836528687e-9,5.266838157803778e-8
string/2000,4.764223385442832e-6,4.759981060880375e-6,4.769202920676336e-6,1.5855742194141815e-8,1.4225657183381226e-8,1.8126311325107626e-8
string/4000,7.519409670571216e-6,7.339387872681947e-6,8.020658808313409e-6,9.122016393903244e-7,2.774438560578129e-7,1.5476573411245333e-6
string'/500,2.7596130533540304e-5,2.7561952669781532e-5,2.763137230286893e-5,1.1663044669288609e-7,8.992840444052391e-8,1.713827078221655e-7
string'/1000,5.6016974063535194e-5,5.598200458298776e-5,5.6061741979011886e-5,1.2940521933561567e-7,1.0924435569646302e-7,1.6067263544821863e-7
string'/2000,1.0785259358236116e-4,1.0780148485320204e-4,1.0795215359501438e-4,2.334447978163711e-7,1.5625082401925593e-7,3.961076320688919e-7
string'/4000,2.092567741259564e-4,2.0912017247903507e-4,2.0950847036604254e-4,5.925101446390663e-7,3.426681938854851e-7,9.222345032329855e-7
many/500,7.567782525854059e-6,7.565184555128803e-6,7.571018552824893e-6,9.998919535745247e-9,8.367361964598423e-9,1.1922785917679414e-8
many/1000,1.583165559031396e-5,1.58237568290531e-5,1.584173076355249e-5,3.0534570736105695e-8,2.2069913087683094e-8,4.986328009307068e-8
many/2000,3.3534489340165964e-5,3.351636740532522e-5,3.354708502809053e-5,4.769839111090505e-8,3.319750786114694e-8,7.453803099588691e-8
many/4000,7.255760832335998e-5,7.252572785908102e-5,7.259275099829301e-5,1.1796746789713963e-7,9.65912073207915e-8,1.4478768235508876e-7
some/500,1.350642122097891e-5,1.3500770228528795e-5,1.3510712392290886e-5,1.6678229743472723e-8,1.0797516761260912e-8,2.8126039051168144e-8
some/1000,2.8332741644216474e-5,2.8314667718720932e-5,2.8346050774189838e-5,5.195127091082998e-8,3.8176189814566844e-8,6.787858995031433e-8
some/2000,6.0575771648811284e-5,6.056239154563354e-5,6.0590264638086273e-5,4.645641888586614e-8,3.9036181220833944e-8,6.784163964685248e-8
some/4000,1.3018768296474566e-4,1.301126820702075e-4,1.3028075022208154e-4,2.8717326886536485e-7,2.3075036263684748e-7,3.8552789974676874e-7
choice/500,1.7548966262469992e-5,1.7531455664181644e-5,1.7564807445360834e-5,5.852493986329179e-8,5.1013819777062786e-8,7.06648034821867e-8
choice/1000,4.46248759257182e-5,4.458613949319608e-5,4.467045285306132e-5,1.42217519457899e-7,1.223361238349351e-7,1.7092315550627517e-7
