Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
string/500,8.659001226985779e-7,8.553767899469624e-7,8.927185177977663e-7,4.9355522264399636e-8,5.000409826725173e-9,9.076891608331056e-8
string/1000,1.6705447297422576e-6,1.6494413164081837e-6,1.7150063311563056e-6,9.788225087993458e-8,4.683129350204057e-8,1.7137948961719325e-7
string/2000,4.432926986188622e-6,4.430298782244353e-6,4.444794207843983e-6,1.6004408376813095e-8,1.6478608888632468e-9,3.650916305721182e-8
string/4000,6.4724317214649485e-6,6.471144077760995e-6,6.473737574138909e-6,4.453761510130358e-9,3.747306759147375e-9,5.454690615785648e-9
string'/500,2.685514311795401e-5,2.684340466160858e-5,2.686885496072631e-5,4.584043805610744e-8,3.7531104822500935e-8,5.543624461116139e-8
string'/1000,5.590306060324705e-5,5.5843279905915524e-5,5.599147641085718e-5,2.359929097424923e-7,1.7781903097066084e-7,3.084698715552058e-7
string'/2000,1.0788591361333914e-4,1.0763022014813671e-4,1.0812759131429185e-4,8.288975729294317e-7,6.956383559585046e-7,9.765222487387753e-7
string'/4000,2.0870753637402425e-4,2.0820659705867085e-4,2.091271315338935e-4,1.5039966422775797e-6,1.3144529070667138e-6,1.795682272029846e-6
many/500,7.532237078479752e-6,7.524759699738875e-6,7.536268265235326e-6,1.8638406882192486e-8,1.2154719693375945e-8,2.7121187066338636e-8
many/1000,1.5793925971866488e-5,1.5779992736117462e-5,1.5803895811832033e-5,4.123433299465683e-8,3.006335774894973e-8,5.150365520210469e-8
many/2000,3.33869317366745e-5,3.337978679631119e-5,3.339369043861569e-5,2.370085134017724e-8,1.6138232061691398e-8,3.699236992785869e-8
many/4000,7.229471291025928e-5,7.224002226900362e-5,7.233338555110261e-5,1.4662553727199106e-7,1.1345170851451696e-7,1.7724014852983173e-7
some/500,1.3422970122124188e-5,1.3415853957862356e-5,1.3427562132685457e-5,1.883739046932129e-8,1.27042307777834e-8,2.5042392949439074e-8
some/1000,2.8114150346509326e-5,2.8099081064432927e-5,2.8131235641638976e-5,5.304081363628723e-8,4.628158714370078e-8,6.165240624213374e-8
some/2000,6.0403706497647674e-5,6.039494304023345e-5,6.0417264534696544e-5,3.810869052616505e-8,2.6767791460283035e-8,6.250811283131058e-8
some/4000,1.2974373485838132e-4,1.2968219178923423e-4,1.2981393401089743e-4,2.2427984203894033e-7,1.7034697174009224e-7,3.025233808787034e-7
choice/500,1.7521393580923146e-5,1.7515336887069803e-5,1.7531413041855962e-5,2.3676168665108012e-8,1.82077314284307e-8,3.483656733620978e-8
choice/1000,4.434128623029527e-5,4.4317541308416916e-5,4.437441599150949e-5,9.224141384689325e-8,6.857915024216678e-8,1.3706120343614002e-7
choice/2000,1.2489420826112142e-4,1.2479965823011758e-4,1.2498025247497643e-4,2.965467446082903e-7,2.461445786299567e-7,3.7019449228126676e-7
choice/4000,4.270122175114472e-4,4.25113590188652e-4,4.288741033121369e-4,6.507504818130164e-6,5.593174426331112e-6,7.668581814504586e-6
count/500,9.782541669929126e-6,9.778805259550672e-6,9.784843228617654e-6,9.949850314151863e-9,6.518371366596749e-9,1.4021048561927668e-8
count/1000,2.068295739209089e-5,2.0675789202567048e-5,2.0690916992617486e-5,2.5570021760735255e-8,2.1379431454485825e-8,3.364097697277843e-8
count/2000,4.4564811308814064e-5,4.454958662518294e-5,4.4585883531440746e-5,6.264230062988356e-8,4.6035273765080504e-8,9.889174738381642e-8
count/4000,9.638853386812022e-5,9.635943356862746e-5,9.642908273567773e-5,1.1667559506815331e-7,7.789086274837953e-8,1.7478905067245876e-7
count'/500,1.269271057091962e-5,1.2685015831015165e-5,1.2699365729463151e-5,2.3155196148454185e-8,1.9121143656712485e-8,2.8240509588732973e-8
count'/1000,2.6825243858379715e-5,2.6822877075705864e-5,2.6828518008173165e-5,9.046616121036647e-9,6.699302850182696e-9,1.3611640384756639e-8
count'/2000,5.7224256650917864e-5,5.719630164157387e-5,5.724623746613725e-5,7.707071636953241e-8,6.050974146084979e-8,1.0058641751407396e-7
count'/4000,1.2352401277961807e-4,1.2334054710285306e-4,1.2373652827569911e-4,6.327978408552504e-7,5.442007513755274e-7,7.690734789102723e-7
endBy/500,5.197802139025652e-6,5.196249732773352e-6,5.198655264442953e-6,3.918616883162784e-9,2.6006755739347332e-9,6.144181330366851e-9
endBy/1000,1.068291343027512e-5,1.0677227605300424e-5,1.0685753996556467e-5,1.2936125522724232e-8,5.76782330970304e-9,2.1749441519782655e-8
endBy/2000,2.266712255964667e-5,2.265440531910251e-5,2.2677602339292688e-5,4.0504662512378756e-8,2.880317491540798e-8,5.443951009917488e-8
endBy/4000,4.87628053712792e-5,4.874360884422586e-5,4.877314028026254e-5,4.8634124577370966e-8,2.384361282952675e-8,8.80063658975011e-8
endBy1/500,8.570332835007779e-6,8.564483154925386e-6,8.574759082894053e-6,1.6399644063853314e-8,1.2654958499374847e-8,2.0206338410247353e-8
endBy1/1000,1.75963148822411e-5,1.7589541273332752e-5,1.7603249357624722e-5,2.282286084138148e-8,1.8132661556489468e-8,2.8282741299630655e-8
endBy1/2000,3.713387906574777e-5,3.712681440496535e-5,3.7149335403148756e-5,3.377234296518894e-8,1.8635074520993232e-8,6.198727353785562e-8
endBy1/4000,7.740152454917166e-5,7.73809641673766e-5,7.742054991707631e-5,6.208390555906532e-8,4.387940483026157e-8,9.361808492553368e-8
manyTill/500,1.4227973146287141e-5,1.4223779484984874e-5,1.4231122027675313e-5,1.1937549593023882e-8,5.950403594899976e-9,2.0520708317983608e-8
manyTill/1000,2.9959344656050216e-5,2.993360046051398e-5,2.997922582251037e-5,7.430247082756482e-8,6.008289828258088e-8,8.402893984319148e-8
manyTill/2000,6.311480354777004e-5,6.307014843030966e-5,6.315025539920487e-5,1.3630152616242145e-7,1.1006684724384424e-7,1.6668506022696477e-7
manyTill/4000,1.354819772280913e-4,1.353912980299245e-4,1.3556493706861462e-4,2.7825223019690454e-7,2.0618384018397436e-7,3.894563553739662e-7
someTill/500,1.6126506930958878e-5,1.6114223225009212e-5,1.6134751610241376e-5,3.31497311321201e-8,2.1233515473063578e-8,4.434582055889148e-8
someTill/1000,3.3953293500796615e-5,3.392581845759545e-5,3.3973080504991435e-5,7.578131343598258e-8,5.682269247322339e-8,9.063282184933926e-8
someTill/2000,7.161660249008994e-5,7.158674540698598e-5,7.163389869672312e-5,7.656521460532057e-8,4.219414957011403e-8,1.2512011857367133e-7
someTill/4000,1.5598159764041358e-4,1.5589721883410652e-4,1.5604554396943303e-4,2.5794183007285925e-7,1.8465103893409688e-7,4.0804067016816335e-7
sepBy/500,7.973717156858473e-6,7.97263511060272e-6,7.976273085751354e-6,5.484828022566048e-9,2.290519153164869e-9,9.379542885447607e-9
sepBy/1000,1.6414211577903156e-5,1.6412170444404563e-5,1.6417106697334347e-5,8.27324065235173e-9,5.699953894903534e-9,1.205237701088794e-8
