Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
string/500,1.3318029837342124e-6,1.3317730645713648e-6,1.3318498266815538e-6,1.250430128060974e-10,8.829361363742845e-11,1.7362283279950826e-10
string/1000,4.402883573537017e-6,4.4024028619095555e-6,4.404231395659323e-6,2.6032442306178293e-9,8.876200520348001e-10,6.070806284159941e-9
string/2000,4.9408055477830134e-6,4.940699136702986e-6,4.941021627847501e-6,4.760664516220141e-10,2.1630942615572287e-10,7.646360095216337e-10
string/4000,9.742524616625621e-6,9.742309786481994e-6,9.743038551825997e-6,1.0248304568484688e-9,5.044892441130491e-10,2.160198007497753e-9
string'/500,5.683820795792267e-5,5.6814669975759944e-5,5.686031473514996e-5,7.730099149746156e-8,7.296147194207138e-8,8.143093297341312e-8
string'/1000,1.1534494061521981e-4,1.1528196861054177e-4,1.154517853259794e-4,2.6716575205989653e-7,1.8485067148883512e-7,4.192584114649072e-7
string'/2000,2.240216401929097e-4,2.239228188193892e-4,2.2425236661928694e-4,4.826793054443348e-7,2.403548820902013e-7,8.857774382870373e-7
string'/4000,4.3699322526452854e-4,4.368881938935853e-4,4.372499514537318e-4,5.107316861966276e-7,1.6299908996596044e-7,1.1747993621891373e-6
many/500,1.2801206252682076e-5,1.2796781349392755e-5,1.280525046177113e-5,1.457595059554002e-8,1.2263537138447487e-8,1.7267355751770307e-8
many/1000,2.647328797852714e-5,2.6469974514298275e-5,2.6476223338662002e-5,1.0958177343284659e-8,9.350237737613873e-9,1.3463723467708358e-8
many/2000,5.6012720994275464e-5,5.6003411293135054e-5,5.602131922767785e-5,3.0635605139393565e-8,2.5724319441630913e-8,3.8697151276738135e-8
many/4000,1.2146569026172082e-4,1.2145185684464215e-4,1.2148367339398775e-4,5.4603312114696284e-8,4.0043348902330416e-8,7.67774919359393e-8
some/500,2.2440609462314324e-5,2.2436215882513234e-5,2.2444957171958986e-5,1.5702477974111524e-8,1.3427256195872806e-8,1.8636352300222902e-8
some/1000,4.662767930439615e-5,4.661550991379065e-5,4.6647168092392194e-5,5.0765392764354866e-8,3.401780401438195e-8,7.979346310622348e-8
some/2000,1.0119746763063491e-4,1.0114325499223489e-4,1.0125747065724814e-4,1.9714284586613497e-7,1.6664760369820072e-7,2.4199374254830834e-7
some/4000,2.2425845739543562e-4,2.2401282176150487e-4,2.2462244572616632e-4,9.989515781044379e-7,6.86339879372884e-7,1.445231480523997e-6
choice/500,3.1168414127898664e-5,3.1161348447669e-5,3.117429628002376e-5,2.085891370477912e-8,1.7289072597450788e-8,2.4384342054510218e-8
choice/1000,8.231599829414536e-5,8.226669444476675e-5,8.236376142795305e-5,1.6853722108259625e-7,1.4035304854299683e-7,2.028606563003566e-7
choice/2000,2.433386399946009e-4,2.4296053367707176e-4,2.436982850823568e-4,1.2469934585394334e-6,9.891329517087417e-7,1.5654945249057265e-6
choice/4000,8.462299623629119e-4,8.418314830003717e-4,8.503489332765863e-4,1.5056567682694607e-5,1.2864643028308993e-5,1.78662938733047e-5
count/500,1.620859434012119e-5,1.6207856000301877e-5,1.6209954824853217e-5,3.028563923680227e-9,1.7206720866566057e-9,5.407463015846824e-9
count/1000,3.3632631163989114e-5,3.362964725954442e-5,3.363769457805202e-5,1.2419324398336382e-8,7.554613898564176e-9,2.1474625007233752e-8
count/2000,7.090742944713086e-5,7.088031161289427e-5,7.093718195259245e-5,9.44896028474702e-8,8.433433647804443e-8,1.0583212865833425e-7
count/4000,1.542272167592635e-4,1.5419755664617735e-4,1.5426687702529745e-4,1.1276831445782018e-7,8.272648945698392e-8,1.7460866546946208e-7
count'/500,2.067381073556191e-5,2.0670279537703254e-5,2.0678238420362664e-5,1.2749289217695327e-8,1.0469390682678553e-8,1.5378657358976724e-8
count'/1000,4.363554137576837e-5,4.361077447005523e-5,4.3664381193547756e-5,9.438896180062195e-8,8.070211409666807e-8,1.114363210768439e-7
count'/2000,9.40402325935423e-5,9.394930001810737e-5,9.412701215237844e-5,2.8369159992830073e-7,2.267298466455487e-7,3.709432614935091e-7
