Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
string/500,1.3324714446956064e-6,1.3324174089097314e-6,1.3326684213782977e-6,2.87983250876776e-10,9.952623109814048e-11,5.820543292246995e-10
string/1000,4.519207248142685e-6,4.518922007066386e-6,4.519642266558024e-6,1.1963791353072926e-9,8.612209328224402e-10,1.9222040781391966e-9
string/2000,4.945878680565983e-6,4.9454073175685364e-6,4.947625917715919e-6,2.8471631562696333e-9,3.39674912394908e-10,6.034530928228907e-9
string/4000,9.74752432356104e-6,9.747316851297615e-6,9.747801576005863e-6,7.833378906812523e-10,5.458539706617381e-10,1.1471228633850073e-9
string'/500,5.413128744572831e-5,5.410071743424852e-5,5.417346641985406e-5,1.1980361440751664e-7,9.147567999689435e-8,1.412284694443026e-7
string'/1000,1.1078106004703892e-4,1.1072482985675462e-4,1.1089736625218517e-4,2.6105409479279033e-7,1.795136543201759e-7,4.0362423425424114e-7
string'/2000,2.1385559688256965e-4,2.1375059176691324e-4,2.1412744975511975e-4,5.319271779469959e-7,2.156367922795647e-7,1.0268963165434678e-6
string'/4000,4.169288794930405e-4,4.1683845566764803e-4,4.1718036273628894e-4,4.7136408104712657e-7,1.9237646123938126e-7,9.76047672408387e-7
many/500,1.2786437867317326e-5,1.2782302210998504e-5,1.2791813563995337e-5,1.5628263264834036e-8,1.3274263190547746e-8,1.901843564728105e-8
many/1000,2.6460488920432695e-5,2.6457083485599657e-5,2.6463812119680147e-5,1.1173857532126562e-8,9.424031947788326e-9,1.4009641483659829e-8
many/2000,5.634275000888649e-5,5.633338327870337e-5,5.635126392215643e-5,3.1417438642742805e-8,2.6743457747265486e-8,4.024920581310696e-8
many/4000,1.2290791244401141e-4,1.228946680906878e-4,1.229222164653264e-4,4.756722294421711e-8,3.629882879953316e-8,6.064713692644757e-8
some/500,2.2116472014418677e-5,2.2115285942460628e-5,2.2119122131734193e-5,5.779333027816493e-9,2.9570274259971837e-9,1.1416259276319862e-8
some/1000,4.595924501665213e-5,4.595721597817868e-5,4.5961721326717984e-5,7.624573749215237e-9,6.0255568843750776e-9,1.0266223751952853e-8
some/2000,9.912225894777612e-5,9.9111848127872e-5,9.913340196023768e-5,3.572332587444302e-8,2.9431284316270385e-8,4.549932363096186e-8
some/4000,2.1983841179156946e-4,2.1966844948630333e-4,2.2006581231165108e-4,6.636673142110953e-7,5.049776208548284e-7,8.799194974549142e-7
choice/500,3.143554720395631e-5,3.142817722971394e-5,3.144183734854548e-5,2.3539833965945266e-8,1.87618899625212e-8,3.018119394229969e-8
choice/1000,8.324036205294093e-5,8.318755077244168e-5,8.329267449346979e-5,1.698790175501985e-7,1.434970459272188e-7,2.0765174183969462e-7
choice/2000,2.4648455863892363e-4,2.4612186094573427e-4,2.468472750939846e-4,1.23416576270604e-6,9.833706949629422e-7,1.5272700141534794e-6
choice/4000,8.529452018762134e-4,8.482798488071703e-4,8.572263150065433e-4,1.5205537751949889e-5,1.2792723286994675e-5,1.7823450831033653e-5
count/500,1.6266621376348453e-5,1.6265829690005086e-5,1.6267788952560727e-5,3.249528794096543e-9,2.076061989815631e-9,5.9580165445530345e-9
count/1000,3.373896305657256e-5,3.3736228922915255e-5,3.374124326421865e-5,8.211456417030155e-9,6.683740796978572e-9,1.0546829496665721e-8
count/2000,7.144198898011e-5,7.141610704147307e-5,7.146605259014498e-5,8.590887724296076e-8,7.513368703813061e-8,9.744017713919454e-8
count/4000,1.5581320935155221e-4,1.5578387653432225e-4,1.5584074368862563e-4,9.629045937258252e-8,7.761279506936427e-8,1.238989550337814e-7
count'/500,2.0471075419931518e-5,2.0469898108609044e-5,2.047302824250863e-5,5.041211444366101e-9,2.885344010574896e-9,9.014937377939356e-9
count'/1000,4.2932282395771164e-5,4.292853973741237e-5,4.293697317256213e-5,1.3905053001266491e-8,1.1334253688720653e-8,1.749963868644452e-8
count'/2000,9.247365414882332e-5,9.24010335482838e-5,9.256130673069287e-5,2.7718725631515984e-7,2.2096675175206625e-7,3.358134140193431e-7
count'/4000,2.0650345957434852e-4,2.0619836230034773e-4,2.067669509110399e-4,9.546586510969605e-7,7.659117297985759e-7,1.2322072005609123e-6
endBy/500,8.675330400129576e-6,8.674042601919746e-6,8.678234052157474e-6,6.161417434581922e-9,2.2277580898016513e-9,1.1728230621211227e-8
endBy/1000,1.778883071052997e-5,1.7782040059677662e-5,1.779421776571729e-5,2.0217448247234388e-8,1.5532177221849255e-8,2.5977107459405894e-8
endBy/2000,3.7212087798957444e-5,3.720515579336698e-5,3.723589497719381e-5,3.6093545349456005e-8,1.3323664044936355e-8,7.117761485007661e-8
endBy/4000,7.9447675428032e-5,7.94340096059882e-5,7.946927221388366e-5,5.6873732573062964e-8,3.865606504061474e-8,8.019952575094744e-8
endBy1/500,1.4175382379913182e-5,1.4173303419585147e-5,1.4178217168147555e-5,8.10355124795851e-9,6.336192048262898e-9,1.0298189374555777e-8
endBy1/1000,2.9270453548892307e-5,2.9263810457027685e-5,2.9282498711534802e-5,2.7272101292589453e-8,1.6084595415442282e-8,4.9317915786488926e-8
endBy1/2000,6.020607968914045e-5,6.0199902200254836e-5,6.021866476667602e-5,2.631135989256554e-8,1.7446899146621425e-8,4.3824715428533346e-8
endBy1/4000,1.299948605752576e-4,1.299424788057468e-4,1.300624132731799e-4,2.0102369013159446e-7,1.5271873748597221e-7,2.6849226744737655e-7
manyTill/500,2.3196827859607187e-5,2.3193558585094655e-5,2.32029355515021e-5,1.4291828930080732e-8,8.533804566270049e-9,2.3951256585524124e-8
manyTill/1000,4.8173669905217386e-5,4.816314691722064e-5,4.8217053223182164e-5,5.815796975535356e-8,1.685754184876433e-8,1.2735317779709162e-7
manyTill/2000,1.0126372802140687e-4,1.0125059780078485e-4,1.012867686781461e-4,6.094225519855285e-8,3.779961237311829e-8,9.856274408834389e-8
manyTill/4000,2.1920219958662088e-4,2.1901663973663722e-4,2.1937812599502848e-4,6.122570885692301e-7,4.88645130355033e-7,7.771878410127952e-7
someTill/500,2.7121178331665173e-5,2.7117225853445133e-5,2.7132983566461062e-5,2.114275941949736e-8,5.75661551319965e-9,4.269576387315877e-8
someTill/1000,5.6760475016632954e-5,5.674577337866229e-5,5.677949865454365e-5,5.761957552242987e-8,4.6036930463450876e-8,7.329595487701555e-8
someTill/2000,1.2056627361079319e-4,1.2054788868667649e-4,1.2058910093064372e-4,6.49116514492318e-8,5.143924992160574e-8,8.978013741601988e-8
someTill/4000,2.686476314047393e-4,2.6844060138862905e-4,2.6889569478227415e-4,7.747540502671499e-7,6.246050091221357e-7,9.745352884099496e-7
sepBy/500,1.3093114690524181e-5,1.3091870896139512e-5,1.3095823581138706e-5,5.696135552708964e-9,3.287206991475742e-9,9.646513274419045e-9
sepBy/1000,2.6786023834215713e-5,2.67816576991058e-5,2.680298913412372e-5,2.410216652292026e-8,8.817488098503793e-9,5.088767567391252e-8
sepBy/2000,5.6033403674174935e-5,5.602832433598704e-5,5.604441922259155e-5,2.4961519144965362e-8,1.4434734881945671e-8,4.1733311076804624e-8
sepBy/4000,1.192058281787979e-4,1.1919463464902737e-4,1.19223658312465e-4,4.680472890525734e-8,3.3007643503702054e-8,7.50044402589741e-8
sepBy1/500,1.3045551663814395e-5,1.3044047623898264e-5,1.3049236273933193e-5,7.485527403512298e-9,3.926605371695145e-9,1.3644539405395058e-8
sepBy1/1000,2.6690103805853114e-5,2.6687793290157536e-5,2.6694628419499816e-5,1.1109138268585025e-8,7.0263024693607975e-9,1.8925392939480173e-8
sepBy1/2000,5.5878914237240996e-5,5.5870261679969135e-5,5.589784697012602e-5,4.320501291852381e-8,2.070141176730355e-8,7.981472945858705e-8
sepBy1/4000,1.1901657084643638e-4,1.1900052659378182e-4,1.190378660754563e-4,6.274788062940712e-8,4.565509897683721e-8,1.0164650759081237e-7
sepEndBy/500,8.054238203401817e-6,8.052877024093817e-6,8.061469755305296e-6,8.034776360944997e-9,2.09826437839347e-9,1.7672392155344966e-8
sepEndBy/1000,1.65180371621821e-5,1.651613179430509e-5,1.6521699715160274e-5,8.230285908768033e-9,4.809810043559841e-9,1.3173966457166669e-8
sepEndBy/2000,3.4511309151930796e-5,3.450790056757651e-5,3.451585498834532e-5,1.3546792895206747e-8,1.073898998747803e-8,1.7541928299947124e-8
sepEndBy/4000,7.400808869819999e-5,7.399671395958861e-5,7.403262893555548e-5,5.272974364700324e-8,3.126242273177808e-8,9.281623519266897e-8
sepEndBy1/500,1.7495544756043248e-5,1.749331534663552e-5,1.7499169194583572e-5,9.10622579030714e-9,6.3426744737256805e-9,1.4751944659990699e-8
sepEndBy1/1000,3.598556061961303e-5,3.5980045393462356e-5,3.599957202037324e-5,2.9786609954807803e-8,1.1099430397329074e-8,5.4045896635550346e-8
sepEndBy1/2000,7.460405086265626e-5,7.459120333748814e-5,7.462562258264607e-5,5.609135735785164e-8,3.8890501334396495e-8,7.937169888149959e-8
sepEndBy1/4000,1.5793221892865125e-4,1.5788955425299493e-4,1.579901721688969e-4,1.660871256035396e-7,1.3061253499384013e-7,2.1336017065617706e-7
skipMany/500,6.1327843748376176e-6,6.131960084291184e-6,6.134838687180364e-6,3.8102536581558955e-9,1.9256404648550385e-9,7.345330919497554e-9
skipMany/1000,1.217423403594133e-5,1.217300513746459e-5,1.2176461457987016e-5,5.13555036152369e-9,3.1478621408938505e-9,9.038635545522327e-9
skipMany/2000,2.429726343501293e-5,2.4293506645535644e-5,2.430864902223365e-5,1.976212891565999e-8,7.361900752587233e-9,4.1520767834251194e-8
skipMany/4000,4.861217986175983e-5,4.860575958519808e-5,4.86261550103344e-5,2.9963901530795547e-8,1.759666214768489e-8,5.13013699515358e-8
skipSome/500,1.4401573669244403e-5,1.439945811818353e-5,1.4404239930655774e-5,7.881513794530633e-9,5.707822659160734e-9,1.1794357609381587e-8
skipSome/1000,2.8768570523747365e-5,2.8764279198742987e-5,2.877835584314507e-5,2.0770777461660375e-8,9.61846341258425e-9,4.355600261589897e-8
skipSome/2000,5.739914020345023e-5,5.739202597958203e-5,5.740972352602525e-5,2.9288455680950654e-8,2.1548931905442524e-8,4.364899400976687e-8
skipSome/4000,1.1465219617056716e-4,1.1463493762301204e-4,1.1469033098616059e-4,8.57386717564478e-8,4.5157344239074344e-8,1.5389571126361407e-7
skipCount/500,1.0493628099952302e-5,1.0492283254773394e-5,1.0495412565536974e-5,5.643811974113182e-9,4.3097666099295806e-9,7.60795350709509e-9
skipCount/1000,2.0910211823088344e-5,2.0906425308367944e-5,2.0922171636459186e-5,2.099156464225172e-8,8.200535663318882e-9,4.160826136434792e-8
skipCount/2000,4.168445776090554e-5,4.1678739633691245e-5,4.169251716758214e-5,2.28902041968216e-8,1.5549548267248283e-8,3.901910494005262e-8
skipCount/4000,8.337119599696044e-5,8.336138159242816e-5,8.338469112324561e-5,3.90086515804039e-8,3.117518802336161e-8,5.300441613617433e-8
skipManyTill/500,1.4722644193549748e-5,1.4720607006895897e-5,1.4726725631442236e-5,9.718265579788906e-9,5.284369357728466e-9,1.7521315292856986e-8
skipManyTill/1000,2.937371457385041e-5,2.9370179371280665e-5,2.9380073743816612e-5,1.6202985692278233e-8,1.031358708938632e-8,2.516940211278112e-8
skipManyTill/2000,5.8684941082982066e-5,5.867618698242124e-5,5.8710286081395585e-5,4.900419754558134e-8,1.7952407896011597e-8,1.0929732366399294e-7
skipManyTill/4000,1.1729254001074111e-4,1.172783962805037e-4,1.1731636568506755e-4,6.218262663914004e-8,4.349203451279499e-8,1.0574569627122988e-7
skipSomeTill/500,2.1117600001375882e-5,2.1115639048881443e-5,2.1120518561594968e-5,7.937176460789254e-9,5.186433927082934e-9,1.1951782606544086e-8
skipSomeTill/1000,4.218852080596783e-5,4.2183356928017875e-5,4.220213523441002e-5,2.6810162157402378e-8,1.165953811867614e-8,5.1622697189552267e-8
skipSomeTill/2000,8.431757385008321e-5,8.4308503694331e-5,8.43355983212216e-5,4.070817237241662e-8,2.461704947183716e-8,6.952885414672945e-8
skipSomeTill/4000,1.685976855309772e-4,1.6857440968634865e-4,1.6866914769164153e-4,1.2470711348828143e-7,5.462984547826723e-8,2.632139329452941e-7
takeWhileP/500,1.6087068851617293e-6,1.6085669292338918e-6,1.609078201410238e-6,7.289339868275994e-10,3.40178333145224e-10,1.2979185911653007e-9
takeWhileP/1000,3.1142257799241276e-6,3.113778488736737e-6,3.116026300423618e-6,2.5671985371410046e-9,6.889721092949435e-10,5.591339226893734e-9
takeWhileP/2000,6.126355658146506e-6,6.125790182923675e-6,6.127905462343792e-6,2.7888380963447065e-9,1.196328812650567e-9,5.251079916187539e-9
takeWhileP/4000,1.2146369586098408e-5,1.2143909922044217e-5,1.216124451815822e-5,1.4227398564273555e-8,3.663575428595264e-9,3.523732157550881e-8
takeWhile1P/500,1.6162874884937144e-6,1.6161227545705646e-6,1.6167636290891708e-6,8.397524215354817e-10,2.1870597793388444e-10,1.6383440619647308e-9
takeWhile1P/1000,3.121819378296367e-6,3.121568599726976e-6,3.1223547520737746e-6,1.1498257453613823e-9,5.949504274128018e-10,2.0191821231165676e-9
takeWhile1P/2000,6.132154684260531e-6,6.1314192861809145e-6,6.13454085920452e-6,3.866570544135698e-9,1.1875232951923914e-9,8.184308478748539e-9
takeWhile1P/4000,1.2151696644519606e-5,1.2150607764724712e-5,1.2154419953213554e-5,5.320325015559299e-9,2.76880258163747e-9,1.0533821071508294e-8
decimal/500,3.1570057272491426e-7,3.1563024220359623e-7,3.1585024476413833e-7,3.359645518015761e-10,1.9973128885038428e-10,5.873877345101652e-10
decimal/1000,5.164463687364074e-7,5.163815581738979e-7,5.16563838171998e-7,2.8266030898754967e-10,1.8797882705684052e-10,4.919451778394473e-10
decimal/2000,8.997528912292572e-7,8.996646982153096e-7,8.998813103994965e-7,3.411973511667338e-10,2.3775717706448176e-10,5.355374180919242e-10
decimal/4000,2.036902387886911e-6,2.036642195103459e-6,2.03751197593479e-6,1.2636619583623083e-9,6.162325954183034e-10,2.3295755916183463e-9
octal/500,3.0999545264829463e-7,3.0996751813008013e-7,3.1006056170543184e-7,1.3070258744756318e-10,7.642248950260814e-11,2.3167149336709073e-10
octal/1000,5.041095921364627e-7,5.04022158168853e-7,5.044266846716462e-7,4.593413686292764e-10,1.885712986141565e-10,9.566188237972732e-10
octal/2000,8.732422835077173e-7,8.731582758064224e-7,8.734205605754188e-7,3.9871268924875276e-10,2.2431943608692434e-10,6.569894969327093e-10
octal/4000,1.9645854066112745e-6,1.9642444661498256e-6,1.965757261265652e-6,1.902920295432153e-9,5.486963082874432e-10,3.8790382473808585e-9
hexadecimal/500,3.318974242586901e-7,3.312380266231089e-7,3.3237542868194263e-7,1.861515869975935e-9,1.3174955173077713e-9,2.9328370382559034e-9
hexadecimal/1000,5.313335978336901e-7,5.312892007670093e-7,5.314231019896837e-7,2.0604595391279304e-10,1.2196092148002934e-10,3.4469635986718594e-10
hexadecimal/2000,1.0000610747691212e-6,9.999539300007466e-7,1.0003422685558037e-6,5.73177391757476e-10,1.9196907942774714e-10,1.0667425712163272e-9
hexadecimal/4000,2.193739888088934e-6,2.1936625563959527e-6,2.1938281804278145e-6,2.863073514213907e-10,2.3042049156497927e-10,3.644993473152091e-10
scientific/500,2.1777541351537523e-7,2.1776579867758737e-7,2.1778669463609717e-7,3.609142964468372e-11,2.961113348329649e-11,4.812116452159901e-11
scientific/1000,3.259817503697371e-7,3.259661992407087e-7,3.2600147190618086e-7,5.850907901158184e-11,4.469463797550625e-11,8.431519785906581e-11
scientific/2000,5.11457725525598e-7,5.114330558049221e-7,5.114826463827344e-7,8.905891582647478e-11,7.718683229100705e-11,1.0783943116436106e-10
scientific/4000,8.851613545360795e-7,8.850988760863307e-7,8.853334882419868e-7,3.3648381697431034e-10,1.2114537318263375e-10,6.78048075325637e-10
errorBundlePretty-500-single error,1.2417215415701992e-3,1.2396484860661677e-3,1.2450764879850303e-3,8.930429068593471e-6,6.489803032553364e-6,1.2999323786791273e-5
errorBundlePretty-1000-single error,2.4536539403305887e-3,2.4499631053074497e-3,2.46381619720226e-3,1.8004429246233893e-5,9.143561341375064e-6,3.4334928614693164e-5
errorBundlePretty-2000-single error,4.8809350741622765e-3,4.876906666802185e-3,4.895539421182074e-3,2.212826121415028e-5,3.2816031187149006e-6,4.611718171052726e-5
errorBundlePretty-4000-single error,9.817427078491146e-3,9.815932956308006e-3,9.819306476532045e-3,4.2832988972727495e-6,3.3088633238319048e-6,6.0187191401111935e-6
errorBundlePretty-1000-2 errors,2.4634594790419154e-3,2.460010354524036e-3,2.47019482528228e-3,1.6111854720260828e-5,9.291092120372643e-6,2.8549716689879803e-5
errorBundlePretty-1000-4 errors,2.493022230157234e-3,2.4869867300290117e-3,2.5068467169257268e-3,2.7829484847180607e-5,1.7017769683901354e-5,4.948821887601348e-5
errorBundlePretty-1000-100 errors,4.146316124817942e-3,4.1288462415318035e-3,4.161502116484845e-3,5.428299065235114e-5,4.0574505556265825e-5,7.282000205619594e-5
