Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
string/500,1.3324445049083438e-6,1.3324045293335738e-6,1.3325119826714153e-6,1.677811176652774e-10,1.117269786103699e-10,2.709738444739431e-10
string/1000,4.51245019473603e-6,4.512105081457151e-6,4.512859745447335e-6,1.265189301460662e-9,1.0233497792265454e-9,1.7737829697331725e-9
string/2000,4.944803173993131e-6,4.944701842130335e-6,4.944988307290977e-6,4.235880029099645e-10,2.690806134172595e-10,8.446028280327426e-10
string/4000,9.744060390323966e-6,9.743908228341152e-6,9.744251490433774e-6,6.011104471268707e-10,4.83725929719784e-10,7.92685208843463e-10
string'/500,5.273328089108695e-5,5.272859112236541e-5,5.274114864871639e-5,2.0658637682126574e-8,1.3231271073529335e-8,3.596726924529583e-8
string'/1000,1.0814834097146681e-4,1.0808563748819283e-4,1.0825031049544419e-4,2.7480730902374015e-7,1.8382120139480765e-7,4.0522133864031917e-7
string'/2000,2.082477347858248e-4,2.0815215954245273e-4,2.0855070827725022e-4,5.07921022372855e-7,2.469944011713787e-7,1.0188631676482758e-6
string'/4000,4.0524359647768697e-4,4.0513524896008957e-4,4.055166699478691e-4,5.294538004144088e-7,2.2530560226979855e-7,9.98061378851449e-7
many/500,1.2811656648464504e-5,1.2807253839095816e-5,1.2818184802718875e-5,1.8010191760602306e-8,1.4265461599028859e-8,2.7569175176217095e-8
many/1000,2.653016144225707e-5,2.652586266689752e-5,2.6535664894847543e-5,1.5868791944572488e-8,1.2945014071637612e-8,2.1463652201527317e-8
many/2000,5.639820989402495e-5,5.6382620082720464e-5,5.641845354445194e-5,5.963543712157186e-8,4.2926180606608873e-8,1.0249712779879601e-7
many/4000,1.2274502227661022e-4,1.2272560604402398e-4,1.2277727266770866e-4,8.03308699896897e-8,4.94220205107815e-8,1.4611038345354436e-7
some/500,2.2412959545773792e-5,2.2410185584446693e-5,2.241669911105599e-5,1.0703095207471217e-8,7.566206221995145e-9,1.8047834678405182e-8
some/1000,4.672246522408789e-5,4.671632574874916e-5,4.674460667801318e-5,3.2299187488752185e-8,1.2139694831070165e-8,6.831996107464026e-8
some/2000,1.0060632658297435e-4,1.0059358509950539e-4,1.0062662499170414e-4,5.4894038886274065e-8,4.000542449213463e-8,7.971830619082415e-8
some/4000,2.2281684647717468e-4,2.2264505478196295e-4,2.2304366950083273e-4,6.805999961252451e-7,5.194546200505128e-7,8.930774811474214e-7
choice/500,3.179963227344672e-5,3.1791599447807006e-5,3.181134679951825e-5,3.201499668181954e-8,2.2824315306479394e-8,5.099752659251447e-8
choice/1000,8.426347046439112e-5,8.421411201662631e-5,8.431265688384016e-5,1.606038562546689e-7,1.3630111734988017e-7,1.9888462855719894e-7
choice/2000,2.492811191305863e-4,2.488571611176961e-4,2.496507036742582e-4,1.2938384896911155e-6,1.0368438253244744e-6,1.596822676735319e-6
choice/4000,8.526279471229793e-4,8.475765891484076e-4,8.569410504819865e-4,1.5329232950489287e-5,1.3199393292838416e-5,1.8092481944397807e-5
count/500,1.6251402828913358e-5,1.624908908128611e-5,1.62597709129398e-5,1.262409280434059e-8,5.444962970754176e-9,2.478696946698359e-8
count/1000,3.374971229921003e-5,3.3745254784520944e-5,3.375657339403987e-5,1.873561285316459e-8,1.293133478046796e-8,2.9384406068646783e-8
count/2000,7.146616546068198e-5,7.14348771342607e-5,7.149889303817363e-5,1.0649645795088822e-7,8.990613541416745e-8,1.3908930342475248e-7
count/4000,1.5604506780380763e-4,1.5601498680293456e-4,1.5608362693708154e-4,1.1482083016869063e-7,9.507292193687425e-8,1.4411383434384744e-7
count'/500,2.050691559888457e-5,2.050450980662417e-5,2.0511638335225546e-5,1.0750962238603456e-8,6.5938847282082335e-9,1.648879526459126e-8
count'/1000,4.3057867592518916e-5,4.3050569011285656e-5,4.306888222711723e-5,2.9135823681163048e-8,1.886283636779826e-8,4.933633705583905e-8
count'/2000,9.288388624056619e-5,9.281641963134106e-5,9.296767932861554e-5,2.506315982394785e-7,2.0268574227249718e-7,2.978388860952161e-7
count'/4000,2.073938154504812e-4,2.071044285005233e-4,2.077107492608127e-4,9.986854862020675e-7,8.022305659382786e-7,1.255851885901542e-6
endBy/500,8.642872887006541e-6,8.64175495923043e-6,8.644572897605993e-6,4.603505367251217e-9,3.2556000713979504e-9,6.56423861857558e-9
