Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
string/500,1.503587818199568e-6,1.5035560508192968e-6,1.503641491336135e-6,1.345271859181431e-10,8.758112630964187e-11,2.337300046384427e-10
string/1000,4.7460096705304685e-6,4.745638820866039e-6,4.746860526368985e-6,1.7570349525241437e-9,8.833617595790279e-10,3.5001332063561e-9
string/2000,5.617766846253905e-6,5.6176421180932845e-6,5.6180163725548065e-6,5.874962732340237e-10,3.048884267290897e-10,1.0775887195562485e-9
string/4000,1.1087467643456242e-5,1.1087324378034953e-5,1.1087656338291458e-5,5.59217927470272e-10,4.1760817018374513e-10,7.424308250241005e-10
string'/500,5.893086693018253e-5,5.892558229268257e-5,5.893735664857306e-5,2.022785019591873e-8,1.5735373294918454e-8,2.5619938398280378e-8
string'/1000,1.1955565153573773e-4,1.1949420526464928e-4,1.1966169440137762e-4,2.58612737434244e-7,1.712206725391072e-7,4.126971157840335e-7
string'/2000,2.3225614494751321e-4,2.3215536029017964e-4,2.3252770421176462e-4,4.828251659610729e-7,2.2892143229831036e-7,8.646745876564036e-7
string'/4000,4.533432386370486e-4,4.532401139851513e-4,4.5363108487543336e-4,5.199751215315259e-7,2.113118974117361e-7,9.758711631619927e-7
many/500,1.292913657366363e-5,1.2924476895899746e-5,1.2933905105322603e-5,1.5706112302023852e-8,1.301833819702389e-8,1.8720476732391625e-8
many/1000,2.6760865500146444e-5,2.6757324241715842e-5,2.6764430858333057e-5,1.1691275826841462e-8,9.36385901152552e-9,1.4213958024571257e-8
many/2000,5.6767112172030596e-5,5.675819930000915e-5,5.677539971862485e-5,2.9054331204416836e-8,2.4153899186733998e-8,3.634136743262951e-8
many/4000,1.2348567352075601e-4,1.2347126107473878e-4,1.2350683822940665e-4,5.745049875915152e-8,4.200869691766376e-8,9.46415332195358e-8
some/500,2.2222349915309877e-5,2.221887783246533e-5,2.2225968945683652e-5,1.2094939868519672e-8,9.686705094370122e-9,1.547179989568014e-8
some/1000,4.6478058859569634e-5,4.6462088465771706e-5,4.649408314648901e-5,5.430407492251755e-8,4.314402426213343e-8,6.824929178948249e-8
some/2000,9.997918835000618e-5,9.993811767181949e-5,1.0001865961861882e-4,1.4869332541410364e-7,1.2843394599144522e-7,1.7790941283976786e-7
some/4000,2.2531206974620702e-4,2.250266113833349e-4,2.256235083085064e-4,9.948136044670317e-7,7.882650762246905e-7,1.361697800016972e-6
choice/500,3.1614187827415506e-5,3.160614774855225e-5,3.162112788859306e-5,2.5888709473669653e-8,2.0603013997066368e-8,3.3176475450190826e-8
choice/1000,8.399622814176923e-5,8.394508793015323e-5,8.404522069168514e-5,1.692696328734196e-7,1.4212419806903412e-7,2.041348886973134e-7
choice/2000,2.4955997600796867e-4,2.491192154312199e-4,2.4991352048823735e-4,1.281200962818125e-6,1.0310631749337954e-6,1.5741970485822002e-6
choice/4000,8.52015986962407e-4,8.471526548049782e-4,8.564673804638908e-4,1.5370171968419045e-5,1.3048602460725448e-5,1.8109851514793307e-5
