Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
string/500,1.3338408377859128e-6,1.333707633384166e-6,1.3339930449070635e-6,4.738386779574298e-10,3.793545183463056e-10,6.41554506471406e-10
string/1000,4.0462669110215465e-6,4.045866703280408e-6,4.04680205319649e-6,1.5906523159656206e-9,1.0878759563365099e-9,2.61956830435868e-9
string/2000,4.9410932357750116e-6,4.940761778552357e-6,4.941458248887552e-6,1.138268521599691e-9,8.886189711970392e-10,1.5563465180651223e-9
string/4000,9.74249057901293e-6,9.741805532706208e-6,9.743523759609003e-6,3.009567233733843e-9,2.2379939508994705e-9,4.931561906973051e-9
string'/500,5.6855100796870264e-5,5.685152379915793e-5,5.685952085234276e-5,1.3854282880477982e-8,9.968901116818027e-9,1.7767479289597375e-8
string'/1000,1.1629252098762652e-4,1.1621122969781139e-4,1.1641663603224858e-4,3.3128438227998886e-7,2.339836633879033e-7,4.523058897378153e-7
string'/2000,2.24152241989204e-4,2.2404758236818198e-4,2.2440608166135123e-4,5.203726549661713e-7,2.454245436765736e-7,1.0552002970035135e-6
string'/4000,4.374264049962545e-4,4.373367172927352e-4,4.3766550319004086e-4,4.803580776036236e-7,2.1826939722180007e-7,8.905472742337615e-7
many/500,1.2813834849979916e-5,1.2809040796521803e-5,1.2819022645772194e-5,1.6705830779994802e-8,1.356062376177948e-8,2.0084378359165843e-8
many/1000,2.6525211478828516e-5,2.6522077711433938e-5,2.6528381069521852e-5,1.0236198130581862e-8,8.546846808101612e-9,1.2637662219866955e-8
many/2000,5.639036977502351e-5,5.638202426172077e-5,5.639831699229437e-5,2.7974255952970483e-8,2.427613313046829e-8,3.2641825098213585e-8
many/4000,1.2275772032080564e-4,1.2274311964723404e-4,1.2277126548588898e-4,4.777433711390925e-8,3.729663114898799e-8,6.4158621393617e-8
some/500,2.233100236580123e-5,2.2329759996856594e-5,2.2333295593698893e-5,5.606902139619837e-9,3.486296749396586e-9,9.857851356018304e-9
some/1000,4.650492710867443e-5,4.650194447694278e-5,4.65085143443371e-5,1.0757638501556729e-8,8.867038587887495e-9,1.3720523998326848e-8
some/2000,1.0047058181742327e-4,1.0045956898218073e-4,1.004843779217077e-4,4.3376439069587835e-8,3.3363929882077705e-8,6.253677282825527e-8
some/4000,2.2224214625495722e-4,2.22078787886932e-4,2.224925888601705e-4,6.642436222351821e-7,5.142642507714255e-7,9.529212177488064e-7
choice/500,3.1812844181564773e-5,3.180533505639053e-5,3.18201145835231e-5,2.3814641167022883e-8,1.897346422718875e-8,3.0914951173596064e-8
choice/1000,8.468074152839168e-5,8.463082390488883e-5,8.472938915452613e-5,1.6969587021394593e-7,1.405437863844463e-7,2.0869129526239578e-7
choice/2000,2.5115660949826007e-4,2.5075955489622926e-4,2.5149021735485714e-4,1.2726434524827238e-6,1.0221869976972518e-6,1.5751919429244017e-6
choice/4000,8.557116301299179e-4,8.50952688151054e-4,8.599887575870696e-4,1.5248691060672278e-5,1.2755428933738443e-5,1.7609971998458677e-5
count/500,1.6267750867527943e-5,1.626655988311208e-5,1.6269430241986592e-5,4.6486057128156755e-9,3.772687643705811e-9,6.457005547509283e-9
count/1000,3.3729282629713444e-5,3.3726283266302554e-5,3.3733011370091775e-5,1.0936080544388764e-8,8.193981369179819e-9,1.707222007778077e-8
count/2000,7.157340810422056e-5,7.154812883308792e-5,7.16011024423085e-5,9.170975943604222e-8,8.22325103432688e-8,1.0245550808601272e-7
count/4000,1.5623377014779271e-4,1.5620734429284464e-4,1.562670275842983e-4,9.929090589926345e-8,7.849358015256235e-8,1.3312127564219752e-7
count'/500,2.0500001267941945e-5,2.049773498322953e-5,2.0502110666523337e-5,7.506977827056287e-9,6.040632651336816e-9,1.0788767476179917e-8
count'/1000,4.296692287286923e-5,4.296211537924929e-5,4.2974142489402546e-5,1.9518781316804193e-8,1.4829190312443296e-8,2.5782243323738444e-8
count'/2000,9.249139247422901e-5,9.242744065911918e-5,9.258516887049946e-5,2.681714510245305e-7,2.1700762624900543e-7,3.329787974274985e-7
count'/4000,2.0687882066045988e-4,2.0659126423159017e-4,2.071786726052439e-4,9.803471366649133e-7,8.078433145968422e-7,1.2485047838513175e-6
endBy/500,8.642571834763297e-6,8.641957056788774e-6,8.643230062708557e-6,2.0367924985786633e-9,1.543754367394545e-9,2.794376558442128e-9
endBy/1000,1.7705383464483163e-5,1.7700031730880977e-5,1.7709606920301853e-5,1.6419040802421422e-8,1.273138655844614e-8,2.0514436327538645e-8
endBy/2000,3.696564319446977e-5,3.6963339528092346e-5,3.696908998074136e-5,9.523637746276472e-9,7.4060005169174164e-9,1.3525755035308788e-8
endBy/4000,7.889789976145141e-5,7.889173148876226e-5,7.890398572016695e-5,2.0315934416560166e-8,1.5291803084651793e-8,3.0367318150018335e-8
endBy1/500,1.4067753533246178e-5,1.4066840233981605e-5,1.4069284899062568e-5,4.073249275401491e-9,2.3343510847994923e-9,7.479229034010486e-9
endBy1/1000,2.8970677613486672e-5,2.8968053193921057e-5,2.8973423684534625e-5,8.788359863062617e-9,6.7438209847843186e-9,1.2135508132880895e-8
endBy1/2000,5.999638040140692e-5,5.9992471444175654e-5,6.000031784835724e-5,1.2709691593873874e-8,1.0651871988906804e-8,1.5614001284212512e-8
endBy1/4000,1.281861478294455e-4,1.2815826485765492e-4,1.2821465087984604e-4,9.695320744321334e-8,8.303871298686176e-8,1.1305033464140437e-7
manyTill/500,2.3109084051216293e-5,2.3107410226142637e-5,2.3110312551251872e-5,4.8309628687044555e-9,4.023122600559183e-9,6.131625776206861e-9
manyTill/1000,4.798597862634669e-5,4.798371535950321e-5,4.7989045067665715e-5,8.750731167754581e-9,6.595002378952981e-9,1.2203175536933454e-8
manyTill/2000,1.0090706199617454e-4,1.0089502229218442e-4,1.0092275895557149e-4,4.720773458718147e-8,3.807946704711424e-8,5.895669267060315e-8
manyTill/4000,2.181517900491766e-4,2.1797224242468846e-4,2.1834241262887815e-4,6.168197196644752e-7,4.915548112711573e-7,7.928518359926613e-7
someTill/500,2.7024641108326526e-5,2.7022549957312336e-5,2.7027058500674303e-5,7.434930542830147e-9,5.627851961455006e-9,9.747765574456377e-9
someTill/1000,5.670358988529693e-5,5.6692178898932444e-5,5.671834345804984e-5,4.274636543524317e-8,3.4071554214341494e-8,5.5362351672052873e-8
someTill/2000,1.2019357591834801e-4,1.2017974570760575e-4,1.2020513464960777e-4,4.29007862260368e-8,3.615060392364092e-8,5.210964002507996e-8
someTill/4000,2.6896507749235387e-4,2.6874279831419707e-4,2.692173702078497e-4,7.707084618950799e-7,6.289830115385429e-7,9.91132091980796e-7
sepBy/500,1.3082979283524244e-5,1.3082175445084043e-5,1.308387504893747e-5,2.858858809909151e-9,2.387212441639638e-9,3.4181767795011646e-9
sepBy/1000,2.6815110102630616e-5,2.6813482319959097e-5,2.6816764757781193e-5,5.754770343935256e-9,4.626055812363688e-9,7.2491215371031135e-9
sepBy/2000,5.608481376239708e-5,5.6080470888841434e-5,5.6088190881473506e-5,1.3280933119368586e-8,1.0685537988202895e-8,1.7793821258654722e-8
sepBy/4000,1.1916503494979234e-4,1.1915859324316707e-4,1.191716244544809e-4,2.27954745724098e-8,1.858809419151015e-8,2.894458772022238e-8
sepBy1/500,1.3065498354643207e-5,1.3064707721933494e-5,1.3066277193798744e-5,2.6473997737372403e-9,2.1290408180048042e-9,3.4159033753281206e-9
sepBy1/1000,2.6774740554655486e-5,2.6773060387524587e-5,2.677718873431915e-5,6.7024334529817415e-9,5.357621966537321e-9,8.264688629285719e-9
sepBy1/2000,5.5961861392459696e-5,5.595749874466457e-5,5.596752924985123e-5,1.7173266910433446e-8,1.358984650258086e-8,2.091033721074395e-8
sepBy1/4000,1.1909892962986036e-4,1.1908870850846878e-4,1.1911086684739193e-4,3.576314536717685e-8,2.9936055997930634e-8,4.522546273030797e-8
sepEndBy/500,8.065004851224004e-6,8.06432644165673e-6,8.065974288183005e-6,2.6844577707956868e-9,2.1916070265716224e-9,3.7067495650978963e-9
sepEndBy/1000,1.657735540395483e-5,1.657652218415705e-5,1.65784988711691e-5,3.249161324360918e-9,2.640926844828241e-9,4.048778779368441e-9
sepEndBy/2000,3.4671831237991925e-5,3.46685217530004e-5,3.4676783539100225e-5,1.3088624178863208e-8,9.545898832180538e-9,2.216818159201019e-8
sepEndBy/4000,7.411753765049943e-5,7.410919916384249e-5,7.41241168891628e-5,2.4391540637700292e-8,1.956651596108465e-8,3.314798336471195e-8
sepEndBy1/500,1.740474713693636e-5,1.7403569360761113e-5,1.7406061088872942e-5,3.992005143678622e-9,3.14741525745086e-9,5.28759626306326e-9
sepEndBy1/1000,3.593258225386136e-5,3.593033636683782e-5,3.5937493404911544e-5,1.070721235262713e-8,6.806234936222605e-9,1.8515388612408175e-8
sepEndBy1/2000,7.443876421061935e-5,7.443230787908032e-5,7.444796933894833e-5,2.731361592937397e-8,2.1444776744448793e-8,3.6221427538863406e-8
sepEndBy1/4000,1.5658994116057374e-4,1.5653642044721533e-4,1.5665825455848473e-4,1.975084507160981e-7,1.5060125712297372e-7,2.5960904349873147e-7
skipMany/500,6.08054494292617e-6,6.080106202710234e-6,6.0810279386500345e-6,1.515750924779551e-9,1.2435262335858843e-9,1.8493227443505707e-9
skipMany/1000,1.2069311363529842e-5,1.2067932536621906e-5,1.2070903399051765e-5,4.600820081010609e-9,3.5482312280176635e-9,7.365216834971225e-9
skipMany/2000,2.406787806880775e-5,2.4065262329739587e-5,2.4070895813605527e-5,9.3404095954001e-9,8.109894398694531e-9,1.168683502826887e-8
skipMany/4000,4.815915285384976e-5,4.815471354520547e-5,4.816686672520972e-5,2.0353153166204877e-8,1.3600435796590776e-8,3.369930449728742e-8
skipSome/500,1.434654303567923e-5,1.4344984403836834e-5,1.4347989330773758e-5,5.172839460406436e-9,4.465424510095974e-9,6.005791765921022e-9
skipSome/1000,2.857587788972779e-5,2.857340783273239e-5,2.85786053971449e-5,8.611477374557691e-9,7.169869919461776e-9,1.0819926098377718e-8
skipSome/2000,5.711988896989969e-5,5.711535912962187e-5,5.712471872810138e-5,1.5645553561868334e-8,1.3357164704271205e-8,1.8533223879198517e-8
skipSome/4000,1.1400633977592897e-4,1.1400045469914306e-4,1.1401294970485888e-4,2.1871150656981818e-8,1.7209755809523593e-8,3.019814981369842e-8
skipCount/500,1.0461357014739632e-5,1.0460456926390756e-5,1.0462309751474715e-5,3.23824345458027e-9,2.813898415866841e-9,3.795218629369076e-9
skipCount/1000,2.084197151735983e-5,2.0840120329054524e-5,2.0844269809172802e-5,6.88560089795437e-9,5.468940995933519e-9,8.70692213726165e-9
skipCount/2000,4.1602004739447224e-5,4.159899328185621e-5,4.160572623029037e-5,1.0843783639790203e-8,8.851590270447572e-9,1.3129811908010278e-8
skipCount/4000,8.314209209963023e-5,8.313380298593566e-5,8.315031089638599e-5,2.8012546327327698e-8,2.3973552482035544e-8,3.33991501199908e-8
skipManyTill/500,1.4655396923399641e-5,1.4653808708396372e-5,1.4656903360612158e-5,4.897471428206905e-9,4.1350444562994994e-9,5.7215499886811545e-9
skipManyTill/1000,2.928631667947461e-5,2.9284292367315483e-5,2.9288419310619366e-5,6.819120999360679e-9,5.735655325026844e-9,8.106239780148412e-9
skipManyTill/2000,5.844957409959933e-5,5.844468247271058e-5,5.845472547460425e-5,1.7967429474385007e-8,1.4435116232234933e-8,2.2708025414997842e-8
skipManyTill/4000,1.1676693069537245e-4,1.1675776756126115e-4,1.1677802691196337e-4,3.352481813623844e-8,2.6729115583773937e-8,4.371699962917864e-8
skipSomeTill/500,2.0997486928914503e-5,2.099617135770813e-5,2.0999035194003924e-5,4.696736618940819e-9,3.6972750274341634e-9,6.14363151343141e-9
skipSomeTill/1000,4.1985473168101555e-5,4.1982630289246954e-5,4.1988503514856794e-5,9.942020700441938e-9,7.821965953799344e-9,1.3308546460952208e-8
skipSomeTill/2000,8.384989307016703e-5,8.384438932105587e-5,8.385633906634952e-5,2.0690786150167852e-8,1.691547717226963e-8,2.5606609651701303e-8
skipSomeTill/4000,1.6751270520919972e-4,1.6749818287855635e-4,1.675281938988726e-4,5.1918977031625476e-8,4.443042823004196e-8,6.243249861198879e-8
takeWhileP/500,1.6048125838350289e-6,1.6047569127289774e-6,1.6049086754980265e-6,2.361490905814646e-10,1.7912760505299207e-10,3.4988927357996544e-10
takeWhileP/1000,3.1099747336734242e-6,3.1098899624256255e-6,3.110108786826827e-6,3.60693256534087e-10,2.664642094674489e-10,4.84291224177822e-10
takeWhileP/2000,6.121472670090324e-6,6.121240498904205e-6,6.121731861449059e-6,8.19086688022599e-10,6.021283678889611e-10,1.0934903561393548e-9
takeWhileP/4000,1.2138665348092854e-5,1.2138231828081783e-5,1.2139342634499571e-5,1.825466708824081e-9,1.3316605637836872e-9,2.6251913734615674e-9
takeWhile1P/500,1.5998505007998902e-6,1.599793847446094e-6,1.5999224382428822e-6,2.272303678546028e-10,1.7810007240628904e-10,2.813475456755422e-10
takeWhile1P/1000,3.1050583225037105e-6,3.1049107665591044e-6,3.105269158926124e-6,5.82098329798144e-10,4.1584452337110103e-10,8.480730881502402e-10
takeWhile1P/2000,6.115089261686205e-6,6.114789487058566e-6,6.115494116339779e-6,1.133130295610408e-9,8.919196924043369e-10,1.5555726658184373e-9
takeWhile1P/4000,1.2134018347021984e-5,1.2133309356886367e-5,1.2135192632539917e-5,2.8450702305321827e-9,1.6265196576191625e-9,4.559201630180276e-9
decimal/500,3.2165930400113344e-7,3.2163720030500976e-7,3.2169125481366807e-7,9.235061875324098e-11,7.005001558665188e-11,1.4452083481282894e-10
decimal/1000,5.285520982317845e-7,5.285255037100992e-7,5.285919293529261e-7,1.072121108587506e-10,5.834436250484301e-11,1.6544433057443116e-10
decimal/2000,9.475378003857264e-7,9.474572125493621e-7,9.476369063506497e-7,2.8748271553085497e-10,2.294358527234386e-10,3.4884795521387916e-10
decimal/4000,2.1447663062484057e-6,2.144245426454498e-6,2.1454252367998353e-6,1.9386253898276225e-9,1.4537936419519952e-9,2.472266442312579e-9
octal/500,3.220499247780074e-7,3.220108990435591e-7,3.220847014700522e-7,1.2896933841035504e-10,1.0346234316326482e-10,1.7424525103601513e-10
octal/1000,5.252618913473719e-7,5.252218790569116e-7,5.253122162576156e-7,1.5684886142042875e-10,1.2575725208995409e-10,2.1100090610603568e-10
octal/2000,9.259356473568965e-7,9.258691712845627e-7,9.26079331514863e-7,3.138759787391986e-10,1.3658646563074092e-10,5.843023243926833e-10
octal/4000,2.064572259414644e-6,2.0644558401734052e-6,2.0647661828585704e-6,4.897439671035238e-10,3.491379716451556e-10,7.140594854084503e-10
hexadecimal/500,3.200121040839335e-7,3.199924752339469e-7,3.200308899104087e-7,6.436659282134893e-11,5.455153631580739e-11,7.9152010593162e-11
hexadecimal/1000,5.259803612211003e-7,5.2595915883718e-7,5.260079769204312e-7,8.490697831589906e-11,6.62381988687367e-11,1.0979079571678607e-10
hexadecimal/2000,1.014024075415637e-6,1.0139833199474442e-6,1.014064007774155e-6,1.371477153782052e-10,1.106666877472942e-10,1.745776105381136e-10
hexadecimal/4000,2.2254749397018692e-6,2.2253521507857588e-6,2.2257068096266246e-6,5.733320672304712e-10,3.32095720010978e-10,1.0222863438485019e-9
scientific/500,2.13366275583238e-7,2.133540448820017e-7,2.1338411942819983e-7,5.042335903192158e-11,3.6983067384334755e-11,7.58192005354818e-11
scientific/1000,3.1862909568929486e-7,3.186039078452861e-7,3.186633629356425e-7,9.967720840214258e-11,7.427225759896242e-11,1.5877697925166377e-10
scientific/2000,5.037068194229017e-7,5.036700875214088e-7,5.037412019437771e-7,1.202182197012772e-10,1.0282085661601463e-10,1.418321258180103e-10
scientific/4000,8.708151438550168e-7,8.707490265978818e-7,8.708821019914741e-7,2.1495051440048328e-10,1.7890437927606993e-10,2.517010138522279e-10
errorBundlePretty-500-single error,1.193910569897167e-3,1.1914479163494319e-3,1.196995085056154e-3,8.97759379173382e-6,6.417463052059528e-6,1.3111860959430695e-5
errorBundlePretty-1000-single error,2.360404389776958e-3,2.356776570547056e-3,2.3698252666002353e-3,1.804885039128437e-5,9.147743626193177e-6,3.4293678120005785e-5
errorBundlePretty-2000-single error,4.694057143476561e-3,4.689885873959945e-3,4.708280807161524e-3,2.2046740616977528e-5,3.867936729679625e-6,4.571786057174914e-5
errorBundlePretty-4000-single error,9.440338135678145e-3,9.4380141422109e-3,9.443134017028681e-3,7.125874657213249e-6,4.998380736768015e-6,1.1219087373639194e-5
errorBundlePretty-1000-2 errors,2.364907538241837e-3,2.361500582546546e-3,2.3717638182820604e-3,1.566714219333716e-5,8.822496308576384e-6,2.7563247344328667e-5
