Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
string/500,1.33179088346555e-6,1.3316253128555422e-6,1.332339923621543e-6,9.056164479141437e-10,1.405327912579454e-10,1.8319984649971723e-9
string/1000,4.398903105878412e-6,4.398536666558696e-6,4.399526791040579e-6,1.6085661201802367e-9,8.864624487667149e-10,2.7148982182891007e-9
string/2000,4.940960625776396e-6,4.940296755739592e-6,4.943460227420214e-6,3.6871121260551263e-9,3.2093390327976994e-10,8.058274614877168e-9
string/4000,9.743002373070846e-6,9.742113613054937e-6,9.745854296981425e-6,4.628637472084496e-9,6.006725942703934e-10,9.259029952907537e-9
string'/500,5.66487652915539e-5,5.664397174513875e-5,5.665683047938527e-5,2.1026996941736782e-8,1.2724805407682591e-8,3.7322063702364615e-8
string'/1000,1.1515667708597455e-4,1.1509230489645027e-4,1.1526808220263002e-4,2.7059016113829723e-7,1.8538461119491375e-7,4.522692801929628e-7
string'/2000,2.2376265403838456e-4,2.2366530316829955e-4,2.2397007633107076e-4,4.842503261369501e-7,2.90324917617337e-7,8.262199016726844e-7
string'/4000,4.3691961548436705e-4,4.3679495774684435e-4,4.37176043024549e-4,5.85119067085762e-7,2.7715719558479463e-7,9.373258727890142e-7
many/500,1.2849735284447602e-5,1.2844941876015433e-5,1.2854621689145579e-5,1.605532178435575e-8,1.3144754724429786e-8,1.9398738008893948e-8
many/1000,2.649882430255089e-5,2.6495057446455033e-5,2.6504067566132416e-5,1.444844521893941e-8,9.863894998163644e-9,2.468158813270664e-8
many/2000,5.6158301751766904e-5,5.614761099204793e-5,5.61746055313631e-5,4.3578163608756105e-8,2.8946846612444444e-8,7.130090584530399e-8
many/4000,1.2187067127410314e-4,1.2185495746053825e-4,1.218949733503982e-4,6.476205370618633e-8,4.6722262935764285e-8,1.011136723289149e-7
some/500,2.2483382054430513e-5,2.2479726633747394e-5,2.2490766990689693e-5,1.7565613313055187e-8,1.1754306661677001e-8,3.02567083928259e-8
some/1000,4.655875954049452e-5,4.654748461929418e-5,4.657214201754958e-5,4.036650298462315e-8,3.2639233250304665e-8,5.329903248211754e-8
some/2000,1.0251725157745292e-4,1.0245792630891408e-4,1.0259091088213123e-4,2.235308030254014e-7,1.5581529904473342e-7,3.182242051606474e-7
some/4000,2.2705218647591259e-4,2.2685428599163613e-4,2.2726482546726092e-4,7.287293056052836e-7,5.70163713784914e-7,9.857560659134136e-7
choice/500,3.131075351506339e-5,3.1303235270017594e-5,3.131779239474844e-5,2.505807397927774e-8,2.0336207596920494e-8,3.084237324654209e-8
choice/1000,8.281835043655474e-5,8.277089637454086e-5,8.286779675025208e-5,1.684606280862287e-7,1.3760674870486194e-7,2.0091830531280884e-7
choice/2000,2.4503921404438905e-4,2.446481986171717e-4,2.453910568713005e-4,1.2584970215893939e-6,1.0158455414007169e-6,1.5872475149404323e-6
choice/4000,8.424260071728964e-4,8.377095051927503e-4,8.46255052286877e-4,1.4904717597715638e-5,1.2712297707132443e-5,1.7722183223016245e-5
count/500,1.6224513277565987e-5,1.622287064680399e-5,1.622892915038391e-5,8.516298991237905e-9,3.870432457823989e-9,1.731718598138725e-8
count/1000,3.3707964401459395e-5,3.37003761385265e-5,3.372967730454437e-5,4.025133232718593e-8,1.0836629943721666e-8,9.414476274701316e-8
count/2000,7.110263108638352e-5,7.107998474879546e-5,7.113074430516946e-5,8.159228952156057e-8,6.904169866919737e-8,1.0453927702364272e-7
count/4000,1.5465494447428706e-4,1.5462333352997282e-4,1.546919319322615e-4,1.110296025704519e-7,9.007473229011368e-8,1.321424978350456e-7
count'/500,2.0654240904333658e-5,2.064855694264939e-5,2.066034261506328e-5,1.911796508888763e-8,1.5063179611755436e-8,2.6548266768498017e-8
count'/1000,4.3594725152515065e-5,4.3580987442754157e-5,4.36113783736695e-5,5.034400529044317e-8,4.2376806527517284e-8,6.407296958113026e-8
count'/2000,9.40601006201721e-5,9.392258767556004e-5,9.423414837629054e-5,5.314817777656378e-7,4.4147041644420205e-7,6.158481858526047e-7
count'/4000,2.1057078166320328e-4,2.104052354513002e-4,2.1077037257480336e-4,6.047696066886021e-7,4.886296171954581e-7,7.994174171094259e-7
endBy/500,8.622671905241572e-6,8.621036924217786e-6,8.62869013710113e-6,9.099032549439496e-9,2.7590779158510405e-9,1.8444277701197874e-8
endBy/1000,1.7635128736692767e-5,1.7628605117811698e-5,1.76406996639237e-5,1.9704098807597906e-8,1.515748646928486e-8,2.4647017771460123e-8
endBy/2000,3.6785988140077135e-5,3.6781975257188754e-5,3.679195160048242e-5,1.585090767364234e-8,9.53101262028113e-9,2.580512468592345e-8
endBy/4000,7.832847550678728e-5,7.831835136353426e-5,7.834802679683145e-5,4.528071678323809e-8,2.3881225359486133e-8,8.324799185382054e-8
endBy1/500,1.4125967986420372e-5,1.4124049600311411e-5,1.4128269182016357e-5,6.9462930803508884e-9,5.185975671422897e-9,1.0109407798871357e-8
endBy1/1000,2.9233308169595744e-5,2.9225452164831736e-5,2.9244848927444e-5,3.188481847408167e-8,2.153142360715475e-8,5.3243972158372895e-8
endBy1/2000,6.0428376352989996e-5,6.039406035031995e-5,6.0460101536618456e-5,1.122214953088354e-7,1.0056855992360116e-7,1.2548264378598198e-7
endBy1/4000,1.2966566039729024e-4,1.2961189090114159e-4,1.2980515119686108e-4,2.7677679956693657e-7,1.6263043560361448e-7,5.026532812641314e-7
