Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
string/500,1.339296263771533e-6,1.3392451198286078e-6,1.3393870623081477e-6,2.2777043276840488e-10,1.3918266243770728e-10,4.0756421252395126e-10
string/1000,5.040757455990819e-6,5.040326876589267e-6,5.041195029305034e-6,1.476060462710948e-9,1.1871205040348335e-9,2.0034765489094603e-9
string/2000,4.951602556950339e-6,4.951456565555636e-6,4.95174967199389e-6,4.816898102193718e-10,3.8325709679081135e-10,6.265572991030273e-10
string/4000,9.755699377901687e-6,9.755461892951112e-6,9.75597892759867e-6,8.727473074169922e-10,6.475432438331117e-10,1.2592386663325698e-9
string'/500,5.61569220385648e-5,5.615248440451869e-5,5.616212084005892e-5,1.5994136613720658e-8,1.1995563282053766e-8,2.3421062624816323e-8
string'/1000,1.1484565148063661e-4,1.147827041588922e-4,1.1495023486089063e-4,2.6263838263118426e-7,1.7884933990166575e-7,4.341368602542913e-7
string'/2000,2.219757647851481e-4,2.218786050224397e-4,2.2221463637556063e-4,4.639837421028353e-7,2.3751536681891066e-7,8.458681972888055e-7
string'/4000,4.331813003969555e-4,4.3309833528927956e-4,4.3342185543950376e-4,4.4822810535854586e-7,2.1958325051892287e-7,8.980534428685928e-7
many/500,1.272455539833075e-5,1.2720475901752564e-5,1.272988627819753e-5,1.5259725740413877e-8,1.2186444510136715e-8,1.8399866813885967e-8
many/1000,2.6313183073320948e-5,2.6309942233323843e-5,2.6315657705640724e-5,9.937277421355877e-9,8.008275335065417e-9,1.2366880487252974e-8
many/2000,5.570167096322399e-5,5.569309655370577e-5,5.570886719864216e-5,2.6565656696970645e-8,2.1393326559256087e-8,3.733182255606888e-8
many/4000,1.2090033760573801e-4,1.2088556983641482e-4,1.2091597622940689e-4,5.264005501796615e-8,4.0657056782401206e-8,6.7876960270911e-8
some/500,2.215058711294008e-5,2.2143134972687962e-5,2.2157413357419556e-5,2.3291352024311437e-8,1.974049781170877e-8,2.751663212720826e-8
some/1000,4.6074714182238474e-5,4.6050256278202755e-5,4.609663084240193e-5,7.747899182413314e-8,6.333097625173044e-8,1.0355864805723104e-7
some/2000,9.898770616676376e-5,9.89599447055379e-5,9.901864692103911e-5,9.579636253437588e-8,7.977115365021106e-8,1.246686835113687e-7
some/4000,2.1978036951672637e-4,2.1957543078458727e-4,2.1997871973056908e-4,6.792468694193736e-7,5.268176866473898e-7,8.410412436206995e-7
choice/500,3.1621711379285524e-5,3.161479365894555e-5,3.162756820839224e-5,2.1951512970092548e-8,1.8431934228859347e-8,2.7300683903070247e-8
choice/1000,8.343844807143524e-5,8.338294656852874e-5,8.348612801752976e-5,1.7294779532100827e-7,1.4749215990195292e-7,2.1011639898096187e-7
choice/2000,2.4618558891395217e-4,2.4572827598950573e-4,2.4651101040479404e-4,1.2545270947682606e-6,1.0140601732648308e-6,1.5967584022430415e-6
choice/4000,8.442911746512109e-4,8.394686715903092e-4,8.482250080764275e-4,1.5084701606428225e-5,1.3031868283565732e-5,1.7990368484972982e-5
count/500,1.6205806800478417e-5,1.620493243272915e-5,1.6206666433946816e-5,3.0275248744087894e-9,2.5841913599690943e-9,3.664226017692716e-9
